timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-06_14-36-08,gc-t4-1,gc-t4-2,35.202.219.240,6.58,Gbits/sec,0.697
2023-04-06_14-36-23,gc-t4-1,gc-t4-3,34.135.186.2,6.92,Gbits/sec,0.700
2023-04-06_14-36-39,gc-t4-1,gc-t4-4,34.132.144.241,6.80,Gbits/sec,0.764
2023-04-06_14-36-54,gc-t4-1,gc-t4-5,34.72.231.71,6.93,Gbits/sec,0.670
2023-04-06_14-37-09,gc-t4-1,gc-t4-6,34.134.173.103,6.85,Gbits/sec,0.708
2023-04-06_14-37-24,gc-t4-1,gc-t4-7,34.29.29.196,6.93,Gbits/sec,0.782
2023-04-06_14-37-39,gc-t4-1,gc-t4-8,35.184.225.71,6.92,Gbits/sec,0.663
2023-04-06_14-37-54,gc-t4-1,gc-t4-2,35.202.219.240,6.92,Gbits/sec,0.740
2023-04-06_14-38-09,gc-t4-1,gc-t4-3,34.135.186.2,6.91,Gbits/sec,0.710
2023-04-06_14-38-24,gc-t4-1,gc-t4-4,34.132.144.241,6.93,Gbits/sec,0.748
2023-04-06_14-38-39,gc-t4-1,gc-t4-5,34.72.231.71,6.93,Gbits/sec,0.735
2023-04-06_14-38-54,gc-t4-1,gc-t4-6,34.134.173.103,6.93,Gbits/sec,0.776
2023-04-06_14-39-10,gc-t4-1,gc-t4-7,34.29.29.196,6.91,Gbits/sec,0.667
2023-04-06_14-39-25,gc-t4-1,gc-t4-8,35.184.225.71,6.89,Gbits/sec,0.665
2023-04-06_14-39-40,gc-t4-1,gc-t4-2,35.202.219.240,6.87,Gbits/sec,0.644
2023-04-06_14-39-55,gc-t4-1,gc-t4-3,34.135.186.2,6.92,Gbits/sec,0.805
2023-04-06_14-40-10,gc-t4-1,gc-t4-4,34.132.144.241,6.89,Gbits/sec,0.684
2023-04-06_14-40-25,gc-t4-1,gc-t4-5,34.72.231.71,6.93,Gbits/sec,0.683
2023-04-06_14-40-40,gc-t4-1,gc-t4-6,34.134.173.103,6.92,Gbits/sec,0.764
2023-04-06_14-40-55,gc-t4-1,gc-t4-7,34.29.29.196,6.93,Gbits/sec,0.844
2023-04-06_14-41-10,gc-t4-1,gc-t4-8,35.184.225.71,6.91,Gbits/sec,0.733
2023-04-06_14-41-25,gc-t4-1,gc-t4-2,35.202.219.240,6.93,Gbits/sec,0.625
2023-04-06_14-41-41,gc-t4-1,gc-t4-3,34.135.186.2,6.93,Gbits/sec,0.745
2023-04-06_14-41-57,gc-t4-1,gc-t4-4,34.132.144.241,6.93,Gbits/sec,0.748
2023-04-06_14-42-12,gc-t4-1,gc-t4-5,34.72.231.71,6.92,Gbits/sec,0.716
2023-04-06_14-42-27,gc-t4-1,gc-t4-6,34.134.173.103,6.91,Gbits/sec,0.703
2023-04-06_14-42-42,gc-t4-1,gc-t4-7,34.29.29.196,6.92,Gbits/sec,0.726
2023-04-06_14-42-57,gc-t4-1,gc-t4-8,35.184.225.71,6.91,Gbits/sec,0.676
2023-04-06_14-43-12,gc-t4-1,gc-t4-2,35.202.219.240,6.92,Gbits/sec,0.750
2023-04-06_14-43-27,gc-t4-1,gc-t4-3,34.135.186.2,6.93,Gbits/sec,0.654
2023-04-06_14-43-42,gc-t4-1,gc-t4-4,34.132.144.241,6.92,Gbits/sec,0.718
2023-04-06_14-43-57,gc-t4-1,gc-t4-5,34.72.231.71,6.92,Gbits/sec,0.655
2023-04-06_14-44-12,gc-t4-1,gc-t4-6,34.134.173.103,6.88,Gbits/sec,0.739
2023-04-06_14-44-28,gc-t4-1,gc-t4-7,34.29.29.196,6.93,Gbits/sec,0.704
2023-04-06_14-44-43,gc-t4-1,gc-t4-8,35.184.225.71,6.91,Gbits/sec,0.727
