timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-08_22-23-50,gc-t4-3,gc-t4-1,34.66.1.131,209,Mbits/sec,103.252
2023-04-08_22-24-06,gc-t4-3,gc-t4-2,34.133.146.179,209,Mbits/sec,103.113
2023-04-08_22-24-21,gc-t4-3,gc-t4-4,34.76.88.181,6.87,Gbits/sec,0.829
2023-04-08_22-24-36,gc-t4-3,gc-t4-1,34.66.1.131,210,Mbits/sec,103.231
2023-04-08_22-24-53,gc-t4-3,gc-t4-2,34.133.146.179,223,Mbits/sec,103.098
2023-04-08_22-25-08,gc-t4-3,gc-t4-4,34.76.88.181,6.92,Gbits/sec,0.696
2023-04-08_22-25-23,gc-t4-3,gc-t4-1,34.66.1.131,209,Mbits/sec,103.213
2023-04-08_22-25-39,gc-t4-3,gc-t4-2,34.133.146.179,209,Mbits/sec,103.149
2023-04-08_22-25-54,gc-t4-3,gc-t4-4,34.76.88.181,6.92,Gbits/sec,0.765
2023-04-08_22-26-09,gc-t4-3,gc-t4-1,34.66.1.131,209,Mbits/sec,103.265
2023-04-08_22-26-24,gc-t4-3,gc-t4-2,34.133.146.179,210,Mbits/sec,103.204
2023-04-08_22-26-40,gc-t4-3,gc-t4-4,34.76.88.181,6.91,Gbits/sec,0.699
2023-04-08_22-26-55,gc-t4-3,gc-t4-1,34.66.1.131,220,Mbits/sec,103.265
2023-04-08_22-27-10,gc-t4-3,gc-t4-2,34.133.146.179,209,Mbits/sec,103.133
2023-04-08_22-27-26,gc-t4-3,gc-t4-4,34.76.88.181,6.87,Gbits/sec,0.661
