timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_22-55-25,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.874
2023-04-09_22-55-41,gc-t4-1,gc-t4-21,34.116.98.182,116,Mbits/sec,176.541
2023-04-09_22-55-56,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.935
2023-04-09_22-56-12,gc-t4-1,gc-t4-21,34.116.98.182,116,Mbits/sec,176.517
2023-04-09_22-56-28,gc-t4-1,gc-t4-20,35.189.14.21,122,Mbits/sec,175.931
2023-04-09_22-56-43,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.435
2023-04-09_22-56-59,gc-t4-1,gc-t4-20,35.189.14.21,117,Mbits/sec,175.864
2023-04-09_22-57-15,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.579
2023-04-09_22-57-30,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.880
2023-04-09_22-57-46,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.403
