timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_22-06-13,gc-t4-1,gc-t4-2,35.202.116.1,6.88,Gbits/sec,0.658
2023-04-09_22-06-28,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.069
2023-04-09_22-06-44,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.089
2023-04-09_22-07-24,gc-t4-1,gc-t4-10,34.80.16.100,139,Mbits/sec,157.077
2023-04-09_22-07-40,gc-t4-1,gc-t4-11,104.155.211.90,133,Mbits/sec,157.093
2023-04-09_22-07-56,gc-t4-1,gc-t4-2,35.202.116.1,6.92,Gbits/sec,0.683
2023-04-09_22-08-11,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.051
2023-04-09_22-08-26,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.091
2023-04-09_22-09-07,gc-t4-1,gc-t4-10,34.80.16.100,133,Mbits/sec,157.112
2023-04-09_22-09-22,gc-t4-1,gc-t4-11,104.155.211.90,133,Mbits/sec,157.030
2023-04-09_22-09-38,gc-t4-1,gc-t4-2,35.202.116.1,6.88,Gbits/sec,0.698
2023-04-09_22-09-53,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.165
2023-04-09_22-10-08,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.081
2023-04-09_22-10-49,gc-t4-1,gc-t4-10,34.80.16.100,133,Mbits/sec,157.198
2023-04-09_22-11-04,gc-t4-1,gc-t4-11,104.155.211.90,133,Mbits/sec,156.975
2023-04-09_22-11-20,gc-t4-1,gc-t4-2,35.202.116.1,6.92,Gbits/sec,0.639
2023-04-09_22-11-35,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.211
2023-04-09_22-11-51,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.128
2023-04-09_22-12-31,gc-t4-1,gc-t4-10,34.80.16.100,133,Mbits/sec,157.048
2023-04-09_22-12-47,gc-t4-1,gc-t4-11,104.155.211.90,133,Mbits/sec,157.027
2023-04-09_22-13-02,gc-t4-1,gc-t4-2,35.202.116.1,6.92,Gbits/sec,0.619
2023-04-09_22-13-18,gc-t4-1,gc-t4-5,104.155.15.215,210,Mbits/sec,103.159
2023-04-09_22-13-33,gc-t4-1,gc-t4-6,34.140.100.192,210,Mbits/sec,103.058
2023-04-09_22-14-13,gc-t4-1,gc-t4-10,34.80.16.100,133,Mbits/sec,157.323
2023-04-09_22-14-29,gc-t4-1,gc-t4-11,104.155.211.90,133,Mbits/sec,157.015
2023-04-09_22-55-25,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.874
2023-04-09_22-55-41,gc-t4-1,gc-t4-21,34.116.98.182,116,Mbits/sec,176.541
2023-04-09_22-55-56,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.935
2023-04-09_22-56-12,gc-t4-1,gc-t4-21,34.116.98.182,116,Mbits/sec,176.517
2023-04-09_22-56-28,gc-t4-1,gc-t4-20,35.189.14.21,122,Mbits/sec,175.931
2023-04-09_22-56-43,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.435
2023-04-09_22-56-59,gc-t4-1,gc-t4-20,35.189.14.21,117,Mbits/sec,175.864
2023-04-09_22-57-15,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.579
2023-04-09_22-57-30,gc-t4-1,gc-t4-20,35.189.14.21,116,Mbits/sec,175.880
2023-04-09_22-57-46,gc-t4-1,gc-t4-21,34.116.98.182,117,Mbits/sec,176.403
