timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_23-01-57,gc-t4-10,gc-t4-20,35.189.14.21,160,Mbits/sec,131.968
2023-04-09_23-02-13,gc-t4-10,gc-t4-21,34.116.98.182,170,Mbits/sec,131.057
2023-04-09_23-02-28,gc-t4-10,gc-t4-20,35.189.14.21,160,Mbits/sec,131.681
2023-04-09_23-02-44,gc-t4-10,gc-t4-21,34.116.98.182,161,Mbits/sec,131.002
2023-04-09_23-02-59,gc-t4-10,gc-t4-20,35.189.14.21,161,Mbits/sec,131.879
2023-04-09_23-03-15,gc-t4-10,gc-t4-21,34.116.98.182,163,Mbits/sec,131.098
2023-04-09_23-03-30,gc-t4-10,gc-t4-20,35.189.14.21,161,Mbits/sec,131.941
2023-04-09_23-03-46,gc-t4-10,gc-t4-21,34.116.98.182,171,Mbits/sec,131.060
2023-04-09_23-04-01,gc-t4-10,gc-t4-20,35.189.14.21,163,Mbits/sec,131.750
2023-04-09_23-04-17,gc-t4-10,gc-t4-21,34.116.98.182,161,Mbits/sec,131.072
