timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_22-58-57,gc-t4-5,gc-t4-20,35.189.14.21,69.1,Mbits/sec,272.245
2023-04-09_22-59-13,gc-t4-5,gc-t4-21,34.116.98.182,69.1,Mbits/sec,271.688
2023-04-09_22-59-29,gc-t4-5,gc-t4-20,35.189.14.21,71.8,Mbits/sec,272.322
2023-04-09_22-59-45,gc-t4-5,gc-t4-21,34.116.98.182,69.0,Mbits/sec,271.710
2023-04-09_23-00-01,gc-t4-5,gc-t4-20,35.189.14.21,69.4,Mbits/sec,272.157
2023-04-09_23-00-17,gc-t4-5,gc-t4-21,34.116.98.182,69.2,Mbits/sec,271.704
2023-04-09_23-00-33,gc-t4-5,gc-t4-20,35.189.14.21,69.3,Mbits/sec,272.252
2023-04-09_23-00-49,gc-t4-5,gc-t4-21,34.116.98.182,68.6,Mbits/sec,271.670
2023-04-09_23-01-05,gc-t4-5,gc-t4-20,35.189.14.21,68.6,Mbits/sec,272.330
2023-04-09_23-01-21,gc-t4-5,gc-t4-21,34.116.98.182,69.3,Mbits/sec,271.685
