timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-12_13-53-54,aws-t4-2,gc-t4-1,104.196.235.68,1.77,Gbits/sec,14.802
2023-04-12_13-54-08,aws-t4-2,aws-t4-1,35.92.3.232,4.78,Gbits/sec,0.160
2023-04-12_13-54-22,aws-t4-2,gc-t4-1,104.196.235.68,1.76,Gbits/sec,13.894
2023-04-12_13-54-36,aws-t4-2,aws-t4-1,35.92.3.232,4.78,Gbits/sec,0.143
2023-04-12_13-54-50,aws-t4-2,gc-t4-1,104.196.235.68,1.70,Gbits/sec,13.540
2023-04-12_13-55-04,aws-t4-2,aws-t4-1,35.92.3.232,4.78,Gbits/sec,0.151
2023-04-12_13-55-18,aws-t4-2,gc-t4-1,104.196.235.68,1.73,Gbits/sec,12.371
2023-04-12_13-55-32,aws-t4-2,aws-t4-1,35.92.3.232,4.78,Gbits/sec,0.160
2023-04-12_13-55-47,aws-t4-2,gc-t4-1,104.196.235.68,2.08,Gbits/sec,14.663
2023-04-12_13-56-01,aws-t4-2,aws-t4-1,35.92.3.232,4.78,Gbits/sec,0.145
