timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-12_13-51-13,gc-t4-2,gc-t4-1,104.196.235.68,5.49,Gbits/sec,0.730
2023-04-12_13-51-28,gc-t4-2,aws-t4-1,35.92.3.232,1.70,Gbits/sec,15.696
2023-04-12_13-51-43,gc-t4-2,gc-t4-1,104.196.235.68,6.91,Gbits/sec,0.711
2023-04-12_13-51-58,gc-t4-2,aws-t4-1,35.92.3.232,1.76,Gbits/sec,13.799
2023-04-12_13-52-13,gc-t4-2,gc-t4-1,104.196.235.68,5.50,Gbits/sec,0.685
2023-04-12_13-52-28,gc-t4-2,aws-t4-1,35.92.3.232,1.54,Gbits/sec,14.717
2023-04-12_13-52-43,gc-t4-2,gc-t4-1,104.196.235.68,6.93,Gbits/sec,0.724
2023-04-12_13-52-59,gc-t4-2,aws-t4-1,35.92.3.232,1.25,Gbits/sec,16.604
2023-04-12_13-53-14,gc-t4-2,gc-t4-1,104.196.235.68,6.93,Gbits/sec,0.719
2023-04-12_13-53-29,gc-t4-2,aws-t4-1,35.92.3.232,1.35,Gbits/sec,15.760
