timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-13_09-34-30,gc-t4-2,gc-t4-1,34.168.221.226,6.92,Gbits/sec,0.735
2023-04-13_09-34-46,gc-t4-2,azure-t4-1,40.124.7.46,452,Mbits/sec,51.319
2023-04-13_09-35-01,gc-t4-2,gc-t4-1,34.168.221.226,6.91,Gbits/sec,0.661
2023-04-13_09-35-16,gc-t4-2,azure-t4-1,40.124.7.46,459,Mbits/sec,51.237
2023-04-13_09-35-31,gc-t4-2,gc-t4-1,34.168.221.226,6.87,Gbits/sec,0.727
2023-04-13_09-35-46,gc-t4-2,azure-t4-1,40.124.7.46,449,Mbits/sec,51.192
2023-04-13_09-36-01,gc-t4-2,gc-t4-1,34.168.221.226,6.93,Gbits/sec,0.667
2023-04-13_09-36-16,gc-t4-2,azure-t4-1,40.124.7.46,461,Mbits/sec,51.201
2023-04-13_09-36-32,gc-t4-2,gc-t4-1,34.168.221.226,6.90,Gbits/sec,0.739
2023-04-13_09-36-47,gc-t4-2,azure-t4-1,40.124.7.46,452,Mbits/sec,51.152
