timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-05_13-35-52,lambda-a10-1,lambda-a10-2,165.1.65.28,2.94,Gbits/sec,0.302
2023-04-05_13-36-06,lambda-a10-1,lambda-a10-3,192.9.128.228,3.24,Gbits/sec,0.263
2023-04-05_13-36-20,lambda-a10-1,lambda-a10-4,165.1.71.57,3.34,Gbits/sec,0.333
2023-04-05_13-36-34,lambda-a10-1,lambda-a10-5,138.2.234.106,3.36,Gbits/sec,0.206
2023-04-05_13-36-49,lambda-a10-1,lambda-a10-6,192.9.159.91,3.35,Gbits/sec,0.219
2023-04-05_13-37-03,lambda-a10-1,lambda-a10-7,152.70.125.7,3.34,Gbits/sec,0.308
2023-04-05_13-37-17,lambda-a10-1,lambda-a10-8,155.248.200.140,2.95,Gbits/sec,0.296
2023-04-05_13-37-31,lambda-a10-1,lambda-a10-2,165.1.65.28,3.32,Gbits/sec,0.360
2023-04-05_13-37-45,lambda-a10-1,lambda-a10-3,192.9.128.228,3.31,Gbits/sec,0.309
2023-04-05_13-37-59,lambda-a10-1,lambda-a10-4,165.1.71.57,3.29,Gbits/sec,0.324
2023-04-05_13-38-13,lambda-a10-1,lambda-a10-5,138.2.234.106,3.31,Gbits/sec,0.275
2023-04-05_13-38-28,lambda-a10-1,lambda-a10-6,192.9.159.91,3.31,Gbits/sec,0.228
2023-04-05_13-38-42,lambda-a10-1,lambda-a10-7,152.70.125.7,3.33,Gbits/sec,0.313
2023-04-05_13-38-56,lambda-a10-1,lambda-a10-8,155.248.200.140,3.33,Gbits/sec,0.310
2023-04-05_13-39-10,lambda-a10-1,lambda-a10-2,165.1.65.28,3.31,Gbits/sec,0.321
2023-04-05_13-39-24,lambda-a10-1,lambda-a10-3,192.9.128.228,3.29,Gbits/sec,0.311
2023-04-05_13-39-38,lambda-a10-1,lambda-a10-4,165.1.71.57,2.99,Gbits/sec,0.267
2023-04-05_13-39-52,lambda-a10-1,lambda-a10-5,138.2.234.106,3.21,Gbits/sec,0.268
2023-04-05_13-40-07,lambda-a10-1,lambda-a10-6,192.9.159.91,3.29,Gbits/sec,0.221
2023-04-05_13-40-21,lambda-a10-1,lambda-a10-7,152.70.125.7,3.32,Gbits/sec,0.337
2023-04-05_13-40-35,lambda-a10-1,lambda-a10-8,155.248.200.140,3.29,Gbits/sec,0.330
2023-04-05_13-40-49,lambda-a10-1,lambda-a10-2,165.1.65.28,3.28,Gbits/sec,0.328
2023-04-05_13-41-03,lambda-a10-1,lambda-a10-3,192.9.128.228,3.25,Gbits/sec,0.321
2023-04-05_13-41-17,lambda-a10-1,lambda-a10-4,165.1.71.57,3.30,Gbits/sec,0.297
2023-04-05_13-41-31,lambda-a10-1,lambda-a10-5,138.2.234.106,3.34,Gbits/sec,0.297
2023-04-05_13-41-46,lambda-a10-1,lambda-a10-6,192.9.159.91,3.27,Gbits/sec,0.281
2023-04-05_13-42-00,lambda-a10-1,lambda-a10-7,152.70.125.7,3.07,Gbits/sec,0.303
2023-04-05_13-42-14,lambda-a10-1,lambda-a10-8,155.248.200.140,3.32,Gbits/sec,0.306
2023-04-05_13-42-28,lambda-a10-1,lambda-a10-2,165.1.65.28,3.31,Gbits/sec,0.340
2023-04-05_13-42-42,lambda-a10-1,lambda-a10-3,192.9.128.228,3.28,Gbits/sec,0.327
2023-04-05_13-42-56,lambda-a10-1,lambda-a10-4,165.1.71.57,3.36,Gbits/sec,0.273
2023-04-05_13-43-10,lambda-a10-1,lambda-a10-5,138.2.234.106,3.32,Gbits/sec,0.313
2023-04-05_13-43-25,lambda-a10-1,lambda-a10-6,192.9.159.91,3.32,Gbits/sec,0.303
2023-04-05_13-43-39,lambda-a10-1,lambda-a10-7,152.70.125.7,3.33,Gbits/sec,0.283
2023-04-05_13-43-53,lambda-a10-1,lambda-a10-8,155.248.200.140,3.32,Gbits/sec,0.282
