_runtime,02_timing/dataload_time_s,memory/total_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,01_general/lr,01_general/step,01_general/step_based_sps,02_timing/opt_step_time_s,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,_step,02_timing/forward_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,cpu/interrupts/interrupts_count,01_general/locally_processed_samples
0,,211076.599808,,,,,,,,,,,,,,,,,0,,,,,,,,,,1680626749.0,,,,,,,,,,,,,30.0,,
0,,,132.0,4.0,46.0,,,,,1190.13376,0.0,0.0,0.2485265058865479,0.0,2481.02912,,0.0,9963.13088,1,,0.0,0.0,394.989568,1.4,0.0,,0.36666666666666664,2.666666666666667,1680626749.0,,,0.0,0.0,2.719744,,,208138.268672,14.0,178.70848,0.22165874408274822,4.1000000000000005,,12.0,
1,,,139.0,527.0,64.0,,,,,1892.990976,0.0,0.012261012524680487,0.2860344152908557,0.0,3191.599104,,0.0,10673.700864,2,,0.0,3.0,1101.266944,1.7,0.0009999999999763531,,0.36666666666666664,2.666666666666667,1680626750.0,,,0.008000000000038199,0.0,2.719744,,,207435.411456,767.0,182.890496,0.27650339382080963,4.1000000000000005,,957.0,
2,,,213.0,4893.0,79.0,,,,,1989.844992,0.0,0.1920737062006013,0.008093531405176772,0.0,3521.114112,,0.0,12945.559552,3,,0.0,6.0,1195.073536,1.8,0.002999999999985903,,0.6,2.666666666666667,1680626751.0,,,0.020000000000038654,0.0,2.719744,,,207338.549248,7217.0,185.249792,0.006832409096836055,4.1000000000000005,,12396.0,
3,,,223.0,5357.0,109.0,,,,,2962.157568,0.0,0.5721219233548926,0.06191336147872355,0.0,4433.186816,,0.0,14664.966144,4,,0.0,98.0,2335.29344,2.2,0.022999999999967713,,0.6,2.666666666666667,1680626752.0,,,0.02800000000002001,0.0,2.719744,,,206355.750912,8038.0,423.501824,0.06011749897749464,4.1000000000000005,,13488.0,
4,,,230.0,7510.0,117.0,,,,,2462.63808,0.0,0.004085347111174503,7.413173527465489,0.0,3913.50272,,0.0,15755.689984,5,,0.0,99.0,1835.962368,2.0,0.022999999999967713,,0.6,2.666666666666667,1680626753.0,,,0.03200000000003911,0.0,2.719744,,,206855.184384,9986.0,460.603392,0.23875343037508917,4.1000000000000005,,17163.0,
5,,,237.0,14894.0,127.0,,,,,3305.058304,0.0,0.004085882479245832,230.8735553552811,0.0,4486.107136,,0.0,16527.417344,6,,0.0,100.0,2529.865728,2.4,0.022999999999967713,0.0029583909999928437,0.6,2.666666666666667,1680626754.0,,,0.036000000000001364,0.0,2.719744,,,205911.658496,14017.0,582.250496,0.5227296089120069,4.1000000000000005,,23407.0,
6,,,246.0,15134.0,144.0,,,,1.30099942907691e-06,4333.494272,0.0,0.00408692347502059,2.4170959464481676,0.0,5527.588864,,0.0,26511.70816,7,1.2348367119993782,0.0,101.0,3832.377344,2.9,0.02400000000000091,,0.6,2.666666666666667,1680626755.0,0.1538845860004585,0.00027117399986309465,0.040000000000020464,0.0,2.719744,,,204883.222528,14590.0,867.303424,0.05099075620686899,4.1000000000000005,,24065.0,
7,1.2319083829997908,,,,,0.0001,0.0,12.195770097843262,,,,,,,,0.0,,,8,,,,,,,,,,1680626756.0,,,,,,2.6238605469989125,7.1795654296875,,,,,,,,32.0
7,0.0026474390006114845,,,,,0.0001,1.0,198.8346487615862,1.9110002540401183e-06,,,,,,,0.0,,,9,0.019316896999953315,,,,,,0.002497682000466739,,,1680626756.0,0.13607955400038918,0.0003942620005545905,,,,0.16093774500222935,7.2235107421875,,,,,,,,64.0
