02_timing/step_time_s,02_timing/forward_time_s,01_general/step_based_sps,disk/time/disk_busy_time_sys_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,_timestamp,01_general/lr,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,memory/total_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,01_general/locally_processed_samples,_step,02_timing/backward_time_s,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/voluntary_proc_ctx_switches,01_general/step,02_timing/opt_step_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,memory/available_memory_sys_MB,memory/used_memory_sys_percent,process/involuntary_proc_ctx_switches,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB
,,,,,,,,,1680627098.0,,,,,,211076.599808,,,,,,,0,,,,,,,,,,,,,0,30.0,,,,,,,,
,,,0.0,29.0,0.0,2.4,0.0,394.338304,1680627098.0,,,4.066666666666666,9963.13088,,,,178.044928,3.3666666666666663,1204.36736,0.0,,1,,0.0,42.0,138.0,,,,0.0,,0.0,0.0,0.4898457921310909,0,,208123.973632,1.4,53.0,0.0,2481.02912,8.0,0.43688942822132576,2.719744
,,,0.007999999999981355,949.0,0.0,2.4,0.0,1101.074432,1680627099.0,,,4.066666666666666,10673.696768,,,,182.25152,3.3666666666666663,1905.303552,0.0,,2,,0.0,851.0,145.0,,,,0.0009999999999763531,,0.0,0.012260697522069635,0.2885015560216178,1,,207423.062016,1.7,61.0,3.0,3191.595008,518.0,0.2790426196548953,2.719744
,,,0.012000000000000455,12081.0,0.0,2.4,0.0,1194.164224,1680627100.0,,,4.066666666666666,12945.559552,,,,184.2176,3.3666666666666663,2001.77664,0.0,,3,,0.0,6971.0,227.0,,,,0.0009999999999763531,,0.0,0.0040866502940466185,0.00712769295141119,2,,207326.588928,1.8,67.0,4.0,3521.114112,4775.0,0.006944112809469613,2.719744
,,,0.016000000000019554,13045.0,0.0,2.4,0.0,2401.718272,1680627101.0,,,4.066666666666666,14755.201024,,,,433.577984,3.3666666666666663,3039.318016,0.0,,4,,0.0,7723.0,237.0,,,,0.0019999999999527063,,0.0,0.004086721266517427,0.0630408680757587,3,,206278.561792,2.3,73.0,5.0,4489.867264,5211.0,0.05954480589241631,2.719744
,,,0.02400000000000091,17306.0,0.0,10.466666666666667,0.0,1828.241408,1680627102.0,,,4.6,15750.516736,,,,459.4688,5.0,2479.120384,0.0,,5,,0.0,10170.0,247.0,,,,0.002999999999985903,,0.0,0.1756798269177502,13.829320314382059,4,,206838.693888,2.0,74.0,8.0,3908.329472,8395.0,0.35074522130286145,2.719744
,,,0.031999999999982265,23210.0,0.0,10.466666666666667,0.0,2662.588416,1680627103.0,,,4.6,16634.12224,,,,593.760256,5.0,3456.442368,0.0,,6,,0.0,13454.0,251.0,,,,0.08299999999996999,0.0029228789999251603,0.0,0.37997324373500874,225.63528770063843,5,,205760.26624,2.5,77.0,71.0,4612.087808,15646.0,0.4832337816638237,2.719744
,1.218779727000765,,0.036000000000001364,23863.0,0.0,10.466666666666667,0.0,3834.302464,1680627104.0,,,4.6,26492.428288,,,,869.86752,5.0,4363.776,0.0,,7,0.1545866959995692,0.0,14024.0,258.0,,1.3100006981403567e-06,0.00028304499937803484,0.08400000000000318,,0.0,0.004086897224728861,1.1508287516862594,6,,204851.994624,2.9,82.0,72.0,5526.659072,15881.0,0.05134962864512494,2.719744
2.5736142250007106,,12.433875943466688,,,,,,,1680627104.0,0.0001,7.1795654296875,,,1.197040568000375,,0.0,,,,,32.0,8,,,,,0.0,,,,,,,,6,,,,,,,,,
0.16298215000188065,0.0195395210002971,196.3405194963421,,,,,,,1680627105.0,0.0001,7.2235107421875,,,0.003117490000477119,,0.0,,,,,64.0,9,0.1373524990003716,,,,1.0,1.91000071936287e-06,0.00042497100002947263,,0.002545758999985992,,,,7,,,,,,,,,
0.1627357569996093,0.017141995999736537,196.6377923941868,,,,,,,1680627105.0,0.0001,7.1915283203125,,,0.00277602299956925,,0.0,,,,,96.0,10,0.1399402889992416,,,,2.0,1.7970005501410924e-06,0.00040781700045045,,0.0024678350000613136,,,,7,,,,,,,,,
,0.017141562000688282,,0.05200000000002092,26161.0,0.0,10.466666666666667,0.0,3833.868288,1680627105.0,,,4.6,27129.962496,,,,868.22912,5.0,4372.385792,0.0,,11,0.1450004339994848,0.0,15537.0,286.0,,1.948999852174893e-06,0.00045727599990641465,0.08499999999997954,0.00251807499989809,0.0,0.016348059484743275,79.90288887725741,7,,204842.94656,3.0,87.0,76.0,5526.659072,18577.0,0.0464977766042852,2.719744
0.16820333099985874,,190.2459351415988,,,,,,,1680627105.0,0.0001,7.15283203125,,,0.003084035000028962,,0.0,,,,,128.0,12,,,,,3.0,,,,,,,,7,,,,,,,,,
0.16401807800048118,0.017153540000435896,195.10044496379308,,,,,,,1680627106.0,0.0001,7.035400390625,,,0.0025831510001808056,,0.0,,,,,160.0,13,0.1413785459999417,,,,4.0,1.8109994925907813e-06,0.0004343979999248404,,0.002466632000505342,,,,8,,,,,,,,,
0.16256878200056235,0.017051484999683453,196.8397598001891,,,,,,,1680627106.0,0.0001,7.1494140625,,,0.0028857670004072133,,0.0,,,,,192.0,14,0.1396205099999861,,,,5.0,1.6320000213454477e-06,0.0004476300000533229,,0.0025617580004109186,,,,8,,,,,,,,,
,0.01716647200009902,,0.06799999999998363,28930.0,0.0,10.466666666666667,0.0,3833.905152,1680627106.0,,,4.6,27129.962496,,,,868.225024,5.0,4381.741056,0.0,,15,0.1439938309995341,0.0,17172.0,316.0,,1.8089995137415826e-06,0.0004146549999859417,0.08599999999995589,0.002582091000476794,0.0,0.016348203383857757,93.8941419848268,8,,204834.418688,3.0,94.0,80.0,5526.659072,22150.0,0.1568725062765273,2.719744
0.1671697359997779,,191.42220814443658,,,,,,,1680627106.0,0.0001,7.2816162109375,,,0.0030108780001683044,,0.0,,,,,224.0,16,,,,,6.0,,,,,,,,8,,,,,,,,,
0.16561826200086216,0.017200215000229946,193.21540760905592,,,,,,,1680627107.0,0.0001,7.1248779296875,,,0.0028657379998549004,,0.0,,,,,256.0,17,0.14249026499965112,,,,7.0,1.434000296285376e-06,0.000461455000731803,,0.002599155000098108,,,,9,,,,,,,,,
0.1651596100000461,0.017197789000420016,193.7519711991998,,,,,,,1680627107.0,0.0001,7.3597412109375,,,0.002914165999754914,,0.0,,,,,288.0,18,0.14204485299978842,,,,8.0,1.479000275139697e-06,0.0004361849996712408,,0.0025651380001363577,,,,9,,,,,,,,,
,0.017221766999682586,,0.08400000000000318,31335.0,0.0,9.9,0.0,3833.982976,1680627107.0,,,4.566666666666666,27129.962496,,,,868.22912,5.0,4380.516352,0.0,,19,0.14278827599991928,0.0,18765.0,345.0,,1.8400005501462147e-06,0.00043518699931155425,0.08699999999998909,0.0025019470003826427,0.0,0.016348281160957545,93.8909087712199,9,,204834.803712,3.0,99.0,84.0,5526.659072,25056.0,0.06546496769630841,2.719744
0.16606472999956168,,192.69594452768183,,,,,,,1680627107.0,0.0001,6.9808349609375,,,0.0031157129997154698,,0.0,,,,,320.0,20,,,,,9.0,,,,,,,,9,,,,,,,,,
0.16597526999976253,0.017154053999547614,192.79980686306934,,,,,,,1680627108.0,0.0001,7.1771240234375,,,0.002997488999426423,,0.0,,,,,352.0,21,0.142922085000464,,,,10.0,1.5900004655122757e-06,0.0004325639993112418,,0.002467488000547746,,,,10,,,,,,,,,
0.16468684600113193,0.017209645000548335,194.30817200652479,,,,,,,1680627108.0,0.0001,7.3497314453125,,,0.0029816209998898557,,0.0,,,,,384.0,22,0.14144355299958988,,,,11.0,1.6949998098425567e-06,0.00045751100060442695,,0.0025928210006895824,,,,10,,,,,,,,,
,0.01709695699992153,,0.10800000000000409,33692.0,0.0,9.9,0.0,3833.982976,1680627108.0,,,4.566666666666666,27129.962496,,,,868.225024,5.0,4385.370112,0.0,,23,0.1419612750005399,0.0,20322.0,373.0,,1.915999746415764e-06,0.00042812999981833855,0.08999999999997499,0.0024821470005917945,0.0,0.08582880281936188,90.81965350758882,10,,204830.109696,3.0,102.0,90.0,5526.659072,27860.0,0.14515540833764576,2.719744
0.16498121400036325,,193.96147733480458,,,,,,,1680627108.0,0.0001,7.1239013671875,,,0.003010788999745273,,0.0,,,,,416.0,24,,,,,12.0,,,,,,,,10,,,,,,,,,
0.1667635829999199,0.017141673999503837,191.888417269227,,,,,,,1680627109.0,0.0001,7.11328125,,,0.0030097970002316288,,0.0,,,,,448.0,25,0.14354478899986134,,,,13.0,1.624000105948653e-06,0.0005506979996425798,,0.002515001000574557,,,,11,,,,,,,,,
0.1661337409987027,0.01729224399969098,192.6158997421835,,,,,,,1680627109.0,0.0001,7.450927734375,,,0.0029940760005047196,,0.0,,,,,480.0,26,0.14288632099942333,,,,14.0,1.9139997675665654e-06,0.00044668499958788743,,0.0025125009997282177,,,,11,,,,,,,,,
,0.01696051500039175,,0.1279999999999859,36002.0,0.0,9.9,0.0,3833.987072,1680627109.0,,,4.566666666666666,27129.962496,,,,868.22912,5.0,4393.136128,0.0,,27,0.14203477299997758,0.0,21825.0,401.0,,2.0990000848541968e-06,0.0004273469994586776,0.09600000000000364,0.002461766000124044,0.0,0.10625927736703938,82.44365341369121,11,,204822.614016,3.0,105.0,106.0,5526.659072,30530.0,0.05439881124195651,2.719744
0.16470658000071126,,194.2848913495855,,,,,,,1680627109.0,0.0001,7.2388916015625,,,0.002820080000674352,,0.0,,,,,512.0,28,,,,,15.0,,,,,,,,11,,,,,,,,,
0.1646250929989037,0.017186903999572678,194.3810595157149,,,,,,,1680627110.0,0.0001,7.1322021484375,,,0.002883748000385822,,0.0,,,,,544.0,29,0.1415477419996023,,,,16.0,1.6670001059537753e-06,0.0004422049996719579,,0.0025628269995650044,,,,12,,,,,,,,,
0.1671467890000713,0.017203058999257337,191.44848783177252,,,,,,,1680627110.0,0.0001,7.00604248046875,,,0.0031769189999977243,,0.0,,,,,576.0,30,0.14379000900044048,,,,17.0,1.5440000424860045e-06,0.0004339320003055036,,0.002541326000027766,,,,12,,,,,,,,,
