01_general/lr,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,01_general/minibatch_loss,01_general/step_based_sps,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,_runtime,02_timing/forward_time_s,02_timing/opt_step_time_s,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,_step,01_general/step,02_timing/step_time_s,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB
,,,,,,,1682873656.0,,,,,,0,,,,,,,,,,,,,30.0,211076.599808,,,,,,,,0,,,,,,,,,
,0.0,1.4,0.0,0.22268401328614754,0.0,3.5333333333333337,1682873656.0,,,1262.399488,0.0,4.0,0,,,11.0,2481.328128,,9963.700224,,,0.0,,,0.0,,,0.0,0.4333333333333333,2.533333333333333,2.719744,,0.0,47.0,1,,,12.0,394.141696,208070.631424,136.0,177.803264,0.24967601348432,0.0
,0.0,1.8,0.0,0.2868969242526674,0.0,3.5333333333333337,1682873657.0,,,1963.155456,9.0,556.0,1,,,909.0,3191.902208,,10674.274304,,,0.004000000000019099,,,0.24930067159139535,,,0.01999999999998181,0.4333333333333333,2.533333333333333,2.719744,,0.0,53.0,2,,,788.0,1101.23008,207369.895936,144.0,181.968896,0.2997323328126409,0.0
,0.0,1.8,0.0,0.006840355085796672,0.0,3.5333333333333337,1682873658.0,,,2058.027008,83.0,4934.0,2,,,11996.0,3521.155072,,12945.870848,,,0.05800000000010641,,,0.4536185066929928,,,0.027999999999991587,0.6666666666666667,2.533333333333333,2.719744,,0.0,60.0,3,,,7077.0,1194.31168,207275.003904,229.0,184.262656,0.0069121907747795525,0.0
,0.0,2.3,0.0,0.0664228457838095,0.0,3.5333333333333337,1682873659.0,,,3110.330368,84.0,5406.0,3,,,13197.0,4503.851008,,14769.455104,,,0.05800000000010641,,,0.0040865773871496805,,,0.031999999999982265,0.6666666666666667,2.533333333333333,2.719744,,0.0,67.0,4,,,7754.0,2412.191744,206212.292608,239.0,429.58848,0.061578016727286376,0.0
,0.0,2.0,0.0,0.07681747271131126,0.0,3.5333333333333337,1682873660.0,,,2541.510656,85.0,6545.0,4,,,17845.0,3961.913344,,16206.311424,,,0.059000000000082764,,,0.004083744789598817,,,0.036000000000001364,0.6666666666666667,2.533333333333333,2.719744,,0.0,71.0,5,,,9869.0,1831.878656,206780.895232,270.0,459.50976,0.4147314015935402,0.0
,0.0,2.3,0.0,1.6533438371265274,0.0,3.5333333333333337,1682873661.0,,,3050.614784,86.0,20967.0,5,,,29908.0,3961.913344,,16264.138752,,,0.059000000000082764,,,0.004085502555394908,,,0.03999999999999204,0.6666666666666667,2.533333333333333,2.719744,,0.0,71.0,6,,,18078.0,1831.899136,206214.852608,279.0,459.522048,295.0086019748144,0.0
,0.0,2.9,0.0,0.3061561545563363,0.0,3.5333333333333337,1682873662.0,,,3989.352448,89.0,29000.0,6,,,36545.0,4646.588416,,17263.591424,,,0.06100000000003547,,0.002879748999930598,0.09807468461527244,,,0.04800000000000182,0.6666666666666667,2.533333333333333,2.719744,,0.0,76.0,7,,,21614.0,2651.754496,205057.712128,304.0,594.915328,349.026588151522,0.0
,0.0,3.3,0.0,0.05331381308891332,0.0,3.5000000000000004,1682873663.0,,,4915.666944,90.0,29229.0,7,1.231400911000037,1.8660002751857974e-06,37088.0,5584.826368,,27144.364032,,0.0003233809998164361,0.06200000000001182,,,0.0040869400104149144,,,0.0519999999999925,0.8666666666666666,2.566666666666667,2.719744,0.1524628480001411,0.0,81.0,8,,,22043.0,3839.50848,204131.209216,312.0,867.311616,0.2849124016280784,0.0
0.0001,,,,,,,1682873663.0,7.1795654296875,8.891312996704679,,,,7,,,,,32.0,,2.2119497490002686,,,0.0,,,,,,,,,,,,9,0.0,3.599018504000469,,,,,,,
