_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,01_general/step_based_sps,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1682876362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1682876362.0,1.1333333333333333,0.0,0.0,1168.457728,0.0,5.0,0.0,179.515392,0.0,395.85792,0.0,0.0,0.0,1.8000000000000003,0.0,0.0,208164.49536,2.719744,176.0,0.0,2481.332224,0.0,5.0,1.4,2.3666666666666667,9963.70432,53.0,,,,,,,,,,,,,
2,2,,,1682876363.0,1.1333333333333333,0.0,0.003999999999990678,1869.963264,0.008173510576356473,784.0,0.28292798422757254,183.599104,2.0,1102.966784,0.0,0.0,0.0,1.8000000000000003,552.0,0.2919635447441581,207462.965248,2.719744,183.0,0.0,3191.902208,0.0,933.0,1.7,2.3666666666666667,10674.274304,60.0,,,,,,,,,,,,,
3,3,,,1682876364.0,1.1333333333333333,0.0,0.007999999999995566,1966.211072,0.004086791262016972,6918.0,0.0074472192256672875,185.892864,3.0,1196.003328,0.0,0.0,0.0,1.8000000000000003,4441.0,0.00743125519761197,207366.721536,2.719744,269.0,0.0010000000000331966,3521.163264,0.0,11452.0,1.8,2.3666666666666667,12945.87904,67.0,,,,,,,,,,,,,
4,4,,,1682876365.0,1.1333333333333333,0.0040000000000000036,0.03999999999999204,3023.396864,0.004086718342830842,7820.0,0.06597017017339102,432.287744,4.0,2419.990528,44.0,0.0,3.9641167955126577,1.8000000000000003,4904.0,0.06185950621390545,206299.049984,2.719744,308.0,0.0010000000000331966,4517.5808,0.0,12589.0,2.3,2.3666666666666667,14783.184896,74.0,,,,,,,,,,,,,
5,5,,,1682876366.0,1.1333333333333333,0.005999999999999783,0.060000000000002274,2441.23648,2.054141693425644,10014.0,0.08293584325388922,460.63616,8.0,1831.165952,57.0,0.0,0.8984317545795422,1.633333333333333,6044.0,0.5841002824882887,206881.038336,2.719744,331.0,0.004000000000019099,3960.17664,0.0,17015.0,2.0,2.333333333333333,16204.57472,79.0,,,,,,,,,,,,,
6,6,,,1682876367.0,1.1333333333333333,0.005999999999999783,0.07200000000000273,3164.4672,2.2388314435371717,19892.0,1.7760175800677551,494.698496,239.0,1925.824512,57.0,0.0,0.0,1.633333333333333,23549.0,382.0670436565661,206057.857024,2.719744,345.0,0.11599999999998545,4025.286656,0.0,31436.0,2.4,2.333333333333333,16507.359232,79.0,0.0030581130000086887,,,,,,,,,,,,
7,7,,,1682876368.0,1.1333333333333333,0.005999999999999783,0.0799999999999983,4552.298496,0.00408686903034668,22141.0,0.141938877250025,793.534464,240.0,3496.198144,58.0,0.0,0.036781821300684435,1.633333333333333,31369.0,261.69990470680915,204494.426112,2.719744,346.0,0.11700000000001864,5306.540032,0.0,36986.0,3.1,2.333333333333333,18301.124608,87.0,,,,,,,,,,,,,
8,7,,,1682876368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002834809999967547,1.2343043929999453,10.408330867578314,1.3430000080916216e-06,32.0,7.1795654296875,0.15358161500000733,3.074460295999927,0.0001,1.6832313509999608,0.0,0.0
9,8,,,1682876369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026082100000053288,0.00037641199998006414,0.019167695000021467,196.99292152111218,1.839999981712026e-06,64.0,7.2235107421875,0.1360416379999947,0.162442384999963,0.0001,0.004246589999979733,0.0,1.0
10,8,,,1682876369.0,1.1333333333333333,0.005999999999999783,0.09600000000000364,4842.512384,0.012260604181660363,23395.0,0.07591038137097253,864.763904,243.0,3846.254592,59.0,0.0,0.06538988897902646,1.633333333333333,32927.0,39.425784703561696,204204.212224,2.719744,380.0,0.117999999999995,5593.718784,0.0,38604.0,3.3,2.333333333333333,27733.307392,91.0,0.0026376169999480226,0.0003473080000162554,0.017239813000003323,,,,,,,,,,
11,8,,,1682876369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.1812840053739,1.8620000332703057e-06,96.0,7.2166748046875,0.13775468899996213,0.1606576649999738,0.0001,0.002676376000010805,0.0,2.0
12,8,,,1682876369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00264821100000745,0.0004188049999811483,0.01718200400000569,196.44363959833774,1.5980000398485572e-06,128.0,7.1148681640625,0.13986761300003536,0.16289659500012021,0.0001,0.002778364000050715,0.0,3.0
13,9,,,1682876370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002684037999983957,0.0004375959999833867,0.017039720000013858,197.08069296529703,1.91499998436484e-06,160.0,7.1175537109375,0.13955622200001017,0.16237003999998478,0.0001,0.0026505490000090504,0.0,4.0
14,9,,,1682876370.0,1.1333333333333333,0.005999999999999783,0.11199999999999477,4844.306432,0.016348763447770507,24818.0,0.058178607417332176,864.70656,247.0,3846.201344,59.0,0.0,0.0,1.633333333333333,35723.0,91.7020422256999,204202.852352,2.719744,403.0,0.1190000000000282,5593.718784,0.0,40952.0,3.3,2.333333333333333,27675.480064,91.0,0.0024868799999921976,0.0004203299999971932,0.017200368999965576,,1.484000051732437e-06,,,0.1388912269999878,,,,,
15,9,,,1682876370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.16927630725604,,192.0,7.19140625,,0.16147810900002924,0.0001,0.002477819000034742,0.0,5.0
16,9,,,1682876370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024837419999812482,0.0004208189999985734,0.017348821999974007,197.02055663237098,1.8100000147569517e-06,224.0,7.15283203125,0.1387267420000171,0.16241959999996425,0.0001,0.0034376649999785514,0.0,6.0
17,10,,,1682876371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025083179999683125,0.00043321099997228885,0.0177450580000027,198.05432912477974,1.6559999949095072e-06,256.0,6.897705078125,0.1386339890000272,0.16157182799997827,0.0001,0.0022495960000128434,0.0,7.0
18,10,,,1682876371.0,1.1666666666666665,0.005999999999999783,0.1319999999999908,4869.234688,0.15939198737485555,26457.0,0.16070109624136092,864.739328,253.0,3846.234112,59.0,0.0,0.0,2.033333333333333,39432.0,97.66136567695979,204177.461248,2.719744,431.0,0.1209999999999809,5593.718784,0.0,43848.0,3.3,2.4,27675.480064,94.0,0.002454306999993605,0.00042244499996968443,0.017281670999977905,,1.5829999711058917e-06,,,0.1392316879999953,,,,,
19,10,,,1682876371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.5070511870435,,288.0,7.4346923828125,,0.1620195319998743,0.0001,0.0026278379999666868,0.0,8.0
20,10,,,1682876371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024601570000299944,0.00046219099999689206,0.017304471000045396,198.23323759708504,1.5690000054746633e-06,320.0,7.1612548828125,0.13878796000000193,0.16142600700010235,0.0001,0.002409659000022657,0.0,9.0
21,11,,,1682876372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024587519999954566,0.0004869699999971999,0.017124139000031846,197.79126127676412,1.6760000107751694e-06,352.0,7.035400390625,0.13949629899997262,0.16178672299997743,0.0001,0.002218886999969527,0.0,10.0
22,11,,,1682876372.0,1.1666666666666665,0.005999999999999783,0.15200000000000102,4860.727296,0.17167606607346828,27933.0,0.06977533563644991,864.669696,281.0,3846.168576,59.0,0.0,0.0,2.033333333333333,42525.0,94.97072234444138,204185.591808,2.719744,454.0,0.1360000000000241,5593.718784,0.0,46348.0,3.3,2.4,27636.928512,95.0,0.002464299999985542,0.00042516299998851537,0.017165336000005027,,1.4490000239675283e-06,,,0.13979494400001613,,,,,
23,11,,,1682876372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.72306827689118,,384.0,7.149658203125,,0.16266521400001466,0.0001,0.002814021999995475,0.0,11.0
24,11,,,1682876372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002520301999993535,0.0004630770000062512,0.017856649999998808,197.30395003992595,1.9279999605714693e-06,416.0,7.1011962890625,0.13906256600000688,0.16218631199996025,0.0001,0.0022817889999942054,0.0,12.0
25,12,,,1682876373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024823339999784366,0.00042902600000616076,0.017139681999992717,198.20408026134834,1.703999998881045e-06,448.0,7.259521484375,0.13915109100003065,0.1614497540000457,0.0001,0.002245917000038844,0.0,13.0
26,12,,,1682876373.0,1.1666666666666665,0.005999999999999783,0.16799999999999216,4867.469312,0.01634893847561296,29481.0,0.15713501216258793,864.6656,285.0,3846.16448,59.0,0.0,0.0,2.033333333333333,45783.0,91.70371848701176,204179.677184,2.719744,481.0,0.13700000000000045,5593.718784,0.0,48975.0,3.3,2.4,27598.37696,101.0,0.0024972690000026887,0.0004144760000031056,0.017249096000000463,,1.7080000134228612e-06,,,0.1390689689999931,,,,,
27,12,,,1682876373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.31517191871023,,480.0,7.39404296875,,0.16217708800002129,0.0001,0.0029455700000085017,0.0,14.0
28,12,,,1682876373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026026819999742656,0.0004254169999740043,0.01728315799999791,196.05209768368564,1.5950000147313403e-06,512.0,7.2816162109375,0.14033000900002435,0.16322192099994481,0.0001,0.0025790599999595543,0.0,15.0
29,12,,,1682876373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026537759999882837,0.0005106039999986933,0.017099386999973376,197.1378006287107,1.5659999803574465e-06,544.0,7.1248779296875,0.1392385949999948,0.16232300399997257,0.0001,0.0028190760000370574,0.0,16.0
30,13,,,1682876374.0,1.1666666666666665,0.005999999999999783,0.19199999999999307,4867.076096,0.07357584201599604,30935.0,0.05497431077488526,864.70656,293.0,3846.209536,59.0,0.0,0.0,2.033333333333333,48454.0,85.18028353176204,204179.68128,2.719744,509.0,0.13999999999998636,5593.718784,0.0,51231.0,3.3,2.4,27598.37696,105.0,0.0026116369999726885,0.00048803900000393696,0.01733087599995997,,1.5980000398485572e-06,,,0.13913520500000232,,,,,
31,13,,,1682876374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.65871073612797,,576.0,7.373046875,,0.16271844699997473,0.0001,0.0031510919999959697,0.0,17.0
32,13,,,1682876374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002612484999986009,0.00041376399997261615,0.017185673999961182,198.9653577561967,1.4620000001741573e-06,608.0,7.3070068359375,0.13775266099997907,0.1608320179998941,0.0001,0.002865971999995054,0.0,18.0
33,13,,,1682876374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025166980000221884,0.00043032199999970544,0.017225243000041246,197.51500813152404,1.866000047812122e-06,640.0,7.115478515625,0.13893843299996433,0.16201300500006255,0.0001,0.0029004429999872627,0.0,19.0
34,14,,,1682876375.0,1.1666666666666665,0.005999999999999783,0.2079999999999984,4870.30784,0.016349696965644412,32610.0,0.17309283677586657,864.6656,297.0,3846.168576,59.0,0.0,0.0,2.033333333333333,52789.0,104.09975003251184,204176.461824,2.719744,537.0,0.14100000000001955,5593.718784,0.0,54395.0,3.3,2.4,27598.37696,107.0,0.0024415209999801846,0.00041678399998090754,0.017117157999962274,,1.317999988259544e-06,,,0.1400422259999914,,,,,
35,14,,,1682876375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.4277212648991,,672.0,7.359619140625,,0.16290979599995126,0.0001,0.002890789000048244,0.0,20.0
36,14,,,1682876375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024980940000318697,0.00042016600002625637,0.01725579599997218,196.2670317232277,1.762000010785414e-06,704.0,6.9808349609375,0.140041191000023,0.16304317500009802,0.0001,0.002826166000033936,0.0,21.0
37,14,,,1682876375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025116190000176175,0.00043534700000691373,0.017071750000013708,195.95247547461756,2.0420000055310084e-06,736.0,7.45947265625,0.14035826799999995,0.1633049030000393,0.0001,0.0029258769999955803,0.0,22.0
38,15,,,1682876376.0,1.1666666666666665,0.005999999999999783,0.22400000000000375,4879.990784,0.016348833458457772,34043.0,0.06450125699505652,864.70656,301.0,3846.209536,59.0,0.0,0.0,2.1333333333333333,55864.0,85.76645129798005,204166.782976,2.719744,566.0,0.1419999999999959,5593.718784,0.0,56836.0,3.3,2.4,27598.37696,108.0,0.0024730620000354975,0.000426720000007208,0.017211584999984098,,1.6900000332498166e-06,,,0.1404518870000402,,,,,
39,15,,,1682876376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.80220868553815,,768.0,7.2930908203125,,0.16343023000007406,0.0001,0.002865285999973821,0.0,23.0
40,15,,,1682876376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025242950000006203,0.00041826299997183014,0.01708180899998979,196.49100107143218,1.8729999737843173e-06,800.0,7.2724609375,0.13999947199999951,0.16285733099994104,0.0001,0.002831619000005503,0.0,24.0
41,15,,,1682876376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024855319999801395,0.0004239499999698637,0.017236736000029396,199.00930308177732,1.4299999975264654e-06,832.0,7.177001953125,0.1377521509999724,0.160796502999915,0.0001,0.0028967039999656663,0.0,25.0
42,16,,,1682876377.0,1.1666666666666665,0.005999999999999783,0.24399999999999977,4877.811712,0.05313493492204241,35594.0,0.14091614653020335,864.6656,310.0,3846.168576,59.0,0.0,0.0,2.1333333333333333,58406.0,61.59969089133076,204168.957952,2.719744,592.0,0.14699999999999136,5593.718784,0.0,59099.0,3.3,2.4,27598.37696,109.0,0.0024908340000138196,0.0004475439999964692,0.017271262999997816,,1.7209999896294903e-06,,,0.13971314200000506,,,,,
43,16,,,1682876377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.6546052661111,,864.0,7.349853515625,,0.16272184400003198,0.0001,0.0027973400000291804,0.0,26.0
44,16,,,1682876377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024854960000197934,0.0004319860000236986,0.017355608000002576,196.12666988061514,1.4579999856323411e-06,896.0,7.14208984375,0.14012045999999145,0.16315986000006433,0.0001,0.0027648520000411736,0.0,27.0
45,16,,,1682876377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025124400000322566,0.00042008799999848634,0.017159197000012227,196.48674093342564,2.047000009497424e-06,928.0,7.3961181640625,0.13997952800002622,0.16286086200005911,0.0001,0.0027875619999804258,0.0,28.0
46,17,,,1682876378.0,1.1666666666666665,0.005999999999999783,0.2639999999999958,4880.26112,0.016349140734676186,37393.0,0.0805881717253367,864.70656,314.0,3846.209536,59.0,0.0,0.0,2.1333333333333333,62835.0,117.76836096785644,204166.115328,2.719744,618.0,0.14800000000002456,5593.718784,0.0,62397.0,3.3,2.4,27598.37696,111.0,0.002608560000055604,0.00043968400001404007,0.017079731999956493,,1.965999956610176e-06,,,0.14072968900001115,,,,,
47,17,,,1682876378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.40349787283614,,960.0,7.0576171875,,0.1637637009999935,0.0001,0.0029040699999995923,0.0,29.0
48,17,,,1682876378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026518409999880532,0.00042838899997832414,0.017916814000045633,196.3214862744301,1.7419999949197518e-06,992.0,7.1239013671875,0.13906468599998334,0.16299795099996572,0.0001,0.002934478999975454,0.0,30.0
49,17,,,1682876378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002574963000029129,0.00042034599999851707,0.017121117000044705,195.2302766431757,1.2649999803215906e-06,1024.0,7.113037109375,0.14075189999999793,0.16390900300001476,0.0001,0.003039411999964159,0.0,31.0
50,18,,,1682876379.0,1.1666666666666665,0.005999999999999783,0.28000000000000114,4880.56832,0.016348977371198,39101.0,0.1562572670991691,864.6656,318.0,3846.168576,59.0,0.0,0.0,2.1333333333333333,67158.0,96.8710197797326,204166.631424,2.719744,644.0,0.1490000000000009,5593.980928,0.0,65554.0,3.3,2.4,27598.639104,113.0,0.0026310490000014397,0.00043204499996818413,0.017341754999961267,,1.6949999803728133e-06,,,0.13979917699998623,,,,,
51,18,,,1682876379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.3458334639516,,1056.0,7.322021484375,,0.16297773899987078,0.0001,0.0027720179999732864,0.0,32.0
52,18,,,1682876379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025367169999981343,0.00041376100000434235,0.017147727000008217,195.42882452283763,1.5210000015031255e-06,1088.0,7.3065185546875,0.14086436700000604,0.1637424780000174,0.0001,0.0027783849999991617,0.0,33.0
53,18,,,1682876379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024015999999846827,0.0004178620000061528,0.0170033109999963,195.89758141417008,1.3260000173431763e-06,1120.0,7.2327880859375,0.14064041599999655,0.16335066400000642,0.0001,0.002886149000005389,0.0,34.0
54,19,,,1682876380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002508076000026449,0.00044375800001716925,0.01711159100000259,195.69056356249166,1.6579999737587059e-06,1152.0,7.4508056640625,0.14072501399999737,0.16352347000002965,0.0001,0.002733373000012307,0.0,35.0
55,19,,,1682876380.0,1.1666666666666665,0.005999999999999783,0.29999999999999716,4875.169792,0.05720303488029928,40679.0,0.07396971683853829,864.6656,325.0,3846.172672,59.0,0.0,0.0,2.1333333333333333,71522.0,82.57705781608145,204191.297536,2.719744,681.0,0.1519999999999868,5593.980928,0.0,68714.0,3.3,2.4,27598.639104,116.0,0.002532706000010876,,,,,,,,,,,,
56,19,,,1682876380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00041661699998485346,0.01814620999999761,196.19012269793666,1.738999969802535e-06,1184.0,7.239013671875,0.1391410439999845,0.1631070899999827,0.0001,0.002868774000035046,0.0,36.0
57,19,,,1682876380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025358210000376857,0.0004304050000314419,0.017289643000026444,196.6779871031423,1.6600000094513234e-06,1216.0,7.2830810546875,0.13964056700001493,0.16270249900014733,0.0001,0.002804403000027378,0.0,37.0
58,20,,,1682876381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002474270999982764,0.0004164560000390338,0.017171268999959466,196.19922132705568,1.453999971090525e-06,1248.0,7.1185302734375,0.14023543299998664,0.1630995259999395,0.0001,0.002800643000000491,0.0,38.0
59,20,,,1682876381.0,1.1666666666666665,0.005999999999999783,0.3160000000000025,4874.326016,0.016345038181150615,43726.0,0.17262052291390975,864.70656,329.0,3846.221824,59.0,0.0,0.0,2.2333333333333334,75646.0,87.92366357588014,204191.256576,2.719744,736.0,0.15300000000002,5593.985024,0.0,71766.0,3.3,2.433333333333333,27598.639104,120.0,0.0024792199999978948,,,,,,,,,,,,
60,20,,,1682876381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004204630000117504,0.018066543999964324,194.12072740509333,1.445000009425712e-06,1280.0,7.2841796875,0.14108846900001026,0.16484586899997566,0.0001,0.0027897279999820057,0.0,39.0
61,20,,,1682876381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002462894000018423,0.0004264039999952729,0.01717033900001752,196.55871391825838,1.966000013453595e-06,1312.0,7.132080078125,0.13995682000000897,0.16280122800003483,0.0001,0.002782804999981181,0.0,40.0
62,21,,,1682876382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024684229999820673,0.0004291589999638745,0.01714500399998542,195.97837432535312,1.5720000305918802e-06,1344.0,7.00616455078125,0.14050928500000737,0.16328332199998385,0.0001,0.0027298790000145345,0.0,41.0
63,21,,,1682876382.0,1.1666666666666665,0.005999999999999783,0.3400000000000034,4874.870784,0.07765961942543759,47507.0,0.0729416059509232,864.6656,338.0,3846.180864,59.0,0.0,0.0,2.2333333333333334,80221.0,95.17547995127177,204191.15008,2.719744,797.0,0.15699999999998226,5593.997312,0.0,74878.0,3.3,2.433333333333333,27598.639104,120.0,0.002504953000027399,0.00041847799997185575,0.01849754599999187,,,,,,,,,,
64,21,,,1682876382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.24980394879879,1.5830000279493106e-06,1376.0,7.373046875,0.14031831099998726,0.1647363310000287,0.0001,0.0029954600000223763,0.0,42.0
65,21,,,1682876382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026454449999846474,0.0004286519999823213,0.017435663000014756,194.39224658274256,1.4169999644764175e-06,1408.0,7.064453125,0.14117479699996238,0.1646156189999033,0.0001,0.002929644999994707,0.0,43.0
66,22,,,1682876383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026615109999852393,0.00042586300003222277,0.01726199799998085,195.5347513097858,1.6019999975469545e-06,1440.0,7.02099609375,0.14030180700001438,0.1636537740000108,0.0001,0.0030009930000005625,0.0,44.0
67,22,,,1682876383.0,1.1666666666666665,0.005999999999999783,0.35999999999999943,4876.091392,0.07766074650143301,51570.0,0.1742257536644763,864.70656,346.0,3846.22592,59.0,0.0,0.0,2.2333333333333334,84099.0,98.29907391779606,204189.605888,2.719744,827.0,0.160000000000025,5594.001408,0.0,77613.0,3.3,2.433333333333333,27598.639104,124.0,0.002597802999957821,0.0004421699999852535,0.0177678149999565,,,,,,,,,,
68,22,,,1682876383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.20920599849183,1.505999989603879e-06,1472.0,7.2962646484375,0.14166118000002825,0.16562357799995198,0.0001,0.0031531040000345456,0.0,45.0
69,22,,,1682876383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00262383099999397,0.0004336839999723452,0.017139232999966225,194.59028547168626,1.5630000120836485e-06,1504.0,7.4058837890625,0.1413420729999757,0.1644480859999362,0.0001,0.002907702000015888,0.0,46.0
70,23,,,1682876384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025840460000381427,0.00044365700000525976,0.017422563000025093,195.67612629261302,1.552000014726218e-06,1536.0,7.3836669921875,0.13976427799997282,0.1635355350000509,0.0001,0.0033194389999948726,0.0,47.0
71,23,,,1682876384.0,1.1666666666666665,0.005999999999999783,0.3760000000000048,4882.849792,0.0163486312069972,54966.0,0.0729382047448536,864.6656,350.0,3846.18496,59.0,0.0,0.0,2.2333333333333334,87242.0,87.22750712252622,204183.891968,2.719744,860.0,0.16200000000003456,5594.0096,0.0,79899.0,3.3,2.433333333333333,27598.639104,124.0,0.0025036350000391394,0.00041523499999129854,0.017125910000004296,,,,,,,,,,
72,23,,,1682876384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.25815807197478,1.5429999962179863e-06,1568.0,7.1181640625,0.14111845399997947,0.16388559799997893,0.0001,0.0027208209999685096,0.0,48.0
73,23,,,1682876384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002527049999969222,0.0004379650000032598,0.017302420000021357,196.018691313317,1.453999971090525e-06,1600.0,7.115966796875,0.14009934199998497,0.16324973799999043,0.0001,0.0028815070000405285,0.0,49.0
74,24,,,1682876385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002517158000046038,0.00042435199998180906,0.01711224000001721,195.14302785633734,1.9220000240238733e-06,1632.0,7.203125,0.1409486669999751,0.16398228700006712,0.0001,0.002977948000022934,0.0,50.0
75,24,,,1682876385.0,1.1666666666666665,0.005999999999999783,0.3999999999999915,4881.014784,0.01634873622155406,59510.0,0.15278245239286123,864.70656,354.0,3846.22592,59.0,0.0,0.0,2.2333333333333334,90748.0,82.05615110700191,204186.677248,2.719744,889.0,0.16300000000001091,5594.013696,0.0,82963.0,3.3,2.433333333333333,27598.639104,125.0,0.002382245999967836,0.0004099100000303224,0.016784054000027027,,,,,,,,,,
