_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,01_general/step_based_sps,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1682877604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1682877604.0,3.6333333333333337,0.0,0.0,1245.683712,0.0,5.0,0.0,179.122176,0.0,395.460608,0.0,0.0,0.0,2.7,0.0,0.0,208084.369408,2.719744,135.0,0.0,2481.33632,0.0,5.0,1.4,4.1000000000000005,9963.708416,47.0,,,,,,,,,,,,,
2,2,,,1682877605.0,3.6333333333333337,0.0,0.007999999999995566,1949.024256,0.012260927944366957,810.0,0.2770921819969478,183.308288,3.0,1102.700544,0.0,0.0,0.0,2.7,514.0,0.2837654474651464,207381.05344,2.719744,142.0,0.0009999999999763531,3191.902208,0.0,934.0,1.8,4.1000000000000005,10674.274304,55.0,,,,,,,,,,,,,
3,3,,,1682877606.0,3.6333333333333337,0.0,0.015999999999991132,2046.394368,0.384144214142926,6945.0,0.006936114571447163,185.798656,68.0,1195.937792,0.0,0.0,0.0,2.7,4417.0,0.006800425341796759,207283.654656,2.719744,221.0,0.024999999999977263,3521.163264,0.0,11441.0,1.8,4.1000000000000005,12945.87904,62.0,,,,,,,,,,,,,
4,4,,,1682877607.0,3.6333333333333337,0.0,0.01999999999999602,2993.938432,0.0040865365676828035,8239.0,0.06524889923138896,417.77152,69.0,2295.926784,0.0,0.0,0.0,2.733333333333333,5185.0,0.06287838875213446,206325.628928,2.719744,239.0,0.024999999999977263,4404.989952,0.0,15830.0,2.3,4.1000000000000005,14637.039616,71.0,,,,,,,,,,,,,
5,5,,,1682877608.0,3.6333333333333337,0.0,0.02400000000000091,2550.39488,0.004085314080801512,11180.0,0.2175509540945588,460.734464,70.0,1838.178304,0.0,0.0,0.0,2.733333333333333,7297.0,7.385170681192678,206769.037312,2.719744,265.0,0.024999999999977263,3966.828544,0.0,21231.0,2.0,4.1000000000000005,16211.226624,74.0,,,,,,,,,,,,,
6,6,,,1682877609.0,3.6333333333333337,0.0,0.036000000000001364,3790.491648,0.16341679909057144,20515.0,1.7267841426055495,585.916416,73.0,2576.556032,0.0,0.0,0.0,2.733333333333333,26256.0,472.50163328884815,205370.503168,2.719744,269.0,0.02600000000001046,4582.760448,0.0,35743.0,2.7,4.1000000000000005,17007.005696,78.0,0.0030326799999329523,,,,,,,,,,,,
7,7,,,1682877610.0,3.6333333333333337,0.0,0.03999999999999204,4860.674048,0.004086828197793186,22318.0,0.0876433079010789,870.019072,74.0,3839.873024,0.0,0.0,0.0,2.733333333333333,30028.0,164.7914653764625,204183.257088,2.719744,276.0,0.026999999999986812,5581.9264,0.0,38912.0,3.3,4.1000000000000005,26947.592192,85.0,,0.000291270999923654,1.237366881999833,1.2569998943945393e-06,0.15512846000001446,,,,,,,,
8,7,,,1682877610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.472283283340156,32.0,7.1795654296875,2.5656889979995867,0.0001,1.1698684479999883,0.0,0.0
9,8,,,1682877611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002426875000082873,0.00039470499996241415,0.01873785299994779,1.531999942017137e-06,0.1370407479998903,196.12825660266802,64.0,7.2235107421875,0.163158539999813,0.0001,0.0045568269999876065,0.0,1.0
10,8,,,1682877611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024746490000779886,0.00034529399999883026,0.016587320999860822,1.5220000477711437e-06,0.14155759100003706,196.02829041074241,96.0,7.2166748046875,0.16324174400006086,0.0001,0.0022753670000383863,0.0,2.0
11,8,,,1682877611.0,3.6333333333333337,0.0,0.060000000000002274,4886.085632,0.14713295537551901,23826.0,0.10243110260964663,868.438016,98.0,3838.40256,0.0,0.0,0.0,2.733333333333333,33181.0,77.00111261164231,204157.796352,2.719744,318.0,0.03899999999998727,5581.9264,0.0,41450.0,3.3,4.1000000000000005,27720.056832,88.0,0.0025744380000105593,0.0004242180000346707,0.01666495099993881,1.8990001535712508e-06,0.14622565700005907,,,,,,,,
12,8,,,1682877611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.82012917399217,128.0,7.1148681640625,0.1685806460002368,0.0001,0.002689483000040127,0.0,3.0
13,9,,,1682877612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024519159999272233,0.0004231200000504032,0.016745766999974876,1.7600000319362152e-06,0.14195044799998868,194.88705646463083,160.0,7.1175537109375,0.16419766700005312,0.0001,0.0026246560000799946,0.0,4.0
14,9,,,1682877612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024962479999430798,0.0004187859999547072,0.01658988699978181,1.2330001482041553e-06,0.14335177399993881,193.43372184847044,192.0,7.19140625,0.1654313409999304,0.0001,0.0025734130001637823,0.0,5.0
15,9,,,1682877612.0,3.6333333333333337,0.0,0.0759999999999934,4890.222592,0.0163488956834228,25515.0,0.057093409161809876,868.429824,102.0,3838.394368,0.0,0.0,0.0,2.8000000000000003,37089.0,93.67166840684817,204154.126336,2.719744,345.0,0.03999999999996362,5581.9264,0.0,44446.0,3.3,4.066666666666666,27700.781056,91.0,0.002442509000047721,0.00040759900002740324,0.016700766999974803,1.3419999049801845e-06,0.14573358500001632,,,,,,,,
16,9,,,1682877612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.81821163262592,224.0,7.15283203125,0.16858234899996205,0.0001,0.0032965469999908237,0.0,6.0
17,10,,,1682877613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002409962000001542,0.00042784199990819616,0.01684734200011917,1.5389998679893324e-06,0.14233122099994944,194.86863506457777,256.0,6.897705078125,0.16421318899983817,0.0001,0.002195282999991832,0.0,7.0
18,10,,,1682877613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002488373000005595,0.00045074800004840654,0.01675826800010327,1.4120000741968397e-06,0.14170102899993253,195.50645041751147,288.0,7.4346923828125,0.1636774640001022,0.0001,0.002277633999938189,0.0,8.0
19,10,,,1682877613.0,3.6333333333333337,0.0,0.09199999999999875,4898.013184,0.016347880586673916,26991.0,0.15452259392217105,868.405248,106.0,3838.373888,0.0,0.0,0.0,2.8000000000000003,39876.0,96.92364647505757,204145.872896,2.719744,364.0,0.04099999999999682,5581.9264,0.0,46765.0,3.3,4.066666666666666,27642.953728,96.0,0.002439082999899256,0.000430858000072476,0.016761455999812824,1.4390000160346972e-06,0.14216247600006682,,,,,,,,
20,10,,,1682877613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.5784745568911,320.0,7.1612548828125,0.1644580679999308,0.0001,0.002662756000063382,0.0,9.0
21,11,,,1682877614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024379439998938324,0.00041134100001727347,0.01682682199998453,1.6089998098323122e-06,0.1426701469999898,194.17182938756704,352.0,7.035400390625,0.16480248499965455,0.0001,0.002454621999959272,0.0,10.0
22,11,,,1682877614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024011699999846314,0.00042485600010877533,0.01660227499996836,1.3579999631474493e-06,0.14304745900017224,193.5710961864487,384.0,7.149658203125,0.16531393700006447,0.0001,0.0028368189998673188,0.0,11.0
23,11,,,1682877614.0,3.6333333333333337,0.0,0.11599999999999966,4901.167104,0.09809094712359945,28572.0,0.06446797599096556,868.360192,112.0,3838.328832,0.0,0.0,0.0,2.8000000000000003,43573.0,88.42351272671357,204142.739456,2.719744,385.0,0.04399999999998272,5581.9264,0.0,49592.0,3.3,4.066666666666666,27604.402176,99.0,0.00241645599999174,0.0004195729998173192,0.016772577999972782,1.5979999261617195e-06,0.14289504199996372,,,,,,,,
24,11,,,1682877614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.00872677944932,416.0,7.1011962890625,0.1649410339998667,0.0001,0.0024357870001949777,0.0,12.0
25,12,,,1682877615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024845779998940998,0.00044826799990005384,0.01673055900005238,1.8840000848285854e-06,0.14208076099998834,194.92531436603105,448.0,7.259521484375,0.16416543999980604,0.0001,0.0024193899998863344,0.0,13.0
26,12,,,1682877615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024076879999483936,0.0004224310000608966,0.01685586600001443,1.4400000054592965e-06,0.14211578200001895,194.25502067425077,480.0,7.39404296875,0.16473190700003215,0.0001,0.002928699999984019,0.0,14.0
27,12,,,1682877615.0,3.6333333333333337,0.0,0.1319999999999908,4919.775232,0.01634836673186844,30101.0,0.15172529610799038,868.380672,116.0,3838.349312,0.0,0.0,0.0,2.8000000000000003,46174.0,86.9924772262467,204124.127232,2.719744,410.0,0.045000000000015916,5581.9264,0.0,51886.0,3.3,4.066666666666666,27585.1264,103.0,0.0024664039999606757,0.00042682900016188796,0.016726887000004353,1.520000068921945e-06,0.14194962500005204,,,,,,,,
28,12,,,1682877615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.72060000503984,512.0,7.2816162109375,0.1643380310001703,0.0001,0.002766765999922427,0.0,15.0
29,13,,,1682877616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025408249998690735,0.0004074569999374944,0.016624081999907503,1.677999989624368e-06,0.14276467099989532,193.72817270041077,544.0,7.1248779296875,0.1651798989994404,0.0001,0.0028411859998414,0.0,16.0
30,13,,,1682877616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002540508000038244,0.0004198439999072434,0.01665094100007991,1.3409999155555852e-06,0.14498350999997456,191.08228300496873,576.0,7.373046875,0.1674671219998345,0.0001,0.0028709779999189777,0.0,17.0
31,13,,,1682877616.0,3.6333333333333337,0.0,0.14799999999999613,4926.500864,0.07356719523626884,31736.0,0.15840575329346057,868.352,124.0,3838.328832,0.0,0.0,0.0,2.8000000000000003,49781.0,88.9830190009757,204117.413888,2.719744,435.0,0.04899999999997817,5581.9264,0.0,54702.0,3.3,4.066666666666666,27585.1264,106.0,0.002478518999851076,0.0007560159999684402,0.016780018999952517,1.4620000001741573e-06,0.1421234800000093,,,,,,,,
32,13,,,1682877616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.82935760067411,608.0,7.3070068359375,0.16509366999980557,0.0001,0.002954174000024068,0.0,18.0
33,14,,,1682877617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002476487999956589,0.0004300399998555804,0.016748768000070413,1.3050000688963337e-06,0.1419869019998714,194.52285522286672,640.0,7.115478515625,0.16450509099990995,0.0001,0.0028615880000870675,0.0,19.0
