01_general/step,01_general/minibatch_loss,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/data_resident_set_proc_MB,02_timing/step_time_s,01_general/step_based_sps,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,_timestamp,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent
,,,,,0,,,,,,,,,,1680630435.0,,,,,30.0,,,,,,,,,,,,,0,,,,211076.599808,,,,,,,
,,139.0,,2.092517187126411,1,208133.783552,0.0,17.0,0.0,,,1.4,28.0,2481.025024,1680630435.0,0.0,0.0,394.776576,9963.126784,,,0.0,0.0,178.466816,,15.0,48.0,2.719744,5.566666666666666,0.0,0.0,5.366666666666667,0,,,1194.25024,,0.0,0.238592038411646,,,,,3.8666666666666663
,,170.0,,0.3352215832139309,2,208136.781824,0.0,763.0,0.0,,,1.4,782.0,2481.82784,1680630436.0,0.0,0.0010000000000331966,395.636736,9963.9296,,,0.012000000000000455,3.0,178.66752,,691.0,48.0,2.719744,5.566666666666666,0.0,0.01226128379615123,5.366666666666667,1,,,1191.251968,,0.0,0.4804491457676035,,,,,3.8666666666666663
,,183.0,,0.038689586605105644,3,207857.577984,0.0,1372.0,0.0,,,1.5,1300.0,2760.855552,1680630437.0,0.0,0.023000000000024556,675.217408,10242.945024,,,0.01999999999998181,71.0,180.420608,,1008.0,52.0,2.719744,5.566666666666666,0.0,0.4209478108520221,5.366666666666667,2,,,1470.447616,,0.0,0.1187507696024452,,,,,3.8666666666666663
,,212.0,,0.08488421483199743,4,207610.396672,0.0,2523.0,0.0,,,1.6,2159.0,4034.093056,1680630439.0,0.0,0.025000000000034106,923.62752,11516.178432,,,0.031999999999982265,74.0,180.748288,,1459.0,55.0,2.719744,5.566666666666666,0.0,0.1597385496664432,5.366666666666667,4,,,1717.61664,,0.0,0.18519457004496706,,,,,3.8666666666666663
,,212.0,,0.0028731901970554833,5,206742.581248,0.0,2835.0,0.0,,,2.1,2625.0,4034.093056,1680630440.0,0.0,0.025000000000034106,1790.898176,11516.178432,,,0.036000000000001364,75.0,181.796864,,1608.0,61.0,2.719744,5.566666666666666,0.0,0.0040863149438585475,5.333333333333334,5,,,2585.427968,,0.0,0.0021389305072908454,,,,,3.833333333333333
,,212.0,,0.05840707221861009,6,206205.067264,0.0,3291.0,0.0,,,2.3,3145.0,4420.558848,1680630441.0,0.0,0.025000000000034106,2329.88672,11902.644224,,,0.040000000000020464,76.0,184.418304,,1771.0,67.0,2.719744,5.566666666666666,0.0,0.0040864199243888,5.333333333333334,6,,,3122.941952,,0.0,0.014071012169828196,,,,,3.833333333333333
,,212.0,,0.002873398649842655,7,205487.69792,0.0,3604.0,0.0,,,2.6,3628.0,5130.30144,1680630442.0,0.0,0.02600000000001046,3045.965824,12612.386816,,,0.04399999999998272,77.0,184.418304,,1920.0,73.0,2.719744,5.566666666666666,0.0,0.004086611410044525,5.333333333333334,7,,,3840.3072,,0.0,0.002139085688812162,,,,,3.833333333333333
,,212.0,,0.045922271900138284,8,205439.442944,0.0,4041.0,0.0,,,2.7,4147.0,5176.446976,1680630443.0,0.0,0.047000000000025466,3093.815296,12658.532352,,,0.05200000000002092,108.0,184.418304,,2073.0,79.0,2.719744,5.566666666666666,0.0,0.20839804724934702,5.333333333333334,8,,,3888.562176,,0.0,0.012410346296068027,,,,,3.833333333333333
,,218.0,,0.0028730774401210944,9,205439.44704,0.0,4497.0,0.0,,,2.7,4677.0,5176.446976,1680630444.0,0.0,0.049000000000035016,3093.815296,12658.532352,,,0.060000000000002274,111.0,184.418304,,2239.0,87.0,2.719744,5.566666666666666,0.0,0.03677539122774324,5.333333333333334,9,,,3888.562176,,0.0,0.002138846566016397,,,,,3.833333333333333
,,220.0,,0.046039401537556125,10,205108.658176,0.0,4970.0,0.0,,,2.8,5219.0,6204.653568,1680630445.0,0.0,0.049000000000035016,3424.436224,13686.738944,,,0.06400000000002137,112.0,184.418304,,2410.0,95.0,2.719744,5.533333333333333,0.0,0.004086006866270531,5.300000000000001,10,,,4219.375616,,0.0,0.012273981641101975,,,,,3.8
,,221.0,,0.0028733904478499116,11,204409.090048,0.0,5439.0,0.0,,,3.2,5780.0,6449.13152,1680630446.0,0.0,0.049000000000035016,4122.206208,14400.151552,,,0.06799999999998363,113.0,184.418304,,2621.0,102.0,2.719744,5.533333333333333,0.0,0.004086599744988187,5.300000000000001,11,,,4918.939648,,0.0,0.0021390795828841527,,,,,3.8
,,221.0,,0.04580384349399083,12,204409.090048,0.0,5944.0,0.0,,,3.2,6327.0,6449.13152,1680630447.0,0.0,0.05000000000001137,4122.206208,14400.151552,,,0.07200000000000273,114.0,184.418304,,2762.0,111.0,2.719744,5.533333333333333,0.0,0.004086350913575198,5.300000000000001,12,,,4918.939648,,0.0,0.012434638031110735,,,,,3.8
,,231.0,,0.0028731122913194453,13,204405.829632,0.0,6459.0,0.0,,,3.2,7239.0,6373.5808,1680630448.0,0.0,0.05000000000001137,4285.689856,16205.68064,,,0.07600000000002183,115.0,432.39424,,3050.0,118.0,2.719744,5.533333333333333,0.0,0.0040862041445895985,5.300000000000001,13,,,4911.714304,,0.0,0.0021388725107977223,,,,,3.8
,,239.0,,0.10203208013160338,14,205986.226176,0.0,7826.0,0.0,,,2.4,10495.0,4786.581504,1680630449.0,0.0,0.05099999999998772,2708.422656,16363.307008,,,0.08400000000000318,119.0,460.382208,,4058.0,121.0,2.719744,5.533333333333333,0.0,0.028595790991270627,5.300000000000001,14,,,3331.268608,,0.0,1.356329324104526,,,,,3.8
