01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,02_timing/dataload_time_s,disk/counter/disk_write_sys_count,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/opt_step_time_s,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_five_min_percent,01_general/lr,cpu/logical_core_count,01_general/step_based_sps,process/involuntary_proc_ctx_switches,02_timing/backward_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,_runtime,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/forward_time_s,01_general/minibatch_loss,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,_timestamp,01_general/step,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,_step,memory/used_memory_sys_MB
,,,,,,,,,,,,,,211076.599808,,,,30.0,,,,,,1,,,,,,,,,,,,,1680630900.0,,,,,,0,
,5.0,0.6998180109230943,0.0,2.719744,,,0.0,0.0,23.0,,0.0,0.0,,,17.0,3.7000000000000006,,,,53.0,,138.0,0.0,1,1.4,395.132928,,5.0,,,0.0,0.0,208135.827456,0.0,2481.025024,178.819072,1680630900.0,,,0.5333333333333333,1.0681433247991718,9963.126784,1,1192.116224
,709.0,0.3459103752604611,0.0,2.719744,,,3.0,0.0,922.0,,0.0,0.012261852630143477,,,859.0,3.7000000000000006,,,,54.0,,171.0,0.0,2,1.4,396.091392,,4.966666666666667,,,0.0,0.008000000000038199,208136.994816,0.0009999999999763531,2481.82784,179.11808,1680630901.0,,,0.7666666666666667,0.4826108729543052,9963.9296,2,1190.948864
,1028.0,0.03916690501769135,0.0,2.719744,,,6.0,0.0,1556.0,,0.0,0.2125085957191097,,,1373.0,3.7000000000000006,,,,57.0,,186.0,0.0,3,1.5,675.622912,,4.966666666666667,,,0.0,0.016000000000019554,207857.795072,0.002999999999985903,2760.855552,180.822016,1680630902.0,,,0.7666666666666667,0.12925797018674273,10242.945024,3,1470.140416
,1434.0,0.08698414567252874,0.0,2.719744,,,7.0,0.0,2657.0,,0.0,0.0031438573027699605,,,2193.0,3.7000000000000006,,,,61.0,,211.0,0.0,4,1.6,924.110848,,4.966666666666667,,,0.0,0.020000000000038654,207610.355712,0.002999999999985903,4034.08896,181.215232,1680630903.0,,,0.7666666666666667,0.1886007365806778,11516.174336,4,1717.579776
,1602.0,0.0028095319804891735,0.0,2.719744,,,80.0,0.0,3205.0,,0.0,0.4127457891125644,,,2780.0,3.7000000000000006,,,,68.0,,211.0,0.0,5,2.1,1785.409536,,4.966666666666667,,,0.0,0.02800000000002001,206748.499968,0.01999999999998181,4034.08896,182.198272,1680630904.0,,,0.7666666666666667,0.002841458512851573,11516.174336,5,2579.443712
,1772.0,0.05896818897966839,0.0,2.719744,,,81.0,0.0,3695.0,,0.0,0.004086588079998444,,,3341.0,3.7000000000000006,,,,74.0,,211.0,0.0,6,2.3,2323.607552,,4.966666666666667,,,0.0,0.03200000000003911,206211.760128,0.01999999999998181,4420.558848,184.885248,1680630905.0,,,0.9666666666666666,0.010703348830785064,11902.644224,6,3116.183552
,1939.0,0.004246061857591559,0.0,2.719744,,,82.0,0.0,4076.0,,0.0,0.00408643547644327,,,3868.0,3.7000000000000006,,,,83.0,,211.0,0.0,7,2.6,3040.538624,,4.966666666666667,,,0.0,0.036000000000001364,205493.878784,0.01999999999998181,5126.107136,184.885248,1680630906.0,,,0.9666666666666666,0.004629165124529004,12608.192512,7,3834.064896
,2091.0,0.046952236254351847,0.0,2.719744,,,83.0,0.0,4548.0,,0.0,0.004086273150446063,,,4408.0,3.7000000000000006,,,,93.0,,211.0,0.0,8,2.7,3094.294528,,4.966666666666667,,,0.0,0.040000000000020464,205439.430656,0.01999999999998181,5176.446976,184.885248,1680630907.0,,,0.9666666666666666,0.012713736537777028,12658.532352,8,3888.513024
,2278.0,0.012586286034489275,0.0,2.719744,,,86.0,0.0,5010.0,,0.0,0.06129529280457754,,,4926.0,3.7000000000000006,,,,100.0,,211.0,0.0,9,2.7,3094.294528,,4.966666666666667,,,0.0,0.04400000000003956,205439.430656,0.02199999999999136,5176.446976,184.885248,1680630908.0,,,0.9666666666666666,0.01842051266822142,12658.532352,9,3888.513024
,2458.0,0.047771938776042966,0.0,2.719744,,,87.0,0.0,5410.0,,0.0,0.004086072942699545,,,5467.0,3.7000000000000006,,,,105.0,,212.0,0.0,10,2.8,3416.543232,,4.966666666666667,,,0.0,0.04800000000000182,205116.870656,0.02199999999999136,6204.653568,184.885248,1680630909.0,,,0.9666666666666666,0.012976473711075577,13686.738944,10,4211.073024
,2688.0,0.0027457273121744147,0.0,2.719744,,,111.0,0.0,5886.0,,0.0,0.14303323673566645,,,6050.0,3.7000000000000006,,,,112.0,,214.0,0.0,11,3.2,4122.681344,,4.966666666666667,,,0.0,0.060000000000002274,204409.053184,0.029999999999972715,6449.13152,184.885248,1680630910.0,,,1.1666666666666665,0.0031208703573610227,14400.151552,11,4918.894592
,2841.0,0.04791036676600431,0.0,2.719744,,,112.0,0.0,6317.0,,0.0,0.0040863081402215135,,,6569.0,3.7000000000000006,,,,120.0,,214.0,0.0,12,3.2,4122.681344,,4.966666666666667,,,0.0,0.06400000000002137,204408.795136,0.029999999999972715,6449.13152,184.885248,1680630911.0,,,1.1666666666666665,0.013559838823216947,14400.151552,12,4919.15264
,3162.0,0.0027454282065091846,0.0,2.719744,,,113.0,0.0,6884.0,,0.0,0.004086218730356069,,,7503.0,3.7000000000000006,,,,128.0,,227.0,0.0,13,3.1,4252.34432,,4.966666666666667,,,0.0,0.06800000000004047,204433.883136,0.03100000000000591,6345.54368,427.462656,1680630912.0,,,1.1666666666666665,0.003120530385507228,16144.089088,13,4883.574784
,4117.0,0.0978543635159092,0.0,2.719744,,,116.0,0.0,8233.0,,0.0,0.040852441387951126,,,11013.0,3.7000000000000006,,,,130.0,,235.0,0.0,14,2.4,2716.20096,,4.966666666666667,,,0.0,0.07200000000000273,205979.234304,0.031999999999982265,4791.56224,461.35296,1680630913.0,,,1.1666666666666665,1.1248544198983461,16368.287744,14,3338.149888
,9577.0,0.4287200456917703,0.0,2.719744,,,117.0,0.0,12520.0,0.000234957999055041,0.0,0.004084719625406621,,,16395.0,3.7000000000000006,,,,132.0,,249.0,0.0,15,2.5,2733.13792,,4.966666666666667,,,0.0,0.07600000000002183,205793.153024,0.03299999999995862,4791.56224,478.113792,1680630914.0,,,1.1666666666666665,93.48655530424527,16403.058688,15,3519.54944
0.0,,,,,2.3533664220030914,1.5321006380017934,,,,,,,1.0519997886149213e-06,,,,0.0001,,13.597542524960001,,0.03510882000045967,,,16,,,32.0,,0.7858560120002949,12.57326889038086,,,,,,,1680630915.0,0.0,6.494200169981923e-05,,,,16,
0.0,,,,,0.06866483599878848,0.0012982560001546517,,,,0.00014847400052531157,,,1.2509990483522415e-06,,,,0.0001,,466.0318419833495,,0.04884666500038293,,,16,,,64.0,,0.017761291999704554,12.765625,,,,,,,1680630915.0,1.0,0.0006088979989726795,,,,17,
,10948.0,0.1052639866239407,0.0,2.719744,,,128.0,0.0,15205.0,0.00017391300025337841,0.0,0.05311880932665296,,,18973.0,3.6666666666666665,,,,142.0,,278.0,0.0,16,2.9,3343.183872,,4.933333333333334,0.01825531899885391,,0.0,0.09200000000004138,204907.143168,0.03699999999997772,5236.55168,651.59168,1680630915.0,,0.0006599979988095583,1.3333333333333335,27.355245091788078,26746.036224,18,4405.075968
0.0,,,,,0.06817320799927984,0.0015245750000758562,,,,,,,1.3040007615927607e-06,,,,0.0001,,469.39260948873107,,0.047558099000525544,,,16,,,96.0,,,12.642057418823242,,,,,,,1680630915.0,2.0,,,,,19,
0.0,,,,,0.06701222799893003,0.000998678000541986,,,,0.00015317999896069523,,,1.4810011634835973e-06,,,,0.0001,,477.52478846862005,,0.04705101299987291,,,16,,,128.0,,0.018190744000094128,12.747149467468262,,,,,,,1680630915.0,3.0,0.0006171319982968271,,,,20,
0.0,,,,,0.06666155099992466,0.0009624939993955195,,,,0.00015938799879222643,,,1.2700002116616815e-06,,,,0.0001,,480.03683562712433,,0.04612809799982642,,,16,,,160.0,,0.018874392000725493,12.85737133026123,,,,,,,1680630915.0,4.0,0.0005359090009733336,,,,21,
0.0,,,,,0.06750334100070177,0.0011346610008331481,,,,0.00014295599976321682,,,1.3509998098015785e-06,,,,0.0001,,474.0506103196778,,0.04682101700018393,,,16,,,192.0,,0.01891868799975782,12.740032196044922,,,,,,,1680630915.0,5.0,0.0004846680003538495,,,,22,
0.0,,,,,0.06720004499766219,0.000859963000038988,,,,0.00015548400006082375,,,1.290998625336215e-06,,,,0.0001,,476.1901573297048,,0.04663411699948483,,,16,,,224.0,,0.019005205998837482,12.82516860961914,,,,,,,1680630915.0,6.0,0.0005439840006147278,,,,23,
0.0,,,,,0.06709749800211284,0.0010001340015151072,,,,0.0001477979985793354,,,1.993999831029214e-06,,,,0.0001,,476.9179321558659,,0.04606942800091929,,,16,,,256.0,,0.019168247999914456,12.537931442260742,,,,,,,1680630915.0,7.0,0.0007098960013536271,,,,24,
0.0,,,,,0.06732747899877722,0.0011730389996955637,,,,0.00015762299881316721,,,1.2330001482041553e-06,,,,0.0001,,475.28884900890426,,0.04698243500024546,,,17,,,288.0,,0.018435285001032753,12.707118034362793,,,,,,,1680630916.0,8.0,0.0005778639988420764,,,,25,
0.0,,,,,0.06908994700279436,0.0009238840011676075,,,,0.0001464870001655072,,,1.493999661761336e-06,,,,0.0001,,463.1643442816037,,0.0471705039999506,,,17,,,320.0,,0.020308457000282942,12.635382652282715,,,,,,,1680630916.0,9.0,0.0005391210015659453,,,,26,
0.0,,,,,0.06762371600052575,0.0011483640009828378,,,,0.00015280599836842157,,,1.5690002328483388e-06,,,,0.0001,,473.20676668746233,,0.047035309000420966,,,17,,,352.0,,0.01875809100056358,12.712109565734863,,,,,,,1680630916.0,10.0,0.0005275769999570912,,,,27,
0.0,,,,,0.06677147899972624,0.0007985379997990094,,,,0.00015985800018825103,,,1.3549997674999759e-06,,,,0.0001,,479.24653578710155,,0.04721571700065397,,,17,,,384.0,,0.018060304999380605,12.699824333190918,,,,,,,1680630916.0,11.0,0.0005357059999369085,,,,28,
,16830.0,0.14074033549719084,0.0,2.719744,,,143.0,0.0,22371.0,0.00015822900058992673,0.0,0.1348349233708158,,,25580.0,3.6666666666666665,,,,256.0,,388.0,0.0,17,2.9,3343.179776,,4.933333333333334,,,0.0,0.1400000000000432,204893.396992,0.04399999999998272,5236.55168,651.579392,1680630916.0,,,1.3333333333333335,81.15558102833215,26745.63072,29,4418.588672
0.0,,,,,0.06764403700253752,0.000917286000913009,,,,,,,1.5080004232004285e-06,,,,0.0001,,473.0646102449443,,0.0468414639999537,,,17,,,416.0,,0.01921186500112526,12.62670612335205,,,,,,,1680630916.0,12.0,0.0005136849995324155,,,,30,
0.0,,,,,0.0669909469979757,0.0007679310001549311,,,,0.00015444499877048656,,,1.6430003597633913e-06,,,,0.0001,,477.6764836742338,,0.046437102999334456,,,17,,,448.0,,0.01901446100055182,12.551562309265137,,,,,,,1680630916.0,13.0,0.0006153639988042414,,,,31,
0.0,,,,,0.06744887099739572,0.0012115279987483518,,,,0.00015035399883345235,,,1.4500001270789653e-06,,,,0.0001,,474.43344160995014,,0.047553317999700084,,,17,,,480.0,,0.018013959999734652,12.550976753234863,,,,,,,1680630916.0,14.0,0.000518261000252096,,,,32,
0.0,,,,,0.06707034799728717,0.0008812590003799414,,,,0.00014567299876944162,,,1.4229990483727306e-06,,,,0.0001,,477.1109880225211,,0.04728031999911764,,,17,,,512.0,,0.018228038999950513,12.539165496826172,,,,,,,1680630916.0,15.0,0.0005336340000212658,,,,33,
0.0,,,,,0.0677787749991694,0.0009731489990372211,,,,0.00016364200018870179,,,1.288999555981718e-06,,,,0.0001,,472.12420112921995,,0.04596629399929952,,,17,,,544.0,,0.01996309000060137,12.830141067504883,,,,,,,1680630916.0,16.0,0.000711311000486603,,,,34,
0.0,,,,,0.0672709290010971,0.0009053320009115851,,,,0.00014842300151940435,,,1.4399993233382702e-06,,,,0.0001,,475.68839133287605,,0.04710961999990104,,,18,,,576.0,,0.018555259999629925,12.65114974975586,,,,,,,1680630917.0,17.0,0.0005508539998118067,,,,35,
0.0,,,,,0.0665629369996168,0.0008800870000413852,,,,0.00015761600116093177,,,1.3349999790079892e-06,,,,0.0001,,480.74801747681636,,0.046726066999326576,,,18,,,608.0,,0.018274218000442488,12.628279685974121,,,,,,,1680630917.0,18.0,0.0005236139986664057,,,,36,
0.0,,,,,0.067336473000978,0.0008842589995765593,,,,0.00015296499987016432,,,1.317001078859903e-06,,,,0.0001,,475.22536559845105,,0.04752818700035277,,,18,,,640.0,,0.0182502999996359,12.593650817871094,,,,,,,1680630917.0,19.0,0.0005194450004637474,,,,37,
0.0,,,,,0.06735911599753308,0.0009698799985926598,,,,0.00015954099944792688,,,1.2799991964129731e-06,,,,0.0001,,475.0656169711602,,0.047535951000099885,,,18,,,672.0,,0.018171065999922575,12.7512845993042,,,,,,,1680630917.0,20.0,0.0005213980002736207,,,,38,
,23236.0,0.27849453027760157,0.0,2.719744,,,153.0,0.0,30557.0,0.00015110300046217162,0.0,0.04087055706743577,,,32660.0,3.6666666666666665,,,,292.0,,489.0,0.0,18,2.9,3343.187968,,4.933333333333334,0.01803261499844666,,0.0,0.18400000000002592,204886.99904,0.04800000000000182,5236.55168,651.579392,1680630917.0,,0.0005012500005250331,1.3333333333333335,73.12191277875246,26745.63072,39,4425.203712
0.0,,,,,0.06727858999875025,0.0009666940004535718,,,,,,,1.5229998098220676e-06,,,,0.0001,,475.63422480456893,,0.04762540499905299,,,18,,,704.0,,,12.6118745803833,,,,,,,1680630917.0,21.0,,,,,40,
0.0,,,,,0.06717537699842069,0.0009403059993928764,,,,0.00015490499936277047,,,1.255999450222589e-06,,,,0.0001,,476.3650228677143,,0.04691454500061809,,,18,,,736.0,,0.018574306999653345,12.75564193725586,,,,,,,1680630917.0,22.0,0.000590057999943383,,,,41,
0.0,,,,,0.06793466100134538,0.0010096919995703502,,,,0.0001526870000816416,,,1.341000825050287e-06,,,,0.0001,,471.04084319146415,,0.04807832199912809,,,18,,,768.0,,0.018196527000327478,12.706225395202637,,,,,,,1680630917.0,23.0,0.0004960920014127623,,,,42,
0.0,,,,,0.06762126400099078,0.0009883590009849286,,,,0.0001539069999125786,,,1.3379994925344363e-06,,,,0.0001,,473.2239255322282,,0.04793823900035932,,,18,,,800.0,,0.01799531799952092,12.54377269744873,,,,,,,1680630917.0,24.0,0.0005441030007204972,,,,43,
0.0,,,,,0.06733507400167582,0.0010229690014966764,,,,0.00017580600069777574,,,1.5709993022028357e-06,,,,0.0001,,475.23523920391904,,0.04477071499968588,,,18,,,832.0,,0.020687223001004895,12.678740501403809,,,,,,,1680630917.0,25.0,0.0006767899994883919,,,,44,
0.0,,,,,0.06764300099894172,0.0009460849996685283,,,,0.00015194700063148048,,,1.3329990906640887e-06,,,,0.0001,,473.07185558636945,,0.04667848799908825,,,18,,,864.0,,0.01933281200035708,12.730642318725586,,,,,,,1680630917.0,26.0,0.0005323360001057154,,,,45,
0.0,,,,,0.0672555889996147,0.0009358229999634204,,,,0.00015580200124531984,,,1.4739998732693493e-06,,,,0.0001,,475.79688879363357,,0.04746143599913921,,,19,,,896.0,,0.01817853600005037,12.539158821105957,,,,,,,1680630918.0,27.0,0.0005225179993431084,,,,46,
0.0,,,,,0.06716450000203622,0.001190966000649496,,,,0.00014581400137103628,,,1.4570014172932133e-06,,,,0.0001,,476.442168095197,,0.04738940299830574,,,19,,,928.0,,0.017922713999723783,12.72413158416748,,,,,,,1680630918.0,28.0,0.0005141460005688714,,,,47,
