cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_write_sys_count,_runtime,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,memory/total_memory_sys_MB,01_general/step,memory/used_memory_sys_MB,02_timing/step_time_s,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,_timestamp,cpu/logical_core_count,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_read_sys_count,_step,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/opt_step_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,01_general/lr
,,1,,,,,,,,,,,,,,,,,,31557.169152,,,,,,,1696164807.0,8.0,,,,,,,,0,,,,,,,,
17.5,0.0,1,8.0,,0.0,2.654208,11.375,17.0,18.375,0.0,0.0,0.0,,0.0,106.0,9347.121152,,,,,,1093.341184,,0.0,,1110.409216,1696164807.0,,24.0,4.9,0.0,243.073024,,7.0,0.0,1,0.0,,0.0,,30002.54464,553.172992,,
17.5,3.0,2,1401.0,,0.0,2.654208,11.375,1088.0,18.375,0.0,0.0,0.0,,0.003000000000156433,362.0,9921.626112,,,,,,1115.32032,,0.012250212265321251,,1133.735936,1696164808.0,,26.0,5.0,0.012000000000000455,245.047296,,1296.0,0.0,2,0.4739380624171445,,33.19665561834174,,29980.532736,571.912192,,
17.5,4.0,3,5225.0,,0.0,2.654208,11.375,4816.0,18.375,0.0,0.0,0.0,,0.00400000000036016,1903.0,9983.52896,,,,,,1179.50464,,0.004063621273858314,,1195.638784,1696164809.0,,31.0,5.2,0.016000000000005343,245.129216,,4868.0,0.0,3,1.245087208727915,,680.1915961107461,,29916.38528,634.08128,,
17.5,5.0,4,16870.0,,0.0,2.654208,11.375,12555.0,18.375,0.0,0.0,0.0,,0.005000000000109139,5637.0,9983.52896,,,,,,1180.123136,,0.004084686606993325,,1195.651072,1696164810.0,,32.0,5.2,0.020000000000010232,245.129216,,12701.0,0.0,4,2.442219762838147,,1525.5191165324889,,29915.697152,634.08128,,
17.5,6.0,5,18273.0,,0.0,2.654208,11.375,13364.0,17.875,0.0,0.0,0.0,,0.006000000000312866,6000.0,10624.827392,,,,,,1790.824448,,0.004083931174158495,,1836.949504,1696164811.0,,33.0,7.1,0.028000000000005798,248.602624,,13706.0,0.0,5,0.26404369851420756,,117.74859754611877,,29305.012224,1245.88032,,
17.5,10.0,6,19251.0,,0.0,2.654208,11.375,13774.0,17.875,0.0,0.0,0.0,,0.011000000000422006,6016.0,11142.017024,,,,,,1780.727808,,0.2001385565101102,,1746.092032,1696164812.0,,35.0,7.1,0.04400000000001114,384.32768,,14052.0,0.0,6,0.007873754594803288,,0.05047339951553584,,29302.530048,1289.551872,,
17.5,11.0,7,19714.0,,0.0,2.654208,11.375,13948.0,17.875,0.0,0.0,0.0,,0.012000000000170985,6016.0,12052.103168,,,,,,2424.40192,,0.004084199135173037,,2387.74272,1696164813.0,,36.0,9.2,0.04800000000000182,491.282432,,14302.0,0.0,7,0.04178327163388228,,0.0026323939770656517,,28658.847744,2037.047296,,
17.5,13.0,8,20711.0,,0.0,2.654208,11.375,14410.0,17.875,0.0,0.0,0.0,,0.013000000000374712,6027.0,12690.2272,,,,,,2624.077824,,0.008157739589199776,,2489.20064,1696164814.0,,37.0,9.8,0.060000000000002274,527.269888,,14598.0,0.0,8,0.0005257918093893848,,0.005329616977094033,,28459.180032,2158.559232,,
17.5,14.0,9,21936.0,,0.0,2.654208,11.375,14944.0,17.875,0.0,0.0,0.0,,0.014000000000123691,6027.0,12690.2272,,,,,,2837.815296,,0.004081167189154743,,2489.20064,1696164815.0,,37.0,10.5,0.06400000000000716,527.335424,,15324.0,0.0,9,0.0,,0.0,,28245.438464,2158.686208,,
