02_timing/forward_time_s,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,disk/counter/disk_write_sys_count,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,02_timing/step_time_s,disk/time/disk_read_time_sys_s,process/memory/data_resident_set_proc_MB,process/memory/dirty_pages_proc_count,01_general/step,_runtime,process/memory/resident_set_size_proc_MB,cpu/interrupts/interrupts_count,_timestamp,01_general/step_based_sps,process/memory/shared_memory_proc_MB,02_timing/opt_step_time_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,cpu/interrupts/soft_interrupts_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/ctx_switches_count,disk/time/disk_busy_time_sys_s,_step,memory/available_memory_sys_MB,memory/used_memory_sys_percent,cpu/logical_core_count,01_general/minibatch_loss,01_general/lr,01_general/dataset_iteration_count,bandwidth/net_sent_sys_bandwidth_Mbits
,,,31557.169152,,,,,,,,,,,,,,1,,,1696164994.0,,,,,,,,,,,,,,,,,0,,,8.0,,,,
,,1102.99136,,0.0,13.375,0.0,0.0,,0.0,104.0,35.0,,0.0,0.0,0.0,,1,552.124416,4.0,1696164994.0,,242.991104,,2.654208,19.125,9347.121152,,0.0,,,0.0,0.0,1110.409216,12.625,5.0,0.0,1,29992.906752,5.0,,,,,0.0
,,1128.337408,,0.010879415004624885,13.375,0.0,29.48382379668811,,3.0,336.0,38.0,,0.0,0.0,0.0,,2,586.559488,1456.0,1696164995.0,,245.026816,,2.654208,19.125,9939.18976,,1147.0,,,0.0019999999999527063,0.0,1151.299584,12.625,1305.0,0.008000000000009777,2,29967.556608,5.0,,,,,0.4047269874898542
,,1182.531584,,0.00408204186961825,13.375,0.0,1060.9279437725875,,4.0,2810.0,39.0,,0.0,0.0,0.0,,3,631.300096,9293.0,1696164996.0,,245.174272,,2.654208,19.0,9983.791104,,6391.0,,,0.0029999999997016857,0.0,1195.900928,12.625,6829.0,0.012000000000000455,3,29913.362432,5.2,,,,,1.7654033809828609
,,1185.800192,,0.004083469116157985,13.375,0.0,1557.617705084617,,5.0,6131.0,39.0,,0.0,0.0,0.0,,4,631.300096,19774.0,1696164997.0,,245.174272,,2.654208,19.0,9983.791104,,13397.0,,,0.0039999999999054126,0.0,1195.913216,12.625,13900.0,0.016000000000005343,4,29910.069248,5.2,,,,,2.313532496301664
,,1184.82944,,0.20833575948552185,13.375,0.0,1538.5524509809052,,12.0,9526.0,43.0,,0.0,0.0,0.0,,5,631.300096,30284.0,1696164998.0,,245.174272,,2.654208,19.0,9983.791104,,20376.0,,,0.010999999999967258,0.0,1195.913216,12.625,21067.0,0.03200000000001069,5,29911.003136,5.2,,,,,2.357133378056742
,,1186.091008,,0.008141084064394365,13.375,0.0,1561.5107256052008,,14.0,12975.0,44.0,,0.0,0.0,0.0,,6,631.300096,40651.0,1696164999.0,,245.174272,,2.654208,19.0,9983.791104,,27462.0,,,0.012999999999919964,0.0,1195.913216,12.625,28391.0,0.04399999999999693,6,29909.680128,5.2,,,,,2.357559361279245
,,1187.438592,,0.00407664076044688,13.375,0.0,1519.3846180260143,,15.0,16270.0,46.0,,0.0,0.0,0.0,,7,631.300096,49521.0,1696165000.0,,245.174272,,2.654208,19.0,9983.791104,,34407.0,,,0.013999999999668944,0.0,1195.913216,12.625,35410.0,0.04800000000000182,7,29908.365312,5.2,,,,,2.333558348506555
,,2196.762624,,0.00408463902177176,13.375,0.0,498.2041314410038,,16.0,17387.0,47.0,,0.0,0.0,0.0,,8,1643.68384,53347.0,1696165001.0,,248.32,,2.654208,18.875,10992.877568,,36900.0,,,0.01499999999987267,0.0,2204.99968,12.625,37956.0,0.05200000000000671,8,28899.086336,8.4,,,,,0.7592641893080393
,,2682.261504,,0.004084643877540913,13.375,0.0,0.008001753534895437,,17.0,17387.0,51.0,,0.0,0.0,0.0,,9,2128.289792,53780.0,1696165002.0,,248.582144,,2.654208,18.875,11484.667904,,37091.0,,,0.016000000000076398,0.0,2696.790016,12.625,38176.0,0.055999999999997385,9,28413.58336,10.0,,,,,0.042473914064443175
