process/memory/text_resident_set_proc_MB,01_general/lr,process/voluntary_proc_ctx_switches,_step,memory/used_memory_sys_MB,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/forward_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,01_general/dataset_iteration_count,_timestamp,01_general/step,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,process/memory/shared_memory_proc_MB,disk/time/disk_busy_time_sys_s,process/memory/data_resident_set_proc_MB,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step_based_sps,bandwidth/disk_read_sys_bandwidth_MBs,02_timing/step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,cpu/logical_core_count,process/involuntary_proc_ctx_switches
,,,0,,,,1,,,,,,1696189378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31557.169152,8.0,
2.654208,,97.0,1,1058.381824,,9.25,1,,10.0,,0.0,,1696189378.0,,0.0,3.875,553.607168,30037.516288,,,,12.625,3.0,,9347.117056,0.0,243.789824,0.0,0.0,,4.8,9.0,1110.40512,0.14328367813773776,,0.0,,0.0,0.0,1.2656724823187597,0.0,,,19.0
2.654208,,116.0,2,2126.086144,,9.25,2,,766.0,,0.0,,1696189379.0,,0.0,3.875,1628.495872,28969.811968,,,,12.625,596.0,,10902.58944,0.0019999999999527063,249.298944,0.008000000000009777,0.0,,8.2,586.0,2181.681152,0.3332437181751562,,0.0,,0.0,3.0,0.27895465438452416,0.01225753373203712,,,21.0
2.654208,,116.0,3,2668.843008,,9.25,3,,1266.0,,0.0,,1696189380.0,,0.0,3.875,2169.044992,28427.046912,,,,12.625,886.0,,11446.21056,0.003000000000156433,249.626624,0.012000000000000455,0.0,,9.9,788.0,2725.310464,0.04376354566506022,,0.0,,0.0,4.0,0.00966228873959427,0.004085129512765263,,,23.0
2.654208,,118.0,4,3191.390208,,9.25,4,,2192.0,,0.0,,1696189381.0,,0.0,3.875,2684.981248,27904.507904,,,,12.625,1451.0,,11956.723712,0.0039999999999054126,249.626624,0.016000000000019554,0.0,,11.6,1643.0,3235.827712,0.016047192433847255,,0.0,,0.0,5.0,0.0475430992155005,0.0040856104054015525,,,25.0
2.654208,,141.0,5,2490.04032,,10.125,5,,4505.0,,0.0,,1696189382.0,,0.0,8.5,2040.745984,28593.266688,,,,12.875,2822.0,,11815.329792,0.018000000000029104,388.886528,0.02400000000000091,0.0,,9.4,3190.0,2486.386688,0.007396835585543073,,0.0,,0.0,19.0,0.0035029242877121555,0.2328686618184014,,,27.0
2.654208,,141.0,6,3192.705024,,10.125,6,,5947.0,,0.0,,1696189383.0,,0.0,8.5,2871.635968,27890.561024,,,,12.875,3616.0,,12854.439936,0.027999999999792635,516.550656,0.04800000000000182,0.0,,11.6,4612.0,3189.952512,0.1429690827272137,,0.0,,0.0,36.0,0.10447004133177948,0.24920249984971948,,,29.0
2.654208,,153.0,7,2836.406272,,10.125,7,,7191.0,,0.0,,1696189384.0,,0.0,8.5,2317.172736,28246.851584,,,,12.875,4346.0,,14049.550336,0.028999999999996362,528.359424,0.0519999999999925,0.0,,10.5,5114.0,2640.437248,0.0,,0.0,,0.0,37.0,0.0,0.004084982836942786,,,29.0
2.654208,,160.0,8,3224.518656,,10.125,8,,8780.0,0.0013374720001593232,0.0,,1696189385.0,,0.0,8.5,2510.966784,27842.203648,,,,12.875,5379.0,,14301.044736,0.028999999999996362,602.976256,0.056000000000011596,0.0,,11.8,5737.0,2759.737344,0.007936843449609501,,0.0,,0.0,38.0,0.04026593356220792,0.004079983771705683,,,30.0
2.654208,,160.0,9,3935.711232,,10.125,9,,9541.0,,0.0,,1696189386.0,,0.0,8.5,3303.018496,27131.011072,,,,12.875,5582.0,,15501.381632,0.03099999999994907,835.03104,0.06399999999999295,0.0,,14.0,5879.0,3324.604416,0.0,,0.0,,0.0,40.0,0.0,0.00816806622297596,,,32.0
