memory/total_memory_sys_MB,cpu/logical_core_count,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,01_general/step,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_percent,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,memory/used_memory_sys_MB,01_general/lr,process/memory/text_resident_set_proc_MB,01_general/step_based_sps,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,02_timing/forward_time_s,_step,disk/time/disk_write_time_sys_s,cpu/interrupts/interrupts_count,01_general/minibatch_loss,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/counter/disk_write_sys_count,_timestamp,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,disk/counter/disk_read_sys_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs
31557.169152,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,1696189957.0,,,,,,,,
,,,243.519488,4.125,28.0,4.375,14.0,,0.0,,1110.40512,8.875,,4.8,30041.37472,102.0,27.0,,1054.519296,,2.654208,,9347.117056,0.0,,0.40646986691641646,0,,1,0.0,28.0,,,0.0,0.0,1696189957.0,0.48225238511430424,,,0.0,0.0,0.0,552.718336,0.0
,,,248.832,4.125,29.0,4.375,722.0,,0.008000000000009777,,2224.164864,8.875,,8.3,28932.038656,118.0,574.0,,2163.859456,,2.654208,,10945.073152,0.0,,0.3291629731028577,1,,2,0.0019999999999527063,869.0,,,0.0,3.0,1696189958.0,0.2829408683252269,,,0.0,0.0,0.0,1666.719744,0.012253564545221373
,,,249.094144,4.125,31.0,4.375,889.0,,0.012000000000000455,,2763.145216,8.875,,10.0,28393.148416,122.0,801.0,,2702.7456,,2.654208,,11484.045312,0.0,,0.043764784055892784,2,,3,0.003000000000156433,1305.0,,,0.0,4.0,1696189959.0,0.051807610361181484,,,0.0,0.0,0.0,2203.676672,0.004085245110961469
,,,249.094144,4.125,33.0,4.375,1098.0,,0.016000000000019554,,3235.835904,8.875,,11.5,27912.68352,122.0,992.0,,3183.2064,,2.654208,,11956.731904,0.0,,0.01848841142814306,3,,4,0.003000000000156433,1755.0,,,0.0,5.0,1696189960.0,0.005912780696403251,,,0.0,0.0,0.0,2683.875328,0.004085484097589112
,,,411.394048,4.125,35.0,4.375,1313.0,,0.020000000000010232,,2551.76704,8.875,,9.6,28538.73664,134.0,1271.0,,2544.570368,,2.654208,,11914.264576,0.0,,0.007397303505333355,4,,5,0.00400000000036016,2616.0,,,0.0,6.0,1696189961.0,0.0035031458807946465,,,0.0,0.0,0.0,2127.310848,0.004085673561329297
,,,527.52384,4.75,37.0,4.5,1507.0,,0.02800000000002001,,3045.216256,8.875,,11.1,28041.252864,138.0,1496.0,,3042.050048,,2.654208,,13246.574592,0.0,,0.007037760871061013,5,,6,0.007000000000061846,3073.0,,,0.0,9.0,1696189962.0,0.052360302508114485,,,0.0,0.0,0.0,2736.709632,0.1348186027676741
,,,528.089088,4.75,40.0,4.5,1994.0,,0.03200000000001069,,2638.577664,8.875,,10.6,28201.025536,152.0,2213.0,,2882.23232,,2.654208,,14047.690752,0.0,,0.0,6,,7,0.007000000000061846,4289.0,,,0.0,10.0,1696189963.0,0.0,,,0.0,0.0,0.0,2313.736192,0.004081300015316151
,,,615.632896,4.75,43.0,4.5,2541.0,,0.040000000000020464,,2786.463744,8.875,,12.0,27766.444032,158.0,3108.0,0.0013486779998856946,3300.478976,,2.654208,,14324.883456,0.0,,0.007676530105684704,7,,8,0.009000000000014552,5610.0,,,0.0,12.0,1696189964.0,0.04045523400888473,,,0.0,0.0,0.0,2549.682176,0.008162790073535214
,,,861.077504,4.75,44.0,4.5,2675.0,,0.04400000000001114,,3390.349312,8.875,,14.2,27067.301888,158.0,3336.0,,3999.420416,,2.654208,,15564.238848,0.0,,0.0,8,,9,0.009000000000014552,6263.0,,,0.0,13.0,1696189965.0,0.0,,,0.0,0.0,0.0,3392.421888,0.0040847730434244575
