process/memory/lib_memory_proc_MB,01_general/step,02_timing/dataload_time_s,_step,_runtime,memory/used_memory_sys_percent,disk/time/disk_read_time_sys_s,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,_timestamp,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,02_timing/dataload_cuda_move_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_one_min_percent,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,02_timing/backward_time_s,cpu/load/avg_sys_load_five_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,02_timing/loss_calc_time_s,process/memory/virtual_memory_size_proc_MB,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/logical_core_count,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/interrupts/ctx_switches_count,process/involuntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/text_resident_set_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,memory/used_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/forward_time_s,01_general/minibatch_loss,02_timing/step_time_s,01_general/lr,disk/time/disk_busy_time_sys_s
,,,0,1,,,,,1696238279.0,,,,,,,2151704.162304,,,,,,,,,,,,,,,256.0,,,,,,,,,,,,,
5915.312128,,,1,1,3.4,0.0,0.1605418732843592,2079569.145856,1696238279.0,0.0,101.0,,,400.0,1.7968749999999998,,159.0,,0.0,0.0,0.0,,1.9375,2.08984375,0.0,,,22129.115136,,0.0,,0.727160250203276,207.0,597.0,213.139456,2.854912,0.0,44593.549312,473.870336,,,,,0.0
6458.642432,,,2,2,3.4,0.5630000000091968,0.33591447914983497,2078954.098688,1696238280.0,35.0,9826.0,,,420.0,1.7968749999999998,,21766.0,,0.0,957.0,0.0,,1.9375,2.08984375,0.0,,,23156.641792,,461.30542771055906,,0.2794602602608761,27884.0,651.0,217.071616,2.854912,0.11351020275731065,45208.559616,961.204224,,,,,0.7440000000060536
7180.423168,,,3,3,3.4,0.5630000000091968,0.04176147011023168,2078289.38752,1696238281.0,97.0,22228.0,,,420.0,1.875,,44321.0,,0.003000000026077032,957.0,0.0,,1.94921875,2.09375,0.0,,,23878.422528,,0.0,,0.009843436252621036,59275.0,751.0,218.97216,2.854912,0.40278233162235755,45873.278976,1742.512128,,,,,0.8080000000045402
7691.399168,,,4,4,3.4,1.279000000009546,0.020988418879182836,2077777.854464,1696238282.0,1079.0,32813.0,,,420.0,1.875,,66941.0,,0.06499999994412065,2250.0,0.0,,1.94921875,2.09375,0.0,,,24389.398528,,388.96402158794723,,0.05229706633521373,87133.0,850.0,219.365376,2.854912,5.018746931697314,46384.80384,2252.341248,,,,,1.5760000000009313
8745.55392,,,5,5,3.5,1.8460000000050059,0.0005209946580665368,2077347.643392,1696238283.0,1108.0,45115.0,,,422.0,1.875,,91153.0,,0.06599999987520278,3552.0,0.0,,1.94921875,2.09375,0.0,,,25443.897344,,457.321406023677,,0.0009946261644691807,117080.0,949.0,219.561984,2.854912,0.0747706231278088,46815.002624,2606.51008,,,,,2.368000000002212
8348.418048,,,6,6,3.4,3.3440000000118744,0.01630994821334213,2078095.691776,1696238284.0,1147.0,62518.0,,,429.0,1.875,,150100.0,,0.06799999997019768,6676.0,0.0,,1.94921875,2.09375,0.0,,,33722.994688,,1197.3932936836086,,0.0601266595993674,155357.0,991.0,219.963392,2.854912,0.10100016790376151,46066.946048,1824.03072,,,,,4.372000000003027
9057.378304,,,7,7,3.4,3.460000000006403,0.0005227073798945768,2077598.3104,1696238285.0,1173.0,81531.0,,,451.0,1.875,,192348.0,,0.06799999997019768,6908.0,0.0,,1.94921875,2.09375,0.0,,,35306.467328,,57.35310099219382,,0.001187971316832095,222055.0,1051.0,461.651968,2.854912,0.10137355718609423,46553.86624,2580.918272,,,,,4.528000000005704
8709.005312,,,8,8,3.4,5.032000000006519,0.008724754043061087,2077738.754048,1696238286.0,1192.0,94314.0,,,458.0,1.8789062499999998,,230058.0,,0.06999999983236194,10052.0,0.0,,1.94921875,2.09375,0.0,,,36232.957952,,813.9138436453171,,0.04260430167449724,263666.0,1097.0,503.537664,2.854912,0.04855515465532197,46413.37344,2187.415552,,,,,5.952000000004773
8709.005312,,,9,9,3.4,5.032000000006519,0.0005220305643347414,2077581.053952,1696238287.0,1250.0,103310.0,,,458.0,1.8789062499999998,,255908.0,,0.07099999999627471,10052.0,0.0,,1.94921875,2.09375,0.0,,,36232.957952,,0.0,,0.0011231566676890023,303365.0,1097.0,503.537664,2.854912,0.3806710110822848,46571.122688,2187.415552,,,,,6.032000000006519
