_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680784937.0,,31557.18144,,,,,,,,,,,1,,,,8.0,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1680784937.0,,,0.0,8.0,8.0,,0.0,,123.0,0.0,2.654208,8492.650496,1,3.8,0.0,,,,,0.0,4.25,0.0,6.5,1,,,,16.0,177.487872,732.196864,27.0,0.0,0.0,,,30363.746304,1009.631232,404.013056,,0.0,,8.0,0.0,0.14114675028754162
1680784938.0,,,0.0,456.0,8.0,,0.008000000000009777,,132.0,0.0,2.654208,9013.518336,2,5.4,2.0,,,,,0.0009999999992942321,4.25,0.0,6.5,2,,,,727.0,181.5552,1252.020224,30.0,0.008171805764687479,0.2588084303852901,,,29843.92704,1530.499072,927.936512,,0.0,,454.0,0.0,0.26627797159396016
1680784939.0,,,0.0,787.0,8.0,,0.015999999999991132,,134.0,0.0,2.654208,9511.739392,3,6.3,3.0,,,,,0.001999999999497959,4.25,0.0,6.5,3,,,,1727.0,182.734848,1525.526528,32.0,0.004085358769080728,0.0031358320283313866,,,29570.412544,1827.786752,1202.184192,,0.0,,1050.0,0.0,0.0069179805770347965
1680784940.0,,,0.0,1078.0,8.0,,0.020000000000010232,,134.0,0.0,2.654208,9690.09152,4,6.5,4.0,,,,,0.0029999999997016857,4.25,0.0,6.5,4,,,,3075.0,186.601472,1589.563392,33.0,0.004084016607763676,0.05807758772964095,,,29506.37568,1838.51008,1206.693888,,0.0,,1679.0,0.0,0.0557324688173015
1680784941.0,,,0.0,1337.0,8.25,,0.02400000000000091,,145.0,0.0,2.654208,10596.63872,5,8.4,5.0,,,,,0.0039999999999054126,5.875,0.0,6.625,5,,,,3606.0,369.414144,2178.326528,35.0,0.004085578342370117,0.0,,,28905.050112,2407.333888,1957.236736,,0.0,,1895.0,0.0,0.0
1680784942.0,,,5.0,1726.0,8.25,,0.060000000000002274,,157.0,0.2571372336979089,2.654208,12120.367104,6,7.7,168.0,,,,,0.17299999999977445,5.875,0.0,6.625,6,,,,4447.0,461.766656,1964.580864,40.0,2.64892166142843,0.008139171491043862,,,29118.722048,2186.436608,1812.414464,,0.005000000000000782,,2309.0,0.0,0.054239885233149564
1680784943.0,,,5.0,3549.0,8.25,,0.06799999999998363,,157.0,0.0,2.654208,12120.367104,7,8.3,172.0,,,,,0.17699999999967986,5.875,0.0,6.625,7,,,,7261.0,461.766656,2130.86208,40.0,0.01632983590441809,132.4666560941082,,,28952.444928,2186.436608,1812.443136,,0.005000000000000782,,4277.0,0.0,0.38175775561331105
1680784944.0,,,5.0,5037.0,8.25,,0.07200000000000273,0.006234940000013012,160.0,0.0,2.654208,12747.169792,8,10.5,173.0,,,,,0.17699999999967986,5.875,0.0,6.625,8,,,,10069.0,567.918592,2747.195392,40.0,0.004085577370770959,109.86977754015489,,,28237.63968,2633.392128,2363.543552,,0.005000000000000782,,5971.0,0.0,0.1003918923720331
1680784945.0,,,5.0,5248.0,8.25,,0.0759999999999934,,164.0,0.0,2.654208,21767.421952,9,12.4,174.0,,,,,0.17799999999988358,5.875,0.0,6.625,9,,,0.00047651699992456997,10580.0,780.791808,3347.775488,41.0,0.0040858562386960565,0.002106769624722031,1.538429815000086,,27637.051392,3247.210496,3167.686656,,0.005000000000000782,,6186.0,0.0,0.002106769622794141
