cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,process/memory/resident_set_size_proc_MB,02_timing/step_time_s,memory/used_memory_sys_MB,bandwidth/net_sent_sys_bandwidth_Mbits,01_general/lr,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_one_min_percent,process/memory/text_resident_set_proc_MB,cpu/logical_core_count,01_general/step_based_sps,memory/total_memory_sys_MB,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,_step,02_timing/backward_time_s,02_timing/dataload_time_s,02_timing/opt_step_time_s,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,process/memory/shared_memory_proc_MB,02_timing/forward_time_s,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,_timestamp,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,01_general/step,01_general/minibatch_loss,disk/counter/disk_read_sys_count,02_timing/dataload_cuda_move_time_s,process/memory/virtual_memory_size_proc_MB,_runtime
,,,,,,,,,,,,,,,64.0,,255469.289472,,,,,0,,,,,,,,,,,,1681153989.0,,,,,,,,,,0
13.0,77.0,0.0,2.046875,416.44032,,1496.322048,0.0,,0.0,4.2,0.0,140.0,2.0625,2.854912,,,,0.0,0.0,0.0,0.0,1,,,,9.0,1.0,,177.3568,,1.0625,0.0,244779.864064,1681153989.0,,0.0,4752.039936,,,,0.0,,11969.056768,0
672.0,78.0,0.35499483987883756,2.046875,418.357248,,1493.970944,0.09631976551873257,,0.0,4.2,0.0039999999999054126,190.0,2.0625,2.854912,,,,4.0,0.0,0.0,0.0,2,,,,640.0,648.0,,178.348032,,1.0625,0.45678170479191227,244782.219264,1681153990.0,,0.011999999999943611,4752.990208,,,,0.0,,11970.056192,1
1038.0,79.0,0.0,2.046875,698.04032,,1773.40416,0.01648977161408613,,0.0,4.3,0.0039999999999054126,202.0,2.0625,2.854912,,,,4.0,0.0,0.0,0.0,3,,,,1184.0,1221.0,,180.117504,,1.0625,0.08473401694362895,244502.786048,1681153991.0,,0.011999999999943611,5031.981056,,,,0.0,,12249.034752,2
1503.0,81.0,0.0,2.046875,946.581504,,2020.67968,0.0359862327751736,,0.0,4.4,0.0039999999999054126,223.0,2.0625,2.854912,,,,4.0,0.0,0.0,0.0,4,,,,1890.0,2072.0,,180.576256,,1.0625,0.17072801055438977,244255.510528,1681153993.0,,0.011999999999943611,6305.206272,,,,0.0,,13522.259968,3
2054.0,82.0,0.0,2.046875,1721.93792,,2784.190464,0.0,,0.0,4.7,0.0039999999999054126,223.0,2.0625,2.854912,,,,4.0,0.0,0.0,0.0,5,,,,2397.0,2407.0,,181.49376,,1.0625,0.0017847895860289905,243491.995648,1681153994.0,,0.011999999999943611,6305.210368,,,,0.0,,13522.259968,4
2412.0,88.0,0.0,2.03125,2173.218816,,3233.734656,0.0011234534864662193,,0.0,4.9,0.0039999999999054126,223.0,2.015625,2.854912,,,,4.0,0.0,0.0,0.0,6,,,,2792.0,2660.0,,184.1152,,1.0625,0.002462037123775045,243042.459648,1681153995.0,,0.011999999999943611,6506.831872,,,,0.0,,13723.881472,5
2784.0,100.0,0.04078104888099098,2.03125,2761.465856,,3823.071232,0.0,,0.0,5.1,0.006000000000312866,223.0,2.015625,2.854912,,,,6.0,0.0,0.0,0.0,7,,,,3236.0,2990.0,,184.1152,,1.0625,0.0018638211963192806,242453.123072,1681153996.0,,0.015999999999849024,7094.92736,,,,0.0,,14311.97696,6
3122.0,108.0,0.0,2.03125,3116.68736,,4179.173376,0.0,,0.0,5.2,0.006000000000312866,223.0,2.015625,2.854912,,,,6.0,0.0,0.0,0.0,8,,,,3669.0,3315.0,,184.1152,,1.0625,0.0018629464840746182,242097.020928,1681153997.0,,0.015999999999849024,7447.834624,,,,0.0,,14664.884224,7
3496.0,111.0,0.0,2.03125,3116.68736,,4179.173376,0.0,,0.0,5.2,0.006000000000312866,223.0,2.015625,2.854912,,,,6.0,0.0,0.0,0.0,9,,,,4076.0,3573.0,,184.1152,,1.0625,0.00144946409208472,242097.020928,1681153998.0,,0.015999999999849024,7447.834624,,,,0.0,,14664.884224,8
3849.0,115.0,0.0,2.03125,3116.68736,,4179.173376,0.0,,0.0,5.2,0.006000000000312866,223.0,2.015625,2.854912,,,,6.0,0.0,0.0,0.0,10,,,,4472.0,3833.0,,184.1152,,1.0625,0.0018960452824141123,242097.020928,1681153999.0,,0.015999999999849024,7447.834624,,,,0.0,,14664.884224,9
4213.0,117.0,0.0,2.015625,3514.560512,,4577.599488,0.004118935545717969,,0.0,5.4,0.006000000000312866,223.0,1.984375,2.854912,,,,6.0,0.0,0.0,0.0,11,,,,4931.0,4195.0,,184.1152,,1.0625,0.004405747150009699,241698.594816,1681154000.0,,0.015999999999849024,8476.041216,,,,0.0,,15693.090816,10
5240.0,120.0,0.0,2.015625,4145.2544,,5211.512832,0.0,,0.0,5.6,0.006000000000312866,223.0,1.984375,2.854912,,,,6.0,0.0,0.0,0.0,12,,,,5861.0,4725.0,,184.1152,,1.0625,0.0023117605799057458,241064.681472,1681154001.0,,0.015999999999849024,9005.469696,,,,0.0,,16691.593216,11
5593.0,127.0,0.012238004080319251,2.015625,4145.2544,,5211.516928,0.0,,0.0,5.6,0.006000000000312866,223.0,1.984375,2.854912,,,,8.0,0.0,0.0,0.0,13,,,,6261.0,4975.0,,184.1152,,1.0625,0.0017847090648528924,241064.67328,1681154002.0,,0.01999999999998181,9005.469696,,,,0.0,,16691.593216,12
6581.0,129.0,0.0,2.015625,3929.239552,,4876.587008,0.0,,0.0,5.5,0.006000000000312866,262.0,1.984375,2.854912,,,,8.0,0.0,0.0,0.0,14,,,,8620.0,5680.0,,382.803968,,1.0625,0.0017793449687036518,241387.020288,1681154003.0,,0.01999999999998181,8607.842304,,,,0.0,,17940.185088,13
8829.0,131.0,0.0,2.015625,2695.35232,,3598.761984,0.0,,0.0,5.0,0.006000000000312866,269.0,1.984375,2.854912,,,,8.0,0.0,0.0,0.0,15,,,,15007.0,6739.0,,462.639104,,1.0625,0.0017828780712411964,242664.792064,1681154004.0,,0.01999999999998181,7310.761984,,,,0.0,,18521.94816,14
9936.0,131.0,0.0,1.984375,2695.356416,,3597.991936,0.06814246531598211,,0.0,5.0,0.006000000000312866,269.0,1.828125,2.854912,,,,8.0,0.0,0.0,0.0,16,,,,16985.0,7866.0,,462.639104,,1.0625,1.9627365781376118,242665.562112,1681154005.0,,0.01999999999998181,7310.761984,,,,0.0,,18521.94816,15
13399.0,131.0,0.0,1.984375,2695.405568,,3752.32512,0.48152046275581933,,0.0,5.1,0.006000000000312866,273.0,1.828125,2.854912,,,,8.0,0.0,0.0,0.0,17,,,,22620.0,12248.0,,462.651392,,1.0625,86.07802715960297,242510.823424,1681154006.0,,0.01999999999998181,7311.024128,,,,0.0,,18522.615808,16
,,,,,2.9252467448823154,,,0.0001,,,,,,,,10.939248135557666,,,,,,18,0.042605176102370024,2.227481245994568,2.35019251704216e-06,,,32.0,,0.6543636941350996,,,,1681154006.0,0.00029226671904325485,,,0.0,0.0,12.662267684936523,,0.000502011738717556,,17
,,,,,0.07572041638195515,,,0.0001,,,,,,,,422.60729046421204,,,,,,19,0.047412140760570765,0.002396136987954378,1.5203841030597687e-06,,,64.0,,0.02457843581214547,,,,1681154007.0,0.0010912860743701458,,,0.0,1.0,12.813651084899902,,0.00024089636281132698,,17
