_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,64.0,255469.289472,1681158534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681158534.0,4.859375,0.0,0.0,1490.337792,0.0,3.0,0.0,176.713728,0.0,415.797248,0.0,0.0,0.0,1.375,10.0,0.0,244785.82784,2.854912,143.0,0.0,4752.044032,0.0,14.0,4.2,5.453125,11969.060864,73.0,,,,,,,,,,,,,,
2,1,,,1681158535.0,4.859375,0.0,0.004000000000132786,1758.629888,0.004072903426320545,2895.0,0.1006929915419044,181.522432,1.0,543.268864,0.0,0.0,0.0,1.375,1346.0,0.09067778530751722,244517.535744,2.854912,160.0,0.0010000000002037268,4899.20512,0.0,3046.0,4.3,5.453125,12250.181632,74.0,,,,,,,,,,,,,,
3,2,,,1681158536.0,4.859375,0.0,0.004000000000132786,2379.636736,0.0,3528.0,0.00675608295272473,181.522432,1.0,1113.952256,0.0,0.0,0.0,1.375,1896.0,0.00777466777454927,243896.5248,2.854912,160.0,0.0010000000002037268,5480.394752,0.0,3820.0,4.5,5.453125,12831.358976,76.0,,,,,,,,,,,,,,
4,3,,,1681158537.0,4.859375,0.0,0.004000000000132786,2484.79744,0.0,8686.0,0.04601593621210293,182.505472,1.0,1215.873024,0.0,0.0,0.0,1.375,13677.0,0.8163246273337122,243791.368192,2.854912,160.0,0.0010000000002037268,6099.705856,0.0,21555.0,4.6,5.453125,17670.270976,77.0,,,,,,,,,,,,,,
5,4,,,1681158538.0,5.375,0.0,0.004000000000132786,2486.808576,0.0,12530.0,0.021693617848731375,183.35744,1.0,1216.749568,0.0,0.0,0.0,9.40625,26168.0,0.0244909946842003,243789.35296,2.854912,163.0,0.0010000000002037268,6099.709952,0.0,34769.0,4.6,7.046875,17670.270976,85.0,,,,,,,,,,,,,,
6,5,,,1681158539.0,5.375,0.0,0.004000000000132786,3467.812864,0.0,13208.0,0.007439763124683933,426.971136,1.0,2356.023296,0.0,0.0,0.0,9.40625,27065.0,0.006227711740856869,242795.76576,2.854912,206.0,0.0010000000002037268,7017.107456,0.0,38461.0,5.0,7.046875,19327.91808,88.0,,,,,,,,,,,,,,
7,6,,,1681158540.0,5.375,0.0,0.008000000000038199,2912.915456,0.24885850217939184,14191.0,0.031473843943624444,463.519744,3.0,1835.08992,0.0,0.0,0.0,9.40625,27820.0,0.02158547832094865,243350.667264,2.854912,212.0,0.003000000000156433,6456.168448,0.0,39343.0,4.7,7.046875,20215.283712,92.0,,,,,,,,,,,,,,
8,7,,,1681158541.0,5.375,0.0,0.008000000000038199,2912.89088,0.0,14551.0,0.013169829054260408,463.519744,3.0,1835.08992,0.0,0.0,0.0,9.40625,27966.0,0.012222302697679032,243350.69184,2.854912,212.0,0.003000000000156433,6456.168448,0.0,39565.0,4.7,7.046875,20215.283712,92.0,,,,,,,,,,,,,,
9,8,,,1681158542.0,5.375,0.0,0.008000000000038199,2913.206272,0.0,14830.0,0.0,463.519744,3.0,1835.08992,0.0,0.0,0.0,9.40625,28029.0,0.0013383270299398185,243350.376448,2.854912,212.0,0.003000000000156433,6456.168448,0.0,39703.0,4.7,7.046875,20215.283712,92.0,,,,,,,,,,,,,,
