_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,33164.935168,1696112239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1696112239,7.124999999999999,0.0,0.0,880.57856,0.0,15.0,0.1435437201217323,244.850688,0.0,538.472448,0.0,0.0,0.0,12.25,2.0,0.13049429155922876,31816.167424,2.711552,120.0,0.0,1109.250048,0.0,11.0,4.1,10.75,9344.65536,30.0,,,,,,,,,,,,,,
2,2,,,1696112240,7.124999999999999,0.0,0.007999999999981355,1099.792384,0.012253710213287056,2501.0,0.33620319625513667,249.585664,3.0,578.469888,0.0,0.0,0.0,12.25,1551.0,0.36307200875139883,31596.949504,2.711552,149.0,0.0019999999999527063,1161.797632,0.0,2674.0,4.7,10.75,10015.358976,30.0,,,,,,,,,,,,,,
3,3,,,1696112241,7.124999999999999,0.0,0.01999999999998181,2301.612032,0.4861997788018987,3022.0,0.00861031974256691,251.092992,85.0,1776.033792,0.0,0.0,0.0,12.25,2226.0,0.016741845054055876,30395.121664,2.711552,149.0,0.0840000000002874,2364.043264,0.0,3698.0,8.4,10.75,11217.59232,31.0,,,,,,,,,,,,,,
4,4,,,1696112242,7.249999999999999,0.0,0.02800000000002001,2828.517376,0.004085624008051777,3345.0,0.05797277034021253,251.092992,86.0,2301.202432,0.0,0.0,0.0,12.25,2492.0,0.057302472658620714,29868.21632,2.711552,149.0,0.08500000000003638,2884.4032,0.0,4226.0,9.9,10.75,11737.94816,35.0,,,,,,,,,,,,,,
5,5,,,1696112243,7.249999999999999,0.0,0.031999999999982265,3199.586304,0.0040715067216872585,3621.0,0.0,251.092992,87.0,2671.075328,0.0,0.0,0.0,12.25,2693.0,0.0006043642810063269,29497.147392,2.711552,160.0,0.08500000000003638,3278.37696,0.0,4721.0,11.1,10.75,12332.855296,39.0,,,,,,,,,,,,,,
6,6,,,1696112244,7.249999999999999,0.0,0.04399999999998272,3144.994816,0.22845228956280988,4223.0,0.059431697401267,518.955008,90.0,2801.537024,0.0,0.0,0.0,12.25,3013.0,0.016294117326684975,29539.151872,2.711552,184.0,0.08800000000019281,3399.84384,0.0,5812.0,10.9,10.75,12794.589184,74.0,,,,,,,,,,,,,,
7,7,,,1696112245,7.249999999999999,0.0,0.04800000000000182,2582.974464,0.004081874080686617,6564.0,0.0010683029810208858,1424.95744,91.0,3142.81984,0.0,0.0,0.0,12.25,3753.0,0.0006377928234078625,29208.580096,2.711552,637.0,0.08899999999994179,2882.392064,0.0,7948.0,11.9,10.75,15050.40384,80.0,,,,,,,,,,,,,,
8,8,,,1696112246,7.249999999999999,0.0,0.055999999999983174,5635.93216,0.17927685932376228,8273.0,0.044373569229148126,1815.302144,129.0,6252.040192,0.0,0.0,0.0,12.25,4571.0,0.00775105029610552,25765.289984,2.711552,861.0,0.125,5609.734144,0.0,87529.0,22.3,10.75,21421.002752,84.0,,,,,,,,,,,,,,
9,9,,,1696112247,7.375,0.0,0.060000000000002274,6154.461184,0.004078585101560953,10354.0,0.0,2468.179968,130.0,6746.025984,0.0,0.0,0.0,15.25,5135.0,0.0,24593.44896,2.711552,1181.0,0.125,5459.18976,0.0,174214.0,25.8,11.5,21990.326272,85.0,,,,,,,,,,,,,,
10,10,,,1696112248,7.375,0.0,0.06400000000002137,6156.496896,0.004084514718012126,10749.0,0.04621405030917766,2468.184064,131.0,6746.140672,0.0,0.0,0.0,15.25,5329.0,0.008735436746206044,24591.413248,2.711552,1181.0,0.12600000000020373,5467.713536,0.0,174498.0,25.9,11.5,22065.82784,85.0,,,,,,,,,,,,,,
11,11,,,1696112249,7.375,0.0,0.07200000000000273,6156.496896,0.004085979648703578,11035.0,0.0,2468.184064,132.0,6746.140672,0.0,0.0,0.0,15.25,5405.0,0.0,24591.413248,2.711552,1181.0,0.1269999999999527,5467.713536,0.0,174667.0,25.9,11.5,22065.82784,85.0,,,,,,,,,,,,,,
12,12,,,1696112250,7.375,0.0,0.07600000000002183,6157.000704,0.08171380157622533,11442.0,0.04566875843913853,2468.184064,135.0,6746.157056,0.0,0.0,0.0,15.25,5565.0,0.009033205403900063,24590.897152,2.711552,1181.0,0.12800000000015643,5467.713536,0.0,174938.0,25.9,11.5,22065.82784,85.0,,,,,,,,,,,,,,
13,13,,,1696112251,7.375,0.0,0.08400000000000318,6156.992512,0.0040859913138491825,11778.0,0.0,2468.184064,136.0,6746.157056,0.0,0.0,0.0,15.25,5689.0,0.0,24590.897152,2.711552,1181.0,0.12900000000036016,5467.713536,0.0,175154.0,25.9,11.5,22065.82784,85.0,,,,,,,,,,,,,,
14,14,,,1696112252,7.375,0.0,0.08800000000002228,6156.992512,0.0776318039521243,12056.0,0.044242467218429324,2468.184064,151.0,6746.157056,0.0,0.0,0.0,14.124999999999998,5832.0,0.008786247547134257,24590.897152,2.711552,1181.0,0.14200000000028012,5467.713536,0.0,175369.0,25.9,11.25,22065.82784,85.0,,,,,,,,,,,,,,
15,15,,,1696112253,7.375,0.0,0.09199999999998454,6205.550592,0.004085351000764372,12894.0,0.0,2468.184064,152.0,6746.157056,0.0,0.0,0.0,14.124999999999998,6961.0,0.0,24542.355456,2.711552,1181.0,0.14200000000028012,5467.713536,0.0,176438.0,26.0,11.25,22065.82784,85.0,,,,,,,,,,,,,,
16,16,,,1696112254,7.375,0.0,0.09600000000000364,6217.654272,0.0040851635115556235,13279.0,0.04239155026236286,2468.184064,153.0,6746.157056,0.0,0.0,0.0,14.124999999999998,7262.0,0.006965522946533188,24530.24768,2.711552,1181.0,0.1430000000000291,5467.713536,0.0,176979.0,26.0,11.25,22065.82784,85.0,,,,,,,,,,,,,,
17,17,,,1696112255,7.375,0.0020000000000095497,0.103999999999985,6178.537472,0.0776294776643746,13993.0,0.018713109078282338,2468.184064,156.0,6746.157056,3.0,0.0,0.11031557352310639,14.124999999999998,7983.0,0.054256046329497085,24569.368576,2.711552,1181.0,0.1449999999999818,5467.713536,0.0,177690.0,25.9,11.25,22065.82784,85.0,,,,,,,,,,,,,,
18,18,,,1696112256,7.375,0.0020000000000095497,0.10800000000000409,6178.537472,0.004085996172834047,14293.0,0.04542478557277356,2468.184064,157.0,6746.157056,3.0,0.0,0.0,14.124999999999998,8136.0,0.008898214313413188,24569.368576,2.711552,1181.0,0.1449999999999818,5467.713536,0.0,177895.0,25.9,11.25,22065.82784,85.0,,,,,,,,,,,,,,
19,19,,,1696112257,7.375,0.0020000000000095497,0.12400000000002365,6178.52928,0.2615013294394583,14717.0,0.0,2468.184064,207.0,6746.157056,3.0,0.0,0.0,13.0,8258.0,0.0,24569.380864,2.711552,1181.0,0.19800000000032014,5467.713536,0.0,178203.0,25.9,11.0,22065.82784,85.0,,,,,,,,,,,,,,
20,20,,,1696112258,7.375,0.0020000000000095497,0.132000000000005,6178.52928,0.004086047675154971,15007.0,0.04485873827990925,2468.184064,208.0,6746.157056,3.0,0.0,0.0,13.0,8399.0,0.00787681456271688,24569.380864,2.711552,1181.0,0.19900000000006912,5467.713536,0.0,178399.0,25.9,11.0,22065.82784,85.0,,,,,,,,,,,,,,
21,21,,,1696112259,7.375,0.0020000000000095497,0.1360000000000241,6178.525184,0.004085987426669611,15253.0,0.0,2468.184064,209.0,6746.157056,3.0,0.0,0.0,13.0,8482.0,0.0,24569.380864,2.711552,1181.0,0.19900000000006912,5467.713536,0.0,178557.0,25.9,11.0,22065.82784,85.0,,,,,,,,,,,,,,
22,22,,,1696112260,7.375,0.0020000000000095497,0.14400000000000546,6178.504704,0.151174703365737,15677.0,0.04319619242407839,2468.184064,216.0,6746.157056,3.0,0.0,0.0,13.0,8662.0,0.008339187349451186,24569.389056,2.711552,1181.0,0.20299999999997453,5467.713536,0.0,178845.0,25.9,11.0,22065.82784,85.0,,,,,,,,,,,,,,
23,23,,,1696112261,7.375,0.0020000000000095497,0.14800000000002456,6178.504704,0.00408604281604761,16007.0,0.0052192812567414815,2468.184064,217.0,6746.157056,3.0,0.0,0.0,13.0,8797.0,0.0037029762954653394,24569.389056,2.711552,1181.0,0.20400000000017826,5467.713536,0.0,179063.0,25.9,11.0,22065.82784,85.0,,,,,,,,,,,,,,
24,24,,,1696112262,7.249999999999999,0.0020000000000095497,0.1560000000000059,6178.955264,0.1062361784141607,16684.0,0.1332979933929451,2468.184064,242.0,6746.157056,3.0,0.0,0.0,11.875,9119.0,0.03893677242254217,24568.9344,2.711552,1181.0,0.22600000000011278,5467.713536,0.0,179608.0,25.9,10.875,22065.82784,85.0,,,,,,,,,,,,,,
25,25,,,1696112263,7.249999999999999,0.0020000000000095497,0.160000000000025,6178.955264,0.00408632175114762,17109.0,0.026856391974248432,2468.184064,243.0,6746.157056,3.0,0.0,0.0,11.875,9287.0,0.00399852968523127,24568.9344,2.711552,1181.0,0.22600000000011278,5467.713536,0.0,179898.0,25.9,10.875,22065.82784,85.0,,,,,,,,,,,,,,
26,26,,,1696112264,7.249999999999999,0.0020000000000095497,0.16399999999998727,6178.955264,0.004085631781035429,17416.0,0.05129383024492974,2468.184064,244.0,6746.157056,3.0,0.0,0.0,11.875,9449.0,0.012639923317928998,24568.9344,2.711552,1181.0,0.2270000000003165,5467.713536,0.0,180125.0,25.9,10.875,22065.82784,85.0,,,,,,,,,,,,,,
27,27,,,1696112265,7.249999999999999,0.0020000000000095497,0.17200000000002547,6178.942976,0.044943734529788226,17817.0,0.02737960816209904,2468.184064,247.0,6746.157056,3.0,0.0,0.0,11.875,9578.0,0.003998013320260281,24568.938496,2.711552,1181.0,0.2290000000002692,5467.713536,0.0,180393.0,25.9,10.875,22065.82784,85.0,,,,,,,,,,,,,,
28,28,,,1696112266,7.249999999999999,0.0020000000000095497,0.17599999999998772,6178.942976,0.004086188597925106,18215.0,0.04999994445773562,2468.184064,248.0,6746.157056,3.0,0.0,0.0,11.875,9784.0,0.011364712036731641,24568.938496,2.711552,1181.0,0.2300000000000182,5467.713536,0.0,180686.0,25.9,10.875,22065.82784,85.0,,,,,,,,,,,,,,
29,29,,,1696112267,7.249999999999999,0.0020000000000095497,0.18000000000000682,6178.93888,0.004086474353467825,18588.0,0.005084148756233731,2468.184064,249.0,6746.157056,3.0,0.0,0.0,11.0,9907.0,0.0025141394890176726,24568.971264,2.711552,1181.0,0.23100000000022192,5467.713536,0.0,180934.0,25.9,10.625,22065.82784,85.0,,,,,,,,,,,,,,
30,30,,,1696112268,7.249999999999999,0.0020000000000095497,0.19200000000000728,6179.188736,0.036768281407928836,18920.0,0.04580874643511353,2468.184064,256.0,6746.157056,3.0,0.0,0.0,11.0,10071.0,0.008745233613470267,24568.717312,2.711552,1181.0,0.23500000000012733,5467.713536,0.0,181189.0,25.9,10.625,22065.82784,85.0,,,,,,,,,,,,,,
31,31,,,1696112269,7.249999999999999,0.0020000000000095497,0.19600000000002638,6179.414016,0.00408587178646029,19390.0,0.05517522954657928,2468.184064,257.0,6746.157056,3.0,0.0,0.0,11.0,10292.0,0.04856760876274537,24568.487936,2.711552,1181.0,0.23600000000033106,5467.713536,0.0,181549.0,25.9,10.625,22065.82784,85.0,,,,,,,,,,,,,,
32,32,,,1696112270,7.249999999999999,0.0020000000000095497,0.20400000000000773,6179.405824,0.0449403571511326,19932.0,0.07945953062476883,2468.184064,261.0,6746.157056,3.0,0.0,0.0,11.0,10573.0,0.08859602012973129,24568.496128,2.711552,1181.0,0.23900000000003274,5467.713536,0.0,181966.0,25.9,10.625,22065.82784,85.0,,,,,,,,,,,,,,
33,33,,,1696112271,7.249999999999999,0.0020000000000095497,0.20800000000002683,6179.405824,0.004086178875422346,20232.0,0.006137249135771971,2468.184064,262.0,6746.157056,3.0,0.0,0.0,11.0,10678.0,0.003998389882652836,24568.496128,2.711552,1181.0,0.23900000000003274,5467.713536,0.0,182165.0,25.9,10.625,22065.82784,85.0,,,,,,,,,,,,,,
34,34,,,1696112272,7.249999999999999,0.0020000000000095497,0.21199999999998909,6179.401728,0.0040857435209439635,20654.0,0.006487713833011797,2468.184064,263.0,6746.157056,3.0,0.0,0.0,10.125,10883.0,0.0035830055563303956,24568.496128,2.711552,1181.0,0.24000000000023647,5467.713536,0.0,182466.0,25.9,10.5,22065.831936,85.0,,,,,,,,,,,,,,
35,35,,,1696112273,7.249999999999999,0.0020000000000095497,0.22000000000002728,6179.397632,0.036775338753908635,21080.0,0.11552947130682886,2468.184064,269.0,6746.157056,3.0,0.0,0.0,10.125,11084.0,0.006887395251202657,24568.496128,2.711552,1182.0,0.24400000000014188,5467.713536,0.0,182783.0,25.9,10.5,22065.831936,85.0,,,,,,,,,,,,,,
36,36,,,1696112274,7.249999999999999,0.0020000000000095497,0.22399999999998954,6179.393536,0.004085670646397345,21340.0,0.00362284076790397,2468.184064,270.0,6746.157056,3.0,0.0,0.0,10.125,11236.0,0.010070539754084876,24568.496128,2.711552,1182.0,0.24400000000014188,5467.713536,0.0,182984.0,25.9,10.5,22065.831936,85.0,,,,,,,,,,,,,,
37,37,,,1696112275,7.249999999999999,0.0020000000000095497,0.23200000000002774,6179.381248,0.04902863074241718,21832.0,0.053090410209605095,2468.184064,273.0,6746.185728,3.0,0.0,0.0,10.125,11451.0,0.0130312099602821,24568.516608,2.711552,1182.0,0.2460000000000946,5467.713536,0.0,183348.0,25.9,10.5,22065.831936,85.0,,,,,,,,,,,,,,
38,38,,,1696112276,7.249999999999999,0.0020000000000095497,0.23599999999999,6179.639296,0.004086326610918417,22166.0,0.006137471022110962,2468.184064,274.0,6746.185728,3.0,0.0,0.0,10.125,11633.0,0.003998534440592932,24568.25856,2.711552,1182.0,0.24700000000029831,5467.746304,0.0,183598.0,25.9,10.5,22065.831936,85.0,,,,,,,,,,,,,,
39,39,,,1696112277,7.124999999999999,0.0020000000000095497,0.2400000000000091,6179.6352,0.004086287733075698,22604.0,0.05360060236698392,2468.184064,275.0,6746.185728,3.0,0.0,0.0,9.25,11870.0,0.013168700701685115,24568.266752,2.711552,1182.0,0.24700000000029831,5467.746304,0.0,183931.0,25.9,10.375,22065.831936,85.0,,,,,,,,,,,,,,
40,40,,,1696112278,7.124999999999999,0.0020000000000095497,0.24799999999999045,6179.6352,0.0040862770381693,23010.0,0.007781484599401412,2468.184064,276.0,6746.185728,3.0,0.0,0.0,9.25,12055.0,0.004413498443757197,24568.270848,2.711552,1182.0,0.2480000000000473,5467.746304,0.0,184212.0,25.9,10.375,22065.831936,85.0,,,,,,,,,,,,,,
41,41,,,1696112279,7.124999999999999,0.0020000000000095497,0.25600000000002865,6179.6352,0.04086132228739402,23366.0,0.04944858454719648,2468.184064,284.0,6746.185728,3.0,0.0,0.0,9.25,12203.0,0.012753201766050224,24568.270848,2.711552,1182.0,0.25400000000036016,5467.746304,0.0,184466.0,25.9,10.375,22065.831936,85.0,,,,,,,,,,,,,,
42,42,,,1696112280,7.124999999999999,0.0020000000000095497,0.26400000000001,6179.627008,0.04085892192354617,23781.0,0.006136818546881722,2468.184064,287.0,6746.185728,3.0,0.0,0.0,9.25,12383.0,0.002513781323936401,24568.270848,2.711552,1182.0,0.25600000000031287,5467.746304,0.0,184750.0,25.9,10.375,22065.831936,85.0,,,,,,,,,,,,,,
