_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,33177.530368,1681306037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681306037,7.875,0.0,0.0,754.09408,0.0,12.0,0.15134234347102632,178.225152,0.0,399.1552,0.0,0.0,0.0,1.375,14.0,0.13758394930470724,31938.977792,2.711552,133.0,0.0,1009.401856,0.0,20.0,3.7,10.0,8495.955968,21.0,,,,,,,,,,,,,,
2,2,,,1681306038,7.875,0.0,0.007999999999981355,882.434048,0.008165513648893723,2749.0,0.3942731023432112,180.539392,2.0,401.55136,0.0,0.0,0.0,1.375,1513.0,0.3745291455124877,31810.633728,2.711552,144.0,0.0009999999999763531,1017.925632,0.0,2870.0,4.1,10.0,8571.461632,21.0,,,,,,,,,,,,,,
3,3,,,1681306039,7.75,0.0,0.01999999999998181,882.675712,0.5594171855138101,3034.0,0.0077918366538822885,180.539392,7.0,401.57184,0.0,0.0,0.0,1.25,1691.0,0.004498051046380003,31810.379776,2.711552,144.0,0.008000000000038199,1017.93792,0.0,3094.0,4.1,9.875,8571.461632,21.0,,,,,,,,,,,,,,
4,4,,,1681306040,7.75,0.0,0.027999999999991587,883.965952,0.004085257739732232,3431.0,0.1064879878649207,180.539392,8.0,401.584128,0.0,0.0,0.0,1.25,2001.0,0.09562056396255696,31809.101824,2.711552,144.0,0.009000000000014552,1017.942016,0.0,3467.0,4.1,9.875,8571.461632,21.0,,,,,,,,,,,,,,
5,5,,,1681306041,7.75,0.0,0.031999999999982265,900.210688,0.0040485454903741135,4143.0,0.13108747486335337,180.740096,9.0,403.173376,0.0,0.0,0.0,1.25,2481.0,0.2600636965056581,31792.852992,2.711552,189.0,0.009000000000014552,1036.476416,0.0,4106.0,4.2,9.875,8723.955712,21.0,,,,,,,,,,,,,,
6,6,,,1681306042,7.75,0.0,0.036000000000001364,907.165696,0.004076199696964125,5891.0,0.46221079252651165,180.740096,10.0,418.7136,0.0,0.0,0.0,1.25,4226.0,42.148183507186125,31785.897984,2.711552,616.0,0.009999999999990905,1052.094464,0.0,6331.0,4.2,9.875,8739.57376,21.0,,,,,,,,,,,,,,
7,7,,,1681306043,7.75,0.0,0.03999999999999204,923.541504,0.004085674532974205,8615.0,0.7253269269976177,180.740096,11.0,422.506496,0.0,0.0,0.0,1.25,7334.0,75.70241805276324,31769.485312,2.711552,1348.0,0.009999999999990905,1056.100352,0.0,10384.0,4.2,9.875,8743.579648,21.0,,,,,,,,,,,,,,
8,8,,,1681306044,7.875,0.0,0.0519999999999925,1208.283136,0.16342787521198415,9547.0,0.19563465765427066,182.820864,14.0,708.141056,0.0,0.0,0.0,2.125,8215.0,0.3173277776250302,31484.76416,2.711552,1376.0,0.013000000000147338,1340.94848,0.0,11491.0,5.1,9.875,9028.427776,22.0,,,,,,,,,,,,,,
9,9,,,1681306045,7.875,0.0,0.055999999999983174,1637.86752,0.004085310198538876,10505.0,0.08789002310667492,183.54176,15.0,1137.897472,0.0,0.0,0.0,2.125,8654.0,0.6142487298085865,31055.167488,2.711552,1381.0,0.013000000000147338,2588.688384,0.0,12465.0,6.4,9.875,10276.16768,26.0,,,,,,,,,,,,,,
