_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,8.0,33177.530368,1681306037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681306037,8.625,0.0,0.0,720.830464,0.0,9.0,0.0,179.187712,0.0,400.130048,0.0,0.0,0.0,1.375,18.0,0.0,31972.237312,2.711552,126.0,0.0,1009.405952,0.0,18.0,3.6,10.75,8495.96416,30.0,,,,,,,,,,,,,,
2,2,,,1681306038,8.625,0.0,0.027999999999991587,867.045376,2.8539005995052293,3090.0,0.38529348641557,181.690368,225.0,402.710528,0.0,0.0,0.0,1.375,1474.0,0.3609240741092281,31826.038784,2.711552,137.0,0.30999999999994543,1017.929728,0.0,3163.0,4.1,10.75,8571.469824,30.0,,,,,,,,,,,,,,
3,3,,,1681306039,8.5,0.0,0.031999999999982265,867.299328,0.0040835535616087345,3330.0,0.007792249666268672,181.690368,226.0,402.7392,0.0,0.0,0.0,1.25,1646.0,0.005742497195218893,31825.780736,2.711552,137.0,0.31100000000014916,1018.20416,0.0,3352.0,4.1,10.625,8571.731968,30.0,,,,,,,,,,,,,,
4,4,,,1681306040,8.5,0.0,0.036000000000001364,868.589568,0.0040856376107925784,3764.0,0.1062505171486204,181.690368,227.0,402.7392,0.0,0.0,0.0,1.25,1979.0,0.09516662917975491,31824.494592,2.711552,137.0,0.31100000000014916,1018.208256,0.0,3752.0,4.1,10.625,8571.731968,30.0,,,,,,,,,,,,,,
5,5,,,1681306041,8.5,0.0,0.04800000000000182,875.802624,0.35544818974962616,4362.0,0.11618457351768852,181.755904,231.0,404.1728,0.0,0.0,0.0,1.25,2450.0,0.22928897907981383,31817.281536,2.711552,166.0,0.31500000000005457,1027.960832,0.0,4317.0,4.1,10.625,8648.462336,30.0,,,,,,,,,,,,,,
6,6,,,1681306042,8.5,0.0,0.0519999999999925,902.443008,0.004085551137768394,5889.0,0.5071589328649374,181.891072,232.0,419.618816,0.0,0.0,0.0,1.25,4343.0,42.37805743590533,31790.637056,2.711552,559.0,0.3160000000000309,1052.065792,0.0,6671.0,4.2,10.625,8739.549184,30.0,,,,,,,,,,,,,,
7,7,,,1681306043,8.5,0.0,0.055999999999983174,1188.827136,0.003103474976624652,9305.0,0.5294698030669401,183.762944,233.0,709.12,0.0,0.0,0.0,1.25,7448.0,57.440296846879775,31504.248832,2.711552,1220.0,0.3160000000000309,1340.936192,0.0,11112.0,5.0,10.625,9028.419584,32.0,,,,,,,,,,,,,,
8,8,,,1681306044,8.5,0.0,0.060000000000002274,1413.193728,0.004040107228541195,10392.0,0.1576273087065191,183.82848,234.0,932.163584,0.0,0.0,0.0,1.125,8122.0,1.0982779002351841,31279.874048,2.711552,1253.0,0.3170000000000073,2588.680192,0.0,12178.0,5.7,10.375,10276.163584,35.0,,,,,,,,,,,,,,
9,9,,,1681306045,8.5,0.0,0.06399999999999295,2013.14304,0.004085640525677392,11089.0,0.13903945412001076,184.352768,235.0,1521.3568,0.0,0.0,0.0,1.125,8885.0,0.08706723391985907,30679.924736,2.711552,1253.0,0.3170000000000073,2588.680192,0.0,13211.0,7.5,10.375,10276.163584,37.0,,,,,,,,,,,,,,
10,10,,,1681306046,8.5,0.0,0.0759999999999934,2449.829888,0.1552420459346504,11913.0,0.11826673544635379,184.352768,238.0,1956.59776,0.0,0.0,0.0,1.125,9640.0,0.10241219467732585,30243.24608,2.711552,1253.0,0.31999999999993634,2588.680192,0.0,14314.0,8.8,10.375,10276.163584,41.0,,,,,,,,,,,,,,
11,11,,,1681306047,8.5,0.0,0.07999999999998408,2884.89472,0.004085196539493871,12370.0,0.07626232132623552,185.991168,239.0,2397.294592,0.0,0.0,0.0,1.125,9951.0,0.06188434444486666,29808.181248,2.711552,1254.0,0.31999999999993634,3029.684224,0.0,14972.0,10.2,10.375,10717.167616,43.0,,,,,,,,,,,,,,
12,12,,,1681306048,8.5,0.0,0.08400000000000318,3404.86144,0.004085359744204444,12959.0,0.12618335739416806,185.991168,240.0,2916.069376,0.0,0.0,0.0,1.125,10298.0,0.05922973706457112,29288.214528,2.711552,1256.0,0.32100000000014006,3563.23328,0.0,15689.0,11.7,10.375,11250.716672,46.0,,,,,,,,,,,,,,
13,13,,,1681306049,8.5,0.0,0.08799999999999386,3589.873664,0.004085363630189823,13516.0,0.07909806574299771,185.991168,241.0,3100.909568,0.0,0.0,0.0,2.0,10676.0,0.07427063410787495,29103.198208,2.711552,1256.0,0.32100000000014006,3731.300352,0.0,16435.0,12.3,10.375,11418.783744,47.0,,,,,,,,,,,,,,
14,14,,,1681306050,8.5,0.0,0.09199999999998454,3589.873664,0.004085389860784493,14150.0,0.14850232556334406,185.991168,242.0,3100.909568,0.0,0.0,0.0,2.0,11037.0,0.08882531235569614,29103.2064,2.711552,1256.0,0.3220000000001164,3731.300352,0.0,17215.0,12.3,10.375,11418.783744,51.0,,,,,,,,,,,,,,
15,15,,,1681306051,8.5,0.0,0.10800000000000409,3590.107136,0.1511681242261327,14760.0,0.10391212593332881,185.991168,261.0,3100.909568,0.0,0.0,0.0,2.0,11433.0,0.07089995691426329,29102.948352,2.711552,1256.0,0.3350000000000364,3731.300352,0.0,18019.0,12.3,10.375,11418.783744,52.0,,,,,,,,,,,,,,
16,16,,,1681306052,8.5,0.0,0.11599999999998545,3685.298176,0.004085249968171753,15483.0,0.14700516680287876,185.991168,262.0,3196.022784,0.0,0.0,0.0,2.0,11787.0,0.08233534065546005,29007.777792,2.711552,1256.0,0.3350000000000364,4759.506944,0.0,18973.0,12.6,10.375,12446.990336,55.0,,,,,,,,,,,,,,
17,17,,,1681306053,8.5,0.0,0.14399999999997704,4209.135616,8.763405071882929,16155.0,0.10677367721707214,185.991168,359.0,3718.852608,0.0,0.0,0.0,2.0,12302.0,0.10875259298972863,28483.940352,2.711552,1256.0,0.5769999999999982,4759.506944,0.0,19926.0,14.1,10.375,12446.990336,57.0,,,,,,,,,,,,,,
18,18,,,1681306054,8.5,0.0,0.14799999999999613,4620.464128,0.004085530734554857,16933.0,0.1609395886205671,185.991168,360.0,4128.95232,0.0,0.0,0.0,2.875,12732.0,0.1055934144559971,28072.615936,2.711552,1256.0,0.5769999999999982,4785.078272,0.0,20839.0,15.4,10.5,12673.49504,61.0,,,,,,,,,,,,,,
19,19,,,1681306055,8.5,0.0,0.1519999999999868,4620.460032,0.004085548223011126,17475.0,0.0933372217927216,185.991168,361.0,4128.95232,0.0,0.0,0.0,2.875,13080.0,0.06879201411219592,28072.615936,2.711552,1256.0,0.5779999999999745,4785.078272,0.0,21556.0,15.4,10.5,12673.49504,64.0,,,,,,,,,,,,,,
20,20,,,1681306056,8.5,0.0,0.1599999999999966,4018.827264,0.06536378187730775,18087.0,0.13625699501326646,341.204992,364.0,3601.063936,0.0,0.0,0.0,2.875,13463.0,0.07672584552822244,28661.653504,2.711552,1268.0,0.5799999999999272,4113.350656,0.0,22692.0,13.6,10.5,13446.656,67.0,,,,,,,,,,,,,,
21,21,,,1681306057,8.5,0.0,0.16399999999998727,4724.768768,0.004085578342370117,18877.0,0.1286239009598786,455.892992,365.0,4417.314816,0.0,0.0,0.0,2.875,13916.0,0.09684895377585138,27955.716096,2.711552,1271.0,0.5799999999999272,4812.06272,0.0,23624.0,15.7,10.5,14447.357952,69.0,,,,,,,,,,,,,,
22,22,,,1681306058,8.5,0.0,0.1799999999999784,3183.480832,5.773155842241009,19919.0,0.13200229350022688,466.960384,389.0,2883.600384,0.0,0.0,0.0,2.875,14462.0,0.10023549836863796,29497.01632,2.711552,1293.0,0.6539999999999964,4120.215552,0.0,24692.0,11.1,10.5,15566.925824,71.0,,,,,,,,,,,,,,
23,23,,,1681306059,8.5,0.0,0.18799999999998818,2986.20928,0.11844932160829681,21039.0,0.14287630320804107,1761.959936,394.0,3988.180992,0.0,0.0,0.0,3.6249999999999996,15074.0,0.08975439907200541,28399.525888,2.711552,1396.0,0.6569999999999254,3110.879232,0.0,26163.0,14.4,10.5,15852.83072,72.0,,,,,,,,,,,,,,
