03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_samples_per_second,_timestamp,04_peers/peer_3_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,_step,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,04_peers/peer_4_epoch,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_3_epoch,03_hivemind/per_epoch_training_samples,_runtime,04_peers/peer_4_epoch_oos
,,,,,0.5924853314071639,1,0,,10.0,,,0,,1681306538.0,,,,32,0,,55251.18,,,,,,,32,0.5924853314071639,,,,40,
,,0.0,,,1.9119324850423711,1,0,,10.0,0.59,,0,,1681306539.0,,,,96,1,,17088.16,32.0,,,,,,97,1.9119324850423711,0.0,,,41,
,,0.0,,,2.6407808717018004,1,0,,10.0,1.91,,0,,1681306540.0,,,,128,2,,12359.35,96.0,,,,,,130,2.6407808717018004,0.0,,,42,
,,0.0,,,4.238821066120365,1,0,,10.0,2.64,,0,,1681306541.0,,,,192,3,,7685.06,128.0,,,,,,192,4.238821066120365,0.0,,,43,
,,0.0,,,5.107526047001973,1,0,,10.0,4.24,,0,,1681306543.0,,,,224,4,,6371.36,192.0,,,,,,226,5.107526047001973,0.0,,,45,
,,0.0,,,6.020095348089766,1,0,,10.0,5.11,,0,,1681306544.0,,,,256,5,,5399.84,224.0,,,,,,260,6.020095348089766,0.0,,,46,
,,0.0,,,7.970553151020614,1,0,,10.0,6.02,,0,,1681306545.0,,,,320,6,,4070.78,256.0,,,,,,322,7.970553151020614,0.0,,,47,
,,0.0,,,9.00242369038441,1,0,,10.0,7.97,,0,,1681306546.0,,,,352,7,,3600.29,320.0,,,,,,357,9.00242369038441,0.0,,,48,
,,0.0,,,10.066931286663161,1,0,,10.0,9.0,,0,,1681306547.0,,,,384,8,,3216.03,352.0,,,,,,392,10.066931286663161,0.0,,,49,
,,0.0,,,12.27205415038621,1,0,,10.0,10.07,,0,,1681306551.0,,,,448,9,,2630.34,384.0,,,,,,488,12.27205415038621,0.0,,,53,
,,0.0,,,17.968334455107808,1,0,,10.0,12.27,,0,,1681306556.0,,,,608,10,,1786.66,448.0,,,,,,665,17.968334455107808,0.0,,,58,
,,0.0,,,23.291965600760125,1,0,,10.0,17.97,,0,,1681306557.0,,,,768,11,,1373.71,608.0,,,,,,772,23.291965600760125,0.0,,,59,
,,0.0,,,24.257536065241098,1,0,,10.0,23.29,,0,,1681306558.0,,,,800,12,,1317.39,768.0,,,,,,811,24.257536065241098,0.0,,,60,
,,0.0,,,25.17003767275174,1,0,,10.0,24.26,,0,,1681306559.0,,,,832,13,,1268.04,800.0,,,,,,851,25.17003767275174,0.0,,,61,
,,0.0,,,26.866356940200667,1,0,,10.0,25.17,,0,,1681306560.0,,,,896,14,,1186.11,832.0,,,,,,902,26.866356940200667,0.0,,,62,
,,0.0,,,27.648643153492408,1,0,,10.0,26.87,,0,,1681306562.0,,,,928,15,,1150.88,896.0,,,,,,948,27.648643153492408,0.0,,,64,
,,0.0,,,29.055972807718287,1,0,,10.0,27.65,,0,,1681306563.0,,,,992,16,,1093.44,928.0,,,,,,997,29.055972807718287,0.0,,,65,
,,0.0,,,46.608571878360586,4,0,,10.0,29.06,,0,,1681306564.0,,,,1152,17,,677.84,992.0,,,,,,1175,46.608571878360586,0.0,,,66,
,2.71,0.0,0.0,,61.156775641119154,4,0,,10.0,29.69,,0,4.83,1681306566.0,0.0,32.0,32.0,1312,18,0.0,513.62,1024.0,64.0,,,0.0,9.37,1357,61.156775641119154,0.0,0.0,,68,0.0
,5.31,0.0,0.0,,75.91713348329029,4,0,,10.0,30.29,,0,12.53,1681306567.0,0.0,96.0,64.0,1536,19,0.0,410.97,1056.0,96.0,,,0.0,13.03,1568,75.91713348329029,0.0,0.0,,69,0.0
,10.12,0.0,0.0,,85.85690733943632,4,0,,10.0,31.32,,0,15.62,1681306568.0,0.0,128.0,128.0,1696,20,0.0,361.28,1120.0,160.0,,,0.0,18.85,1750,85.85690733943632,0.0,0.0,,70,0.0
,12.33,0.0,0.0,,96.5475855972018,4,0,,10.0,31.77,,0,20.56,1681306569.0,0.0,192.0,160.0,1920,21,0.0,319.15,1152.0,192.0,,,0.0,21.2,1954,96.5475855972018,0.0,0.0,,71,0.0
,16.36,0.0,0.0,,103.63957839965349,4,0,,10.0,32.6,,0,22.6,1681306570.0,0.0,224.0,224.0,2080,22,0.0,295.56,1216.0,256.0,,,0.0,24.99,2137,103.63957839965349,0.0,0.0,,72,0.0
,18.18,0.0,0.0,,111.15829517490405,4,0,,10.0,32.95,,0,25.98,1681306572.0,0.0,288.0,256.0,2272,23,0.0,273.8,1248.0,288.0,,,0.0,26.54,2333,111.15829517490405,0.0,0.0,,74,0.0
,21.43,0.0,0.0,,116.52622716820854,4,0,,10.0,33.26,,0,27.37,1681306573.0,0.0,320.0,320.0,2464,24,0.0,259.6,1280.0,352.0,,,0.0,29.09,2517,116.52622716820854,0.0,0.0,,75,0.0
,22.89,0.0,0.0,,120.8067999276357,4,0,,10.0,33.81,,0,29.7,1681306574.0,0.0,384.0,352.0,2624,25,0.0,248.9,1344.0,384.0,,,0.0,30.13,2699,120.8067999276357,0.0,0.0,,76,0.0
,24.22,0.0,0.0,,125.73724994101075,4,0,,10.0,34.03,,0,30.67,1681306575.0,0.0,416.0,384.0,2816,26,0.0,237.59,1376.0,448.0,,,0.0,31.89,2894,125.73724994101075,0.0,0.0,,77,0.0
,26.58,0.0,0.0,,129.0195060021677,4,0,,10.0,34.26,,0,32.29,1681306577.0,0.0,480.0,448.0,3008,27,0.0,230.12,1408.0,480.0,,,0.0,32.61,3078,129.0195060021677,0.0,0.0,,79,0.0
,27.61,0.0,0.0,,132.62019451465773,4,0,,10.0,34.6,,0,32.97,1681306578.0,0.0,512.0,480.0,3200,28,0.0,222.42,1472.0,544.0,,,0.0,33.84,3270,132.62019451465773,0.0,0.0,,80,0.0
,29.41,0.0,0.0,,134.93699562497113,4,0,,10.0,34.77,,0,34.11,1681306579.0,0.0,576.0,544.0,3392,29,0.0,217.25,1504.0,576.0,,,0.0,34.33,3453,134.93699562497113,0.0,0.0,,81,0.0
,30.2,0.0,0.0,,137.53430658650447,4,0,,10.0,35.03,,0,34.54,1681306580.0,0.0,608.0,576.0,3584,30,0.0,211.78,1568.0,640.0,,,0.0,35.17,3642,137.53430658650447,0.0,0.0,,82,0.0
,31.55,0.0,0.0,,138.87233830939266,4,0,,10.0,35.13,,0,35.32,1681306581.0,0.0,672.0,640.0,3712,31,0.0,208.44,1600.0,672.0,,,0.0,35.54,3822,138.87233830939266,0.0,0.0,,83,0.0
,32.13,0.0,0.0,,141.1170117909972,4,0,,10.0,35.22,,0,35.67,1681306583.0,0.0,704.0,672.0,3968,32,0.0,203.77,1632.0,704.0,,,0.0,35.86,4012,141.1170117909972,0.0,0.0,,85,0.0
,33.13,0.0,0.0,,142.0460473815719,4,0,,10.0,35.35,,0,36.24,1681306584.0,0.0,768.0,736.0,4096,33,0.0,201.16,1696.0,768.0,,,0.0,36.4,4194,142.0460473815719,0.0,0.0,,86,0.0
,33.57,0.0,0.0,,143.3098365586231,4,0,,10.0,35.4,,0,36.48,1681306585.0,0.0,800.0,768.0,4320,34,0.0,198.09,1728.0,800.0,,,0.0,36.6,4380,143.3098365586231,0.0,0.0,,87,0.0
,33.96,0.0,0.0,,144.35837828535787,4,0,,10.0,35.49,,0,36.88,1681306586.0,0.0,864.0,800.0,4480,35,0.0,195.37,1792.0,864.0,,,0.0,36.97,4565,144.35837828535787,0.0,0.0,,88,0.0
,34.64,0.0,0.0,,145.2480288781864,4,0,,10.0,35.53,,0,37.06,1681306588.0,0.0,896.0,864.0,4672,36,0.0,192.9,1824.0,896.0,,,0.0,37.13,4749,145.2480288781864,0.0,0.0,,90,0.0
,34.94,0.0,0.0,,146.0724496903753,4,0,,10.0,35.59,,0,37.35,1681306589.0,0.0,960.0,896.0,4864,37,0.0,190.54,1856.0,960.0,,,0.0,37.38,4935,146.0724496903753,0.0,0.0,,91,0.0
,35.43,0.0,0.0,,146.6755967141986,4,0,,10.0,35.69,,0,37.47,1681306590.0,0.0,992.0,960.0,5056,38,0.0,188.51,1920.0,992.0,,,0.0,37.48,5119,146.6755967141986,0.0,0.0,,92,0.0
,35.65,0.0,0.0,,147.2310881089789,4,0,,10.0,35.72,,0,37.65,1681306591.0,0.0,1056.0,992.0,5216,39,0.0,186.53,1952.0,1056.0,,,0.0,37.66,5305,147.2310881089789,0.0,0.0,,93,0.0
,36.0,0.0,0.0,,147.6890981648301,4,0,,10.0,35.75,,0,37.73,1681306592.0,0.0,1088.0,1056.0,5408,40,0.0,184.7,1984.0,1088.0,,,0.0,37.74,5490,147.6890981648301,0.0,0.0,,94,0.0
,36.16,0.0,0.0,,148.04502671204494,4,0,,10.0,35.85,,0,37.8,1681306594.0,0.0,1120.0,1088.0,5568,41,0.0,183.02,2048.0,1152.0,,,0.0,37.88,5673,148.04502671204494,0.0,0.0,,96,0.0
,36.3,0.0,0.0,,148.49167473885183,4,0,,10.0,35.9,,0,37.93,1681306595.0,0.0,1184.0,1120.0,5792,42,0.0,181.22,2080.0,1184.0,,,0.0,37.92,5859,148.49167473885183,0.0,0.0,,97,0.0
,36.53,0.0,0.0,,148.70552014867923,4,0,,10.0,35.97,,0,37.97,1681306596.0,0.0,1216.0,1184.0,5952,43,0.0,179.71,2144.0,1248.0,,,0.0,38.01,6044,148.70552014867923,0.0,0.0,,98,0.0
,36.64,0.0,0.0,,148.97982719331483,4,0,,10.0,35.99,,0,38.02,1681306597.0,0.0,1280.0,1216.0,6144,44,0.0,178.14,2176.0,1280.0,,,0.0,38.04,6228,148.97982719331483,0.0,0.0,,99,0.0
,36.82,0.0,0.0,,149.2053941147757,4,0,,10.0,36.02,,0,38.06,1681306599.0,0.0,1312.0,1280.0,6336,45,0.0,176.62,2208.0,1344.0,,,0.0,38.09,6415,149.2053941147757,0.0,0.0,,101,0.0
,36.9,0.0,0.0,,149.45489056642793,4,0,,10.0,36.09,,0,38.12,1681306600.0,0.0,1376.0,1312.0,6528,46,0.0,175.08,2272.0,1376.0,,,0.0,38.1,6602,149.45489056642793,0.0,0.0,,102,0.0
,37.03,0.0,0.0,,149.60523801746064,4,0,,10.0,36.12,,0,38.15,1681306601.0,0.0,1408.0,1376.0,6720,47,0.0,173.67,2304.0,1440.0,,,0.0,38.15,6786,149.60523801746064,0.0,0.0,,103,0.0
,37.09,0.0,0.0,,149.70285922397915,4,0,,10.0,36.19,,0,38.19,1681306602.0,0.0,1472.0,1408.0,6912,48,0.0,172.33,2368.0,1472.0,,,0.0,38.14,6970,149.70285922397915,0.0,0.0,,104,0.0
,37.2,0.0,0.0,,149.82358678798596,4,0,,10.0,36.18,,0,38.18,1681306604.0,0.0,1504.0,1472.0,7072,49,0.0,170.96,2400.0,1536.0,,,0.0,38.14,7154,149.82358678798596,0.0,0.0,,106,0.0
,37.26,0.0,0.0,,149.91021937724534,4,0,,10.0,36.21,,0,38.21,1681306605.0,0.0,1568.0,1504.0,7232,50,0.0,169.63,2432.0,1568.0,,,0.0,38.15,7338,149.91021937724534,0.0,0.0,,107,0.0
,37.3,0.0,0.0,,150.03772656712857,4,0,,10.0,36.28,,0,38.22,1681306606.0,0.0,1600.0,1536.0,7456,51,0.0,168.25,2496.0,1600.0,,,0.0,38.11,7524,150.03772656712857,0.0,0.0,,108,0.0
,37.35,0.0,0.0,,150.10769397110127,4,0,,10.0,36.32,,0,38.24,1681306607.0,0.0,1664.0,1600.0,7616,52,0.0,166.92,2528.0,1664.0,,,0.0,38.12,7712,150.10769397110127,0.0,0.0,,109,0.0
,37.38,0.0,0.0,,150.15272493762586,4,0,,10.0,36.39,,0,38.24,1681306608.0,0.0,1696.0,1632.0,7840,53,0.0,165.64,2592.0,1696.0,,,0.0,38.1,7897,150.15272493762586,0.0,0.0,,110,0.0
,37.41,0.0,0.0,,150.15923676293778,4,0,,10.0,36.42,,0,38.24,1681306610.0,0.0,1760.0,1696.0,7968,54,0.0,164.41,2624.0,1760.0,,,0.0,38.08,8081,150.15923676293778,0.0,0.0,,112,0.0
,37.42,0.0,0.0,,150.2069714645419,4,0,,10.0,36.42,,0,38.24,1681306611.0,0.0,1792.0,1728.0,8224,55,0.0,163.13,2656.0,1792.0,,,0.0,38.08,8265,150.2069714645419,0.0,0.0,,113,0.0
,37.45,0.0,0.0,,150.20514074089704,4,0,,10.0,36.47,,0,38.23,1681306612.0,0.0,1856.0,1792.0,8352,56,0.0,161.91,2720.0,1856.0,,,0.0,38.06,8449,150.20514074089704,0.0,0.0,,114,0.0
,37.46,0.0,0.0,,150.27452426624757,4,0,,10.0,36.48,,0,38.22,1681306613.0,0.0,1888.0,1824.0,8576,57,0.0,160.61,2752.0,1888.0,,,0.0,38.04,8632,150.27452426624757,0.0,0.0,,115,0.0
,37.49,0.0,0.0,,150.26414805107595,4,0,,10.0,36.53,,0,38.22,1681306615.0,0.0,1920.0,1888.0,8736,58,0.0,159.4,2816.0,1952.0,,,0.0,38.04,8816,150.26414805107595,0.0,0.0,,117,0.0
