_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,4.0,29438.603264,1681377322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681377322,6.0,0.0,0.0,903.63904,0.0,10.0,0.0,179.396608,0.0,403.857408,0.0,0.0,0.0,5.0,0.0,0.0,28088.963072,2.711552,129.0,0.0,740.970496,0.0,5.0,4.6,3.25,8227.639296,31.0,,,,,,,,,,,,,,
2,2,,,1681377323,6.0,0.0,0.003999999999962256,1069.338624,0.008165843548084455,4904.0,0.7142003067091358,184.332288,2.0,426.672128,0.0,0.0,0.0,5.0,1924.0,0.6668479834777963,27923.259392,2.711552,152.0,0.0010000000002037268,778.428416,0.0,1603.0,5.1,3.25,8399.056896,67.0,,,,,,,,,,,,,,
3,3,,,1681377324,6.0,0.0,0.012000000000000455,1827.110912,0.008169940421557238,5545.0,0.18123066083100853,184.397824,4.0,1181.831168,0.0,0.0,0.0,6.5,2462.0,0.13083872361805898,27165.478912,2.711552,152.0,0.0010000000002037268,1545.392128,0.0,1926.0,7.7,3.75,9166.012416,70.0,,,,,,,,,,,,,,
4,4,,,1681377325,6.0,0.0,0.047999999999944976,1848.778752,1.687021295316676,5896.0,0.12962051199781555,186.232832,10.0,1204.404224,0.0,0.0,0.0,6.5,2749.0,0.11891387525865094,27143.806976,2.711552,153.0,0.02200000000084401,1577.152512,0.0,2021.0,7.8,3.75,9398.706176,87.0,,,,,,,,,,,,,,
5,5,,,1681377326,6.0,0.7470000000000141,0.6919999999999504,1944.670208,0.004084840060270007,6387.0,0.03374779971196453,277.23776,11.0,1302.151168,43.0,0.0,3.8642586964752987,6.5,3043.0,0.040545228871214554,27037.425664,2.711552,197.0,0.02200000000084401,1595.830272,0.0,2307.0,8.2,3.75,9687.867392,90.0,,,,,,,,,,,,,,
6,6,,,1681377327,6.0,0.7470000000000141,0.6959999999999695,2734.067712,0.004083737020166485,6735.0,0.14438243657952446,463.405056,12.0,2254.839808,43.0,0.0,0.0,6.5,3296.0,0.049738640732226676,26245.935104,2.711552,201.0,0.02200000000084401,2360.676352,0.0,2448.0,10.8,3.75,11526.455296,92.0,,,,,,,,,,,,,,
7,7,,,1681377328,6.0,0.7470000000000141,0.8359999999999559,2289.184768,0.6944731730233057,7703.0,0.13755419925250345,466.030592,135.0,1818.529792,43.0,0.0,0.0,6.5,3950.0,0.142325510802346,26690.830336,2.711552,214.0,5.608000000000175,1921.880064,0.0,2861.0,9.3,3.75,11859.410944,93.0,,,,,,,,,,,,,,
8,8,,,1681377329,6.0,0.7470000000000141,0.839999999999975,2289.115136,0.0040854772985328,8257.0,0.249501375298185,466.030592,136.0,1818.591232,43.0,0.0,0.0,6.0,4374.0,1.14993418821027,26690.850816,2.711552,214.0,5.609000000000378,1921.880064,0.0,3166.0,9.3,3.5000000000000004,11859.410944,93.0,,,,,,,,,,,,,,
9,9,,,1681377330,6.0,0.7470000000000141,0.9039999999999964,2293.673984,0.1797669860654908,9047.0,0.23077331485359565,466.030592,140.0,1818.591232,43.0,0.0,0.0,6.0,5112.0,0.6950968848690137,26686.337024,2.711552,214.0,5.6489999999994325,1921.880064,0.0,3525.0,9.3,3.5000000000000004,11859.410944,93.0,,,,,,,,,,,,,,
