_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,4.0,29438.603264,1681377322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681377322,11.5,0.0,0.004000000000019099,908.640256,0.0,3.0,0.0,177.72544,0.0,404.963328,0.0,0.0,0.0,1.5,4.0,0.0,28078.010368,2.711552,147.0,0.0,740.962304,0.0,2.0,4.6,4.5,8227.631104,35.0,,,,,,,,,,,,,,
2,1,,,1681377323,11.5,0.023000000000024556,0.02400000000000091,1076.051968,0.008167580821347959,2811.0,0.7890888067615559,182.677504,2.0,442.53184,2.0,0.0,0.11842992189299661,1.5,1281.0,0.7295707519952462,27910.59456,2.711552,167.0,0.0,792.752128,0.0,1271.0,5.2,4.5,8413.380608,35.0,,,,,,,,,,,,,,
3,2,,,1681377324,11.5,0.023000000000024556,0.03200000000003911,1835.95008,0.0040823464448080556,3118.0,0.008156719559198245,182.74304,3.0,1199.169536,2.0,0.0,0.0,1.5,1517.0,0.008794586188225172,27150.688256,2.711552,167.0,0.0010000000002037268,1545.392128,0.0,1370.0,7.8,4.5,9166.012416,39.0,,,,,,,,,,,,,,
4,3,,,1681377325,11.5,0.023000000000024556,0.03600000000005821,1844.015104,0.004085253853948296,3659.0,0.15979566195622918,184.672256,4.0,1207.701504,2.0,0.0,0.0,1.5,1869.0,0.15962012370718687,27142.631424,2.711552,177.0,0.0010000000002037268,1577.152512,0.0,1538.0,7.8,4.5,9398.706176,46.0,,,,,,,,,,,,,,
5,4,,,1681377326,11.5,0.6850000000000023,0.6440000000000055,1926.77888,0.5720104865647141,6167.0,0.035878336322463726,270.323712,60.0,1295.826944,23.0,0.0,1.8263477678168578,1.5,2878.0,0.030707259381500776,27051.474944,2.711552,204.0,0.8700000000008004,1589.669888,0.0,2148.0,8.1,4.5,9581.043712,46.0,,,,,,,,,,,,,,
6,5,,,1681377327,11.5,1.524000000000001,1.1159999999999854,2597.654528,0.004085462725314834,6773.0,0.2139282336921444,380.301312,61.0,2068.840448,46.0,0.0,2.108098765967856,3.5000000000000004,3306.0,0.10068431378864377,26376.409088,2.711552,225.0,0.8700000000008004,2253.000704,0.0,2412.0,10.4,5.0,10647.027712,51.0,,,,,,,,,,,,,,
7,6,,,1681377328,11.5,1.524000000000001,1.1240000000000236,2287.706112,0.008171246071047418,7828.0,0.24719615313451138,463.978496,63.0,1819.394048,46.0,0.0,0.0,3.5000000000000004,4038.0,0.3738345077808103,26686.357504,2.711552,230.0,0.8700000000008004,1920.06144,0.0,2903.0,9.3,5.0,11857.59232,54.0,,,,,,,,,,,,,,
8,7,,,1681377329,11.5,1.524000000000001,1.1280000000000427,2288.59904,0.004085590973201212,8388.0,0.20870028573861063,463.978496,64.0,1819.394048,46.0,0.0,0.0,3.5000000000000004,4603.0,1.4828620516509616,26685.464576,2.711552,230.0,0.8709999999991851,1920.06144,0.0,3180.0,9.4,5.0,11857.59232,54.0,,,,,,,,,,,,,,
9,8,,,1681377330,11.5,1.524000000000001,1.1319999999999482,2295.95136,0.00408589899351792,9015.0,0.12302386504539194,463.978496,65.0,1819.394048,46.0,0.0,0.0,3.5000000000000004,5100.0,0.10502037259586174,26678.112256,2.711552,230.0,0.8709999999991851,1920.06144,0.0,3433.0,9.4,5.0,11857.59232,54.0,,,,,,,,,,,,,,
10,9,,,1681377331,11.5,1.524000000000001,1.1960000000000264,2830.127104,0.4370307101828499,11153.0,0.19179125902063282,1174.233088,104.0,3072.868352,46.0,0.0,0.0,3.5000000000000004,5572.0,0.11208165665068757,25434.136576,2.711552,607.0,1.058999999999287,2534.817792,0.0,4180.0,13.6,5.0,13450.407936,74.0,,,,,,,,,,,,,,
11,10,,,1681377332,12.0,1.5559999999999832,1.23599999999999,5739.630592,0.004082473526994546,13012.0,0.23892038437517327,1729.220608,105.0,5951.000576,47.0,0.0,0.04490720881053737,11.25,6252.0,0.22652943932964587,21970.39104,2.711552,628.0,1.0599999999994907,4837.425152,0.0,4775.0,25.4,6.5,18957.910016,400.0,,,,,,,,,,,,,,
12,11,,,1681377333,12.0,1.5559999999999832,1.240000000000009,6284.517376,0.004078531847071783,17473.0,1.1736612658909582,2085.400576,106.0,6212.653056,47.0,0.0,0.0,11.25,11935.0,377.4422173438013,21028.630528,2.711552,646.0,1.0609999999996944,4759.703552,0.0,8776.0,28.6,6.5,19599.671296,489.0,0.003707250999923417,,,,,,,,,,,,,
13,12,,,1681377334,12.0,1.5559999999999832,1.2480000000000473,7187.61984,0.008164842283838156,18099.0,0.2048705641193436,2343.903232,108.0,6475.096064,47.0,0.0,0.0,11.25,12988.0,89.59216056266817,20104.155136,2.711552,646.0,1.0609999999996944,4777.607168,0.0,9400.0,31.7,6.5,20062.978048,493.0,,,,,,,,,,,,,,
14,13,,,1681377335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0001949069999227504,1.2611997559999963,0.09815721600011784,32.0,7.1793212890625,0.41612249400009205,2.4351354810000885,0.0,0.0001,0.6557538570000361,0.0,0.0
15,13,,,1681377335,12.0,1.5559999999999832,1.2559999999999718,7372.71808,0.008169301351274248,19283.0,0.39550906614664294,2401.153024,110.0,6607.110144,47.0,0.0,0.0,11.25,13675.0,0.2789529209082989,19938.205696,2.711552,666.0,1.0609999999996944,4860.932096,0.0,10050.0,32.3,6.5,28218.298368,496.0,0.0042229959999531275,,0.0004978310000751662,0.01924123399999189,,,,,,,,,,
16,14,,,1681377336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.09883808199992927,64.0,7.2237548828125,0.32199704399999973,0.4473191679999218,0.0,0.0001,0.002521980999972584,0.0,1.0
