_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
0,1,4.0,29438.603264,1681378140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681378140,20.5,0.0,0.0,881.381376,0.0,12.0,0.0,177.733632,0.0,402.82112,0.0,0.0,0.0,11.75,6.0,0.0,28105.269248,2.711552,93.0,0.0,740.990976,0.0,5.0,4.5,22.0,8227.659776,23.0,,,,,,,,,,,,,,
2,2,,,1681378141,20.5,0.0,0.012000000000057298,1040.46592,0.01633901448219673,2784.0,0.8065074770372066,180.355072,4.0,408.285184,0.0,0.0,0.0,11.75,1350.0,2.2777447815294627,27946.151936,2.711552,113.0,0.0010000000002037268,758.82496,0.0,1289.0,5.1,22.0,8379.45344,23.0,,,,,,,,,,,,,,
3,3,,,1681378142,20.5,0.0,0.016000000000076398,1069.182976,0.0040855997158541196,4497.0,0.7029146638308885,180.621312,5.0,424.681472,0.0,0.0,0.0,11.75,4024.0,83.74086166708092,27917.426688,2.711552,425.0,0.0010000000002037268,783.618048,0.0,2920.0,5.2,22.0,8471.220224,29.0,,,,,,,,,,,,,,
4,4,,,1681378143,20.5,0.0,0.01999999999998181,1354.981376,0.003058985667243457,6332.0,0.5994655973936462,182.718464,6.0,714.272768,0.0,0.0,0.0,12.75,6709.0,111.37301990445448,27631.661056,2.711552,896.0,0.0010000000002037268,1072.49664,0.0,4572.0,6.1,22.25,8760.098816,40.0,,,,,,,,,,,,,,
5,5,,,1681378144,20.5,0.0,0.05600000000004002,1829.777408,0.3022962773413802,7133.0,0.20489253594895382,183.504896,9.0,1188.18816,0.0,0.0,0.0,12.75,7195.0,0.4935771829867767,27156.865024,2.711552,929.0,0.007000000001426088,2320.24064,0.0,4846.0,7.8,22.25,10007.842816,44.0,,,,,,,,,,,,,,
6,6,,,1681378145,20.5,0.0,0.08000000000004093,2607.271936,0.29411156124444415,7319.0,0.0,183.504896,59.0,1962.037248,0.0,0.0,0.0,12.75,7335.0,0.0,26379.370496,2.711552,929.0,0.3350000000009459,2320.24064,0.0,4905.0,10.4,22.25,10007.842816,47.0,,,,,,,,,,,,,,
7,7,,,1681378146,20.5,0.0,0.08400000000006003,3207.487488,0.004084955642085104,7994.0,0.13159620771678734,184.946688,60.0,2563.936256,0.0,0.0,0.0,12.75,7819.0,0.10499612547668737,25779.150848,2.711552,929.0,0.3350000000009459,2920.91904,0.0,5222.0,12.4,22.25,10608.521216,49.0,,,,,,,,,,,,,,
8,8,,,1681378147,20.5,0.0,0.09199999999998454,3752.972288,0.008170078349929626,8314.0,0.21301245293494017,184.946688,62.0,3105.898496,0.0,0.0,0.0,12.75,8145.0,0.06529679806974058,25233.666048,2.711552,932.0,0.3360000000011496,3462.864896,0.0,5383.0,14.3,22.25,11150.467072,51.0,,,,,,,,,,,,,,
9,9,,,1681378148,20.5,0.0,0.09600000000000364,3752.972288,0.004085089686330578,8580.0,0.0433083336211911,184.946688,63.0,3105.898496,0.0,0.0,0.0,13.750000000000002,8430.0,0.03716474171015052,25233.670144,2.711552,932.0,0.3360000000011496,3462.864896,0.0,5480.0,14.3,22.25,11150.467072,56.0,,,,,,,,,,,,,,
