03_hivemind/estimated_current_samples,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_2_epoch,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,_step,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_3_epoch,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_4_epoch_oos,04_peers/peer_4_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos
102,54,1,0,,16238.01,10.0,,,,2.0116749392851907,,,,,96,2.0116749392851907,0,1681378157.0,,0,,,,,,,,,,,,,,
619,55,2,0,0.0,1006.22,10.0,,,,31.95030334592009,0.0,,2.01,,608,31.95030334592009,1,1681378158.0,,0,,,,96.0,,,,,,,,,,
1082,56,3,0,0.0,295.41,10.0,0.0,,7.24,107.26185023326622,0.0,,24.71,,1056,107.26185023326622,2,1681378159.0,,0,32.0,,,576.0,,,,,,,,,0.0,
1557,58,3,0,0.0,172.26,10.0,0.0,,42.03,181.1868312530122,0.0,,38.37,128.0,1504,181.1868312530122,3,1681378161.0,,0,192.0,,,736.0,,0.0,,,26.86,,,,0.0,0.0
2046,59,3,0,0.0,124.47,10.0,0.0,,71.83,246.8088474474307,0.0,,50.97,288.0,1984,246.8088474474307,4,1681378162.0,,0,352.0,,,864.0,,0.0,,,58.38,,,,0.0,0.0
2532,60,3,0,0.0,102.15,10.0,0.0,,98.31,295.9910875424565,0.0,,64.05,448.0,2464,295.9910875424565,5,1681378163.0,,0,544.0,,,992.0,,0.0,,,84.45,,,,0.0,0.0
3007,61,3,0,0.0,90.45,10.0,0.0,,112.86,329.0377036161454,0.0,,79.39,608.0,2912,329.0377036161454,6,1681378164.0,,0,704.0,,,1152.0,,0.0,,,103.74,,,,0.0,0.0
3486,62,3,0,0.0,82.75,10.0,0.0,,122.41,353.86426122740335,0.0,,89.73,768.0,3392,353.86426122740335,7,1681378165.0,,0,864.0,,,1280.0,,0.0,,,116.9,,,,0.0,0.0
3959,64,3,0,0.0,77.99,10.0,0.0,,128.61,369.404029879192,0.0,,99.75,928.0,3872,369.404029879192,8,1681378167.0,,0,1024.0,,,1440.0,,0.0,,,125.5,,,,0.0,0.0
5556,68,3,0,0.0,71.93,10.0,0.0,,132.13,378.33565305815523,0.0,,105.66,1120.0,4320,378.33565305815523,9,1681378171.0,,0,1184.0,,,1568.0,,0.0,,,131.62,,,,0.0,0.0
6071,69,3,0,0.0,68.32,10.0,0.0,,134.21,390.783893934293,0.0,,109.56,1280.0,5984,390.783893934293,10,1681378172.0,,0,1344.0,,,1696.0,,0.0,,,134.56,,,,0.0,0.0
6701,70,4,0,0.0,62.92,10.0,0.0,,136.66,414.26590580880577,0.0,,116.2,1856.0,6592,414.26590580880577,11,1681378173.0,,0,1920.0,,,2208.0,,0.0,,,137.92,,,,0.0,0.0
7302,71,4,0,0.0,58.73,10.0,0.0,,136.77,433.58852217348806,0.0,,116.55,2016.0,7168,433.58852217348806,12,1681378174.0,,0,2080.0,160.0,22.49,2336.0,,0.0,,,138.46,0.0,0.0,,0.0,0.0
7924,72,4,0,0.0,54.48,10.0,0.0,,136.84,456.00685646183166,0.0,,116.76,2176.0,7808,456.00685646183166,13,1681378175.0,,0,2240.0,288.0,41.53,2464.0,,0.0,,,138.46,0.0,0.0,,0.0,0.0
8533,74,4,0,0.0,51.41,10.0,0.0,,136.83,471.4321114341376,0.0,,116.93,2336.0,8384,471.4321114341376,14,1681378177.0,,0,2400.0,448.0,63.92,2624.0,,0.0,,,138.33,0.0,0.0,,0.0,0.0
9153,75,4,0,0.0,48.54,10.0,0.0,,136.99,486.54635263627597,0.0,,116.93,2496.0,8992,486.54635263627597,15,1681378178.0,,0,2560.0,576.0,79.16,2752.0,,0.0,,,138.36,0.0,0.0,,0.0,0.0
9760,76,4,0,0.0,46.52,10.0,0.0,,137.28,494.58914535616884,0.0,,116.95,2656.0,9600,494.58914535616884,16,1681378179.0,,0,2720.0,736.0,93.97,2880.0,,0.0,,,138.35,0.0,0.0,,0.0,0.0
10372,77,4,0,0.0,44.6,10.0,0.0,,137.08,502.09594659351427,0.0,,116.92,2816.0,10240,502.09594659351427,17,1681378180.0,,0,2880.0,864.0,102.34,3040.0,,0.0,,,138.25,0.0,0.0,,0.0,0.0
10980,78,4,0,0.0,43.09,10.0,0.0,,137.03,505.65997151412256,0.0,,116.89,3008.0,10816,505.65997151412256,18,1681378181.0,,0,3040.0,1024.0,109.9,3168.0,,0.0,,,138.27,0.0,0.0,,0.0,0.0
11591,80,4,0,0.0,41.64,10.0,0.0,,136.91,508.61730244148987,0.0,,116.76,3168.0,11456,508.61730244148987,19,1681378183.0,,0,3200.0,1152.0,113.71,3296.0,,0.0,,,138.27,0.0,0.0,,0.0,0.0
12198,81,4,0,0.0,40.33,10.0,0.0,,136.85,510.03260197823346,0.0,,116.79,3328.0,12064,510.03260197823346,20,1681378184.0,,0,3360.0,1312.0,116.71,3456.0,,0.0,,,138.26,0.0,0.0,,0.0,0.0
12805,82,4,0,0.0,39.05,10.0,0.0,,136.69,511.2086666921563,0.0,,116.82,3488.0,12672,511.2086666921563,21,1681378185.0,,0,3552.0,1440.0,118.13,3584.0,,0.0,,,138.38,0.0,0.0,,0.0,0.0
13409,83,4,0,0.0,37.86,10.0,0.0,,136.7,511.37360519970457,0.0,,116.82,3648.0,13280,511.37360519970457,22,1681378186.0,,0,3712.0,1600.0,119.36,3712.0,,0.0,,,138.32,0.0,0.0,,0.0,0.0
14016,84,4,0,0.0,36.65,10.0,0.0,,136.65,511.6412974145045,0.0,,116.66,3808.0,13888,511.6412974145045,23,1681378187.0,,0,3872.0,1728.0,119.88,3872.0,,0.0,,,138.19,0.0,0.0,,0.0,0.0
14622,85,4,0,0.0,35.48,10.0,0.0,,136.64,511.4683050333962,0.0,,116.6,3968.0,14464,511.4683050333962,24,1681378188.0,,0,4032.0,1888.0,120.39,4000.0,,0.0,,,138.01,0.0,0.0,,0.0,0.0
15229,87,4,0,0.0,34.29,10.0,0.0,,136.44,511.4855833293005,0.0,,116.48,4128.0,15104,511.4855833293005,25,1681378190.0,,0,4192.0,2016.0,120.54,4128.0,,0.0,,,138.01,0.0,0.0,,0.0,0.0
15906,88,4,0,0.0,33.0,10.0,0.0,,136.44,511.01468524926673,0.0,,116.33,4288.0,15744,511.01468524926673,26,1681378191.0,,0,4352.0,2176.0,120.57,4288.0,,0.0,,,138.15,0.0,0.0,,0.0,0.0
16513,89,4,0,0.0,31.82,10.0,0.0,,136.31,510.9231072542351,0.0,,116.24,4480.0,16352,510.9231072542351,27,1681378192.0,,0,4512.0,2336.0,120.74,4416.0,,0.0,,,137.72,0.0,0.0,,0.0,0.0
17117,90,4,0,0.0,30.65,10.0,0.0,,136.36,510.6639296421298,0.0,,116.12,4640.0,16992,510.6639296421298,28,1681378193.0,,0,4672.0,2464.0,120.71,4576.0,,0.0,,,137.73,0.0,0.0,,0.0,0.0
17723,92,4,0,0.0,29.48,10.0,0.0,,136.25,510.3257864191162,0.0,,116.11,4800.0,17568,510.3257864191162,29,1681378195.0,,0,4864.0,2624.0,120.81,4704.0,,0.0,,,137.49,0.0,0.0,,0.0,0.0
18329,93,4,0,0.0,28.3,10.0,0.0,,136.16,510.2082970131295,0.0,,116.04,4960.0,18240,510.2082970131295,30,1681378196.0,,0,5024.0,2752.0,120.8,4832.0,,0.0,,,137.33,0.0,0.0,,0.0,0.0
18931,94,4,0,0.0,27.13,10.0,0.0,,136.13,510.01078164672344,0.0,,115.87,5152.0,18816,510.01078164672344,31,1681378197.0,,0,5184.0,2912.0,120.79,4992.0,,0.0,,,137.42,0.0,0.0,,0.0,0.0
19537,95,4,0,0.0,25.95,10.0,0.0,,136.14,509.9600763699246,0.0,,115.77,5312.0,19424,509.9600763699246,32,1681378198.0,,0,5344.0,3040.0,120.81,5120.0,,0.0,,,137.29,0.0,0.0,,0.0,0.0
20142,96,4,0,0.0,24.78,10.0,0.0,,136.28,509.61854620061234,0.0,,115.53,5472.0,20000,509.61854620061234,33,1681378199.0,,0,5504.0,3200.0,120.79,5248.0,,0.0,,,137.36,0.0,0.0,,0.0,0.0
20746,98,4,0,0.0,23.6,10.0,0.0,,136.14,509.3363567041145,0.0,,115.34,5632.0,20640,509.3363567041145,34,1681378201.0,,0,5664.0,3328.0,120.79,5376.0,,0.0,,,137.35,0.0,0.0,,0.0,0.0
21350,99,4,0,0.0,22.44,10.0,0.0,,136.02,508.7509507331134,0.0,,115.3,5792.0,21216,508.7509507331134,35,1681378202.0,,0,5824.0,3488.0,120.75,5536.0,,0.0,,,137.26,0.0,0.0,,0.0,0.0
21951,100,4,0,0.0,21.25,10.0,0.0,,135.66,509.04266773368977,0.0,,115.15,5952.0,21824,509.04266773368977,36,1681378203.0,,0,5984.0,3616.0,120.77,5664.0,,0.0,,,137.17,0.0,0.0,,0.0,0.0
22556,101,4,0,0.0,20.08,10.0,0.0,,135.88,508.5085338209785,0.0,,114.98,6112.0,22400,508.5085338209785,37,1681378204.0,,0,6144.0,3776.0,121.13,5792.0,,0.0,,,137.05,0.0,0.0,,0.0,0.0
23159,102,4,0,0.0,18.91,10.0,0.0,,135.74,508.0757428735079,0.0,,114.87,6272.0,23008,508.0757428735079,38,1681378205.0,,0,6304.0,3904.0,120.82,5920.0,,0.0,,,137.08,0.0,0.0,,0.0,0.0
23763,103,4,0,0.0,17.72,10.0,0.0,,135.74,508.1739688413764,0.0,,114.58,6432.0,23616,508.1739688413764,39,1681378206.0,,0,6464.0,4032.0,120.8,6080.0,,0.0,,,136.95,0.0,0.0,,0.0,0.0
24363,105,4,0,0.0,16.56,9.46,0.0,,135.78,507.6144934134188,0.0,,114.58,6592.0,24192,507.6144934134188,40,1681378208.0,,0,6624.0,4192.0,120.78,6208.0,,0.0,,,137.04,0.0,0.0,,0.0,0.0
24968,106,4,0,0.0,15.37,8.78,0.0,,135.56,507.34919064033227,0.0,,114.49,6752.0,24800,507.34919064033227,41,1681378209.0,,0,6784.0,4320.0,120.6,6336.0,,0.0,,,136.97,0.0,0.0,,0.0,0.0
25573,107,4,0,0.0,14.17,8.1,0.0,,135.59,507.66654389177484,0.0,,114.49,6912.0,25440,507.66654389177484,42,1681378210.0,,0,6944.0,4480.0,120.41,6464.0,,0.0,,,136.86,0.0,0.0,,0.0,0.0
26174,108,4,0,0.0,13.0,7.43,0.0,,135.87,507.1965283165344,0.0,,114.38,7104.0,26048,507.1965283165344,43,1681378211.0,,0,7104.0,4608.0,120.48,6624.0,,0.0,,,136.94,0.0,0.0,,0.0,0.0
26777,109,4,0,0.0,11.82,6.75,0.0,,135.71,507.02678138832914,0.0,,114.24,7264.0,26624,507.02678138832914,44,1681378212.0,,0,7264.0,4768.0,120.5,6752.0,,0.0,,,136.75,0.0,0.0,,0.0,0.0
27375,111,4,0,0.0,10.65,6.08,0.0,,135.76,506.5588621718765,0.0,,114.04,7424.0,27232,506.5588621718765,45,1681378214.0,,0,7424.0,4896.0,120.36,6880.0,,0.0,,,136.87,0.0,0.0,,0.0,0.0
27974,112,4,0,0.0,9.46,5.41,0.0,,135.5,506.476285759094,0.0,,113.87,7584.0,27840,506.476285759094,46,1681378215.0,,0,7584.0,5056.0,120.45,7008.0,,0.0,,,136.74,0.0,0.0,,0.0,0.0
28575,113,4,0,0.0,8.29,4.74,0.0,,135.41,505.98674923402837,0.0,,113.83,7744.0,28448,505.98674923402837,47,1681378216.0,,0,7744.0,5184.0,120.43,7168.0,,0.0,,,136.81,0.0,0.0,,0.0,0.0
29176,114,4,0,0.0,7.1,4.06,0.0,,135.32,506.0455015031738,0.0,,113.73,7904.0,29024,506.0455015031738,48,1681378217.0,,0,7904.0,5344.0,120.27,7296.0,,0.0,,,136.66,0.0,0.0,,0.0,0.0
29777,115,4,0,0.0,5.91,3.38,0.0,,135.35,505.8681583480902,0.0,,113.63,8064.0,29632,505.8681583480902,49,1681378218.0,,0,8064.0,5472.0,120.41,7424.0,,0.0,,,136.66,0.0,0.0,,0.0,0.0
30377,117,4,0,0.0,4.73,2.7,0.0,,135.37,505.733932969951,0.0,,113.62,8224.0,30208,505.733932969951,50,1681378220.0,,0,8224.0,5632.0,120.33,7552.0,,0.0,,,136.55,0.0,0.0,,0.0,0.0
30974,118,4,0,0.0,3.55,2.03,0.0,,135.4,505.4386223058465,0.0,,113.49,8384.0,30848,505.4386223058465,51,1681378221.0,,0,8384.0,5760.0,120.25,7680.0,,0.0,,,136.59,0.0,0.0,,0.0,0.0
31574,119,4,0,0.0,2.36,1.35,0.0,,135.28,505.17042059284904,0.0,,113.13,8544.0,31424,505.17042059284904,52,1681378222.0,,0,8544.0,5920.0,120.29,7840.0,,0.0,,,136.73,0.0,0.0,,0.0,0.0
32175,120,4,0,0.0,1.18,0.67,0.0,,135.26,504.5786319970903,0.0,,113.02,8704.0,32000,504.5786319970903,53,1681378223.0,,0,8704.0,6048.0,120.13,7968.0,,0.0,,,136.76,0.0,0.0,,0.0,0.0
