_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
0,0,8.0,33164.935168,1696112697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1696112697,6.375,0.0,0.0,893.472768,0.0,18.0,0.30034481779861477,244.51072,0.0,538.116096,0.0,0.0,0.0,0.625,7.0,0.27304074458205485,31803.273216,2.711552,127.0,0.0,1109.23776,0.0,19.0,4.1,5.625,9344.643072,19.0,,,,,,,,,,,,,,
2,1,,,1696112698,6.375,0.0,0.008000000000038199,1098.006528,0.012250864521902237,2702.0,0.33532753712329355,249.167872,3.0,578.052096,0.0,0.0,0.0,0.625,1572.0,0.36340243498009234,31598.73536,2.711552,156.0,0.0010000000002037268,1161.797632,0.0,2754.0,4.7,5.625,10015.358976,19.0,,,,,,,,,,,,,,
3,2,,,1696112699,6.375,0.0,0.012000000000000455,1785.053184,0.004084919704181408,3092.0,0.00872034616299776,250.806272,4.0,1262.993408,0.0,0.0,0.0,0.625,2010.0,0.01641946240267127,30911.688704,2.711552,156.0,0.0019999999999527063,1844.871168,0.0,3453.0,6.8,5.625,10698.420224,21.0,,,,,,,,,,,,,,
4,3,,,1696112700,6.375,0.0,0.016000000000019554,2253.889536,0.004085541421927008,3630.0,0.06098787711539397,503.529472,5.0,1901.9776,0.0,0.0,0.0,0.625,2377.0,0.06599106944472737,30430.26944,2.711552,196.0,0.0019999999999527063,2604.511232,0.0,4257.0,8.2,5.625,11965.702144,24.0,,,,,,,,,,,,,,
5,4,,,1696112701,6.375,0.0,0.020000000000038654,3046.895616,0.004077446723087419,5947.0,0.04317155996798729,882.958336,6.0,2979.377152,0.0,0.0,0.0,0.625,3049.0,0.0020705784067682437,29287.91552,2.711552,543.0,0.003000000000156433,3370.881024,0.0,42165.0,11.7,5.625,14358.110208,26.0,,,,,,,,,,,,,,
6,5,,,1696112702,6.375,0.0,0.03200000000003911,3178.225664,0.20798068355243327,7621.0,0.0012106718681119842,1114.46016,9.0,3109.122048,0.0,0.0,0.0,0.5,3581.0,0.006459571627491158,28923.682816,2.711552,738.0,0.006000000000312866,3277.63968,0.0,95728.0,12.8,5.5,14562.463744,27.0,,,,,,,,,,,,,,
7,6,,,1696112703,6.375,0.0,0.040000000000020464,3180.269568,0.0040846458198518076,8008.0,0.04764356412951567,1114.46016,10.0,3109.175296,0.0,0.0,0.0,0.5,3771.0,0.002393347157320155,28921.638912,2.711552,738.0,0.006000000000312866,3277.63968,0.0,95997.0,12.8,5.5,14562.463744,27.0,,,,,,,,,,,,,,
8,7,,,1696112704,6.375,0.0,0.04400000000003956,3181.01504,0.004085762954595452,8360.0,0.0012768009199089977,1114.464256,11.0,3109.29408,0.0,0.0,0.0,0.5,3948.0,0.007285745280983475,28920.89344,2.711552,738.0,0.007000000000061846,3286.163456,0.0,96244.0,12.8,5.5,14637.965312,27.0,,,,,,,,,,,,,,
9,8,,,1696112705,6.375,0.0,0.04800000000000182,3181.010944,0.004085583200372834,8657.0,0.04326568771496647,1114.464256,12.0,3109.29408,0.0,0.0,0.0,0.5,4076.0,0.0020747102097824644,28920.89344,2.711552,738.0,0.008000000000265572,3286.163456,0.0,96444.0,12.8,5.5,14637.965312,27.0,,,,,,,,,,,,,,
