04_peers/peer_1_epoch,04_peers/peer_2_samples_per_second,03_hivemind/num_peers,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/global_samples_accumulated,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,03_hivemind/num_clients,03_hivemind/estimated_current_samples,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/total_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,_runtime,04_peers/peer_2_epoch,_step,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch_oos
,,1,0.543154581013613,,24,1696112750.0,,,,0.543154581013613,0,,10.0,0,24,426.62,,,,,,33,,0,,
0.0,,1,1.2356248532000091,,48,1696112752.0,,,,1.2356248532000091,0,,10.0,0,48,167.96,24.0,,0.0,,,35,,1,0.54,
0.0,,2,4.736386379450105,,80,1696112753.0,,,,4.736386379450105,0,,10.0,0,84,36.38,48.0,,0.0,,,36,,2,1.24,
0.0,2.94,2,8.010754017360219,,120,1696112754.0,16.0,,,8.010754017360219,0,,6.47,0,126,16.17,64.0,,0.0,,,37,0.0,3,1.79,0.0
0.0,5.22,2,11.723642886446921,,168,1696112755.0,32.0,,,11.723642886446921,0,,2.83,0,173,7.07,88.0,,0.0,,,38,0.0,4,2.79,0.0
0.0,7.76,2,14.322248855261492,,208,1696112756.0,56.0,,,14.322248855261492,0,,1.16,0,215,2.89,112.0,,0.0,,,39,0.0,5,3.96,0.0
0.0,8.99,2,16.77673746723132,,248,1696112758.0,72.0,,,16.77673746723132,0,,0.5,0,256,0.03,136.0,,0.0,,,41,0.0,6,5.34,0.0
0.0,9.96,2,18.619449041684277,,280,1696112759.0,88.0,,,18.619449041684277,0,,0.5,0,292,0.0,160.0,,0.0,,,42,0.0,7,6.82,0.0
0.0,10.77,2,20.84569130443686,,320,1696112760.0,104.0,,,20.84569130443686,0,,0.5,0,333,0.0,176.0,,0.0,,,43,0.0,8,7.84,0.0
0.0,11.4,2,22.816994114056122,,360,1696112761.0,120.0,,,22.816994114056122,0,,0.5,0,374,0.0,200.0,,0.0,,,44,0.0,9,9.45,0.0
0.0,11.89,2,24.239755075075806,,384,1696112763.0,136.0,,,24.239755075075806,0,,0.5,0,412,0.0,224.0,,0.0,,,46,0.0,10,10.92,0.0
