03_hivemind/total_training_samples,_runtime,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_9_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_4_epoch,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_9_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,_step,04_peers/peer_5_epoch,03_hivemind/global_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/global_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_9_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_5_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,_timestamp,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/reached_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_7_epoch,04_peers/peer_3_epoch,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_7_samples_per_second
,39,64,1.287673457823266,,,,,,,,,,0,,,,,,,,,,10.0,,0,,0,,,,64,25397.47,,,,1.287673457823266,1,,,,,,,1681381393.0,,,,,,,,,,
,40,97,1.9998504758437794,,,,,,1.29,,,,0,,,,,,64.0,0.0,,,10.0,,1,,0,,,,96,16336.62,,,,1.9998504758437794,1,0.0,,,,,,1681381394.0,,,,,,,,,,
,41,130,2.7583829665107635,,,,,,2.0,,,,0,,,,,,96.0,0.0,,,10.0,,2,,0,,,,128,11832.12,,,,2.7583829665107635,1,0.0,,,,,,1681381395.0,,,,,,,,,,
,42,193,4.413941345871295,,,,,,2.76,,,,0,,,,,,128.0,0.0,,,10.0,,3,,0,,,,192,7379.92,,,,4.413941345871295,1,0.0,,,,,,1681381396.0,,,,,,,,,,
,43,227,5.30842373106698,,,,,,4.41,,,,0,,,,,,192.0,0.0,,,10.0,,4,,0,,,,224,6130.0,,,,5.30842373106698,1,0.0,,,,,,1681381397.0,,,,,,,,,,
,45,262,6.246713022235459,,,,,,5.31,,,,0,,,,,,224.0,0.0,,,10.0,,5,,0,,,,256,5203.72,,,,6.246713022235459,1,0.0,,,,,,1681381399.0,,,,,,,,,,
,46,323,8.2387997812097,,,,,,6.25,,,,0,,,,,,256.0,0.0,,,10.0,,6,,0,,,,320,3938.08,,,,8.2387997812097,1,0.0,,,,,,1681381400.0,,,,,,,,,,
,47,358,9.286489197584073,,,,,,8.24,,,,0,,,,,,320.0,0.0,,,10.0,,7,,0,,,,352,3490.01,,,,9.286489197584073,1,0.0,,,,,,1681381401.0,,,,,,,,,,
,48,394,10.361763039505608,,,,,,9.29,,,,0,,,,,,352.0,0.0,,,10.0,,8,,0,,,,384,3124.39,,,,10.361763039505608,1,0.0,,,,,,1681381402.0,,,,,,,,,,
,49,453,12.577635022349128,,,,,,10.36,,,,0,,,,,,384.0,0.0,,,10.0,,9,,0,,,,448,2569.28,,,,12.577635022349128,1,0.0,,,,,,1681381403.0,,,,,,,,,,
,51,489,13.707625567916038,,,,,,12.58,,,,0,,,,,,448.0,0.0,,,10.0,,10,,0,,,,480,2354.82,,,,13.707625567916038,1,0.0,,,,,,1681381405.0,,,,,,,,,,
