03_hivemind/num_clients,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_5_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_4_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_epoch,_runtime,_timestamp,04_peers/peer_3_epoch,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,_step,03_hivemind/undershot_TBS,04_peers/peer_4_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,03_hivemind/reached_TBS,04_peers/peer_5_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_5_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s
0,0,,1.2927070343190477,1,,64,,,,,,,,39,1681383535.0,,,,0,,,64,1.2927070343190477,,,,,,,,,,,,25298.47,10.0,,
0,0,0.0,2.009128399369699,1,,96,,,,,,64.0,,40,1681383536.0,,,,1,,,97,2.009128399369699,0.0,,,,,1.29,,,,,,16261.04,10.0,,
0,0,0.0,3.585679583065404,1,,160,,,,,,96.0,,41,1681383537.0,,,,2,,,161,3.585679583065404,0.0,,,,,2.01,,,,,,9093.71,10.0,,
0,0,0.0,4.445588295313355,1,,192,,,,,,160.0,,45,1681383541.0,,,,3,,,208,4.445588295313355,0.0,,,,,3.59,,,,,,7324.13,10.0,,
0,0,0.0,9.40500141869789,1,,352,,,,,,192.0,,46,1681383542.0,,,,4,,,357,9.40500141869789,0.0,,,,,4.45,,,,,,3446.1,10.0,,
0,0,0.0,10.506906555043823,1,,384,,,,,,352.0,,47,1681383543.0,,,,5,,,393,10.506906555043823,0.0,,,,,9.41,,,,,,3081.26,10.0,,
0,0,0.0,12.790120547665056,1,,448,,,,,,384.0,,49,1681383545.0,,,,6,,,453,12.790120547665056,0.0,,,,,10.51,,,,,,2526.55,10.0,,
0,0,0.0,13.957857938571703,1,,480,,,,,,448.0,,50,1681383546.0,,,,7,,,490,13.957857938571703,0.0,,,,,12.79,,,,,,2312.52,10.0,,
0,0,0.0,16.315130570678058,1,,544,,,,,,480.0,,54,1681383550.0,,,,8,,,597,16.315130570678058,0.0,,,,,13.96,,,,,,1971.87,10.0,,
0,0,0.0,54.07776310757757,4,,928,,,,,,544.0,,55,1681383551.0,,,,9,,,981,54.07776310757757,0.0,,,,,16.32,,,,,,587.8,10.0,,
0,0,0.0,74.26414306650707,4,,1184,,0.0,0.0,,8.8,672.0,0.0,56,1681383552.0,0.0,,12.02,10,,64.0,1223,74.26414306650707,0.0,,,,0.0,20.93,12.33,96.0,,0.0,,424.77,10.0,96.0,
