_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,2,80.0,540929.032192,1681383999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,1681383999,2.3375,0.0,0.0,6786.019328,4.416418813372026,12.0,0.0,106.819584,0.0,321.875968,0.0,0.0,0.0,0.5625,0.0,0.0,530636.16512,2.854912,3507.0,0.0,4775.518208,0.0,37.0,1.9,2.3125,42402.033664,87.0,,,,,,,,,,,,,,
2,3,,,1681384000,2.3375,0.0,0.0,6864.154624,0.0,3545.0,3.075949331708285,107.139072,0.0,322.244608,0.0,0.0,0.0,0.5625,2636.0,0.15210024985886494,530558.062592,2.854912,3508.0,0.0,4775.518208,0.0,2483.0,1.9,2.3125,42402.033664,87.0,,,,,,,,,,,,,,
3,4,,,1681384001,2.3375,0.0,0.0,6864.257024,0.0,4879.0,35.10899956191232,107.139072,0.0,322.248704,0.0,0.0,0.0,0.5625,4674.0,0.04240302036361365,530557.960192,2.854912,3508.0,0.0,4775.5264,0.0,3321.0,1.9,2.3125,42402.033664,87.0,,,,,,,,,,,,,,
4,5,,,1681384002,2.3375,0.0,0.003999999999990678,6865.334272,0.15515512041289128,5827.0,35.122211651391424,107.139072,2.0,322.248704,0.0,0.0,0.0,0.5625,5982.0,0.08401311639668924,530556.874752,2.854912,3508.0,0.0009999999999976694,4775.5264,0.0,3936.0,1.9,2.3125,42402.033664,87.0,,,,,,,,,,,,,,
5,6,,,1681384003,2.3375,0.0,0.003999999999990678,6852.726784,0.0,7051.0,0.3069224187802314,107.159552,2.0,323.244032,0.0,0.0,0.0,0.5625,7590.0,0.08523008678628556,530569.48224,2.854912,3553.0,0.0009999999999976694,4789.071872,0.0,4603.0,1.9,2.3125,42482.556928,89.0,,,,,,,,,,,,,,
6,7,,,1681384004,2.325,0.0,0.007999999999995566,7131.983872,0.004082739359199992,8454.0,0.10158206386202105,107.892736,3.0,601.792512,0.0,0.0,0.0,0.5125,9354.0,0.2466389226303378,530290.225152,2.854912,3595.0,0.0009999999999976694,5063.909376,0.0,5538.0,2.0,2.275,42757.394432,91.0,,,,,,,,,,,,,,
7,8,,,1681384005,2.325,0.0,0.007999999999995566,7407.837184,0.0,10274.0,1.3672241909260892,108.09344,3.0,877.387776,0.0,0.0,0.0,0.5125,11295.0,0.22288100385826334,530014.380032,2.854912,3638.0,0.0009999999999976694,6337.400832,0.0,6726.0,2.0,2.275,44030.885888,93.0,,,,,,,,,,,,,,
8,9,,,1681384006,2.325,0.0,0.007999999999995566,8109.48608,0.0,11678.0,0.20935381874335252,108.09344,3.0,1578.098688,0.0,0.0,0.0,0.5125,13669.0,0.09183710555022338,529312.731136,2.854912,3638.0,0.0009999999999976694,6337.400832,0.0,7889.0,2.1,2.275,44030.885888,94.0,,,,,,,,,,,,,,
9,10,,,1681384007,2.325,0.0,0.015999999999991132,8485.769216,0.008168458471781603,13740.0,0.10406807541309675,108.449792,5.0,1951.186944,0.0,0.0,0.0,0.5125,16280.0,0.10422761567163365,528936.448,2.854912,3638.0,0.0009999999999976694,6421.303296,0.0,9331.0,2.2,2.275,44114.788352,96.0,,,,,,,,,,,,,,
10,11,,,1681384008,2.325,0.0,0.015999999999991132,9020.338176,0.0,15383.0,0.1482297907276536,108.449792,5.0,2491.572224,0.0,0.0,0.0,0.5125,19162.0,0.11329025334300374,528401.87904,2.854912,3638.0,0.0009999999999976694,6959.054848,0.0,10669.0,2.3,2.275,44652.535808,98.0,,,,,,,,,,,,,,
11,12,,,1681384009,2.325,0.0,0.02400000000000091,9546.960896,0.10211772363475118,16748.0,0.08820418378450891,108.449792,8.0,3017.03168,0.0,0.0,0.0,0.575,20626.0,0.07150634038757894,527875.252224,2.854912,3638.0,0.001999999999995339,7479.758848,0.0,11599.0,2.4,2.2624999999999997,45173.239808,100.0,,,,,,,,,,,,,,
12,13,,,1681384010,2.325,0.0,0.02400000000000091,9542.524928,0.0,18214.0,0.7140459452854256,108.449792,8.0,3017.03168,0.0,0.0,0.0,0.575,22848.0,0.11984523406418567,527879.688192,2.854912,3638.0,0.001999999999995339,7479.758848,0.0,12695.0,2.4,2.2624999999999997,45173.239808,103.0,,,,,,,,,,,,,,
13,14,,,1681384011,2.325,0.0,0.02400000000000091,9542.49216,0.0,19388.0,0.4321515264908522,108.453888,8.0,3017.076736,0.0,0.0,0.0,0.575,24353.0,0.08167560137027054,527879.72096,2.854912,3638.0,0.001999999999995339,7479.758848,0.0,13576.0,2.4,2.2624999999999997,45173.239808,105.0,,,,,,,,,,,,,,
14,15,,,1681384012,2.325,0.0,0.02400000000000091,9540.759552,0.0,20758.0,0.6893231042708406,108.453888,8.0,3017.084928,0.0,0.0,0.0,0.575,26616.0,0.09259028450787661,527881.453568,2.854912,3638.0,0.001999999999995339,7479.758848,0.0,14613.0,2.4,2.2624999999999997,45173.239808,106.0,,,,,,,,,,,,,,
15,16,,,1681384013,2.325,0.0,0.02400000000000091,9922.670592,0.0,22252.0,0.6994240861004931,108.453888,8.0,3398.381568,0.0,0.0,0.0,0.575,28370.0,0.1196776903112505,527499.542528,2.854912,3638.0,0.001999999999995339,8507.96544,0.0,15724.0,2.5,2.2624999999999997,46201.4464,108.0,,,,,,,,,,,,,,
16,17,,,1681384014,2.3125,0.0,0.027999999999991587,10454.4256,0.03676320215009492,23635.0,0.5882750594087185,108.453888,10.0,3929.346048,0.0,0.0,0.0,0.625,30842.0,0.14327915528959356,526967.783424,2.854912,3638.0,0.001999999999995339,8507.998208,0.0,16801.0,2.6,2.2375,46201.4464,109.0,,,,,,,,,,,,,,
17,18,,,1681384015,2.3125,0.0,0.027999999999991587,10571.132928,0.0,25570.0,0.30924806183989945,108.46208,10.0,4045.684736,0.0,0.0,0.0,0.625,32882.0,0.166093472548512,526851.076096,2.854912,3639.0,0.001999999999995339,8836.100096,0.0,18200.0,2.6,2.2375,46998.523904,115.0,,,,,,,,,,,,,,
18,19,,,1681384016,2.3125,0.0,0.027999999999991587,9772.097536,0.0,28674.0,0.47800510596928625,234.76224,10.0,3250.782208,0.0,0.0,0.0,0.625,38710.0,0.18163348661632261,527639.666688,2.854912,3703.0,0.001999999999995339,7923.412992,0.0,23486.0,2.5,2.2375,47662.895104,120.0,,,,,,,,,,,,,,
19,20,,,1681384017,2.3125,0.0,0.027999999999991587,10603.298816,0.0,33049.0,1.7347833578403904,324.042752,10.0,4160.94208,0.0,0.0,0.0,0.625,46012.0,0.09683502255689425,526808.43264,2.854912,3703.0,0.001999999999995339,8744.57088,0.0,27579.0,2.6,2.2375,48853.151744,129.0,,,,,,,,,,,,,,
20,21,,,1681384018,2.3125,0.0,0.027999999999991587,9049.161728,0.0,35394.0,0.24707871702089443,341.44256,10.0,2620.788736,0.0,0.0,0.0,0.625,48413.0,0.22303767708434735,528362.569728,2.854912,3748.0,0.001999999999995339,8168.976384,0.0,28917.0,2.3,2.2375,50156.081152,138.0,,,,,,,,,,,,,,
21,22,,,1681384019,2.3125,0.0,0.036000000000001364,8983.724032,0.02040856546662978,40878.0,0.2960198644251245,2103.816192,12.0,4322.975744,0.0,0.0,0.0,0.675,54907.0,0.1269317107340383,526676.164608,2.854912,3997.0,0.001999999999995339,7163.96544,0.0,34030.0,2.6,2.225,53060.325376,146.0,,,,,,,,,,,,,,
22,23,,,1681384020,2.3125,0.0,0.036000000000001364,14850.809856,0.0,46107.0,0.7202032277446037,2583.883776,12.0,10442.379264,0.0,0.0,0.0,0.675,65341.0,0.2342501703947082,520318.717952,2.854912,4162.0,0.001999999999995339,12816.109568,0.0,46142.0,3.8,2.225,64389.378048,172.0,,,,,,,,,,,,,,
23,24,,,1681384021,2.3125,0.0,0.03999999999999204,15709.065216,0.08560023424431296,49204.0,1.1100643472053535,3613.671424,14.0,11476.35712,0.0,0.0,0.0,0.675,70672.0,0.2866556951039579,518430.752768,2.854912,4175.0,0.0030000000000001137,12816.109568,0.0,790446.0,4.2,2.225,65423.929344,173.0,,,,,,,,,,,,,,
24,25,,,1681384022,2.3125,0.0,0.03999999999999204,16155.127808,0.0,57682.0,0.8556747358894574,4824.375296,14.0,11747.233792,0.0,0.0,0.0,0.675,88033.0,0.39376615181274593,516772.130816,2.854912,4595.0,0.0030000000000001137,11884.76928,0.0,1128290.0,4.5,2.225,65767.34208,176.0,,,,,,,,,,,,,,
25,26,,,1681384023,2.3,0.0,0.03999999999999204,16266.28096,0.0,73527.0,2.6335604570970137,4824.420352,14.0,11747.381248,0.0,0.0,0.0,0.625,110005.0,5.720827885219984,516660.916224,2.854912,4629.0,0.0030000000000001137,11952.959488,0.0,1157811.0,4.5,2.1875,66371.354624,176.0,,,,,,,,,,,,,,
26,27,,,1681384024,2.3,0.0,0.03999999999999204,16558.772224,0.0,101625.0,3.011596451845412,4824.420352,14.0,11747.381248,0.0,0.0,0.0,0.625,141037.0,460.58563302299444,516368.42496,2.854912,4629.0,0.0030000000000001137,11952.959488,0.0,1227722.0,4.5,2.1875,66371.354624,176.0,,,,,,,,,,,,,,
27,28,,,1681384025,2.3,0.0,0.03999999999999204,17001.005056,0.0,130211.0,2.964479591332557,4841.160704,14.0,11764.953088,0.0,0.0,0.0,0.625,163238.0,368.47501011622035,515896.172544,2.854912,4660.0,0.0030000000000001137,11953.74592,0.0,1247396.0,4.6,2.1875,66427.8016,177.0,0.0022128820055513643,,,,,,,,,,,,,
28,29,,,1681384026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.831003025174141e-06,0.955058879997523,0.007279555997229181,256.0,12.652766227722168,0.06732261699653463,4.405497644998832,0.0,0.0001,3.3736188789989683,0.0,0.0
29,29,,,1681384026,2.3,0.0,0.03999999999999204,17433.120768,0.0,160490.0,2.066826598932849,4886.790144,14.0,11811.209216,0.0,0.0,0.0,0.625,190705.0,338.2188942220356,515463.585792,2.854912,4703.0,0.0030000000000001137,12022.239232,0.0,1266971.0,4.7,2.1875,74947.50208,182.0,0.0018921589944511652,,0.0011950490006711334,0.05989764100377215,,,,,,,,,,
30,29,,,1681384026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.006754577996616717,512.0,12.779851913452148,0.06301235400314908,0.13394307599810418,0.0,0.0001,0.001191294999443926,0.0,1.0
31,29,,,1681384026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017748919999576174,1.0,0.001104858994949609,0.057818631998088676,0.006766539998352528,768.0,12.647866249084473,0.05910648300050525,0.1280650179978693,0.0,0.0001,0.00149361200601561,0.0,2.0
32,29,,,1681384026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019138459974783473,1.0,0.0010357680002925918,0.0547126669989666,0.006117041994002648,1024.0,12.688888549804688,0.059523855001316406,0.1241788929910399,0.0,0.0001,0.0008757149989833124,0.0,3.0
33,29,,,1681384026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0021607620001304895,1.0,0.0010419530008221045,0.055402434001734946,0.006754493995686062,1280.0,12.721041679382324,0.05730519099597586,0.12350146999233402,0.0,0.0001,0.0008366359979845583,0.0,4.0
34,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019536109975888394,1.0,0.0011692140033119358,0.056603908000397496,0.0071822329991846345,1536.0,12.790331840515137,0.057486530000460334,0.12577787300688215,0.0,0.0001,0.0013823770059389062,0.0,5.0
35,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001812274000258185,1.0,0.0011304810032015666,0.05826949299807893,0.006658553000306711,1792.0,12.701171875,0.057135901995934546,0.1260726370019256,0.0,0.0001,0.0010659340041456744,0.0,6.0
36,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017210079968208447,1.0,0.0013230569966253825,0.07026672999927541,0.006801013994845562,2048.0,12.50575065612793,0.05792209899664158,0.1391917969813221,0.0,0.0001,0.0011578889971133322,0.0,7.0
37,30,,,1681384027,2.3,0.0,0.03999999999999204,17490.771968,0.0,186685.0,2.0499959250920434,4886.921216,14.0,11811.7376,0.0,0.0,0.0,0.625,216559.0,260.4506065729756,515405.914112,2.854912,4910.0,0.0030000000000001137,12022.833152,0.0,1281959.0,4.7,2.1875,74951.184384,185.0,0.0018218530021840706,,0.0012750530004268512,0.059106261003762484,0.008198266004910693,,,0.057010828000784386,,,,,,
38,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2304.0,12.773605346679688,,0.13058561601064866,0.0,0.0001,0.00317335499858018,0.0,8.0
39,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018705729962675832,1.0,0.0013306780019775033,0.05966620400431566,0.007050104999507312,2560.0,12.650065422058105,0.05743411900039064,0.12875288399663987,0.0,0.0001,0.001401204994181171,0.0,9.0
40,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017300159961450845,1.0,0.0011522709974087775,0.06003398100438062,0.0069682179964729585,2816.0,12.606142044067383,0.060529586000484414,0.13223059199663112,0.0,0.0001,0.0018165200017392635,0.0,10.0
41,30,,,1681384027,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018394860016996972,1.0,0.0013306190012372099,0.05949679199693492,0.007039953001367394,3072.0,12.675628662109375,0.056831284004147165,0.12761633500485914,0.0,0.0001,0.001078200999472756,0.0,11.0
42,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015259700012393296,1.0,0.0011800779975601472,0.06006801799958339,0.0068894729993189685,3328.0,12.686067581176758,0.06233952099864837,0.13329367199912667,0.0,0.0001,0.00129061200277647,0.0,12.0
43,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016989840005408041,1.0,0.0014432200041483156,0.06005721600377001,0.007027923995337915,3584.0,12.710402488708496,0.05773120200319681,0.1291548980079824,0.0,0.0001,0.0011963520009885542,0.0,13.0
44,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001708450996375177,1.0,0.00132401600421872,0.06065937200037297,0.007421356000122614,3840.0,12.8245267868042,0.059111050999490544,0.13127958499535453,0.0,0.0001,0.0010553389947745018,0.0,14.0
45,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013785049959551543,5.0,0.0013869729955331422,0.06118032700032927,0.006894402999023441,4096.0,12.621562957763672,0.059217450994765386,0.13109475098463008,0.0,0.0001,0.001037091999023687,0.0,15.0
46,31,,,1681384028,2.35,0.0,0.04399999999999693,17556.197376,0.06087256484495942,220504.0,2.593670607650432,4883.72224,16.0,11808.89088,0.0,0.0,0.0,1.575,251895.0,334.3500050333752,515343.572992,2.854912,5150.0,0.0030000000000001137,12031.381504,0.0,1301169.0,4.7,2.3625,75010.899968,189.0,0.0019103509985143319,,,,,,,,,,,,,
47,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0014966989983804524,0.0610867950017564,0.006889504998980556,4352.0,12.72220230102539,0.06273567299649585,0.13617449699086137,0.0,0.0001,0.002055473996733781,0.0,16.0
48,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016717120015528053,5.0,0.0014095540027483366,0.0581024549974245,0.0066808240007958375,4608.0,12.734675407409668,0.06377776900626486,0.1326314690086292,0.0,0.0001,0.0009891549998428673,0.0,17.0
49,31,,,1681384028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017541559936944395,5.0,0.0012283600008231588,0.06497862799733412,0.006972238996240776,4864.0,12.638644218444824,0.059638598999299575,0.13659401499171508,0.0,0.0001,0.0020220330043230206,0.0,18.0
50,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016677500025252812,5.0,0.0013456989981932566,0.05822708999767201,0.007031731998722535,5120.0,12.708847999572754,0.060862805003125686,0.1302388879994396,0.0,0.0001,0.0011038119992008433,0.0,19.0
51,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019023790009669028,5.0,0.001148392999311909,0.05974666200199863,0.0067554089982877485,5376.0,12.833984375,0.20018676999461604,0.27167973099130904,0.0,0.0001,0.0019401179961278103,0.0,20.0
52,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017756309971446171,5.0,0.0011579900019569322,0.06030848099908326,0.007281826998223551,5632.0,12.691606521606445,0.05958951500360854,0.1314195240047411,0.0,0.0001,0.0013060800047242083,0.0,21.0
53,32,,,1681384029,2.35,0.0,0.0519999999999925,17669.169152,0.0162497228602068,255471.0,37.44769262661904,4883.709952,17.0,11809.148928,0.0,0.0,0.0,1.575,289195.0,346.81669244645263,515240.144896,2.854912,5319.0,0.0030000000000001137,12031.451136,0.0,1320891.0,4.7,2.3625,75007.741952,201.0,0.0010470900015207008,,,,,,,,,,,,,
54,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0015432060026796535,0.061236268003995065,0.006996082003752235,5888.0,12.548494338989258,0.06161837899708189,0.1347100860075443,0.0,0.0001,0.0022690609985147603,0.0,22.0
55,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001662044996919576,5.0,0.0014321290000225417,0.060346350001054816,0.007028571002592798,6144.0,12.745351791381836,0.060042976001568604,0.1323842159981723,0.0,0.0001,0.001872144996013958,0.0,23.0
56,32,,,1681384029,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019839679953292944,5.0,0.001223124003445264,0.06011715199565515,0.0071143540044431575,6400.0,12.66987133026123,0.05914264999591978,0.13169838699832326,0.0,0.0001,0.0021171390035306104,0.0,24.0
57,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018169149989262223,5.0,0.001545129001897294,0.060157906998938415,0.006994055001996458,6656.0,12.541796684265137,0.061135206997278146,0.13282895400334382,0.0,0.0001,0.0011797410043072887,0.0,25.0
58,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001970793993677944,5.0,0.0013520239954232238,0.059965619002468884,0.05019312300282763,6912.0,12.805752754211426,0.059460321004735306,0.1757128230019589,0.0,0.0001,0.0027709420028259046,0.0,26.0
59,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013893810028093867,5.0,0.0011936879964196123,0.06247043099574512,0.007642364995263051,7168.0,12.661728858947754,0.060506568996061105,0.13412580498697935,0.0,0.0001,0.0009233710006810725,0.0,27.0
60,33,,,1681384030,2.35,0.0,0.0519999999999925,17722.658816,0.0,287974.0,4.111410445934464,4886.888448,17.0,11812.409344,0.0,0.0,0.0,1.575,322998.0,324.2153293280486,515186.651136,2.854912,5547.0,0.0030000000000001137,12031.483904,0.0,1339160.0,4.8,2.3625,75010.90816,217.0,0.0016615049971733242,,0.0016500929996254854,0.06347610600641929,,,,0.06079168599535478,,,,,,
61,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.011041343001124915,7424.0,12.487799644470215,,0.1405696319998242,0.0,0.0001,0.0019488990001264028,0.0,28.0
62,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014746389933861792,5.0,0.001217453995195683,0.06049868899572175,0.007193085002654698,7680.0,12.761948585510254,0.06043999300163705,0.1321888659877004,0.0,0.0001,0.0013650059991050512,0.0,29.0
63,33,,,1681384030,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017139339979621582,5.0,0.0012791170011041686,0.059781037001812365,0.007260554993990809,7936.0,12.3857421875,0.06714540900429711,0.13921566299541155,0.0,0.0001,0.002035610996244941,0.0,30.0
64,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017496479995315894,5.0,0.00135749600303825,0.06293217600614298,0.007001377998676617,8192.0,12.720703125,0.06028323400096269,0.13444785901083378,0.0,0.0001,0.0011239270024816506,0.0,31.0
65,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001574376001372002,5.0,0.0014433870019274764,0.06063931500102626,0.006747008999809623,8448.0,12.717857360839844,0.06073978099448141,0.13310021899815183,0.0,0.0001,0.0019563509995350614,0.0,32.0
66,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00173467599961441,5.0,0.0012754809940815903,0.06105625499913003,0.007084066004608758,8704.0,12.748205184936523,0.06402198299474549,0.1373089109911234,0.0,0.0001,0.002136449998943135,0.0,33.0
67,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016959719941951334,5.0,0.0012001919967588037,0.06019413700414589,0.007161555004131515,8960.0,12.605986595153809,0.0950217959980364,0.1674876269971719,0.0,0.0001,0.002213974999904167,0.0,34.0
68,34,,,1681384031,2.35,0.0,0.0519999999999925,17780.129792,0.0,320213.0,37.67653451817842,4883.755008,17.0,11809.390592,0.0,0.0,0.0,1.575,357978.0,329.32213860994995,515125.960704,2.854912,5766.0,0.0030000000000001137,12031.500288,0.0,1357846.0,4.8,2.3625,75014.066176,237.0,0.0012110530005884357,,0.001213111994729843,0.05985302299814066,,,,,,,,,,
69,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.009648161998484284,9216.0,12.721701622009277,0.061339388994383626,0.13529571798426332,0.0,0.0001,0.0020309789979364723,0.0,35.0
70,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010237739988951944,5.0,0.001441014996089507,0.07456557700061239,0.010805392004840542,9472.0,12.781131744384766,0.059682193998014554,0.14959999300481286,0.0,0.0001,0.0020820410063606687,0.0,36.0
71,34,,,1681384031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009994620049837977,5.0,0.0013291880022734404,0.07346144099574303,0.010755388997495174,9728.0,12.76196575164795,0.05937542700121412,0.147013384004822,0.0,0.0001,0.0010924770031124353,0.0,37.0
72,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000975440998445265,5.0,0.0013537019985960796,0.07434357499732869,0.010973926997394301,9984.0,12.62795639038086,0.058858440002950374,0.14827428199350834,0.0,0.0001,0.0017691969987936318,0.0,38.0
73,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011696180008584633,5.0,0.0011755169980460778,0.07262600300600752,0.010901604997343384,10240.0,12.647812843322754,0.05911413600551896,0.14623053501418326,0.0,0.0001,0.0012436560064088553,0.0,39.0
74,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011029919987777248,5.0,0.0013411179970717058,0.07341374199313577,0.011339292999764439,10496.0,12.73873519897461,0.06016180599544896,0.14963960197928827,0.0,0.0001,0.0022806509950896725,0.0,40.0
75,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010708970003179274,5.0,0.0013956820039311424,0.07185275799565716,0.010760634002508596,10752.0,12.62879753112793,0.059276100000715815,0.14601378299994394,0.0,0.0001,0.0016577119968133047,0.0,41.0
76,35,,,1681384032,2.35,0.0,0.0519999999999925,17832.935424,0.0,352874.0,2.600318824224353,4883.755008,17.0,11809.390592,0.0,0.0,0.0,1.575,393594.0,341.3464290631513,515076.308992,2.854912,6001.0,0.0030000000000001137,12031.524864,0.0,1376505.0,4.8,2.3625,75014.070272,239.0,0.0011734369982150383,,,,,,,,,,,,,
77,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0015391589986393228,0.07583981100469828,0.01185798499500379,11008.0,12.754706382751465,0.06073536799522117,0.153707557990856,0.0,0.0001,0.002561797999078408,0.0,42.0
78,35,,,1681384032,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0010166929932893254,5.0,0.0013220830005593598,0.07196609200036619,0.01084896800603019,11264.0,12.630986213684082,0.059457199000462424,0.1472448720014654,0.0,0.0001,0.0026338370007579215,0.0,43.0
79,36,,,1681384033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001062136005202774,5.0,0.0013497070031007752,0.07303714699810371,0.010591475998808164,11520.0,12.872023582458496,0.05854727699625073,0.14594393800507532,0.0,0.0001,0.001356195003609173,0.0,44.0
80,36,,,1681384033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0020001520024379715,5.0,0.0012775729992426932,0.07144391600013478,0.010260694994940422,11776.0,12.734875679016113,0.05979490999743575,0.14618626899755327,0.0,0.0001,0.0014090230033616535,0.0,45.0
81,36,,,1681384033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009723999974085018,5.0,0.0010426820008433424,0.06968779800081393,0.010751157999038696,12032.0,12.71044921875,0.05851758099743165,0.14268063599593006,0.0,0.0001,0.001709017000393942,0.0,46.0
82,36,,,1681384033,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0011186919946339913,5.0,0.001182392006739974,0.07573846499872161,0.010506209000595845,12288.0,12.528371810913086,0.05898738699761452,0.14897856800234877,0.0,0.0001,0.0014454230040428229,0.0,47.0
83,36,,,1681384033,2.4,0.0,0.0519999999999925,17855.946752,0.0,386982.0,2.6343201496667303,4883.730432,17.0,11809.386496,0.0,0.0,0.0,2.35,430145.0,352.2285680562148,515056.64,2.854912,6231.0,0.0030000000000001137,12031.807488,0.0,1396624.0,4.8,2.5124999999999997,75008.016384,241.0,0.0010320079964003526,,0.0012784170030499808,0.07045545900473371,,,,,,,,,,
84,36,,,1681384033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.010051923003629781,12544.0,12.578125,0.05695302700041793,0.1418214540099143,0.0,0.0001,0.002050620001682546,0.0,48.0
