04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_accumulated,_step,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/num_peers,04_peers/peer_5_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_epoch,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch,04_peers/peer_5_epoch,04_peers/peer_3_epoch,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated
,,0,,,10.0,,,,0,,0,,5.7305574411745335,,,,226,1681384008.0,1,,,,,,,,,,224,5.7305574411745335,51,,,,,5678.7,,
,,0,,,10.0,,,224.0,1,,0,,10.971920435175909,,5.73,,357,1681384009.0,1,,,,,,,,,,352,10.971920435175909,52,0.0,,,,2953.98,0.0,
,,0,,,10.0,,,352.0,2,,0,,20.22486908951103,,10.97,,580,1681384013.0,1,,,,,,,,,,512,20.22486908951103,56,0.0,,,,1591.52,0.0,
,,0,,,10.0,,,512.0,3,,0,,68.1353911562678,,20.22,,1045,1681384015.0,1,,,,,,,,,,1024,68.1353911562678,58,0.0,,,,465.58,0.0,
,,0,,,10.0,,,1024.0,4,,0,,80.48566248813485,,68.14,,1187,1681384016.0,1,,,,,,,,,,1152,80.48566248813485,59,0.0,,,,392.38,0.0,
,,0,,,10.0,,,1152.0,5,,0,,93.591148026703,,80.49,,1339,1681384017.0,1,,,,,,,,,,1312,93.591148026703,60,0.0,,,,335.81,0.0,
,,0,,,10.0,,,1312.0,6,,0,,101.58063547314417,,93.59,,1482,1681384018.0,1,,,,,,,,,,1440,101.58063547314417,61,0.0,,,,307.99,0.0,
,,0,,,10.0,,,1440.0,7,,0,,108.95174557108807,,101.58,,1630,1681384019.0,1,,,,,,,,,,1600,108.95174557108807,62,0.0,,,,285.79,0.0,
,,0,,,10.0,,,1600.0,8,,0,,148.02738276270463,,108.95,,2043,1681384020.0,3,,,,,,,,,,1984,148.02738276270463,63,0.0,,,,207.57,0.0,
96.0,,0,,0.0,10.0,,,1728.0,9,0.0,0,,210.58487604915513,,113.01,,2635,1681384022.0,4,,0.0,,22.42,12.6,,,,,2560,210.58487604915513,65,0.0,,0.0,,143.09,0.0,160.0
256.0,,0,,0.0,10.0,17.1,,1888.0,10,0.0,0,,281.1836032070214,,116.35,128.0,3275,1681384023.0,4,,0.0,,41.54,35.59,0.0,,0.0,,3168,281.1836032070214,66,0.0,,0.0,,104.89,0.0,288.0
416.0,,0,,0.0,10.0,40.35,,2016.0,11,0.0,0,,406.85896934953433,,118.17,288.0,4867,1681384026.0,4,,0.0,,64.2,58.46,0.0,,0.0,,4672,406.85896934953433,69,0.0,,0.0,,68.58,0.0,448.0
768.0,,0,,0.0,10.0,88.27,,2400.0,12,0.0,0,,698.6291531678569,,120.31,672.0,7382,1681384027.0,5,,0.0,,101.91,96.37,0.0,,0.0,,7136,698.6291531678569,70,0.0,,0.0,,36.34,0.0,832.0
960.0,,0,,0.0,10.0,100.76,258.89,2560.0,13,0.0,0,,1184.7597830042068,,120.65,832.0,10419,1681384028.0,5,0.0,0.0,,110.22,108.11,0.0,,0.0,1792.0,9984,1184.7597830042068,71,0.0,0.0,0.0,,18.86,0.0,992.0
1088.0,,0,,0.0,8.16,109.31,726.71,2688.0,14,0.0,0,,1515.928116217694,,120.77,992.0,12976,1681384030.0,5,0.0,0.0,,114.73,113.23,0.0,,0.0,4096.0,12384,1515.928116217694,73,0.0,0.0,0.0,,13.06,0.0,1120.0
1248.0,,0,,0.0,5.77,113.94,1045.75,2848.0,15,0.0,0,,1842.2508106827484,,120.9,1120.0,15764,1681384031.0,5,0.0,0.0,,118.12,117.23,0.0,,0.0,5888.0,15008,1842.2508106827484,74,0.0,0.0,0.0,,9.23,0.0,1280.0
1376.0,,0,,0.0,4.45,117.67,1363.74,2976.0,16,0.0,0,,2011.8474930461916,,120.97,1280.0,18447,1681384032.0,5,0.0,0.0,,120.57,119.31,0.0,,0.0,7936.0,17632,2011.8474930461916,75,0.0,0.0,0.0,,7.12,0.0,1440.0
1536.0,,0,,0.0,3.51,119.49,1528.59,3136.0,17,0.0,0,,2087.215161423379,,120.98,1408.0,21054,1681384033.0,5,0.0,0.0,,121.73,121.06,0.0,,0.0,9984.0,20288,2087.215161423379,76,0.0,0.0,0.0,,5.61,0.0,1568.0
1696.0,,0,,0.0,2.91,120.99,1600.65,3264.0,18,0.0,0,,2013.4798745739733,,121.01,1568.0,23387,1681384034.0,5,0.0,0.0,,122.58,121.98,0.0,,0.0,12032.0,22688,2013.4798745739733,77,0.0,0.0,0.0,,4.66,0.0,1728.0
1824.0,,0,,0.0,2.36,121.83,1524.97,3424.0,19,0.0,0,,1900.040532469036,,121.04,1728.0,25585,1681384036.0,5,0.0,0.0,,123.18,122.46,0.0,,0.0,13824.0,24800,1900.040532469036,79,0.0,0.0,0.0,,3.78,0.0,1888.0
1984.0,,0,,0.0,1.41,122.34,1410.4,3584.0,20,0.0,0,,2019.2431880902354,,121.13,1856.0,28207,1681384037.0,5,0.0,0.0,,123.36,122.81,0.0,,0.0,15360.0,27200,2019.2431880902354,80,0.0,0.0,0.0,,2.26,0.0,2016.0
2144.0,,0,,0.0,0.68,122.81,1528.96,3712.0,21,0.0,0,,2018.0034983676162,,121.11,2016.0,30574,1681384038.0,5,0.0,0.0,,123.51,122.85,0.0,,0.0,17152.0,29824,2018.0034983676162,81,0.0,0.0,0.0,,1.09,0.0,2176.0
2272.0,,0,,0.0,0.5,122.84,1527.82,3872.0,22,0.0,0,,1989.7062568865106,,120.91,2144.0,32898,1681384039.0,5,0.0,0.0,,123.59,122.83,0.0,,0.0,19200.0,32192,1989.7062568865106,82,0.0,0.0,0.0,,0.0,0.0,2336.0
2432.0,,0,,0.0,0.5,122.72,1499.45,4000.0,23,0.0,0,,1879.0237605700918,,121.02,2304.0,34978,1681384040.0,5,0.0,0.0,,123.55,122.97,0.0,,0.0,20992.0,32928,1879.0237605700918,83,0.0,0.0,0.0,,0.0,0.0,2464.0
2464.0,,0,,0.0,0.5,122.87,1388.72,4064.0,24,0.0,0,,1879.0237605700918,,121.08,2368.0,37250,1681384042.0,5,0.0,0.0,,123.4,122.95,0.0,,0.0,21504.0,32928,1879.0237605700918,85,0.0,0.0,0.0,,0.0,0.0,2528.0
2464.0,,0,,0.0,0.5,122.87,1388.72,4064.0,25,0.0,0,,1879.0237605700918,,121.08,2368.0,39492,1681384043.0,5,0.0,0.0,,123.4,122.95,0.0,,0.0,21504.0,32928,1879.0237605700918,86,0.0,0.0,0.0,,0.0,0.0,2528.0
