03_hivemind/optimistic_total_samples_per_second,04_peers/peer_3_epoch,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_5_samples_accumulated,_step,_timestamp,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/total_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_4_epoch,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples
1.294375412164501,,,,,,,,0,1681384719.0,0,,,,64,1.294375412164501,,,,,,1,,,,25265.84,10.0,65,39,,,,,,,0,,,
2.011753000362499,,,,,,,,1,1681384720.0,0,,64.0,1.29,96,2.011753000362499,,,,,,1,0.0,,0.0,16239.8,10.0,98,40,,,,,,,0,,,
3.5906248193378407,,,,,,,,2,1681384724.0,0,,96.0,2.01,160,3.5906248193378407,,,,,,1,0.0,,0.0,9078.14,10.0,172,44,,,,,,,0,,,
8.348941816062181,,,,,,,,3,1681384725.0,0,,160.0,3.59,320,8.348941816062181,,,,,,1,0.0,,0.0,3886.19,10.0,322,45,,,,,,,0,,,
9.421920494381993,,,,,,,,4,1681384727.0,0,,320.0,8.35,352,9.421920494381993,,,,,,1,0.0,,0.0,3439.86,10.0,358,47,,,,,,,0,,,
11.664459934040545,,,,,,,,5,1681384728.0,0,,352.0,9.42,416,11.664459934040545,,,,,,1,0.0,,0.0,2773.28,10.0,419,48,,,,,,,0,,,
12.82100860213358,,,,,,,,6,1681384729.0,0,,416.0,11.66,448,12.82100860213358,,,,,,1,0.0,,0.0,2520.25,10.0,456,49,,,,,,,0,,,
28.543188064437643,,,,,,,,7,1681384730.0,0,,448.0,12.82,608,28.543188064437643,,,,,,2,0.0,,0.0,1126.08,10.0,626,50,,,,,,,0,,,
42.094950392251484,,,,,128.0,,,8,1681384731.0,0,,480.0,13.99,768,42.094950392251484,,,14.55,,,2,0.0,,0.0,759.74,10.0,787,51,,,,,,0.0,0,,0.0,
54.09641205138179,,,,,224.0,,,9,1681384732.0,0,,544.0,16.36,896,54.09641205138179,,,25.73,,,2,0.0,,0.0,588.54,10.0,930,52,,,,,,0.0,0,,0.0,
66.40332373134915,,,,,320.0,,,10,1681384734.0,0,,576.0,17.54,1056,66.40332373134915,,,36.56,,,2,0.0,,0.0,477.01,10.0,1093,54,,,,,,0.0,0,,0.0,
89.15336796239862,,,,,416.0,,,11,1681384735.0,0,,640.0,19.86,1280,89.15336796239862,,,46.54,,,4,0.0,,0.0,352.71,10.0,1323,55,,,,,,0.0,0,,0.0,
110.58983724726893,0.0,,,5.24,544.0,32.0,,12,1681384736.0,0,0.0,672.0,20.99,1504,110.58983724726893,,,57.99,32.0,,5,0.0,,0.0,282.02,10.0,1580,56,0.0,,0.0,4.94,,0.0,0,,0.0,
136.07120363206306,0.0,,,9.64,640.0,64.0,32.0,13,1681384737.0,0,0.0,704.0,22.09,1824,136.07120363206306,0.0,0.0,65.0,64.0,,5,0.0,,0.0,226.82,10.0,1904,57,0.0,,0.0,9.15,4.72,0.0,0,,0.0,
154.87870862267445,0.0,,,16.54,736.0,128.0,64.0,14,1681384738.0,0,0.0,768.0,24.18,2112,154.87870862267445,0.0,0.0,70.67,128.0,,5,0.0,,0.0,197.34,10.0,2204,58,0.0,,0.0,15.88,8.79,0.0,0,,0.0,
169.3809314694045,0.0,,,19.26,864.0,160.0,128.0,15,1681384740.0,0,0.0,800.0,25.16,2400,169.3809314694045,0.0,0.0,76.47,160.0,,5,0.0,,0.0,178.68,10.0,2503,60,0.0,,0.0,18.57,15.42,0.0,0,,0.0,
182.71513003542304,0.0,,,23.66,960.0,192.0,160.0,16,1681384741.0,0,0.0,864.0,27.01,2688,182.71513003542304,0.0,0.0,79.69,224.0,,5,0.0,,0.0,163.95,10.0,2811,61,0.0,,0.0,20.91,18.11,0.0,0,,0.0,
