_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,64.0,255469.289472,1681385362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681385362,2.6875,0.0,0.0,1493.479424,0.0,29.0,0.9565924939600263,177.999872,0.0,418.648064,0.0,0.0,0.0,3.25,11.0,0.10907214336701077,244782.682112,2.854912,160.0,0.0,4787.441664,0.0,18.0,4.2,4.375,12271.427584,75.0,,,,,,,,,,,,,,
2,2,,,1681385363,2.6875,0.0,0.008000000000038199,1632.063488,0.012223303338945012,2597.0,0.2782154353686727,180.600832,3.0,421.339136,0.0,0.0,0.0,3.25,1157.0,0.28230578615898383,244644.102144,2.854912,166.0,0.0010000000002037268,4795.96544,0.0,2646.0,4.2,4.375,12346.933248,75.0,,,,,,,,,,,,,,
3,3,,,1681385364,2.671875,0.0,0.011999999999943611,1702.58432,0.0035182682330571467,3968.0,0.05587312305974118,180.666368,4.0,422.350848,0.0,0.0,0.0,2.984375,1825.0,0.057982709745574845,244573.581312,2.854912,221.0,0.0020000000004074536,4805.574656,0.0,3701.0,4.3,4.296875,12423.507968,75.0,,,,,,,,,,,,,,
4,4,,,1681385365,2.671875,0.0,0.023999999999887223,1988.173824,0.22445927113910444,5676.0,0.16499164256783763,182.329344,7.0,702.132224,0.0,0.0,0.0,2.984375,3324.0,0.9258018743468526,244287.987712,2.854912,249.0,0.005000000000109139,5084.655616,0.0,5383.0,4.4,4.296875,12702.588928,77.0,,,,,,,,,,,,,,
5,6,,,1681385367,2.671875,0.0,0.02800000000002001,2235.424768,0.0032787060998568274,6750.0,0.048111169836289595,182.984704,8.0,951.123968,0.0,0.0,0.0,2.984375,3967.0,0.2090559362160848,244040.728576,2.854912,280.0,0.005000000000109139,6358.142976,0.0,6280.0,4.5,4.296875,13976.072192,78.0,,,,,,,,,,,,,,
6,7,,,1681385368,2.671875,0.0,0.03199999999992542,2988.376064,0.004078393381041166,7313.0,0.050717052148846586,182.984704,9.0,1702.658048,0.0,0.0,0.0,2.984375,4452.0,0.01656050845198866,243287.77728,2.854912,280.0,0.006000000000312866,6358.142976,0.0,6906.0,4.8,4.296875,13976.072192,79.0,,,,,,,,,,,,,,
7,8,,,1681385369,2.671875,0.0,0.03600000000005821,3426.799616,0.004078533772706899,7730.0,0.0068745598234715,184.68864,10.0,2141.77792,0.0,0.0,0.0,2.984375,4943.0,0.006388640305182531,242849.353728,2.854912,280.0,0.006000000000312866,6526.210048,0.0,7426.0,4.9,4.296875,14144.139264,84.0,,,,,,,,,,,,,,
8,9,,,1681385370,2.671875,0.0,0.03999999999996362,4076.83072,0.004078679073597599,8128.0,0.058511518375651335,184.68864,11.0,2790.313984,0.0,0.0,0.0,2.875,5381.0,0.023468336453400143,242199.322624,2.854912,280.0,0.007000000000516593,7181.418496,0.0,7947.0,5.2,4.25,14799.347712,87.0,,,,,,,,,,,,,,
9,10,,,1681385371,2.671875,0.0,0.05600000000004002,4406.616064,0.040778309488931054,8611.0,0.023463457187166508,184.68864,14.0,3119.04256,0.0,0.0,0.0,2.875,5899.0,0.024387340843514536,241869.53728,2.854912,280.0,0.009000000000014552,7500.505088,0.0,8536.0,5.3,4.25,15118.434304,89.0,,,,,,,,,,,,,,
10,11,,,1681385372,2.671875,0.0,0.06799999999998363,4406.616064,0.32614519146038634,9088.0,0.048611239907107,184.68864,71.0,3119.04256,0.0,0.0,0.0,2.875,6359.0,0.017055737401288358,241869.53728,2.854912,280.0,0.15800000000035652,7500.767232,0.0,9114.0,5.3,4.25,15118.696448,90.0,,,,,,,,,,,,,,
11,12,,,1681385373,2.671875,0.0,0.07199999999988904,4406.616064,0.004078811679883732,9525.0,0.0,184.68864,72.0,3119.04256,0.0,0.0,0.0,2.875,6789.0,0.0013383600752164245,241869.53728,2.854912,280.0,0.15900000000056025,7500.767232,0.0,9632.0,5.3,4.25,15118.696448,93.0,,,,,,,,,,,,,,
12,13,,,1681385374,2.671875,0.0,0.07600000000002183,4794.679296,0.0040791700133191375,9842.0,0.042687876886096265,184.68864,73.0,3506.634752,0.0,0.0,0.0,2.875,7169.0,0.011703712509280895,241481.457664,2.854912,284.0,0.15900000000056025,8528.973824,0.0,10082.0,5.5,4.25,16146.90304,97.0,,,,,,,,,,,,,,
13,14,,,1681385375,2.65625,0.0,0.07999999999992724,5439.012864,0.00408284025745023,10570.0,0.03052561079387132,184.68864,74.0,4147.863552,0.0,0.0,0.0,2.765625,8269.0,0.02612379853251907,240837.12,2.854912,284.0,0.15999999999985448,9058.402304,0.0,11269.0,5.7,4.203125,17145.40544,101.0,,,,,,,,,,,,,,
14,15,,,1681385376,2.65625,0.0,0.08399999999983265,5439.30368,0.004080201784050944,11058.0,0.050396867141751754,184.68864,75.0,4147.863552,0.0,0.0,0.0,2.765625,8687.0,0.0170300607979634,240836.829184,2.854912,284.0,0.15999999999985448,9058.402304,0.0,11829.0,5.7,4.203125,17145.40544,104.0,,,,,,,,,,,,,,
15,16,,,1681385377,2.65625,0.0,0.09600000000000364,5025.357824,0.43631268816090496,11948.0,0.006952777853104301,366.125056,145.0,3834.339328,0.0,0.0,0.0,2.765625,9965.0,0.007940343181473481,241238.188032,2.854912,343.0,0.33799999999973807,8580.468736,0.0,16351.0,5.6,4.203125,18280.136704,105.0,,,,,,,,,,,,,,
16,17,,,1681385378,2.65625,0.0,0.09999999999990905,3795.509248,0.004078964748208821,12508.0,0.07352493221236729,464.801792,146.0,2702.098432,0.0,0.0,0.0,2.765625,10524.0,0.0747597747061188,242468.036608,2.854912,345.0,0.33799999999973807,7348.924416,0.0,17013.0,5.1,4.203125,18832.441344,108.0,,,,,,,,,,,,,,
17,18,,,1681385379,2.65625,0.0,0.10400000000004184,3798.421504,0.004068208400091452,13142.0,0.031075708990761685,465.79712,147.0,2703.1552,0.0,0.0,0.0,2.765625,10848.0,0.032251675188736235,242465.128448,2.854912,348.0,0.33799999999973807,7349.18656,0.0,17451.0,5.1,4.203125,18832.703488,108.0,,,,,,,,,,,,,,
18,19,,,1681385380,2.640625,0.0,0.10799999999994725,3798.745088,0.00407639118957143,14329.0,0.1965027565678328,465.79712,148.0,2703.1552,0.0,0.0,0.0,2.546875,11242.0,0.13993486722412968,242464.825344,2.854912,348.0,0.3389999999999418,7349.18656,0.0,18277.0,5.1,4.140625,18832.703488,108.0,,,,,,,,,,,,,,
19,20,,,1681385381,2.640625,0.0,0.11199999999985266,4799.410176,0.004077273498523104,16429.0,0.26527760754810414,1131.884544,149.0,4394.831872,0.0,0.0,0.0,2.546875,13912.0,0.27951621108286373,240804.519936,2.854912,362.0,0.3389999999999418,8414.86336,0.0,21737.0,5.7,4.140625,24940.83072,108.0,,,,,,,,,,,,,,
20,21,,,1681385382,2.640625,0.0,0.12400000000002365,5494.980608,0.41072293012526584,19046.0,0.14792125344553947,2707.980288,211.0,6659.411968,0.0,0.0,0.0,2.546875,26008.0,0.07904383117507542,238546.055168,2.854912,756.0,0.43699999999989814,9218.076672,0.0,38248.0,6.6,4.140625,26962.214912,109.0,,,,,,,,,,,,,,
21,22,,,1681385383,2.640625,0.0,0.12799999999992906,10167.99232,0.004064549979115199,21992.0,0.20841138810244755,2709.037056,212.0,11292.401664,0.0,0.0,0.0,2.546875,35654.0,0.15475456547459068,233853.386752,2.854912,760.0,0.43699999999989814,14282.743808,0.0,52503.0,8.5,4.140625,37227.70432,110.0,,,,,,,,,,,,,,
22,23,,,1681385384,2.640625,0.0,0.13199999999983447,9713.483776,0.004061512558662471,24741.0,0.17919837688159632,3746.69312,213.0,11845.328896,0.0,0.0,0.0,2.546875,43299.0,0.14637310523115218,233270.14912,2.854912,778.0,0.43800000000010186,13258.73152,0.0,153248.0,8.7,4.140625,37246.656512,112.0,,,,,,,,,,,,,,
23,24,,,1681385385,3.1718749999999996,0.0,0.13999999999987267,9895.493632,0.13025978323315313,28074.0,0.24148624624285356,3901.35808,217.0,12000.067584,0.0,0.0,0.0,10.359375,56064.0,0.16935202918339176,232935.60832,2.854912,847.0,0.44099999999980355,13258.73152,0.0,417574.0,8.8,5.734375,37398.032384,141.0,,,,,,,,,,,,,,
