04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/num_peers,_timestamp,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/global_epoch,03_hivemind/total_training_samples,04_peers/peer_3_samples_accumulated,04_peers/peer_3_epoch,03_hivemind/eta_next_epoch_s,_step,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated
,,10.0,,32,,,,,,,0,,0.6227740770743606,37,1,1681386107.0,,,,0,,,,52563.86,0,,33,0.6227740770743606,,
0.0,,10.0,,96,,0.0,,,,,0,,2.0075455086452245,39,1,1681386109.0,,,,0,,,,16274.12,1,,97,2.0075455086452245,0.62,32.0
0.0,,10.0,,128,,0.0,,,,,0,,2.7713840536984917,43,1,1681386113.0,,,,0,,,,11773.69,2,,139,2.7713840536984917,2.01,96.0
0.0,,10.0,,288,,0.0,,,,,0,,7.298856672863145,44,1,1681386114.0,,,,0,,,,4449.18,3,,294,7.298856672863145,2.77,128.0
0.0,,10.0,,352,,0.0,,,,,0,,9.407066259315867,45,1,1681386115.0,,,,0,,,,3445.59,4,,355,9.407066259315867,7.3,288.0
0.0,,10.0,,384,,0.0,,,,,0,,10.512430319956328,46,1,1681386116.0,,,,0,,,,3079.88,5,,391,10.512430319956328,9.41,352.0
0.0,,10.0,,416,,0.0,,,,,0,,11.644511892984056,47,1,1681386117.0,,,,0,,,,2777.3,6,,428,11.644511892984056,10.51,384.0
0.0,,10.0,,480,,0.0,,,,,0,,13.969510648273424,49,1,1681386119.0,,,,0,,,,2310.81,7,,487,13.969510648273424,11.64,416.0
0.0,,10.0,,608,,0.0,,,,,0,,24.710155849529826,50,2,1681386120.0,,,,0,,,,1300.82,8,,625,24.710155849529826,13.97,480.0
0.0,,10.0,,768,,0.0,0.0,,0.0,,0,96.0,37.27747244461224,51,2,1681386121.0,9.56,,,0,,,,858.0,9,,784,37.27747244461224,15.15,512.0
0.0,,10.0,,896,,0.0,0.0,,0.0,,0,192.0,48.81355807399534,52,2,1681386122.0,19.77,,,0,,,,652.3,10,,927,48.81355807399534,17.51,576.0
0.0,,10.0,,1056,,0.0,0.0,,0.0,,0,288.0,63.189344923667676,53,2,1681386123.0,30.13,,,0,,,,501.29,11,,1092,63.189344923667676,18.68,608.0
0.0,,10.0,,1248,,0.0,0.0,,0.0,,0,416.0,79.17337429797588,54,3,1681386124.0,43.36,,,0,,,,397.61,12,,1288,79.17337429797588,19.83,640.0
0.0,,10.0,4.82,1440,,0.0,0.0,0.0,0.0,,0,512.0,95.65005739570188,56,3,1681386126.0,52.29,,,0,,32.0,0.0,326.89,13,,1501,95.65005739570188,22.06,704.0
0.0,,10.0,12.52,1632,,0.0,0.0,0.0,0.0,,0,608.0,107.17727696616818,57,3,1681386127.0,60.0,,,0,,96.0,0.0,289.88,14,,1700,107.17727696616818,23.13,736.0
