03_hivemind/epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_epoch,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,_step,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/reached_TBS,_runtime,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples
,,,,10.0,,3.699667902306007,1,,,,0,,,1681387047.0,,50,,0,160,3.699667902306007,,,,,,,0,8813.44,,161
,,,,10.0,,8.119008350232356,1,0.0,,,1,,3.7,1681387048.0,,51,,0,288,8.119008350232356,,,,160.0,,0.0,0,4000.04,,292
,,,,10.0,,16.090648294665304,1,0.0,,,2,,8.12,1681387049.0,,52,,0,448,16.090648294665304,,,,288.0,,0.0,0,2008.32,,453
,,,,10.0,,24.774940909268935,1,0.0,,,3,,16.09,1681387050.0,,53,,0,576,24.774940909268935,,,,448.0,,0.0,0,1298.96,,586
,,,,10.0,,38.55099593861904,1,0.0,,,4,,24.77,1681387051.0,,54,,0,736,38.55099593861904,,,,576.0,,0.0,0,830.63,,746
,,,,10.0,,51.27526530476892,1,0.0,,,5,,38.55,1681387053.0,,56,,0,864,51.27526530476892,,,,736.0,,0.0,0,621.83,,884
,,,,10.0,,67.79822396506522,1,0.0,,,6,,51.28,1681387054.0,,57,,0,1024,67.79822396506522,,,,864.0,,0.0,0,467.97,,1040
,,,,10.0,,80.16198802066226,1,0.0,,,7,,67.8,1681387055.0,,58,,0,1152,80.16198802066226,,,,1024.0,,0.0,0,394.04,,1181
,,,,10.0,,90.80210322165301,1,0.0,,,8,,80.16,1681387056.0,,59,,0,1280,90.80210322165301,,,,1152.0,,0.0,0,346.3,,1323
,,,,10.0,,136.6948438337059,2,0.0,,,9,,90.8,1681387057.0,,60,,0,1728,136.6948438337059,,,,1280.0,,0.0,0,226.74,,1774
