_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,2,80.0,540929.032192,1681388911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,1681388911,1.0125,0.0,0.0,6827.773952,0.0,12.0,0.0,106.307584,0.0,321.363968,0.0,0.0,0.0,0.2875,0.0,0.0,530594.390016,2.854912,3511.0,0.0,4775.514112,0.0,45.0,1.9,1.1125,42402.029568,90.0,,,,,,,,,,,,,,
2,3,,,1681388912,1.0125,0.0,0.0,6880.526336,0.0,3201.0,0.05372769111570646,106.663936,0.0,321.765376,0.0,0.0,0.0,0.2875,2074.0,0.06266903628804313,530541.682688,2.854912,3512.0,0.0,4775.514112,0.0,2768.0,1.9,1.1125,42402.029568,90.0,,,,,,,,,,,,,,
3,4,,,1681388913,1.0125,0.0,0.0,7194.017792,0.0,4688.0,0.03756816038623314,107.106304,0.0,628.81792,0.0,0.0,0.0,0.26249999999999996,3911.0,0.0365161881459397,530228.191232,2.854912,3546.0,0.0,5095.309312,0.0,3759.0,2.0,1.0999999999999999,42788.794368,92.0,,,,,,,,,,,,,,
4,5,,,1681388914,1.0125,0.0,0.0,7685.87776,0.0,7722.0,70.16062034746561,107.450368,0.0,1116.91776,0.0,0.0,0.0,0.26249999999999996,7836.0,0.10419083269213757,529736.331264,2.854912,3551.0,0.0,5909.684224,0.0,8797.0,2.1,1.0999999999999999,46215.299072,92.0,,,,,,,,,,,,,,
5,6,,,1681388915,1.0125,0.0,0.0,7695.552512,0.0,18513.0,0.00047843760735222766,107.495424,0.0,1117.048832,0.0,0.0,0.0,0.26249999999999996,28745.0,0.0014353128365612317,529726.664704,2.854912,3592.0,0.0,5909.684224,0.0,36109.0,2.1,1.0999999999999999,46215.299072,92.0,,,,,,,,,,,,,,
6,7,,,1681388916,1.0125,0.0,0.003999999999990678,8226.684928,0.106157202356517,20689.0,2.2061670815189163,268.087296,2.0,1696.055296,0.0,0.0,0.0,0.26249999999999996,32312.0,0.08174710646979103,529185.042432,2.854912,3613.0,0.0,6338.23232,0.0,41415.0,2.2,1.0999999999999999,47449.153536,97.0,,,,,,,,,,,,,,
7,8,,,1681388917,1.0125,0.0,0.007999999999981355,8139.75552,0.004057266266028808,25801.0,0.0029082357848177736,339.263488,3.0,1675.309056,0.0,0.0,0.0,0.26249999999999996,36755.0,0.004287072372901565,529271.975936,2.854912,3638.0,0.0,6248.456192,0.0,45108.0,2.2,1.0999999999999999,48902.88128,105.0,,,,,,,,,,,,,,
8,9,,,1681388918,1.0125,0.0,0.007999999999981355,8142.381056,0.0,37458.0,0.053893188573041276,340.492288,3.0,1677.160448,0.0,0.0,0.0,0.44999999999999996,39342.0,0.020601761991989494,529269.3504,2.854912,3678.0,0.0,6248.98048,0.0,50833.0,2.2,1.125,48903.405568,106.0,,,,,,,,,,,,,,
9,10,,,1681388919,1.0125,0.0,0.015999999999991132,8142.467072,0.15521849706524848,48700.0,0.44129888800922856,340.492288,26.0,1677.160448,0.0,0.0,0.0,0.44999999999999996,40976.0,0.03175213911003728,529269.264384,2.854912,3678.0,0.006999999999997897,6248.98048,0.0,56306.0,2.2,1.125,48903.405568,106.0,,,,,,,,,,,,,,
