04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/global_epoch,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/undershot_TBS,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated
,,11661.0,,,128,0,,1681389457.0,,,10.0,,,,2.7989728402543395,0,,1,,,129,2.7989728402543395,50,,,,0,,,
,,4024.01,,,288,0,,1681389458.0,,,10.0,2.8,,,8.070971589155004,0,,1,0.0,,290,8.070971589155004,51,,,,1,,0.0,128.0
,,2281.64,,,416,0,,1681389459.0,,,10.0,8.07,,,14.176647130647648,0,,1,0.0,,422,14.176647130647648,52,,,,2,,0.0,288.0
,,1303.6,,,576,0,,1681389460.0,,,10.0,14.18,,,24.689294136292983,0,,1,0.0,,583,24.689294136292983,53,,,,3,,0.0,416.0
,,902.97,,,704,0,,1681389462.0,,,10.0,24.69,,,35.49324883379426,0,,1,0.0,,719,35.49324883379426,55,,,,4,,0.0,576.0
,,621.67,,,864,0,,1681389463.0,,,10.0,35.49,,,51.29761007144315,0,,1,0.0,,878,51.29761007144315,56,,,,5,,0.0,704.0
,,490.8,,,992,0,,1681389464.0,,,10.0,51.3,,,64.69094413498892,0,,1,0.0,,1018,64.69094413498892,57,,,,6,,0.0,864.0
,,392.3,,,1152,0,,1681389465.0,,,10.0,64.69,,,80.53888353843502,0,,1,0.0,,1173,80.53888353843502,58,,,,7,,0.0,992.0
,,341.62,,,1280,0,,1681389469.0,,,10.0,80.54,,,91.26863599803761,0,,1,0.0,,1589,91.26863599803761,62,,,,8,,0.0,1152.0
,,35.99,,,5632,0,,1681389471.0,,,10.0,91.27,,,745.8380366022521,0,,2,0.0,,5926,745.8380366022521,64,,,,9,,0.0,1280.0
0.0,,21.64,631.22,,7808,0,,1681389472.0,,,8.66,114.62,,3840.0,1133.9460207019702,0,,2,0.0,0.0,8229,1133.9460207019702,65,,,,10,,0.0,1792.0
0.0,,14.98,1017.13,,10080,0,,1681389473.0,,,7.49,116.81,,5888.0,1479.936809757573,0,,3,0.0,0.0,10600,1479.936809757573,66,,,,11,,0.0,1920.0
0.0,,13.26,1353.22,64.0,11904,0,,1681389474.0,,,6.63,118.53,8.18,7936.0,1526.9046963602932,0,,3,0.0,0.0,12517,1526.9046963602932,67,,0.0,,12,0.0,0.0,2080.0
0.0,,12.21,1376.56,224.0,13728,0,,1681389475.0,,,6.11,119.67,30.67,9472.0,1509.2027282866813,0,,3,0.0,0.0,14335,1509.2027282866813,68,,0.0,,13,0.0,0.0,2208.0
0.0,,11.31,1339.57,352.0,15552,0,,1681389476.0,,,5.65,120.37,49.26,11008.0,1467.5519201909538,0,,3,0.0,0.0,16174,1467.5519201909538,69,,0.0,,14,0.0,0.0,2368.0
0.0,,8.12,1276.23,512.0,17632,0,,1681389478.0,,,4.06,120.69,70.64,12544.0,1732.430958737928,0,,3,0.0,0.0,18706,1732.430958737928,71,,0.0,,15,0.0,0.0,2496.0
0.0,,7.03,1526.63,640.0,19968,0,,1681389479.0,,,3.52,120.92,84.88,14336.0,1732.9920182015912,0,,3,0.0,0.0,20583,1732.9920182015912,72,,0.0,,16,0.0,0.0,2656.0
0.0,,6.04,1513.48,800.0,21504,0,,1681389480.0,,,3.02,120.99,98.51,16384.0,1704.3337539472639,0,,3,0.0,0.0,22480,1704.3337539472639,73,,0.0,,17,0.0,0.0,2784.0
0.0,,4.64,1477.09,928.0,23872,0,,1681389481.0,,,2.32,120.94,106.3,17664.0,1756.0175856583467,0,,3,0.0,0.0,24614,1756.0175856583467,74,,0.0,,18,0.0,0.0,2912.0
0.0,,3.53,1522.24,1088.0,25984,0,,1681389482.0,,,1.77,121.01,112.77,19712.0,1734.0678590500281,0,,3,0.0,0.0,26641,1734.0678590500281,75,,0.0,,19,0.0,0.0,3072.0
0.0,,2.33,1496.06,1248.0,28032,0,,1681389484.0,,,1.17,121.06,116.94,21504.0,1737.1393178193198,0,,3,0.0,0.0,28718,1737.1393178193198,77,,0.0,,20,0.0,0.0,3232.0
0.0,,1.09,1497.04,1376.0,29888,0,,1681389485.0,,,0.54,121.1,118.99,23296.0,1758.739587178215,0,,3,0.0,0.0,30855,1758.739587178215,78,,0.0,,21,0.0,0.0,3360.0
0.0,,0.0,1516.85,1536.0,30144,0,,1681389486.0,,,0.5,121.01,120.88,24832.0,1759.5310293630844,0,,3,0.0,0.0,32939,1759.5310293630844,79,,0.0,,22,0.0,0.0,3520.0
0.0,,0.0,1516.85,1664.0,30272,0,,1681389487.0,,,0.5,121.0,121.68,24832.0,1760.0234562735159,0,,3,0.0,0.0,35032,1760.0234562735159,80,,0.0,,23,0.0,0.0,3648.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389488.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,37113,1760.0234562735159,81,,0.0,,24,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389492.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,44482,1760.0234562735159,85,,0.0,,25,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389494.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,46573,1760.0234562735159,87,,0.0,,26,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389495.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,48660,1760.0234562735159,88,,0.0,,27,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389496.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,50759,1760.0234562735159,89,,0.0,,28,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389497.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,52837,1760.0234562735159,90,,0.0,,29,0.0,0.0,3712.0
0.0,,0.0,1516.85,1728.0,30272,0,,1681389498.0,,,0.5,121.0,122.17,24832.0,1760.0234562735159,0,,3,0.0,0.0,54928,1760.0234562735159,91,,0.0,,30,0.0,0.0,3712.0
