_step,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,_timestamp,03_hivemind/num_peers
0,0,,10.0,,1.2693691773056353,49,,25763.75,,64,64,,,,0,,,,,,1.2693691773056353,,,,1681390911.0,1
1,0,,10.0,1.27,5.686497207377838,50,0.0,5722.93,,225,224,,,,0,,,,0.0,64.0,5.686497207377838,,,,1681390912.0,1
2,0,,10.0,5.69,10.888790103636934,51,0.0,2976.78,,354,352,,,,0,,,,0.0,224.0,10.888790103636934,,,,1681390913.0,1
3,0,,10.0,10.89,20.080211094485996,52,0.0,1606.27,,514,512,,,,0,,,,0.0,352.0,20.080211094485996,,,,1681390914.0,1
4,0,,10.0,20.08,27.18581303918296,56,0.0,1179.5,,702,608,,,,0,,,,0.0,512.0,27.18581303918296,,,,1681390918.0,1
5,0,,10.0,27.19,77.22905673896531,57,0.0,409.38,,1152,1120,,,,0,,,,0.0,608.0,77.22905673896531,,,,1681390919.0,1
6,0,,10.0,77.23,90.93618666508469,59,0.0,346.01,,1304,1280,,,,0,,,,0.0,1120.0,90.93618666508469,,,,1681390921.0,1
7,0,,10.0,90.94,99.54240792072542,60,0.0,314.67,,1445,1408,,,,0,,,,0.0,1280.0,99.54240792072542,,,,1681390922.0,1
8,0,,10.0,99.54,106.07420662793537,61,0.0,293.95,,1588,1536,,,,0,,,,0.0,1408.0,106.07420662793537,,,,1681390923.0,1
9,0,,10.0,106.07,111.80413199174451,65,0.0,274.57,,2070,1696,,,,0,,,,0.0,1536.0,111.80413199174451,,,,1681390927.0,1
10,0,,10.0,111.8,119.23796558917455,66,0.0,256.0,,2243,2208,,,,0,,,,0.0,1696.0,119.23796558917455,,,,1681390928.0,1
11,0,,10.0,119.24,119.96988296624983,67,0.0,253.25,,2386,2336,,,,0,,,,0.0,2208.0,119.96988296624983,,,,1681390929.0,1
12,0,,10.0,119.97,120.26561069992358,69,0.0,251.45,,2527,2496,,,,0,,,,0.0,2336.0,120.26561069992358,,,,1681390931.0,1
13,0,,10.0,120.27,120.50786264156346,70,0.0,249.77,,2669,2624,,,,0,,,,0.0,2496.0,120.50786264156346,,,,1681390932.0,1
14,0,,10.0,120.51,120.5907433656669,71,0.0,248.42,,2811,2752,,,,0,,,,0.0,2624.0,120.5907433656669,,,,1681390933.0,1
15,0,,10.0,120.59,120.7133411363718,72,0.0,247.0,,2952,2912,,,,0,,,,0.0,2752.0,120.7133411363718,,,,1681390934.0,1
16,0,,10.0,120.71,120.83254620821982,73,0.0,245.58,,3094,3040,,,,0,,,,0.0,2912.0,120.83254620821982,,,,1681390935.0,1
17,0,,10.0,120.83,120.87339491418845,74,0.0,244.32,,3236,3200,,,,0,,,,0.0,3040.0,120.87339491418845,,,,1681390936.0,1
18,0,,10.0,120.87,120.975154707097,79,0.0,239.93,,3742,3328,,,,0,,,,0.0,3200.0,120.975154707097,,,,1681390941.0,1
19,0,,6.82,120.98,1290.4955005556596,80,0.0,17.06,,10754,10240,,,,0,,,,0.0,3328.0,1290.4955005556596,,,,1681390942.0,2
20,0,,5.33,120.92,1491.112111391089,81,0.0,13.32,,12913,12416,,,0.0,0,,,6400.0,0.0,3840.0,1491.112111391089,0.0,,1169.58,1681390943.0,2
21,0,,4.32,120.74,1641.549634248767,82,0.0,10.8,,15047,14368,,,0.0,0,,,8448.0,0.0,3968.0,1641.549634248767,0.0,,1370.38,1681390944.0,2
22,0,,4.22,120.62,1532.5391808844752,83,0.0,10.56,,16591,16032,,,0.0,0,,,10240.0,0.0,4128.0,1532.5391808844752,0.0,,1520.92,1681390945.0,2
23,0,,3.95,120.69,1469.555089185645,85,0.0,9.86,,18273,17728,,,0.0,0,,,11776.0,0.0,4256.0,1469.555089185645,0.0,,1411.85,1681390947.0,2
24,0,,3.01,120.55,1633.8102015597553,86,0.0,7.52,,20474,19392,,,0.0,0,,,13312.0,0.0,4416.0,1633.8102015597553,0.0,,1349.01,1681390948.0,2
25,0,,2.57,120.38,1636.0829470752794,87,0.0,6.43,,22253,21600,,,0.0,0,,,14848.0,0.0,4544.0,1636.0829470752794,0.0,,1513.43,1681390949.0,2
26,0,,2.23,120.56,1584.7035443403402,88,0.0,5.57,,23947,23264,,,0.0,0,,,16896.0,0.0,4704.0,1584.7035443403402,0.0,,1515.52,1681390950.0,2
27,0,,1.78,120.51,1581.4950358350698,89,0.0,4.44,,25744,25184,,,0.0,0,,,18432.0,0.0,4832.0,1581.4950358350698,0.0,,1464.19,1681390951.0,2
28,0,,1.4,120.46,1520.3209067834748,90,0.0,3.5,,27444,26880,,,0.0,0,,,20224.0,0.0,4960.0,1520.3209067834748,0.0,,1461.03,1681390952.0,2
29,0,,1.01,120.25,1439.882271182524,92,0.0,2.53,,29124,28544,,,0.0,0,,,21760.0,0.0,5120.0,1439.882271182524,0.0,,1400.07,1681390954.0,2
30,0,,0.5,120.21,1637.206090946321,93,0.0,0.85,,31384,30496,,,0.0,0,,,23296.0,0.0,5248.0,1637.206090946321,0.0,,1319.68,1681390955.0,2
31,0,,0.5,119.94,1568.0476566434286,94,0.0,0.0,,32976,32416,,,0.0,0,,,25088.0,0.0,5408.0,1568.0476566434286,0.0,,1517.27,1681390956.0,2
32,0,,0.5,120.03,1507.2591261963773,95,0.0,0.0,,34643,32992,,,0.0,0,,,26880.0,0.0,5536.0,1507.2591261963773,0.0,,1448.02,1681390957.0,2
33,0,,0.5,119.96,1507.2591261963773,96,0.0,0.0,,36412,32992,,,0.0,0,,,27392.0,0.0,5600.0,1507.2591261963773,0.0,,1387.3,1681390958.0,2
34,0,,0.5,119.96,1507.2591261963773,97,0.0,0.0,,38186,32992,,,0.0,0,,,27392.0,0.0,5600.0,1507.2591261963773,0.0,,1387.3,1681390959.0,2
35,0,,0.5,119.96,1507.2591261963773,99,0.0,0.0,,39956,32992,,,0.0,0,,,27392.0,0.0,5600.0,1507.2591261963773,0.0,,1387.3,1681390961.0,2
36,0,,0.5,119.96,1507.2591261963773,103,0.0,0.0,,46255,32992,,,0.0,0,,,27392.0,0.0,5600.0,1507.2591261963773,0.0,,1387.3,1681390965.0,2
