03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/total_training_samples,03_hivemind/next_fetch_time_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/eta_next_epoch_s,_step,_runtime,03_hivemind/num_peers,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,_timestamp,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,03_hivemind/per_epoch_training_samples
,,101,10.179252965135065,,,,96,10.179252965135065,0,,10.0,,,0,,3209.17,0,32,1,,,,1681391485.0,,,
,,205,20.885838339060893,,96.0,,192,20.885838339060893,0,,10.0,0.0,,0,0.0,1559.12,1,33,1,,10.18,,1681391486.0,,,
,,332,35.076720188410974,,192.0,,320,35.076720188410974,0,,10.0,0.0,,0,0.0,924.72,2,34,1,,20.89,,1681391487.0,,,
,,436,45.01407921158906,,320.0,,416,45.01407921158906,0,,10.0,0.0,,0,0.0,718.27,3,35,1,,35.08,,1681391488.0,,,
,,541,53.913886820514,,416.0,,512,53.913886820514,0,,10.0,0.0,,0,0.0,597.74,4,37,1,,45.01,,1681391490.0,,,
,,712,62.814479447790355,,512.0,,672,62.814479447790355,0,,10.0,0.0,,0,0.0,510.32,5,38,2,,53.91,,1681391491.0,,,
,,861,71.60425946930678,1.29,608.0,,832,71.60425946930678,0,,10.0,0.0,0.0,0,0.0,445.61,6,39,2,0.0,61.52,64.0,1681391492.0,,,
,,1029,77.82586781169701,2.01,736.0,,992,77.82586781169701,0,,10.0,0.0,0.0,0,0.0,407.82,7,40,2,0.0,69.6,96.0,1681391493.0,,,
,,1168,82.31943698180493,3.59,832.0,,1120,82.31943698180493,0,,10.0,0.0,0.0,0,0.0,383.87,8,41,2,0.0,74.24,160.0,1681391494.0,,,
,,1312,86.7963345824615,4.45,928.0,,1280,86.7963345824615,0,,10.0,0.0,0.0,0,0.0,362.41,9,42,2,0.0,77.87,192.0,1681391495.0,,,
