_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
0,2,64.0,255469.289472,1681392627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,1681392627.0,1.7500000000000002,0.0,0.0,1501.700096,0.0,14.0,0.09498171856236061,178.479104,0.0,419.119104,0.0,0.0,0.0,0.5,0.0,0.1064945678396809,244774.465536,2.854912,181.0,0.0,4787.441664,0.0,12.0,4.2,1.7343750000000002,12271.427584,77.0,,,,,,,,,,,,,,
2,3,,,1681392628.0,1.7500000000000002,0.0,0.020000000000209184,1641.41056,0.30562890153381184,2861.0,0.2849909916173786,180.768768,5.0,421.49888,0.0,0.0,0.0,0.5,1234.0,0.28359815208444766,244634.750976,2.854912,190.0,0.0039999999999054126,4795.96544,0.0,2795.0,4.2,1.7343750000000002,12346.933248,77.0,,,,,,,,,,,,,,
3,4,,,1681392629.0,1.7500000000000002,0.0,0.024000000000114596,1714.712576,0.0035990074248685765,4858.0,0.11831033998336023,180.834304,6.0,422.670336,0.0,0.0,0.0,0.5,2726.0,0.849843747446843,244561.444864,2.854912,204.0,0.005000000000109139,4805.574656,0.0,4519.0,4.3,1.7343750000000002,12423.507968,78.0,,,,,,,,,,,,,,
4,5,,,1681392630.0,1.7500000000000002,0.0,0.02800000000002001,1990.414336,0.0032818947758112577,5851.0,0.09310453468471507,182.59968,7.0,702.324736,0.0,0.0,0.0,0.578125,3575.0,0.23263634246660914,244285.743104,2.854912,230.0,0.005000000000109139,5084.913664,0.0,5501.0,4.4,1.7343750000000002,12702.846976,81.0,,,,,,,,,,,,,,
5,6,,,1681392631.0,1.7500000000000002,0.0,0.052000000000134605,2238.337024,0.9481533993204554,7382.0,0.04684525251942792,183.189504,204.0,952.344576,0.0,0.0,0.0,0.578125,4333.0,0.20308130953343256,244037.820416,2.854912,255.0,0.1000000000003638,6358.142976,0.0,6870.0,4.5,1.7343750000000002,13976.072192,82.0,,,,,,,,,,,,,,
6,7,,,1681392632.0,1.7500000000000002,0.0,0.05600000000004002,2998.013952,0.004078046800245871,8149.0,0.07120652024683766,183.189504,205.0,1709.285376,0.0,0.0,0.0,0.578125,4845.0,0.02528866888084773,243278.143488,2.854912,255.0,0.1000000000003638,6358.142976,0.0,7613.0,4.8,1.7343750000000002,13976.072192,84.0,,,,,,,,,,,,,,
7,8,,,1681392633.0,1.7500000000000002,0.0,0.06400000000007822,3435.728896,0.19168530846065407,8641.0,0.027123025272541047,185.090048,208.0,2147.237888,0.0,0.0,0.0,0.578125,5587.0,0.22693329205928792,242840.424448,2.854912,255.0,0.10300000000006548,6542.987264,0.0,8281.0,4.9,1.7343750000000002,14160.91648,86.0,,,,,,,,,,,,,,
8,9,,,1681392634.0,1.7500000000000002,0.0,0.068000000000211,4089.56928,0.004074285640577206,9258.0,0.07545386061663052,185.090048,209.0,2799.28832,0.0,0.0,0.0,0.578125,6668.0,0.6179625019016838,242186.58816,2.854912,255.0,0.10400000000026921,7181.4144,0.0,9159.0,5.2,1.7343750000000002,14799.343616,89.0,,,,,,,,,,,,,,
9,10,,,1681392635.0,1.7500000000000002,0.0,0.07200000000011642,4410.30656,0.004078593863157061,9667.0,0.013096109857956785,185.090048,210.0,3119.366144,0.0,0.0,0.0,0.65625,7136.0,0.012195951558257862,241865.85088,2.854912,259.0,0.10400000000026921,7500.500992,0.0,9681.0,5.3,1.7187500000000002,15118.430208,91.0,,,,,,,,,,,,,,
10,11,,,1681392636.0,1.7500000000000002,0.0,0.07600000000002183,4410.310656,0.004074802642291271,10167.0,0.049064762167902835,185.090048,211.0,3119.419392,0.0,0.0,0.0,0.65625,7555.0,0.013457990425979033,241865.846784,2.854912,259.0,0.10500000000047294,7500.500992,0.0,10235.0,5.3,1.7187500000000002,15118.430208,96.0,,,,,,,,,,,,,,
11,12,,,1681392637.0,1.7500000000000002,0.0,0.08000000000015461,4410.523648,0.004077874499875028,10602.0,0.007741589961403502,185.22112,212.0,3119.603712,0.0,0.0,0.0,0.65625,8035.0,0.007008847332698465,241865.633792,2.854912,262.0,0.10500000000047294,7500.763136,0.0,10792.0,5.3,1.7187500000000002,15118.692352,100.0,,,,,,,,,,,,,,
12,13,,,1681392638.0,1.7500000000000002,0.0,0.08800000000019281,4821.85216,0.11421290982258997,10932.0,0.049410467971782994,185.22112,215.0,3530.46528,0.0,0.0,0.0,0.65625,8466.0,0.013535695834998317,241454.30528,2.854912,262.0,0.1069999999999709,8528.969728,0.0,11269.0,5.5,1.7187500000000002,16146.898944,102.0,,,,,,,,,,,,,,
13,14,,,1681392639.0,1.7500000000000002,0.0,0.09200000000009823,5442.592768,0.004080360713433229,11514.0,0.0071486004158175746,185.22112,216.0,4148.445184,0.0,0.0,0.0,0.65625,9506.0,0.007706461842517777,240833.560576,2.854912,263.0,0.10800000000017462,9058.398208,0.0,12374.0,5.7,1.7187500000000002,17145.401344,106.0,,,,,,,,,,,,,,
14,15,,,1681392640.0,1.7500000000000002,0.0,0.09600000000000364,5442.875392,0.0040803287327454574,12036.0,0.054853325849506925,185.22112,217.0,4148.445184,0.0,0.0,0.0,0.734375,9918.0,0.01852086719283833,240833.282048,2.854912,263.0,0.10800000000017462,9058.398208,0.0,12942.0,5.7,1.7187500000000002,17145.401344,109.0,,,,,,,,,,,,,,
15,16,,,1681392641.0,1.7500000000000002,0.0,0.10000000000013642,5057.80224,0.004077075139222022,12873.0,0.012756785716446993,374.796288,218.0,3870.920704,0.0,0.0,0.0,0.734375,11002.0,0.012454190772141736,241205.968896,2.854912,305.0,0.10900000000037835,8608.346112,0.0,17140.0,5.6,1.7187500000000002,18308.01408,112.0,,,,,,,,,,,,,,
16,17,,,1681392642.0,1.7500000000000002,0.0,0.10400000000004184,3796.373504,0.0040770065016088935,13441.0,0.07391166789308053,465.870848,219.0,2700.47232,0.0,0.0,0.0,0.734375,11592.0,0.07691368209466226,242467.201024,2.854912,309.0,0.10900000000037835,7346.352128,0.0,17807.0,5.1,1.7187500000000002,18829.869056,114.0,,,,,,,,,,,,,,
17,18,,,1681392643.0,1.7500000000000002,0.0,0.11200000000008004,3759.161344,0.03517388879847238,15677.0,0.026899475745227136,1486.794752,223.0,3723.034624,0.0,0.0,0.0,0.734375,14861.0,0.025937689952275345,241480.409088,2.854912,333.0,0.11200000000008004,7388.278784,0.0,22358.0,5.5,1.7187500000000002,23914.246144,114.0,,,,,,,,,,,,,,
18,19,,,1681392644.0,1.7500000000000002,0.0,0.12000000000011823,5548.68736,0.004079018924518581,17771.0,0.05074873180765665,2708.983808,224.0,6720.02048,0.0,0.0,0.0,0.734375,27637.0,0.01673831832527456,238487.785472,2.854912,430.0,0.11200000000008004,9215.512576,0.0,38763.0,6.6,1.7187500000000002,26959.650816,420.0,,,,,,,,,,,,,,
19,20,,,1681392645.0,2.28125,0.0,0.12400000000002365,10273.349632,0.004068163180703978,19240.0,0.04251707211856773,2710.05696,225.0,11407.85152,0.0,0.0,0.0,8.6875,36443.0,0.03614467553783989,233748.02944,2.854912,434.0,0.11200000000008004,14284.374016,0.0,51154.0,8.5,3.359375,37229.334528,423.0,,,,,,,,,,,,,,
20,21,,,1681392646.0,2.28125,0.0,0.12800000000015643,9740.849152,0.004060498854430716,21487.0,0.05684698396203003,3765.460992,226.0,11865.82528,0.0,0.0,0.0,8.6875,44798.0,0.023355798788990717,233221.566464,2.854912,440.0,0.11300000000028376,13268.885504,0.0,188770.0,8.7,3.359375,37340.614656,444.0,,,,,,,,,,,,,,
21,22,,,1681392647.0,2.28125,0.0,0.13200000000006185,9938.96448,0.004080180465197553,23741.0,0.007745967692496685,3920.687104,227.0,12021.075968,0.0,0.0,0.0,8.6875,56729.0,0.008590692958500117,232871.272448,2.854912,450.0,0.11300000000028376,13268.885504,0.0,503155.0,8.8,3.359375,37491.965952,515.0,,,,,,,,,,,,,,
22,23,,,1681392648.0,2.28125,0.0,0.14000000000010004,10134.908928,0.1223543868297469,25533.0,0.0569951587123444,4121.120768,234.0,12221.509632,0.0,0.0,0.0,8.6875,67605.0,0.023052968729301796,232473.526272,2.854912,458.0,0.11500000000069122,13268.885504,0.0,777820.0,9.0,3.359375,37693.76768,632.0,,,,,,,,,,,,,,
23,24,,,1681392649.0,2.28125,0.0,0.14400000000000546,10330.386432,0.004074939887211304,27335.0,0.012391955751223737,4320.239616,235.0,12420.632576,0.0,0.0,0.0,8.6875,79813.0,0.010951400975834568,232076.529664,2.854912,466.0,0.11599999999998545,13268.885504,0.0,1034409.0,9.2,3.359375,37895.569408,761.0,,,,,,,,,,,,,,
24,25,,,1681392650.0,2.796875,0.0,0.14800000000013824,10569.388032,0.004068368381188087,29167.0,0.0487489059738571,4543.03744,236.0,12643.4304,0.0,0.0,0.0,15.875,90765.0,0.015097459942665882,231635.443712,2.854912,475.0,0.11599999999998545,13268.885504,0.0,1339073.0,9.3,4.9375,38118.375424,875.0,,,,,,,,,,,,,,
25,26,,,1681392651.0,2.796875,0.0,0.15200000000004366,10743.93088,0.004081953598104372,30908.0,0.016487265527193786,4728.23808,237.0,12853.407744,0.0,0.0,0.0,15.875,102942.0,0.015387051908327842,231260.422144,2.854912,483.0,0.11700000000018917,13302.439936,0.0,1578441.0,9.5,4.9375,38332.727296,978.0,,,,,,,,,,,,,,
26,27,,,1681392652.0,2.796875,0.0,0.15600000000017644,11054.915584,0.004075813832256208,33456.0,0.11897873775867558,4947.88608,238.0,12259.561472,0.0,0.0,0.0,15.875,110500.0,0.15422815915492172,230724.206592,2.854912,497.0,0.11700000000018917,12505.591808,0.0,1616150.0,9.7,4.9375,37960.716288,1134.0,,,,,,,,,,,,,,
