04_peers/peer_1_samples_accumulated,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/global_samples_accumulated,_step,04_peers/peer_2_epoch,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_timestamp,03_hivemind/per_epoch_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/global_epoch
,,,10.0,,0,,,,,96,0,,,99,8.688474587815438,8.688474587815438,43,,,3760.06,1681392655.0,,,1,,0
96.0,,,10.0,,0,0.0,,,,384,1,,0.0,405,49.88891941940771,49.88891941940771,44,,,648.7,1681392656.0,,8.69,1,,0
384.0,,,10.0,,0,0.0,,,,704,2,,0.0,751,120.63939485289177,120.63939485289177,45,,,265.39,1681392657.0,,49.89,1,,0
704.0,,,10.0,,0,0.0,,,,1024,3,,0.0,1087,188.89424986851893,188.89424986851893,46,,,167.72,1681392658.0,,120.64,1,,0
1024.0,,,10.0,,0,0.0,,,,1312,4,,0.0,1408,229.3030623684447,229.3030623684447,48,,,136.76,1681392660.0,,188.89,1,,0
1312.0,,,10.0,,0,0.0,,,,1696,5,,0.0,1798,255.31552750462274,255.31552750462274,49,,,121.3,1681392661.0,,229.3,2,,0
1632.0,,0.0,10.0,,0,0.0,1.28,,64.0,2176,6,0.0,0.0,2274,266.99420335326187,266.99420335326187,50,,,114.21,1681392662.0,,254.04,2,,0
1952.0,,0.0,10.0,,0,0.0,5.73,,224.0,2624,7,0.0,0.0,2719,275.05719227122574,275.05719227122574,51,,,109.25,1681392663.0,,261.26,2,,0
2272.0,,0.0,10.0,,0,0.0,10.97,,352.0,3104,8,0.0,0.0,3196,286.6976616380729,286.6976616380729,52,,,103.15,1681392664.0,,264.09,2,,0
2592.0,,0.0,10.0,,0,0.0,20.22,,512.0,3520,9,0.0,0.0,3647,297.7162022592569,297.7162022592569,53,,,97.82,1681392665.0,,266.48,2,,0
