01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,disk/time/disk_write_time_sys_s,02_timing/dataload_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,01_general/dataset_iteration_count,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,cpu/logical_core_count,memory/used_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,02_timing/step_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,01_general/step,03_hivemind/num_peers,02_timing/forward_time_s,03_hivemind/global_epoch,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/opt_step_time_s,_step,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,process/memory/lib_memory_proc_MB,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,_runtime
,,,,,1681394166.0,,,,,,,,,,,,80.0,,,,,540929.032192,,,,,,,,,,,,0,,,,,,,,,,,1
,13.0,0.0,0.0,0.17500000000000002,1681394166.0,0.0,,0.0,321.314816,2.854912,,42.0,0.0,0.08750000000000001,42402.029568,0.0,,6719.61088,3509.0,0.0,,,530702.594048,0.0,106.27072,,,,,,,,,1,0.0,86.0,0.0,,1.9,14.0,4775.514112,,0.11249999999999999,0.0,1
,2496.0,0.16241554444306994,0.0,0.17500000000000002,1681394167.0,0.0,,0.0,321.830912,2.854912,,3282.0,0.0,0.08750000000000001,42402.029568,0.0,,6797.160448,3510.0,0.0,,,530625.056768,0.0,106.729472,,,,,,,,,2,0.0,86.0,3.01361333951725,,1.9,3655.0,4775.514112,,0.11249999999999999,0.0,2
,4326.0,0.07997672445659022,0.0,0.17500000000000002,1681394168.0,0.0,,0.0,321.839104,2.854912,,4111.0,0.0,0.08750000000000001,42402.029568,0.0,,6798.340096,3510.0,0.0,,,530623.87712,0.0,106.729472,,,,,,,,,3,0.0,86.0,35.08359334753009,,1.9,4967.0,4775.522304,,0.11249999999999999,0.0,3
,5517.0,0.13201701383038938,0.0,0.17500000000000002,1681394169.0,0.0,,0.0,321.839104,2.854912,,4741.0,0.0,0.08750000000000001,42402.029568,0.0,,6798.905344,3510.0,0.0,,,530623.307776,3.0,106.729472,,,,,,,,,4,0.003999999999990678,86.0,35.16875999790213,,1.9,6012.0,4775.522304,,0.11249999999999999,0.1551321508607018,4
,6945.0,0.0617100848925911,0.0,0.17500000000000002,1681394170.0,0.0,,0.0,385.572864,2.854912,,5425.0,0.0,0.08750000000000001,42550.059008,0.0,,6866.51392,3543.0,0.0,,,530555.6992,3.0,107.17184,,,,,,,,,5,0.003999999999990678,88.0,0.48777124868146965,,1.9,7287.0,4856.573952,,0.11249999999999999,0.0,5
,8409.0,0.059729818711876916,0.0,0.1875,1681394171.0,0.0,,0.0,928.309248,2.854912,,6240.0,0.0,0.1,43112.558592,0.0,,7410.991104,3543.0,0.0,,,530011.222016,3.0,107.17184,,,,,,,,,6,0.003999999999990678,89.0,0.10161805588661403,,2.0,8360.0,5419.073536,,0.21250000000000002,0.0,6
,23233.0,0.07381119131016528,0.0,0.1875,1681394172.0,0.0,,0.0,1117.097984,2.854912,,25172.0,0.0,0.1,46215.299072,0.0,,7607.23456,3573.0,0.0,,,529814.97856,3.0,107.56096,,,,,,,,,7,0.003999999999990678,92.0,0.49284821079688523,,2.1,17928.0,5909.680128,,0.21250000000000002,0.0,7
,35671.0,0.20226007553738204,0.0,0.1875,1681394173.0,0.0,,0.0,1252.732928,2.854912,,40444.0,0.0,0.1,47049.48224,0.0,,7737.483264,3611.0,0.0,,,529674.407936,3.0,224.546816,,,,,,,,,8,0.003999999999990678,93.0,0.2997645086521293,,2.1,24632.0,5938.556928,,0.21250000000000002,0.0,8
,37180.0,0.15952757552174643,0.0,0.1875,1681394174.0,0.0,,0.0,2170.28608,2.854912,,41498.0,0.0,0.1,47980.957696,0.0,,8572.448768,3611.0,0.0,,,528839.278592,3.0,312.020992,,,,,,,,,9,0.003999999999990678,94.0,0.16843719058216494,,2.2,26056.0,6769.369088,,0.21250000000000002,0.0,9
