02_timing/step_time_s,memory/used_memory_sys_percent,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,01_general/lr,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,03_hivemind/num_peers,02_timing/backward_time_s,memory/total_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,02_timing/forward_time_s,disk/time/disk_busy_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,cpu/interrupts/soft_interrupts_count,03_hivemind/global_epoch,process/involuntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/interrupts_count,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,_step,01_general/step,cpu/logical_core_count,01_general/minibatch_loss,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB
,,,,,,,,,,,211076.599808,,,,,,,,0,,,,,,,,,,,0,,30.0,,,,,,,,,,1681394166.0,,,
,1.4,2481.0496,0.5666666666666667,,,1.3808263648866983,0.6333333333333333,2.719744,,,,0.0,0.5,,0.0,43.0,0.0,0.0,0,0.0,0.0,9.0,,59.0,9963.4176,208167.145472,28.0,0.0,,1,,,,395.198464,,167.0,179.003392,0.0,,0.0,0.9662270994773086,1681394166.0,,,1161.6256
,1.6,2895.593472,0.5666666666666667,,,0.6506758039619115,0.6333333333333333,2.719744,,,,0.0,0.5,,0.01999999999999602,3548.0,236.0,4.6324179023079814,1,0.0,0.18100000000004002,1937.0,,62.0,10511.921152,207645.085696,3780.0,0.0,,2,,,,794.525696,,189.0,183.824384,0.0,,0.0,0.6330112639699684,1681394167.0,,,1683.668992
,1.8,3538.866176,0.5666666666666667,,,0.0480236128871897,0.6333333333333333,2.719744,,,,0.0,0.5,,0.02400000000000091,8079.0,237.0,0.004087115994724335,2,0.0,0.18200000000001637,4737.0,,68.0,13097.537536,207237.410816,12997.0,0.0,,3,,,,1196.859392,,250.0,186.18368,0.0,,0.0,0.06492287959165356,1681394168.0,,,2091.319296
,2.0,3946.663936,0.5666666666666667,,,0.11577190472531387,0.6333333333333333,2.719744,,,,3.9642139245672947,0.5,,0.055999999999997385,11353.0,238.0,0.004086818475876901,3,0.007000000000000117,0.18200000000001637,6889.0,,74.0,14178.451456,206751.41632,19297.0,44.0,,4,,,,1747.304448,,323.0,338.993152,0.0,,0.0,0.14304662883007868,1681394169.0,,,2566.51264
,2.0,3914.969088,0.5666666666666667,,,0.17256103373921197,0.6,2.719744,,,,0.06533345604308763,0.46666666666666673,,0.06400000000000716,12696.0,239.0,0.004083340999632919,4,0.007000000000000117,0.18200000000001637,7594.0,,80.0,15757.369344,206768.820224,20451.0,45.0,,5,,,,1839.32928,,328.0,462.778368,0.0,,0.0,0.171516272663729,1681394170.0,,,2549.428224
,2.0,3914.969088,0.5666666666666667,,,0.06309072416058559,0.6,2.719744,,,,0.0,0.46666666666666673,,0.06799999999999784,13437.0,240.0,0.004083232309798515,5,0.007000000000000117,0.18200000000001637,7896.0,,80.0,15757.369344,206768.820224,20937.0,45.0,,6,,,,1839.32928,,328.0,462.778368,0.0,,0.0,0.12191478956196049,1681394171.0,,,2549.428224
,2.0,3914.969088,0.5666666666666667,,,0.1478288692309082,0.6,2.719744,,,,0.0,0.46666666666666673,,0.08400000000000318,14569.0,266.0,0.2492437510171948,6,0.007000000000000117,0.21700000000004138,8616.0,,80.0,15757.369344,206768.308224,21843.0,45.0,,7,,,,1839.32928,,328.0,462.778368,0.0,,0.0,0.15271287203583747,1681394172.0,,,2549.936128
,2.2,4163.764224,0.5666666666666667,,,0.23438630867972143,0.6,2.719744,,,,0.0,0.46666666666666673,,0.08800000000000807,17561.0,267.0,0.004086973059825029,7,0.007000000000000117,0.21700000000004138,10213.0,,82.0,16489.197568,206455.373824,24524.0,45.0,,8,,,,2260.844544,,505.0,676.663296,0.0,,0.0,0.16504346689098337,1681394173.0,,,2657.087488
,3.9,6532.431872,0.5666666666666667,,,1.131303703468894,0.6,2.719744,,,,0.016313395421263345,0.46666666666666673,,0.09600000000000364,25914.0,268.0,0.00407834885225952,8,0.008000000000000007,0.21700000000004138,15589.0,,87.0,22309.86752,202825.293824,750585.0,47.0,,9,,,,5431.996416,,873.0,1480.27392,0.0,,0.0,0.4866776530504669,1681394174.0,,,5476.098048
