process/memory/resident_set_size_proc_MB,02_timing/step_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,03_hivemind/global_epoch,01_general/minibatch_loss,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,_runtime,disk/time/disk_busy_time_sys_s,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,_step,01_general/lr,01_general/step,cpu/logical_core_count,disk/time/disk_read_time_sys_s,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,_timestamp,02_timing/forward_time_s,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB
,,,,,,,,,,,,,,0,,,,,,,211076.591616,,,,,,,0,,,30.0,,,,,,,,,1681394166.0,,,,,
395.190272,,,0.0,0.0,2481.0496,0.6666666666666667,49.0,,,,15.0,,0.26666666666666666,0,0.0,0.0,0.0,0.0,9963.4176,,,208187.84256,1.4,13.0,178.991104,0.5030702218494593,0.0,1,,,,0.0,,,0.5,,1146.425344,,176.0,1681394166.0,,5.0,0.0,0.861903527568386,2.719744
791.273472,,,0.0010000000000331966,2.0,2895.593472,0.6666666666666667,52.0,,,,3948.0,,0.26666666666666666,1,0.0040000000000048885,0.0,0.0,0.0,10511.921152,,,207672.721408,1.6,3983.0,183.812096,0.6873257004007005,0.0,2,,,,0.0,,,0.5,,1661.554688,,200.0,1681394167.0,,2012.0,0.008169911284170208,0.6717278717315914,2.719744
1196.609536,,,0.004000000000019099,7.0,3538.866176,0.7333333333333333,58.0,,,,8365.0,,0.5,2,0.012000000000000455,0.0,0.0,0.0,13097.537536,,,207262.138368,1.8,13496.0,186.105856,0.0653951953962171,0.0,3,,,,0.0,,,0.5333333333333333,,2072.096768,,247.0,1681394168.0,,4749.0,2.1209977398031112,0.04552840162579566,2.719744
1785.93792,,,0.005000000000052296,8.0,3977.99424,0.7333333333333333,65.0,,,,11448.0,,0.5,3,0.04800000000000182,44.0,3.9640498452462256,0.0,14209.78176,,,206742.994944,2.1,19273.0,346.451968,0.14309658027056255,0.0,4,,,,0.008000000000000895,,,0.5333333333333333,,2580.754432,,313.0,1681394169.0,,6707.0,0.004086649329196895,0.11750713156670213,2.719744
1845.174272,,,0.005000000000052296,9.0,3921.01888,0.7333333333333333,70.0,,,,12642.0,,0.5,4,0.055999999999997385,45.0,0.0653644036045516,0.0,15763.419136,,,206784.372736,2.0,20317.0,462.700544,0.15141849209012898,0.0,5,,,,0.009000000000000341,,,0.5333333333333333,,2539.372544,,318.0,1681394170.0,,7379.0,0.004085275222222968,0.164464244032273,2.719744
1845.174272,,,0.29100000000005366,232.0,3921.01888,0.7333333333333333,70.0,,,,13373.0,,0.5,5,0.06799999999999784,45.0,0.0,0.0,15763.419136,,,206784.372736,2.0,20882.0,462.700544,0.14019179493249684,0.0,6,,,,0.009000000000000341,,,0.5333333333333333,,2539.372544,,318.0,1681394171.0,,7708.0,2.3048795399177515,0.07036727762060452,2.719744
1845.174272,,,0.29100000000005366,233.0,3921.01888,0.7333333333333333,70.0,,,,14627.0,,0.5,6,0.07200000000000273,45.0,0.0,0.0,15763.419136,,,206783.87712,2.0,21910.0,462.700544,0.167156787681434,0.0,7,,,,0.009000000000000341,,,0.5333333333333333,,2539.872256,,318.0,1681394172.0,,8526.0,0.004087314352588167,0.16853785288286027,2.719744
2107.318272,,,0.299000000000035,236.0,4080.418816,0.7000000000000001,71.0,,,,17072.0,,0.46666666666666673,7,0.08799999999999386,45.0,0.0,0.0,16329.396224,,,206598.418432,2.1,23956.0,599.236608,0.17367944013963432,0.0,8,,,,0.009000000000000341,,,0.5333333333333333,,2596.114432,,458.0,1681394173.0,,9649.0,0.11034766892319994,0.12349455917034198,2.719744
5374.631936,,,0.299000000000035,237.0,6534.025216,0.7000000000000001,83.0,,,,26285.0,,0.46666666666666673,8,0.09600000000000364,47.0,0.016314491456447127,0.0,22254.247936,,,202979.930112,3.8,675818.0,1421.217792,0.5344031539817685,0.0,9,,,,0.009999999999999787,,,0.5333333333333333,,5393.297408,,830.0,1681394174.0,,15802.0,0.00407862286830035,1.2974242719793605,2.719744
6216.429568,,,0.30000000000001137,238.0,6776.89344,0.7000000000000001,87.0,,,,32787.0,,0.46666666666666673,9,0.10800000000000409,59.0,0.8328772458547221,0.0,23322.611712,,,201586.229248,4.5,1018118.0,2045.6448,0.5621411068070197,0.0,10,,,,0.012000000000000455,,,0.5333333333333333,,6152.536064,,1057.0,1681394175.0,,20331.0,0.004082731594271912,0.8799642186718831,2.719744
6312.259584,,,0.30000000000001137,239.0,6777.167872,0.7000000000000001,90.0,,,,37439.0,,0.46666666666666673,10,0.11599999999999966,60.0,0.03677144682206565,0.0,23502.733312,,,200789.393408,4.9,1025390.0,2141.380608,0.7667341417126523,0.0,11,,,,0.0129999999999999,0.00273171399999228,,0.5333333333333333,,6847.320064,,1063.0,1681394176.0,,28469.0,0.004085716317771302,237.27522982001068,2.719744
6579.101696,,,0.3250000000000455,270.0,6795.071488,0.7000000000000001,96.0,,,,38386.0,,0.46666666666666673,11,0.1280000000000001,61.0,0.0653798728318194,0.0,25777.979392,,,199735.574528,5.4,1026466.0,2404.237312,0.19403264993720834,0.0,12,,,,0.0129999999999999,,,0.5333333333333333,,7901.036544,,1068.0,1681394177.0,,29026.0,0.19613961849364353,2.7214691303870304,2.719744
,2.671390863999818,0.03837114600003133,,,,,,1.0,0.0,7.1795654296875,,32.0,,12,,,,,,0.1874511309999889,,,,,,,,13,0.0001,0.0,,,,0.00020262399993953295,,0.9512328549999438,,0.0,,1681394178.0,1.4914013939999222,,,,
,0.19968083899993871,0.03863769499992031,,,,,,1.0,0.0,7.2235107421875,,64.0,,12,,,,,,0.13709264900001017,,,,,,,,14,0.0001,1.0,,,0.0030587019999757104,0.000344707999943239,,0.0027391500000248925,,0.0,,1681394178.0,0.01780793500006439,,,,
6727.868416,,0.0387856950000014,0.32600000000002183,273.0,6906.359808,0.7666666666666667,102.0,,,,42070.0,,0.7000000000000001,12,0.14000000000000057,61.0,0.0,0.0,32207.745024,0.13822194400006538,,199600.181248,5.4,1030572.0,2449.924096,1.055723851698756,0.0,15,,,,0.0129999999999999,0.0031150990000696765,0.0003356429999712418,0.5333333333333333,,8036.397056,,1118.0,1681394178.0,0.017081083999983093,32001.0,0.012260729598408166,55.07760002065217,2.719744
,0.2003010970000787,,,,,,,1.0,0.0,7.1915283203125,,96.0,,12,,,,,,,,,,,,,,16,0.0001,2.0,,,,,,0.0027616319999879124,,0.0,,1681394178.0,,,,,
,0.20167854599981183,0.03881992699996317,,,,,,1.0,0.0,7.15283203125,,128.0,,13,,,,,,0.13969471699999758,,,,,,,,17,0.0001,3.0,,,0.0030903399999715475,0.0003806089999898177,,0.0025790539999661632,,0.0,,1681394179.0,0.01711389899992355,,,,
,0.19978850100017098,0.03872975399997358,,,,,,1.0,0.0,7.035400390625,,160.0,,13,,,,,,0.137923737000051,,,,,,,,18,0.0001,4.0,,,0.003104147000044577,0.0004148210000494146,,0.002537090000032549,,0.0,,1681394179.0,0.017078952000019854,,,,
6727.835648,,0.03900617800002237,0.3280000000000314,279.0,6906.621952,0.7666666666666667,105.0,,,,46002.0,,0.7000000000000001,13,0.16400000000000148,61.0,0.0,0.0,32208.007168,0.13923010199994224,,199585.677312,5.4,1034869.0,2449.883136,1.51223667032344,0.0,19,,,,0.0129999999999999,0.003112890000011248,0.00040138400004252617,0.5333333333333333,,8050.896896,,1163.0,1681394179.0,0.017006433000005927,36735.0,0.16348763445592412,90.40100635346418,2.719744
,0.20135072699997636,,,,,,,1.0,0.0,7.1494140625,,192.0,,13,,,,,,,,,,,,,,20,0.0001,5.0,,,,,,0.0025937399999520494,,0.0,,1681394179.0,,,,,
,0.20120348299997204,0.03888919200005603,,,,,,1.0,0.0,7.2816162109375,,224.0,,14,,,,,,0.1387297999999646,,,,,,,,21,0.0001,6.0,,,0.0031321569999818166,0.0004030530000136423,,0.0028582019999703334,,0.0,,1681394180.0,0.01719107899998562,,,,
,0.2012313569999833,0.03894902600006844,,,,,,1.0,0.0,7.1248779296875,,256.0,,14,,,,,,0.13889660099994217,,,,,,,,22,0.0001,7.0,,,0.0031097840000029464,0.0004080050000538904,,0.002745464999975411,,0.0,,1681394180.0,0.017122475999940434,,,,
6727.880704,,0.03896959400003652,0.32900000000000773,283.0,6906.621952,0.7666666666666667,110.0,,,,50127.0,,0.7000000000000001,14,0.1799999999999926,61.0,0.0,0.0,32208.011264,0.13894168299998455,,199580.319744,5.4,1039316.0,2449.924096,1.4331137962764118,0.0,23,,,,0.0129999999999999,0.0031460540000125548,0.00043314100003044587,0.5333333333333333,,8056.188928,,1203.0,1681394180.0,0.017150720000017827,41679.0,0.01634888402210482,91.15232473861609,2.719744
,0.20137165700009518,,,,,,,1.0,0.0,7.3597412109375,,288.0,,14,,,,,,,,,,,,,,24,0.0001,8.0,,,,,,0.0027304650000132824,,0.0,,1681394180.0,,,,,
,0.20173632799981078,0.03903229599995939,,,,,,1.0,0.0,6.9808349609375,,320.0,,15,,,,,,0.1391897290000088,,,,,,,,25,0.0001,9.0,,,0.0030796589999226853,0.0003889890000436935,,0.002717121999921801,,0.0,,1681394181.0,0.017328532999954405,,,,
,0.20136797700001807,0.03901529799986747,,,,,,1.0,0.0,7.1771240234375,,352.0,,15,,,,,,0.13901253400013047,,,,,,,,26,0.0001,10.0,,,0.0030645869999261777,0.0004031210000903229,,0.0027555130000109784,,0.0,,1681394181.0,0.01711692399999265,,,,
6727.7824,,0.03909739699997772,0.3320000000000505,291.0,6906.621952,0.7666666666666667,112.0,,,,54694.0,,0.7000000000000001,15,0.20000000000000284,61.0,0.0,0.0,32208.011264,0.13865067899996575,,199564.71808,5.5,1044205.0,2449.8176,1.5527149802035463,0.0,27,,,,0.0129999999999999,0.0030616679998729524,0.0004447910000635602,0.5333333333333333,,8071.880704,,1243.0,1681394181.0,0.017153012999870043,47066.0,0.07356969804033647,95.44846090500076,2.719744
,0.2011374739997791,,,,,,,1.0,0.0,7.3497314453125,,384.0,,15,,,,,,,,,,,,,,28,0.0001,11.0,,,,,,0.0027299260000290815,,0.0,,1681394181.0,,,,,
,0.20227342000021054,0.03916209800013348,,,,,,1.0,0.0,7.1239013671875,,416.0,,16,,,,,,0.13970111100002214,,,,,,,,29,0.0001,12.0,,,0.0031098360000214598,0.00038856400010445213,,0.0028221689999554656,,0.0,,1681394182.0,0.017089641999973537,,,,
