02_timing/loss_calc_time_s,01_general/locally_processed_samples,process/memory/resident_set_size_proc_MB,_step,03_hivemind/global_epoch,02_timing/opt_step_time_s,cpu/load/avg_sys_load_one_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/step,disk/time/disk_read_time_sys_s,process/memory/lib_memory_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,bandwidth/disk_write_sys_bandwidth_MBs,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,disk/counter/disk_read_sys_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,03_hivemind/num_peers,02_timing/backward_time_s,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,01_general/lr,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,02_timing/dataload_time_s,memory/used_memory_sys_percent,process/involuntary_proc_ctx_switches
,,,0,,,,,,,,,,,211076.599808,,,,,1681394173.0,30.0,,,,,,,,,0,,,,,,,,,,,,,,,,
,,394.244096,1,,,0.5,9963.388928,,0.0,2481.020928,,,0.0,,0.0,0.0,178.065408,0.9000000000000001,1681394173.0,,1160.798208,,,,187.0,7.0,0.0,1.863783520180205,0,,208167.44448,39.0,0.0,,0.0,0.0,,28.0,0.0,0.7000000000000001,1.715060557477297,2.719744,,1.4,70.0
,,396.92288,2,,,0.5,10038.894592,,0.0,2489.544704,,,0.008170408621702143,,0.0040000000000048885,0.0,180.65408,0.9000000000000001,1681394174.0,,1282.240512,,,,198.0,2380.0,0.0,0.7591298993919234,1,,208045.99808,4013.0,2.0,,0.0,0.0,,4127.0,0.0010000000000047748,0.7000000000000001,0.7609810075949589,2.719744,,1.4,70.0
,,396.931072,3,,,0.4333333333333333,10038.894592,,0.0,2489.556992,,,2.1855655965790213,,0.016000000000005343,0.0,180.65408,0.8666666666666666,1681394175.0,,1282.99008,,,,198.0,3196.0,0.0,0.24101701217855695,2,,208045.228032,5489.0,7.0,,0.0,0.0,,5214.0,0.0049999999999954525,0.7000000000000001,0.16914356411177128,2.719744,,1.4,70.0
,,396.931072,4,,,0.4333333333333333,10038.894592,,0.0,2489.561088,,,0.00408651420327651,,0.020000000000010232,0.0,180.65408,0.8666666666666666,1681394176.0,,1283.731456,,,,198.0,3831.0,0.0,0.16921521032910866,3,,208044.486656,6543.0,8.0,,0.0,0.0,,6022.0,0.006000000000000227,0.7000000000000001,0.14438484764202564,2.719744,,1.4,70.0
,,732.52864,5,,,0.4333333333333333,10454.728704,,0.0,2838.417408,,,2.3857184715713835,,0.03200000000001069,0.0,183.144448,0.8666666666666666,1681394177.0,,1621.44256,,,,206.0,4465.0,0.0,0.237440456427599,4,,207706.750976,7804.0,216.0,,0.0,0.0,,7122.0,0.0730000000000075,0.7000000000000001,0.6599885639572863,2.719744,,1.6,73.0
,,1195.589632,6,,,0.4333333333333333,13097.537536,,0.0,3538.870272,,,0.004086556008879206,,0.036000000000001364,0.0,184.979456,0.8666666666666666,1681394178.0,,2090.12736,,,,256.0,7530.0,0.0,1.0450568826495348,5,,207238.111232,12921.0,217.0,,0.0,0.0,,15513.0,0.0730000000000075,0.7000000000000001,0.6102217827768236,2.719744,,1.8,82.0
,,1430.016,7,,,0.4333333333333333,13908.508672,,0.010999999999999233,3676.721152,,,0.004086475321864136,,0.07200000000000273,44.0,292.200448,0.8666666666666666,1681394179.0,,2293.993472,,,,359.0,12119.0,0.0,1.3185427668512482,6,,207023.427584,19501.0,218.0,,3.9638810651746637,0.0,,26389.0,0.0730000000000075,0.7000000000000001,0.48956293648438154,2.719744,,1.9,89.0
,,1954.721792,8,,,0.6666666666666667,15741.190144,,0.010999999999999233,4033.007616,,,0.004085137287495784,,0.0800000000000125,45.0,460.230656,0.9333333333333335,1681394180.0,,2661.462016,,,,363.0,13476.0,0.0,1.2060171011369336,7,,206656.237568,21458.0,219.0,,0.06536219653280842,0.0,,28192.0,0.07399999999998386,0.7333333333333333,0.34236163220326926,2.719744,,2.1,96.0
,,4858.105856,9,,,0.6666666666666667,21736.3456,,0.012000000000000455,6092.406784,,,0.13863019457695153,,0.09200000000001296,47.0,1346.236416,0.9333333333333335,1681394181.0,,4797.894656,,,,756.0,17105.0,0.0,1.3537706759827919,8,,203636.707328,28335.0,222.0,,0.016309434656404855,0.0,,463776.0,0.07499999999998863,0.7333333333333333,0.9310632582288523,2.719744,,3.5,209.0
,,5756.178432,10,,,0.6666666666666667,22862.118912,,0.015000000000000568,6316.40064,,,0.21205918920753522,,0.11200000000000898,59.0,2045.80864,0.9333333333333335,1681394182.0,,5661.523968,,,,774.0,21470.0,0.0,1.4023194452730976,9,,202071.130112,35001.0,258.0,,0.8319245115038025,0.0,,1004186.0,0.08899999999999864,0.7333333333333333,0.7189016789164319,2.719744,,4.3,457.0
,,5822.869504,11,,,0.6666666666666667,23061.516288,,0.015999999999998238,6316.675072,,,0.004083651594631164,,0.12000000000000455,60.0,2112.405504,0.9333333333333335,1681394183.0,,6172.254208,,,,782.0,30178.0,0.0,2.089585380419761,10,,201470.328832,41283.0,259.0,0.002835974000049646,0.03675286437933644,0.0,,1012471.0,0.08899999999999864,0.7333333333333333,210.89880693497327,2.719744,,4.6,468.0
,,6086.709248,12,,,0.6666666666666667,23524.82304,,0.015999999999998238,6334.578688,,,0.004085210143016772,,0.12400000000000944,60.0,2372.296704,0.9333333333333335,1681394184.0,,7213.490176,,,,782.0,32143.0,0.0,1.354023751088484,11,,200417.026048,43860.0,260.0,,0.0,0.0,,1015854.0,0.08899999999999864,0.7333333333333333,29.90845376143984,2.719744,,5.1,474.0
0.00022442600004524138,32.0,,13,0.0,0.03894467600002827,,,0.0,,,2.740720956000132,7.1795654296875,,,,,,,1681394185.0,,,6.0,0.18843737800000326,0.0,,,,,12,0.0001,,,,,,,1.519819181999992,,,,,,0.9904593200000136,,
0.0004145249999965017,64.0,,14,0.0,0.03976883400002862,,,1.0,,,0.20307259599996996,7.2235107421875,,,,,,,1681394185.0,,,6.0,0.13850699399995392,0.0,,,,,12,0.0001,,,,0.0030643520000239732,,,0.018376571999965563,,,,,,0.0029413190000013856,,
0.0004183159999229247,,6270.8736,15,,,1.4333333333333333,31766.790144,,0.015999999999998238,6448.242688,,,0.1840700269717262,,0.14800000000001035,61.0,2451.234816,1.0666666666666667,1681394185.0,,7530.975232,,,,814.0,34737.0,0.0,1.7115796197180946,12,,200118.779904,47451.0,265.0,0.0031634759999406015,0.06544712070079077,0.0,0.0218895479999901,1019254.0,0.09199999999998454,0.7666666666666667,29.641817456639608,2.719744,,5.2,479.0
,96.0,,16,0.0,0.03952279600002839,,,2.0,,,0.20404301899998245,7.1915283203125,,,,,,,1681394186.0,,,6.0,0.13511747900008686,0.0,,,,,13,0.0001,,,,,,,,,,,,,0.003931404000013572,,
0.00044927500005087495,128.0,,17,0.0,0.03979159000004984,,,3.0,,,0.20423499800017453,7.15283203125,,,,,,,1681394186.0,,,6.0,0.14017334400000436,0.0,,,,,13,0.0001,,,,0.0030948860000989953,,,0.018441625000036765,,,,,,0.0022842779999336926,,
0.0005130910000161748,160.0,,18,0.0,0.03944101500007946,,,4.0,,,0.20418437300020287,7.035400390625,,,,,,,1681394186.0,,,6.0,0.13888299500001722,0.0,,,,,13,0.0001,,,,0.0030638750000662185,,,0.018487655000058112,,,,,,0.003795741999965685,,
0.0007505760000867667,,6270.849024,19,,,1.4333333333333333,31747.514368,,0.015999999999998238,6448.25088,,,0.01634614236073392,,0.16400000000000148,61.0,2451.185664,1.0666666666666667,1681394186.0,,7548.25216,,,,839.0,39379.0,0.0,2.079216538494365,13,,200101.482496,51830.0,269.0,0.003779588000043077,0.0,0.0,0.028065415000014582,1023869.0,0.09299999999998931,0.7666666666666667,86.61745015197944,2.719744,,5.2,494.0
,192.0,,20,0.0,0.03933299499999521,,,5.0,,,0.2056622000001198,7.1494140625,,,,,,,1681394187.0,,,6.0,0.12828957800002172,0.0,,,,,14,0.0001,,,,,,,,,,,,,0.005444047999958457,,
0.0005109410000159187,224.0,,21,0.0,0.03958824699998331,,,6.0,,,0.20482842199987772,7.2816162109375,,,,,,,1681394187.0,,,6.0,0.13609006599995155,0.0,,,,,14,0.0001,,,,0.0031122729999424337,,,0.021262075999970875,,,,,,0.004264819000013631,,
0.000501413000051798,256.0,,22,0.0,0.039598796000063885,,,7.0,,,0.2039385090001815,7.1248779296875,,,,,,,1681394187.0,,,6.0,0.13937522800006263,0.0,,,,,14,0.0001,,,,0.0031375519999983226,,,0.01844361200005551,,,,,,0.0028819079999493624,,
,,6270.836736,23,,,1.4333333333333333,31747.514368,,0.015999999999998238,6448.254976,,,0.19201629143961538,,0.1840000000000117,61.0,2451.16928,1.0666666666666667,1681394187.0,,7552.294912,,,,885.0,44528.0,0.0,1.9345098763168427,14,,200096.985088,55970.0,301.0,0.003023343999984718,0.0,0.0,,1028646.0,0.11699999999999022,0.7666666666666667,94.716536133711,2.719744,,5.2,544.0
