03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,_runtime,03_hivemind/global_epoch,04_peers/peer_8_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,04_peers/peer_7_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_epoch,04_peers/peer_9_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_8_samples_accumulated
0,,,,,1681394148.0,,,,,,,,,,,,,10.0,,,,,,,,40,0,,96,2.119941663127668,,,,,96,,,,1,,,,,0,,,,15411.54,,,,2.119941663127668,,
0,,,,96.0,1681394150.0,,,,,,0.0,,,,,,,10.0,,,,,,,,42,0,,194,4.876561825078832,,,,,192,,,,1,,0.0,2.12,,1,,,,6679.74,,,,4.876561825078832,,
0,,,,192.0,1681394151.0,,,,,,0.0,,,,,,,10.0,,,,,,,,43,0,,322,9.764784102529642,,,,,320,,,,1,,0.0,4.88,,2,,,,3322.76,,,,9.764784102529642,,
0,,,,320.0,1681394152.0,,,,,,0.0,,,,,,,10.0,,,,,,,,44,0,,421,14.481400203069049,,,,,416,,,,1,,0.0,9.76,,3,,,,2233.68,,,,14.481400203069049,,
0,,,,416.0,1681394153.0,,,,,,0.0,,,,,,,10.0,,,,,,,,45,0,,548,22.251856216410463,,,,,544,,,,1,,0.0,14.48,,4,,,,1447.96,,,,22.251856216410463,,
0,,,,544.0,1681394154.0,,,,,,0.0,,,,,,,10.0,,,,,,,,46,0,,650,29.107660562343987,,,,,640,,,,1,,0.0,22.25,,5,,,,1103.42,,,,29.107660562343987,,
0,,,,640.0,1681394155.0,,,,,,0.0,,,,,,,10.0,,,,,,,,47,0,,774,39.22675193449068,,,,,768,,,,1,,0.0,29.11,,6,,,,815.61,,,,39.22675193449068,,
0,,,,768.0,1681394157.0,,,,,,0.0,,,,,,,10.0,,,,,,,,49,0,,879,47.12843098767778,,,,,864,,,,1,,0.0,39.23,,7,,,,676.63,,,,47.12843098767778,,
0,,,,864.0,1681394158.0,,,,,,0.0,,,,,,,10.0,,,,,,,,50,0,,1000,57.294830382865804,,,,,992,,,,1,,0.0,47.13,,8,,,,554.47,,,,57.294830382865804,,
0,,,,992.0,1681394159.0,,,,,,0.0,,,,,,,10.0,,,,,,,,51,0,,1107,64.22611496032847,,,,,1088,,,,1,,0.0,57.29,,9,,,,492.96,,,,64.22611496032847,,
