memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/lr,03_hivemind/global_epoch,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,memory/available_memory_sys_MB,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,02_timing/backward_time_s,cpu/logical_core_count,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,_step,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,01_general/locally_processed_samples
,211076.599808,,,,,,,,,,,,,,,,,,,,,,,,1,,30.0,,,,,,1681395338.0,,,,0,,,,,,,,
1181.085696,,36.0,,1.0672878176521954,394.36288,,,9963.401216,1.4,0.0,0.0,,208147.259392,0.0,178.188288,48.0,0.0,2.719744,,,0.0,0.0,0.0,0.0,1,,,24.0,0.0,2481.033216,12.0,0.779325792078523,1681395338.0,,,132.0,1,,0.9666666666666666,,,0.2,1.3333333333333335,,
1701.941248,,3224.0,,0.3142503549968878,781.918208,,,10502.28736,1.6,0.0,0.0,,207626.440704,0.012000000000000455,183.267328,51.0,0.0,2.719744,,,0.0,0.0,0.0,0.012244141474350613,2,,,3248.0,3.0,2885.95968,1227.0,0.32628723887046035,1681395339.0,,,158.0,2,,1.0333333333333332,,,0.4333333333333333,1.3333333333333335,,
2119.630848,,7538.0,,0.0753594432569971,1195.708416,,,13097.521152,1.8,0.0,0.0,,207208.742912,0.015999999999991132,185.167872,57.0,0.0,2.719744,,,0.0,0.0009999999999763531,0.0,0.004082534643859726,3,,,11326.0,4.0,3538.849792,3939.0,0.038489052233109465,1681395340.0,,,217.0,3,,1.0333333333333332,,,0.4333333333333333,1.3333333333333335,,
2595.557376,,10826.0,,0.027276005868404306,1743.429632,,,14178.336768,2.1,0.0,0.0,,206722.412544,0.01999999999999602,335.147008,66.0,0.0,2.719744,,,0.0,0.0009999999999763531,0.0,0.00408342544522515,4,,,18245.0,5.0,3946.549248,6101.0,0.0631415609764611,1681395341.0,,,271.0,4,,1.0333333333333332,,,0.4333333333333333,1.3333333333333335,,
2667.925504,,12897.0,,0.0026079838724904305,2138.820608,,,16365.883392,2.2,0.0,0.0,,206505.10336,0.02400000000000091,613.408768,75.0,0.0,2.719744,,,0.0,0.0009999999999763531,0.0,0.004083448731920875,5,,,20285.0,6.0,4097.835008,6920.0,0.002807370998208709,1681395342.0,,,415.0,5,,1.0333333333333332,,,0.4333333333333333,1.3333333333333335,,
5445.885952,,18982.0,,0.012971337338250928,5382.868992,,,22262.403072,3.9,0.0,0.0,,202912.550912,0.036000000000001364,1431.191552,221.0,0.0,2.719744,,,0.0,0.002999999999985903,0.0,0.17102123744067851,6,,,624362.0,9.0,6532.56704,9854.0,0.060148512770269134,1681395343.0,,,639.0,6,,1.0333333333333332,,,0.4333333333333333,1.3333333333333335,,
6183.419904,,22832.0,,0.0029216609411303594,6262.562816,,,23217.278976,4.5,0.0,0.0,,201549.824,0.03999999999999204,2046.2592,426.0,0.0,2.719744,,,0.0,0.002999999999985903,0.0,0.00407599563621784,7,,,969545.0,10.0,6805.573632,11688.0,0.003598339902067261,1681395344.0,,,645.0,7,,1.0,,,0.4,1.3333333333333335,,
6184.706048,,23561.0,,0.011146557830332297,6262.685696,,,23292.780544,4.5,0.0,0.0,,201548.537856,0.04399999999999693,2046.263296,426.0,0.0,2.719744,,,0.0,0.002999999999985903,0.0,0.004082287277271908,8,,,969965.0,11.0,6814.097408,11879.0,0.051172108832158066,1681395345.0,,,645.0,8,,1.0,,,0.4,1.3333333333333335,,
6184.701952,,24158.0,,0.00260813821884875,6262.685696,,,23292.780544,4.5,0.0,0.0,,201548.537856,0.04799999999998761,2046.263296,426.0,0.0,2.719744,,,0.0,0.004000000000019099,0.0,0.004083690422328253,9,,,970284.0,12.0,6814.097408,11976.0,0.002807537160363486,1681395346.0,,,645.0,9,,1.0,,,0.4,1.3333333333333335,,
