process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,process/memory/resident_set_size_proc_MB,_step,02_timing/backward_time_s,memory/used_memory_sys_percent,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,02_timing/loss_calc_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,01_general/lr,02_timing/dataload_time_s,cpu/logical_core_count,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,03_hivemind/num_peers,01_general/step,02_timing/opt_step_time_s,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,_runtime,_timestamp,cpu/load/avg_sys_load_one_min_percent,process/memory/text_resident_set_proc_MB,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/lib_memory_proc_MB,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/forward_time_s,memory/used_memory_sys_MB,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,cpu/interrupts/interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,03_hivemind/global_epoch,01_general/minibatch_loss
,,,0,,,,,,211076.599808,,,,,,30.0,,,,,,,,,,,1,1681395418.0,,,,,,,,,,,,,,,,,,
135.0,,395.362304,1,,1.4,8.0,179.195904,,,208135.933952,0.0,0.0,,,,,0.0,9963.39712,,,,,19.0,,0.0,1,1681395418.0,0.23333333333333336,2.719744,0.0,0.0,2481.02912,40.0,0.7022870146198037,0.0,0.8666666666666666,,1192.116224,0.0,0.0,18.0,0.8899950569058642,0.5333333333333333,,
154.0,,790.319104,2,,1.6,2081.0,184.061952,,,207610.720256,0.0009999999999763531,0.0,,,,,0.012254971824274947,10511.855616,,,,,4099.0,,0.0,2,1681395419.0,0.23333333333333336,2.719744,3.0,0.0,2895.527936,42.0,0.6631966296305934,0.0,0.8666666666666666,,1717.334016,0.007999999999995566,0.0,4451.0,0.6730660307724643,0.5333333333333333,,
202.0,,1196.990464,3,,1.8,4787.0,186.355712,,,207200.739328,0.0009999999999763531,0.0,,,,,0.004085844574321574,13097.476096,,,,,8260.0,,0.0,3,1681395420.0,0.23333333333333336,2.719744,4.0,0.0,3538.804736,43.0,0.011395675888228691,0.0,0.8666666666666666,,2127.310848,0.012000000000000455,0.0,12615.0,0.015577282455477697,0.5333333333333333,,
242.0,,1781.28896,4,,2.1,6419.0,344.010752,,,206684.930048,0.0009999999999763531,0.0,,,,,0.0040865054621533085,14207.586304,,,,,10994.0,,0.0,4,1681395421.0,0.23333333333333336,2.719744,5.0,0.0,3975.798784,44.0,0.06157693282620962,0.0,0.8666666666666666,,2632.634368,0.016000000000005343,0.0,18676.0,0.06746724732453425,0.5333333333333333,,
582.0,,2454.58944,5,,2.3,7486.0,1057.726464,,,206185.263104,0.05499999999994998,2.0,,,,,0.6824712489835717,16710.606848,,,,,13698.0,,0.0,5,1681395422.0,0.23333333333333336,2.719744,92.0,0.008173308371100132,4004.122624,45.0,0.09412873595468142,0.0,0.8666666666666666,,2545.225728,0.036000000000001364,0.0019999999999988916,21516.0,0.09242064221556419,0.5333333333333333,,
616.0,,5527.83872,6,,4.1,10579.0,1719.570432,,,202515.275776,0.05599999999992633,2.0,,,,,0.004078573485903568,22410.297344,,,,,19465.0,,0.0,6,1681395423.0,0.5,2.719744,93.0,0.0,6394.396672,323.0,0.2773031669334914,0.0,0.9000000000000001,,5552.754688,0.04399999999999693,0.0019999999999988916,962602.0,0.33115308245039365,0.6,,
645.0,,5775.138816,7,,4.3,14728.0,2046.17728,,,201955.434496,0.05599999999992633,2.0,,,,,0.0040754222580342125,22880.989184,,,,,23812.0,,0.0,7,1681395424.0,0.5,2.719744,94.0,0.0,6335.270912,390.0,7.855368448431162,0.0,0.9000000000000001,,5777.293312,0.04800000000000182,0.0019999999999988916,985871.0,0.4369537207409969,0.6,,
653.0,,5922.38592,8,,4.9,21451.0,2193.235968,,,200828.092416,0.05599999999992633,2.0,,,,,0.0040843904181902205,23136.612352,,,,,27825.0,0.0028031779997945705,0.0,8,1681395425.0,0.5,2.719744,95.0,0.0,6344.06912,407.0,232.20459953928614,0.0,0.9000000000000001,,6802.49344,0.05200000000000671,0.0019999999999988916,992590.0,0.6388241893209687,0.6,,
669.0,,6289.87904,9,0.1835978089998207,5.2,22454.0,2451.800064,0.00023127099984776578,,200065.265664,0.057999999999992724,2.0,,,,,0.004086306203588117,31841.624064,,,,0.03841200399983791,29257.0,,0.0,9,1681395426.0,0.5,2.719744,96.0,0.0,6475.669504,409.0,0.9702902146088642,0.0,0.9000000000000001,1.4482546079998428,7565.320192,0.060000000000002274,0.0019999999999988916,994342.0,0.1936685668667564,0.6,,
