02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/step_time_s,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,_step,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step,03_hivemind/num_peers,memory/total_memory_sys_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,_runtime,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples
,,,,,,,,,,,,,,,,,0,,,,,,,1681395418.0,30.0,,,,,,,211076.599808,,,,,1,,,,,,,,
,,,27.0,178.81088,0.3,0.4359005016788302,1.1,9963.39712,,,,0.0,1.4,,0.0,0.0,1,,0.0,2481.02912,0.0,394.97728,2.719744,1681395418.0,,1176.28928,0.0,0.0,0.0,,,,47.0,0.6666666666666667,,0.0,1,,43.0,,134.0,0.4887369323135795,208151.109632,42.0,
,,,2002.0,183.783424,0.3,0.6702798205277468,1.1,10511.85152,,,,0.007999999999995566,1.6,,0.012254357009644331,0.0,2,,0.0,2895.52384,0.0,790.56896,2.719744,1681395419.0,,1704.321024,0.0,3.0,0.0,,,,51.0,0.6666666666666667,,0.0009999999999763531,2,,4041.0,,153.0,0.6540763054804667,207623.073792,3776.0,
,,,4691.0,186.011648,0.3,0.01027046282250933,1.1,13097.476096,,,,0.012000000000000455,1.8,,0.0040858406946791045,0.0,3,,0.0,3538.804736,0.0,1196.613632,2.719744,1681395420.0,,2114.584576,0.0,4.0,0.0,,,,58.0,0.6666666666666667,,0.0009999999999763531,3,,12296.0,,210.0,0.009983177167830128,207212.81024,8086.0,
,,,7010.0,336.77312,0.3,0.07275826038612349,1.1,14135.242752,,,,0.01999999999999602,2.0,,0.21249626198941096,0.0,4,,0.0,3903.455232,0.0,1701.093376,2.719744,1681395421.0,,2546.03264,0.0,7.0,0.0,,,,64.0,0.6666666666666667,,0.002999999999985903,4,,19785.0,,256.0,0.06583840387810162,206770.876416,11466.0,
,,,7879.0,676.663296,0.3,0.09438671139136864,1.1,16284.217344,,,,0.028000000000005798,2.1,,0.004086765006164111,0.0,5,,2.0,3958.956032,0.0,2063.167488,2.719744,1681395422.0,,2519.543808,0.0009999999999994458,8.0,0.00817353001845347,,,,73.0,0.6666666666666667,,0.002999999999985903,5,,21816.0,,424.0,0.09263067956679118,206591.422464,13425.0,
,,,11143.0,1517.051904,8.3,0.2980660543032164,1.633333333333333,21909.716992,,,,0.031999999999996476,3.8,,0.004080585576008292,0.0,6,,2.0,6094.139392,0.0,5030.248448,2.719744,1681395423.0,,5200.654336,0.0009999999999994458,9.0,0.0,,,,259.0,2.333333333333333,,0.004000000000019099,6,,922238.0,,621.0,0.2740687043821708,203061.415936,19300.0,
,,,14435.0,2046.050304,8.3,0.28986127205482803,1.633333333333333,22958.22336,,,,0.036000000000001364,4.4,,0.0040792988422924835,0.0,7,,2.0,6412.505088,0.0,5852.237824,2.719744,1681395424.0,,5839.654912,0.0009999999999994458,10.0,0.0,,,,425.0,2.333333333333333,,0.004000000000019099,7,,982612.0,,640.0,1.0894914869251655,201892.41344,24142.0,
,,,23370.0,2131.054592,8.3,0.8746686109443171,1.633333333333333,23252.39808,,,,0.04000000000000625,4.7,,0.004085185850297624,0.0,8,,2.0,6421.303296,0.0,5937.442816,2.719744,1681395425.0,,6445.3632,0.0009999999999994458,11.0,0.0,,,,441.0,2.333333333333333,,0.004000000000019099,8,,990177.0,0.0026017619998128794,652.0,234.22471336024876,201184.571392,29008.0,
,,,24278.0,2394.157056,8.3,0.17415848983669066,1.633333333333333,23715.704832,,,,0.055999999999997385,5.2,,0.08985943060943077,0.0,9,,2.0,6439.206912,0.0,6204.47744,2.719744,1681395426.0,,7499.915264,0.0009999999999994458,14.0,0.0,,,,447.0,2.333333333333333,,0.005999999999971806,9,,991751.0,,652.0,6.596036410767247,200130.015232,30134.0,
1.4585053139999218,7.1795654296875,1.201211949000026,,,,,,,0.0001,2.8892592329989384,0.18781637799975215,,,0.0,,,10,0.03896724899959736,,,,,,1681395426.0,,,,,,0.0,0.0,,,,0.000156580999828293,,9,0.0,,,,,,,32.0
0.017443467999783024,7.2235107421875,0.0025690689999464666,,,,,,,0.0001,0.2042868290000115,0.14110054100001435,,,0.0,,,11,0.03968907799981025,,,,,,1681395427.0,,,,,,1.0,0.0,,,,0.000362681000297016,,10,0.0,,0.0031219920001603896,,,,,64.0
0.01757444699978805,,,27825.0,2451.443712,8.3,0.8333073992815194,1.633333333333333,31938.134016,,,0.14148553499990157,0.06799999999999784,5.3,,0.012258863195597743,0.0,12,0.039720659000067826,2.0,6552.690688,0.0,6366.879744,2.719744,1681395427.0,,7666.192384,0.0009999999999994458,17.0,0.0,,,,472.0,2.333333333333333,0.00035243100001025596,0.005999999999971806,10,,996014.0,0.003097624000020005,690.0,50.80453604215185,199963.29984,33974.0,
