disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_timestamp,03_hivemind/global_epoch,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,memory/available_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,02_timing/dataload_time_s,01_general/locally_processed_samples,01_general/step,cpu/logical_core_count,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,memory/used_memory_sys_MB,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,02_timing/forward_time_s,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,01_general/minibatch_loss,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,03_hivemind/num_peers,02_timing/backward_time_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,_step,01_general/lr,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent
,,1681395418.0,,,,,,,,,,,,30.0,211076.599808,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,,,
0.0,,1681395418.0,,,0.0,0.0,208150.511616,0.0,0.0,0.5666666666666667,,,,,,14.0,9963.39712,,1177.8048,178.958336,0.3,1.073714899244298,2.719744,,0.0,17.0,395.128832,0.7034683801523003,1,,1.4,0.0,,0.0,,,2481.02912,137.0,48.0,1,,,5.0,0.0,1.0666666666666667
3.0,,1681395419.0,,,0.007999999999995566,0.0,207622.84032,0.0,0.012255135008185682,0.5666666666666667,,,,,,4177.0,10511.904768,,1705.472,183.750656,0.3,0.6848194975083541,2.719744,,0.0,3914.0,790.573056,0.6939948915593035,2,,1.6,0.0010000000000331966,,0.0,,,2895.577088,155.0,52.0,2,,,2184.0,0.0,1.0666666666666667
4.0,,1681395420.0,,,0.012000000000000455,0.0,207211.065344,0.0,0.004088104114463641,0.5666666666666667,,,,,,14157.0,13097.517056,,2117.251072,186.175488,0.3,0.011984852115303804,2.719744,,0.0,8127.0,1196.806144,0.015993110455501076,3,,1.8,0.0010000000000331966,,0.0,,,3538.845696,203.0,59.0,3,,,4651.0,0.0,1.0666666666666667
74.0,,1681395421.0,,,0.02400000000000091,0.0009999999999998899,206692.712448,0.0,0.3882327017380963,0.5666666666666667,,,,,,20809.0,14216.753152,,2624.602112,344.899584,0.3,0.06129990027825698,2.719744,,2.0,11055.0,1782.931456,0.06641620704868642,4,,2.1,0.06600000000003092,,0.008173320036450611,,,3984.965632,239.0,65.0,4,,,6670.0,0.0,1.0666666666666667
75.0,,1681395422.0,,,0.028000000000005798,0.0009999999999998899,206161.526784,0.0,0.004088695663103805,0.6333333333333333,,,,,,23961.0,16712.2944,,2588.934144,1035.894784,0.5666666666666667,0.10095564572336457,2.719744,,2.0,13959.0,2469.384192,0.1376021777790894,5,,2.3,0.06600000000003092,,0.0,,,4005.838848,574.0,76.0,5,,,7795.0,0.0,1.0666666666666667
78.0,,1681395423.0,,,0.036000000000001364,0.0009999999999998899,202525.425664,0.0,0.17946801262676718,0.6333333333333333,,,,,,967729.0,22391.877632,,5565.31712,1697.87392,0.5666666666666667,0.2777101793439555,2.719744,,2.0,20239.0,5512.23296,0.2791441389691684,6,,4.1,0.06800000000004047,,0.0,,,6395.219968,618.0,344.0,6,,,11315.0,0.0,1.0666666666666667
79.0,,1681395424.0,,,0.04000000000000625,0.0009999999999998899,201895.890944,0.0,0.004079907230481878,0.6333333333333333,,,,,,990731.0,22929.002496,,5837.111296,2046.332928,0.5666666666666667,6.74159248301957,2.719744,,2.0,24553.0,5823.401984,0.47254409848307927,7,,4.3,0.06800000000004047,,0.0,,,6383.284224,639.0,426.0,7,,,15117.0,0.0,1.0666666666666667
80.0,0.0028205720000187284,1681395425.0,,,0.04399999999999693,0.0009999999999998899,200806.240256,0.0,0.004084192336765994,0.6333333333333333,,,,,,996960.0,23184.625664,,6824.620032,2192.269312,0.5666666666666667,233.62451265432358,2.719744,,2.0,28587.0,5969.526784,0.6342623072753815,8,,4.9,0.06800000000004047,,0.0,,,6392.082432,644.0,450.0,8,,,22081.0,0.0,1.0666666666666667
160.0,,1681395426.0,,0.03876318299990089,0.055999999999997385,0.0009999999999998899,200010.186752,0.0,0.6292592745619361,0.6333333333333333,,,,,,999031.0,31889.637376,,7620.673536,2454.87616,0.5666666666666667,0.992714604849744,2.719744,1.453014181999606,2.0,30311.0,6341.156864,0.26728834750280084,9,,5.2,0.11299999999999955,,0.0,,0.1864710820000255,6524.215296,656.0,456.0,9,,0.00019954699973823153,23132.0,0.0,1.0666666666666667
