01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,02_timing/backward_time_s,memory/total_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/lr,01_general/step,01_general/minibatch_loss,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,03_hivemind/global_epoch,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/step_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,_timestamp,02_timing/forward_time_s,memory/available_memory_sys_MB,cpu/interrupts/soft_interrupts_count,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,02_timing/opt_step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,_step,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count
,,,,,,,,211076.599808,,,,,,,,,,,,,,,,,,,,1,1681395418.0,,,,30.0,,,,,,,,,,0,,
,0.0,0.21911471932934784,9963.39712,,35.0,,,,0.0,0.0,2.719744,,,,178.44224,1.3333333333333335,,,,0.8666666666666666,,0.0,0.0,0.0,2481.02912,136.0,0.24567408272499877,1,1681395418.0,,208146.497536,10.0,,1182.130176,0.0,,,0.36666666666666664,50.0,0.0,0.0,394.612736,1,1.4,38.0
,0.0,0.551670524759978,10502.279168,,3598.0,,,,0.0009999999999763531,0.0,2.719744,,,,183.312384,1.3333333333333335,,,,0.8666666666666666,,0.0,3.0,0.007999999999995566,2885.951488,157.0,0.6032178552288905,2,1681395419.0,,207624.011776,1661.0,,1704.61184,0.0,,,0.36666666666666664,53.0,0.0,0.012254558055981767,786.743296,2,1.6,3681.0
,0.0,0.017094078943199947,13097.521152,,13083.0,,,,0.0020000000000095497,0.0,2.719744,,,,185.475072,1.3666666666666665,,,,0.9000000000000001,,0.0,6.0,0.015999999999991132,3538.849792,209.0,0.012289860680204922,3,1681395420.0,,207209.22624,4567.0,,2119.385088,0.0,,,0.6,56.0,0.0,0.22064290119693086,1195.97056,3,1.8,8076.0
,0.008173152836275555,0.06777171945507565,14191.865856,,19641.0,,,,0.0020000000000095497,0.0,2.719744,,,,340.84864,1.3666666666666665,,,,0.9000000000000001,,2.0,7.0,0.027999999999991587,3960.078336,254.0,0.06350954796542142,4,1681395421.0,,206710.382592,6546.0,,2607.747072,0.0010000000000012221,,,0.6,60.0,0.0,0.004086576422334513,1761.66912,4,2.1,11147.0
,0.0,0.0909067076729716,16589.123584,,22377.0,,,,0.0020000000000095497,0.0,2.719744,,,,975.036416,1.3666666666666665,,,,0.9000000000000001,,2.0,8.0,0.036000000000001364,3958.726656,568.0,0.09214380508270614,5,1681395422.0,,206300.40576,7502.0,,2511.306752,0.0010000000000012221,,,0.6,66.0,0.0,0.004086412141147029,2361.360384,5,2.3,13646.0
,0.0,0.33087734957379034,22154.190848,,975443.0,,,,0.04899999999997817,0.0,2.719744,,,,1612.214272,1.3666666666666665,,,,0.9000000000000001,,2.0,87.0,0.04399999999999693,6243.274752,845.0,0.2836239455018606,6,1681395423.0,,202795.905024,10843.0,,5378.523136,0.0010000000000012221,,,0.6,75.0,0.0,0.4484852910345907,5274.587136,6,3.9,20004.0
,0.0,0.3615900658416037,22890.303488,,998741.0,,,,0.04899999999997817,0.0,2.719744,,,,2046.21824,1.3666666666666665,,,,0.9000000000000001,,2.0,88.0,0.04799999999998761,6344.585216,978.0,4.364462098556075,7,1681395424.0,,201961.472,14460.0,,5771.83744,0.0010000000000012221,,,0.6,82.0,0.0,0.004077574475437923,5784.526848,7,4.3,24573.0
,0.0,0.7489461407215693,23145.926656,,1006396.0,0.002774520000002667,,,0.04899999999997817,0.0,2.719744,,,,2191.327232,1.3333333333333335,,,,0.9000000000000001,,2.0,89.0,0.055999999999997385,6353.383424,986.0,236.065125669505,8,1681395425.0,,200899.72736,22294.0,,6731.440128,0.0010000000000012221,,,0.5666666666666667,89.0,0.0,0.004084319533904408,5929.836544,8,4.8,29199.0
,0.0,0.22056712279905183,31850.938368,,1008246.0,,0.18587985300018772,,0.05099999999998772,0.0,2.719744,,,,2454.192128,1.3333333333333335,,,0.00022095899976193323,0.9000000000000001,,2.0,92.0,0.05999999999998806,6485.03296,1003.0,0.9907243687062375,9,1681395426.0,1.4449028819999512,200060.821504,23275.0,,7570.345984,0.0010000000000012221,0.03863709500001278,,0.5666666666666667,97.0,0.0,0.10215874843859042,6301.704192,9,5.2,30890.0
32.0,,,,0.9896222719999059,,,,,,,,0.0001,0.0,7.1795654296875,,,0.0,0.0,,,2.6620375809998222,,,,,,,9,1681395426.0,,,,,,,,0.0,,,,,,10,,
64.0,,,,0.002503488999991532,,0.0029730739997830824,0.14011863600035213,,,,,0.0001,1.0,7.2235107421875,,,0.0,0.0,0.0003560039999683795,,0.20203121700023985,,,,,,,10,1681395427.0,0.016778678000264335,,,,,,0.039301335999880394,0.0,,,,,,11,,
96.0,,,,0.0026309770000807475,,0.003039341999738099,0.140127141999983,,,,,0.0001,2.0,7.1915283203125,,,0.0,0.0,0.00035113099966110894,,0.20180855499984318,,,,,,,10,1681395427.0,0.01655143700008921,,,,,,0.03910852600029102,0.0,,,,,,12,,
,0.0,0.994908864852006,31850.938368,,1012824.0,0.0030316669999592705,0.14354042999957528,,0.051999999999964075,0.0,2.719744,,,,2452.455424,1.3333333333333335,,,0.00038258599988694186,0.9000000000000001,,2.0,96.0,0.0759999999999934,6485.03296,1038.0,76.97668998358438,10,1681395427.0,0.016663012000208255,200035.618816,27704.0,,7595.573248,0.0010000000000012221,0.039302411999869946,,0.5666666666666667,119.0,0.0,0.01634832394267097,6300.01664,13,5.2,35139.0
128.0,,,,0.0027738409999074065,,,,,,,,0.0001,3.0,7.15283203125,,,0.0,0.0,,,0.2056939479994071,,,,,,,10,1681395427.0,,,,,,,,0.0,,,,,,14,,
160.0,,,,0.0026601559998198354,,0.0030213770000955265,0.14197075499987477,,,,,0.0001,4.0,7.035400390625,,,0.0,0.0,0.000396550000004936,,0.20398532900026112,,,,,,,11,1681395428.0,0.016547115000321355,,,,,,0.039389376000144694,0.0,,,,,,15,,
192.0,,,,0.0027057549996243324,,0.003115891000106785,0.14023667899982684,,,,,0.0001,5.0,7.1494140625,,,0.0,0.0,0.00038818499979242915,,0.202665667999554,,,,,,,11,1681395428.0,0.01698395400035224,,,,,,0.039235203999851365,0.0,,,,,,16,,
,0.0,1.151803663264606,31850.938368,,1017786.0,0.0031197650000649446,0.1401018220003607,,0.053999999999973625,0.0,2.719744,,,,2452.496384,1.3333333333333335,,,0.00037412399979075417,0.9000000000000001,,2.0,100.0,0.09199999999999875,6485.03296,1099.0,93.58737641446402,11,1681395428.0,0.016966294000212656,200011.624448,33127.0,,7619.82976,0.0010000000000012221,0.039302444999975705,,0.5666666666666667,167.0,0.0,0.016348510636391908,6300.061696,17,5.2,39386.0
224.0,,,,0.0025457990000177233,,,,,,,,0.0001,6.0,7.2816162109375,,,0.0,0.0,,,0.20241024900042248,,,,,,,11,1681395428.0,,,,,,,,0.0,,,,,,18,,
256.0,,,,0.002631481999742391,,0.003147333000015351,0.13971552900011375,,,,,0.0001,7.0,7.1248779296875,,,0.0,0.0,0.0003878390002682863,,0.20245558799979335,,,,,,,12,1681395429.0,0.01710191299980579,,,,,,0.039471491999847785,0.0,,,,,,19,,
288.0,,,,0.002741168000284233,,0.003105669999968086,0.13985258700040504,,,,,0.0001,8.0,7.3597412109375,,,0.0,0.0,0.00038801199980298406,,0.20261730300080671,,,,,,,12,1681395429.0,0.017320321000170225,,,,,,0.03920954500017615,0.0,,,,,,20,,
,0.0,1.0322927841261658,31850.942464,,1022513.0,0.0030332159999488795,0.1432412959998146,,0.06399999999996453,0.0,2.719744,,,,2452.455424,1.3333333333333335,,,0.0004166419998909987,0.9000000000000001,,2.0,130.0,0.11199999999999477,6485.03296,1137.0,88.97984205772684,12,1681395429.0,0.01696724199973687,200004.120576,37563.0,,7627.268096,0.0010000000000012221,,,0.5666666666666667,197.0,0.0,0.19206338088786468,6300.0576,21,5.2,43529.0
320.0,,,,0.0027479229997879884,,,,,,,,0.0001,9.0,6.9808349609375,,,0.0,0.0,,,0.20573013699913645,,,,,,,12,1681395429.0,,,,,,,0.0393238179999571,0.0,,,,,,22,,
352.0,,,,0.0026417190001666313,,0.0030047680002098787,0.1427566930001376,,,,,0.0001,10.0,7.1771240234375,,,0.0,0.0,0.0004198980000182928,,0.2052976460008722,,,,,,,13,1681395430.0,0.016975432999970508,,,,,,0.03949913500036928,0.0,,,,,,23,,
384.0,,,,0.002746555999692646,,0.0030350469996847096,0.14061996099962926,,,,,0.0001,11.0,7.3497314453125,,,0.0,0.0,0.0003867099999297352,,0.20306215299888208,,,,,,,13,1681395430.0,0.016982652000024245,,,,,,0.03929122699992149,0.0,,,,,,24,,
,0.0,1.031648649700299,31851.204608,,1026918.0,0.003091879000294284,0.14085821900016526,,0.06599999999997408,0.0,2.719744,,,,2452.496384,1.3666666666666665,,,0.0003733530002136831,1.0,,2.0,134.0,0.1280000000000001,6485.295104,1207.0,91.61209395183116,13,1681395430.0,0.016834658000334457,200006.090752,42337.0,,7624.916992,0.0010000000000012221,,,1.0333333333333332,240.0,0.0,0.016347880586673916,6300.168192,25,5.2,47404.0
416.0,,,,0.002762315999916609,,,,,,,,0.0001,12.0,7.1239013671875,,,0.0,0.0,,,0.2030853790006404,,,,,,,13,1681395430.0,,,,,,,0.03916495399971609,0.0,,,,,,26,,
448.0,,,,0.0025950869999178394,,0.0030566069999622414,0.14346163099980913,,,,,0.0001,13.0,7.11328125,,,5.0,0.0,0.00039332699998340104,,0.20583599399924424,,,,,,,14,1681395431.0,0.016930975999912334,,,,,,0.03939836599965929,0.0,,,,,,27,,
480.0,,,,0.002721154999562714,,0.003073434999805613,0.14228493400014486,,,,,0.0001,14.0,7.450927734375,,,5.0,0.0,0.0003876729997500661,,0.20494304499879945,,,,,,,14,1681395431.0,0.01708114499979274,,,,,,0.03939470299974346,0.0,,,,,,28,,
