03_hivemind/global_epoch,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,process/memory/text_resident_set_proc_MB,_timestamp,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,process/memory/resident_set_size_proc_MB,memory/total_memory_sys_MB,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,_step,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,_runtime,01_general/step,cpu/logical_core_count,02_timing/forward_time_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,01_general/lr,02_timing/step_time_s,03_hivemind/num_peers,02_timing/backward_time_s,memory/used_memory_sys_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB
,,,,1681395418.0,,,,,,,,,,211076.591616,,,0,,,,,,,1,,30.0,,,,,,,,,,,,,,,,,,,
,0.0,,2.719744,1681395418.0,21.0,0.0,,0.0,2481.02912,20.0,0.2232902266849888,0.6333333333333333,394.87488,,208143.93344,0.0,1,,0.0,1.2666666666666666,0.0,1.4,29.0,1,,,,,0.25035571225061126,,128.0,0.0,,,,,1189.920768,0.13333333333333333,68.0,0.0,,,178.70848,0.0,9963.39712
,0.0,,2.719744,1681395419.0,3614.0,3.0,,0.01225496599635851,2895.527936,1817.0,0.5969269473310278,0.6333333333333333,792.711168,,207612.362752,0.0009999999999763531,2,,0.007999999999995566,1.2666666666666666,0.0,1.6,3713.0,2,,,,,0.5944456358578464,,149.0,0.0,,,,,1721.491456,0.13333333333333333,74.0,0.0,,,183.619584,0.0,10511.855616
,0.0,,2.719744,1681395420.0,7800.0,6.0,,0.20838045225526994,3538.804736,4328.0,0.01821892510977925,0.7000000000000001,1196.355584,,207203.004416,0.002999999999985903,3,,0.01999999999999602,1.2666666666666666,0.0,1.8,13317.0,3,,,,,0.012872153399538514,,191.0,0.0,,,,,2130.845696,0.4,75.0,0.0,,,185.782272,0.0,13097.476096
,0.0,,2.719744,1681395421.0,10611.0,7.0,,0.004086514210535617,4022.091776,6452.0,0.06745142882127128,0.7000000000000001,1832.12032,,206639.566848,0.003999999999962256,4,,0.02400000000000091,1.2666666666666666,0.0,2.1,20137.0,4,,,,,0.06224750838163261,,230.0,0.0,,,,,2683.797504,0.4,76.0,0.0,,,348.4672,0.0,14253.879296
,2.0,,2.719744,1681395422.0,13188.0,8.0,,0.004086549197180254,3954.864128,7504.0,0.14079439041469918,0.7000000000000001,2285.703168,,206348.644352,0.003999999999962256,5,,0.036000000000001364,1.2666666666666666,0.002000000000000668,2.2,22812.0,5,,,,,0.09808516234902656,,515.0,0.008173098400485433,,,,,2539.384832,0.4,81.0,0.0,,,903.29088,0.0,16508.977152
,2.0,,2.719744,1681395423.0,18982.0,89.0,,0.45296081388844145,6224.666624,10920.0,0.272356716849466,0.7000000000000001,5253.791744,,202788.626432,0.04800000000000182,6,,0.04399999999999693,1.2666666666666666,0.002000000000000668,3.9,963044.0,6,,,,,0.28374609260619277,,605.0,0.0,,,,,5388.894208,0.4,310.0,0.0,,,1611.698176,0.0,22135.599104
,2.0,,2.719744,1681395424.0,23272.0,90.0,,0.004079499355453802,6316.539904,14368.0,0.41214098401730737,0.7000000000000001,5755.936768,,201963.33568,0.04899999999997817,7,,0.04800000000000182,1.2666666666666666,0.002000000000000668,4.3,985977.0,7,,,,,4.267650330876457,,624.0,0.0,,,,,5775.286272,0.4,430.0,0.0,,,2045.718528,0.0,22862.258176
,2.0,,2.719744,1681395425.0,27948.0,91.0,,0.004085818345145392,6325.338112,24974.0,0.7044764791525795,0.7333333333333333,5896.15104,,200877.903872,0.04899999999997817,8,,0.0519999999999925,1.2666666666666666,0.002000000000000668,4.8,994413.0,8,,,,,236.61110472362628,0.002825042000040412,630.0,0.0,,,,,6759.0144,0.6333333333333333,452.0,0.0,,,2185.723904,0.0,23117.881344
,2.0,,2.719744,1681395426.0,29204.0,94.0,,0.09804070708465483,6456.926208,25878.0,0.24201405988808877,0.7333333333333333,6271.381504,,200026.107904,0.051999999999964075,9,,0.060000000000002274,1.2666666666666666,0.002000000000000668,5.2,995701.0,9,,,1.4582466420001765,0.00024588499991295976,0.9397961334326507,,643.0,0.0,,,,0.185131618000014,7610.802176,0.6333333333333333,454.0,0.0,,,2452.066304,0.0,31822.893056
0.0,,32.0,,1681395426.0,,,0.0,,,,,,,,,,10,7.1795654296875,,,,,,9,0.0,,,,,,,,0.0001,2.694214557000123,0.0,,,,,,1.0093157310002425,0.038449638999736635,,,
0.0,,64.0,,1681395427.0,,,0.0,,,,,,,,,,11,7.2235107421875,,,,,,10,1.0,,0.01708135700027924,0.00034718699998848024,,0.003079060999880312,,,0.0001,0.20020215200020175,0.0,0.13808020600026794,,,,,0.002649855000072421,0.03896448599971336,,,
0.0,,96.0,,1681395427.0,,,0.0,,,,,,,,,,12,7.1915283203125,,,,,,10,2.0,,0.018396217999907094,0.00033793500006140675,,0.003100998999798321,,,0.0001,0.19996169199976066,0.0,0.1370383169996785,,,,,0.002607585000077961,0.03848063800023738,,,
,2.0,,2.719744,1681395427.0,32821.0,98.0,,0.016346006281463498,6456.926208,29835.0,0.5180359070155828,0.7333333333333333,6269.91104,,200005.787648,0.05299999999999727,13,,0.0759999999999934,1.2666666666666666,0.002000000000000668,5.2,999710.0,10,,,0.01729189400020914,0.00039917799995237147,75.910932975,0.003081776999806607,709.0,0.0,,,,0.13925091499959308,7631.122432,0.6333333333333333,521.0,0.0,,,2450.436096,0.0,31822.893056
0.0,,128.0,,1681395427.0,,,0.0,,,,,,,,,,14,7.15283203125,,,,,,10,3.0,,,,,,,,0.0001,0.20154968799988637,0.0,,,,,,0.0027842340000461263,0.03874169000027905,,,
0.0,,160.0,,1681395428.0,,,0.0,,,,,,,,,,15,7.035400390625,,,,,,11,4.0,,0.017576095999629615,0.00042810700006157276,,0.003047311000045738,,,0.0001,0.2022998119996373,0.0,0.13965152499986289,,,,,0.002952860000277724,0.03864391299975978,,,
0.0,,192.0,,1681395428.0,,,0.0,,,,,,,,,,16,7.1494140625,,,,,,11,5.0,,0.01769875799982401,0.00043354699982955935,,0.0031080939997991663,,,0.0001,0.20181096699934642,0.0,0.13886951099993894,,,,,0.0027569399999265443,0.0389441170000282,,,
,2.0,,2.719744,1681395428.0,36338.0,102.0,,0.016348273382488253,6456.926208,34399.0,0.7736533008566155,0.7333333333333333,6269.99296,,200002.854912,0.053999999999973625,17,,0.09600000000000364,1.2666666666666666,0.002000000000000668,5.2,1003922.0,11,,,0.017256680999707896,0.00038918799964449136,91.36775396347986,0.003110783000010997,754.0,0.0,,,,0.13933498400001554,7634.055168,0.6333333333333333,580.0,0.0,,,2450.501632,0.0,31822.893056
0.0,,224.0,,1681395428.0,,,0.0,,,,,,,,,,18,7.2816162109375,,,,,,11,6.0,,,,,,,,0.0001,0.20192862699923353,0.0,,,,,,0.0029335129997889453,0.03890347800006566,,,
0.0,,256.0,,1681395429.0,,,0.0,,,,,,,,,,19,7.1248779296875,,,,,,12,7.0,,0.017432039999675908,0.0004002040000159468,,0.0031034749999889755,,,0.0001,0.20059422499934954,0.0,0.13752505200000087,,,,,0.0030434529999183724,0.039090000999749464,,,
0.0,,288.0,,1681395429.0,,,0.0,,,,,,,,,,20,7.3597412109375,,,,,,12,8.0,,0.01781978999997591,0.0003905309999936435,,0.003100400999755948,,,0.0001,0.2017765459995644,0.0,0.13870262699992963,,,,,0.002678854999885516,0.03908434200002375,,,
,2.0,,2.719744,1681395429.0,40048.0,130.0,,0.19209563975168947,6456.926208,38784.0,0.5526421683883095,0.7333333333333333,6269.99296,,200000.872448,0.07200000000000273,21,,0.11599999999999966,1.2666666666666666,0.002000000000000668,5.2,1008208.0,12,,,0.01737650599989138,0.0004099499997209932,91.00326576104086,0.003145151999888185,793.0,0.0,,,,0.1371780510003191,7635.546112,0.6333333333333333,681.0,0.0,,,2450.501632,0.0,31822.897152
0.0,,320.0,,1681395429.0,,,0.0,,,,,,,,,,22,6.9808349609375,,,,,,12,9.0,,,,,,,,0.0001,0.19969955100032166,0.0,,,,,,0.002805638000154431,0.03878425400034757,,,
0.0,,352.0,,1681395430.0,,,0.0,,,,,,,,,,23,7.1771240234375,,,,,,13,10.0,,0.017218935000073543,0.00039083299998310395,,0.0030698669997946126,,,0.0001,0.20105335099970034,0.0,0.13876904700009618,,,,,0.0028288459998293547,0.03877582299992355,,,
0.0,,384.0,,1681395430.0,,,0.0,,,,,,,,,,24,7.3497314453125,,,,,,13,11.0,,0.017261392999898817,0.00038390999998227926,,0.00306095899986758,,,0.0001,0.20099850299902755,0.0,0.13894673400000102,,,,,0.0025444619996051188,0.03880104499967274,,,
,2.0,,2.719744,1681395430.0,43370.0,134.0,,0.016348673990542694,6457.188352,43749.0,0.6338144615807166,0.8333333333333334,6269.99296,,200002.678784,0.07299999999997908,25,,0.13599999999999568,1.3,0.002000000000000668,5.2,1012522.0,13,,,0.01689307500009818,0.0003737270003512094,90.75700538974114,0.0031167709998953796,841.0,0.0,,,,0.14033015699988027,7633.739776,1.1,719.0,0.0,,,2450.501632,0.0,31823.159296
0.0,,416.0,,1681395430.0,,,0.0,,,,,,,,,,26,7.1239013671875,,,,,,13,12.0,,,,,,,,0.0001,0.20242436199987424,0.0,,,,,,0.0027839379999932135,0.03892669399965598,,,
0.0,,448.0,,1681395431.0,,,0.0,,,,,,,,,,27,7.11328125,,,,,,14,13.0,,0.01690299900019454,0.0003830489999927522,,0.0030830139999125095,,,0.0001,0.20117880500038154,5.0,0.13938792800036026,,,,,0.00250778800000262,0.03891402699991886,,,
0.0,,480.0,,1681395431.0,,,0.0,,,,,,,,,,28,7.450927734375,,,,,,14,14.0,,0.020116762000270683,0.00039382199975079857,,0.0029801900000165915,,,0.0001,0.20102419800014104,5.0,0.1359028980000403,,,,,0.002741844999945897,0.038888681000116776,,,
,2.0,,2.719744,1681395431.0,47608.0,145.0,,0.1675741475775325,6457.20064,48631.0,1.1482006248534375,0.8333333333333334,6270.3616,,200000.720896,0.07900000000000773,29,,0.1559999999999917,1.3,0.002000000000000668,5.2,1017280.0,14,,,0.01692185199999585,0.00038366500029951567,85.64743261079126,0.003063602000111132,880.0,0.0,,,,0.14053970499981006,7636.176896,1.1,825.0,0.0,,,2450.571264,0.0,31823.159296
0.0,,512.0,,1681395431.0,,,0.0,,,,,,,,,,30,7.2388916015625,,,,,,14,15.0,,,,,,,,0.0001,0.20272955500013268,5.0,,,,,,0.0028218279999236984,0.038998902999992424,,,
0.0,,544.0,,1681395432.0,,,0.0,,,,,,,,,,31,7.1322021484375,,,,,,15,16.0,,0.016903570000067702,0.00039242399998329347,,0.003033873999811476,,,0.0001,0.2018103119994521,5.0,0.13987847699991107,,,,,0.0027164019998053845,0.03888556499987317,,,
0.0,,576.0,,1681395432.0,,,0.0,,,,,,,,,,32,7.00604248046875,,,,,,15,17.0,,0.017147878000287164,0.000389053999697353,,0.0031187069998850347,,,0.0001,0.20144289499921797,5.0,0.13925283399976252,,,,,0.002794182999878103,0.0387402389997078,,,
,2.0,,2.719744,1681395432.0,51335.0,149.0,,0.016352883430230333,6457.208832,53959.0,1.2701431478897744,0.8333333333333334,6270.365696,,199997.431808,0.07999999999998408,33,,0.17199999999999704,1.3,0.002000000000000668,5.2,1021986.0,15,,,0.017311896000137494,0.00038397899970732396,83.43689871054133,0.00304646499989758,944.0,0.0,,,,0.13998032299969054,7638.970368,1.1,960.0,0.0,,,2450.571264,0.0,31823.159296
0.0,,608.0,,1681395432.0,,,0.0,,,,,,,,,,34,7.29638671875,,,,,,15,18.0,,,,,,,,0.0001,0.20215181299954565,5.0,,,,,,0.0027580640003179724,0.03867108599979474,,,
0.0,,640.0,,1681395433.0,,,0.0,,,,,,,,,,35,7.40576171875,,,,,,16,19.0,,0.017183168999963527,0.0004685519998020027,,0.003049964000183536,,,0.0001,0.20386802400071247,5.0,0.1411943070002053,,,,,0.002772039000319637,0.039199993000238464,,,
0.0,,672.0,,1681395433.0,,,0.0,,,,,,,,,,36,7.2027587890625,,,,,,16,20.0,,0.01722360399980971,0.0004657049998968432,,0.0028244869999980438,,,0.0001,0.20340354299924002,5.0,0.14118921699991915,,,,,0.0028441539998311782,0.03885637599978509,,,
,2.0,,2.719744,1681395433.0,55547.0,153.0,,0.01634845228915472,6457.217024,61040.0,1.3265715327914442,0.8333333333333334,6270.390272,,199997.48096,0.08099999999996044,37,,0.1880000000000024,1.3,0.002000000000000668,5.2,1027704.0,16,,,0.017226321000180178,0.00046529800010830513,88.63511380801748,0.003070361000027333,975.0,0.0,,,,0.14052457100024185,7638.683648,1.1,1011.0,0.0,,,2450.571264,0.0,31823.159296
0.0,,704.0,,1681395433.0,,,0.0,,,,,,,,,,38,7.096435546875,,,,,,16,21.0,,,,,,,,0.0001,0.20293299000104525,5.0,,,,,,0.0027788710003733286,0.03886756800011426,,,
0.0,,736.0,,1681395434.0,,,0.0,,,,,,,,,,39,7.066650390625,,,,,,17,22.0,,0.017518749999908323,0.00048565899987806915,,0.003012953999586898,,,0.0001,0.20144871899947248,5.0,0.13867325399996844,,,,,0.0027269980000710348,0.03903110400005971,,,
0.0,,768.0,,1681395434.0,,,0.0,,,,,,,,,,40,7.116943359375,,,,,,17,23.0,,0.01704985200012743,0.0004887070003860572,,0.0030905059998076467,,,0.0001,0.20143050199976642,5.0,0.13920264399985172,,,,,0.0026888939996752015,0.03890989899991837,,,
,2.0,,2.719744,1681395434.0,60159.0,175.0,,0.11440049208905516,6457.225216,67925.0,1.4595159878440822,0.8333333333333334,6270.40256,,199995.142144,0.09100000000000819,41,,0.2079999999999984,1.3,0.002000000000000668,5.2,1033538.0,17,,,0.017094084000291332,0.00046184600023480016,95.74293370809853,0.002995127999838587,1021.0,0.0,,,,0.14021601800004646,7641.022464,1.1,1063.0,0.0,,,2450.567168,0.0,31823.159296
0.0,,800.0,,1681395434.0,,,0.0,,,,,,,,,,42,7.2431640625,,,,,,17,24.0,,,,,,,,0.0001,0.20272419400043873,5.0,,,,,,0.00272234500016566,0.03923477299986189,,,
0.0,,832.0,,1681395435.0,,,0.0,,,,,,,,,,43,7.0892333984375,,,,,,18,25.0,,0.017074805999982345,0.00045706899982178584,,0.00307401200007007,,,0.0001,0.2030009160002919,5.0,0.14103170099997442,,,,,0.0024725850003051164,0.03889074300013817,,,
0.0,,864.0,,1681395435.0,,,0.0,,,,,,,,,,44,7.0948486328125,,,,,,18,26.0,,0.01716785999997228,0.0004563630000120611,,0.003128613000171754,,,0.0001,0.20217767800022557,5.0,0.14011027700007617,,,,,0.0025091760003306263,0.03880538899966268,,,
