_runtime,03_hivemind/num_peers,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,01_general/lr,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,01_general/step,cpu/logical_core_count,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,01_general/minibatch_loss,memory/used_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,_step,02_timing/loss_calc_time_s,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,cpu/interrupts/interrupts_count,01_general/dataset_iteration_count,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB
1,,,,,,,,,,,,,,,,,64.0,,,,,1681395421.0,,,,,,,,,,,,0,,255469.289472,,,,,,,,,
1,,,0.0,0.125,0.234375,,,4.2,24.0,,0.0,,4787.412992,143.0,0.03125,,,178.475008,0.0,0.11148149525209895,0.099429434601311,1681395421.0,,,1496.399872,0.0,2.854912,,244779.769856,0.0,0.0,76.0,0.0,1,,,0.0,,15.0,,19.0,,0.0,419.1232,12271.398912
2,,,0.0,0.125,0.234375,,,4.2,2775.0,,0.0,,4795.936768,150.0,0.03125,,,180.81792,0.0,0.28241124276693125,0.2849342642617022,1681395422.0,,,1634.013184,0.0039999999999054126,2.854912,,244642.148352,0.0,5.0,76.0,0.30970285162420863,2,,,0.01999999999998181,,1196.0,,2602.0,,0.0,421.552128,12346.904576
3,,,0.0,0.10937500000000001,0.234375,,,4.3,3592.0,,0.0,,4795.949056,150.0,0.03125,,,180.81792,0.0,0.06527992776688649,0.05370377995167802,1681395423.0,,,1700.22912,0.0039999999999054126,2.854912,,244575.92832,0.0,6.0,76.0,0.0040735311502134355,3,,,0.023999999999887223,,1613.0,,3266.0,,0.0,421.568512,12346.904576
4,,,0.0,0.10937500000000001,0.234375,,,4.3,4192.0,,0.0,,4795.949056,150.0,0.03125,,,180.81792,0.0,0.0776902138926861,0.08321676241643171,1681395424.0,,,1701.060608,0.005000000000109139,2.854912,,244575.100928,0.0,7.0,76.0,0.004077223181166076,4,,,0.02800000000002001,,1863.0,,3661.0,,0.0,421.568512,12346.904576
5,,,0.0,0.10937500000000001,0.234375,,,4.3,4689.0,,0.0,,4795.953152,150.0,0.03125,,,180.81792,0.0,0.032323826254535164,0.031678941306780124,1681395425.0,,,1701.08928,0.005000000000109139,2.854912,,244575.06816,0.0,8.0,76.0,0.004076305107503282,5,,,0.03199999999992542,,2137.0,,4021.0,,0.0,421.568512,12346.904576
6,,,0.0,0.10937500000000001,0.234375,,,4.4,5323.0,,0.0,,5039.611904,159.0,0.03125,,,183.43936,0.0,0.027416917495238002,0.0650047570314025,1681395426.0,,,1931.292672,0.006000000000312866,2.854912,,244344.868864,0.0,9.0,76.0,0.004074734989746674,6,,,0.035999999999830834,,2574.0,,4599.0,,0.0,652.304384,12657.54112
7,,,0.0,0.10937500000000001,0.234375,,,4.6,6486.0,,0.0,,6135.074816,164.0,0.03125,,,185.536512,0.0,0.03154415825621776,0.025232138135447894,1681395427.0,,,2501.69344,0.00800000000072032,2.854912,,243774.468096,0.0,12.0,78.0,0.08977094223637007,7,,,0.04800000000000182,,4698.0,,10275.0,,0.0,1220.34176,17972.604928
8,,,0.0,8.109375,0.765625,,,4.6,11714.0,,0.0,,6135.074816,168.0,1.6875,,,185.536512,0.0,0.8605358070700414,0.12640449816159136,1681395428.0,,,2503.499776,0.00800000000072032,2.854912,,243772.66176,0.0,13.0,80.0,0.0040811642715873975,8,,,0.05600000000004002,,22408.0,,30207.0,,0.0,1220.34176,17972.604928
9,,,0.0,8.109375,0.765625,,,4.7,16064.0,,0.0,,6297.68192,210.0,1.6875,,,303.47264,0.0,0.22202334073165841,0.18694397094480017,1681395429.0,,,2728.333312,0.009000000000014552,2.854912,,243535.241216,0.0,14.0,82.0,0.004077329681136541,9,,,0.05999999999994543,,30595.0,,43437.0,,0.0,1481.404416,18640.580608
10,,,0.0,8.109375,0.765625,,,5.0,16771.0,,0.0,,7240.6016,214.0,1.6875,,,462.462976,0.0,0.1084728560907457,0.1487516439505729,1681395430.0,,,3679.752192,0.39800000000013824,2.854912,,242583.822336,0.0,162.0,84.0,0.8630123693581794,10,,,0.07999999999992724,,31282.0,,44326.0,,0.0,2584.096768,19952.59904
11,,,0.0,8.109375,0.765625,,,4.8,17652.0,,0.0,,6490.329088,240.0,1.6875,,,465.87904,0.0,0.18442348469467817,0.06136314192969818,1681395431.0,,,2930.581504,0.39800000000013824,2.854912,,243332.993024,0.0,163.0,84.0,0.004072317461311653,11,,,0.08799999999996544,,31799.0,,45038.0,,0.0,1837.6704,20516.41344
12,,,0.0,8.109375,0.765625,,,4.8,19060.0,,0.0,,6490.329088,240.0,1.6875,,,465.87904,0.0,0.2212254254961404,0.6744158388806927,1681395432.0,,,2931.687424,0.39900000000034197,2.854912,,243331.887104,0.0,164.0,84.0,0.004067052702024333,12,,,0.09199999999987085,,32292.0,,46025.0,,0.0,1837.6704,20516.41344
13,,,0.0,7.46875,0.765625,,,4.8,20550.0,,0.0,,6490.329088,240.0,1.65625,,,465.87904,0.0,0.2976916234019162,0.9255650877084599,1681395433.0,,,2931.933184,0.40099999999983993,2.854912,,243331.633152,0.0,167.0,84.0,0.15085654200832743,13,,,0.09999999999990905,,32881.0,,47156.0,,0.0,1837.6704,20516.41344
14,,,0.0,7.46875,0.765625,,,5.0,24492.0,,0.0,,6541.463552,568.0,1.65625,,,1003.298816,0.0,0.4803107378113791,1.0590558626924111,1681395434.0,,,2921.545728,0.40099999999983993,2.854912,,242815.3856,0.0,168.0,86.0,0.004078530867953827,14,,,0.10400000000004184,,38123.0,,54914.0,,0.0,2393.546752,21393.506304
