03_hivemind/next_fetch_time_s,04_peers/peer_8_samples_accumulated,_timestamp,04_peers/peer_3_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_7_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_8_epoch,03_hivemind/total_training_samples,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_2_epoch,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_based_sps,_runtime,04_peers/peer_7_epoch,04_peers/peer_6_samples_per_second,04_peers/peer_3_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_5_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_9_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch_oos,04_peers/peer_9_epoch_oos,04_peers/peer_9_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/undershot_TBS,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_6_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_4_epoch,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch,03_hivemind/global_samples_accumulated
10.0,,1681395430.0,,,94.34,,,,,,,,2121,324.8421065243973,5,,324.8421065243973,,0,,,,78,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,2048
10.0,,1681395432.0,0.0,0.0,82.7,,416.0,416.0,,,61.11,,2748,362.987396314648,5,0.0,362.987396314648,0.0,0,0.0,0.0,,80,,,0.0,0,,384.0,0.0,65.95,66.49,,,65.64,416.0,,,,,,,,,,,416.0,,1,,0.0,65.66,0.0,2528
10.0,,1681395433.0,0.0,0.0,73.14,,512.0,512.0,,,69.38,,3427,401.17147545670275,5,0.0,401.17147545670275,0.0,0,0.0,0.0,,81,,,0.0,0,,480.0,0.0,73.51,74.04,,,73.02,512.0,,,,,,,,,,,512.0,,2,,0.0,73.05,0.0,3200
10.0,,1681395435.0,0.0,0.0,64.15,,640.0,672.0,,,77.33,,4559,439.70559732245414,5,0.0,439.70559732245414,0.0,0,0.0,0.0,,83,,,0.0,0,,608.0,0.0,80.75,82.71,,,80.14,640.0,,,,,,,,,,,640.0,,3,,0.0,80.24,0.0,4384
10.0,,1681395437.0,0.0,0.0,60.2,,896.0,896.0,,,85.44,,5250,457.1383361694604,6,0.0,457.1383361694604,0.0,0,0.0,0.0,,85,,,0.0,0,,832.0,0.0,88.89,89.42,,,87.48,864.0,,,,,,,,,,,896.0,,4,,0.0,88.47,0.0,4992
10.0,,1681395438.0,0.0,0.0,51.86,,992.0,1024.0,,,88.08,,6287,510.6325583928716,8,0.0,510.6325583928716,0.0,0,0.0,0.0,,86,,7.13,0.0,0,,960.0,0.0,90.59,91.52,,,89.73,992.0,,0.0,,,0.0,,,,,,992.0,32.0,5,,0.0,90.09,0.0,5984
10.0,96.0,1681395440.0,0.0,0.0,44.8,1.57,1120.0,1152.0,0.0,,89.8,19.4,7391,566.4632557438063,8,0.0,566.4632557438063,0.0,0,0.0,0.0,,88,0.0,31.85,0.0,0,,1088.0,0.0,92.21,92.89,,0.0,91.27,1120.0,128.0,0.0,,,0.0,,,,,0.0,1120.0,160.0,6,,0.0,91.64,0.0,7136
10.0,256.0,1681395441.0,0.0,0.0,40.39,3.87,1280.0,1280.0,0.0,,90.89,45.19,8475,601.4926494143866,8,0.0,601.4926494143866,0.0,0,0.0,0.0,,89,0.0,54.54,0.0,0,,1216.0,0.0,93.26,93.69,,0.0,92.21,1248.0,256.0,0.0,,,0.0,,,,,0.0,1280.0,320.0,7,,0.0,92.81,0.0,8256
10.0,384.0,1681395442.0,0.0,0.0,37.02,8.17,1408.0,1440.0,0.0,,91.56,60.17,9524,627.915382098779,8,0.0,627.915382098779,0.0,0,0.0,0.0,,90,0.0,67.13,0.0,0,,1344.0,0.0,93.82,94.34,,0.0,92.96,1408.0,416.0,0.0,,,0.0,,,,,0.0,1408.0,448.0,8,,0.0,93.33,0.0,9280
10.0,512.0,1681395444.0,0.0,0.0,33.37,13.12,1536.0,1568.0,0.0,,92.24,70.93,10714,660.8604504192905,9,0.0,660.8604504192905,0.0,0,0.0,0.0,,92,0.0,75.97,0.0,0,,1472.0,0.0,94.14,94.6,,0.0,93.36,1536.0,544.0,0.0,,,0.0,,,,,0.0,1536.0,576.0,9,,0.0,93.56,0.0,10432
