_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,1,30.0,211076.599808,1681395838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,1681395838,1.5333333333333334,0.0,0.0,1169.629184,0.0,22.0,0.0,177.778688,0.0,393.949184,0.0,0.0,0.0,0.33333333333333337,13.0,0.0,208157.53216,2.719744,138.0,0.0,2481.037312,0.0,28.0,1.4,1.7666666666666668,9963.405312,42.0,,,,,,,,,,,,,,
2,2,,,1681395839,1.5333333333333334,0.0,0.007999999999995566,1599.578112,0.008852140905712012,4887.0,0.5475187465780503,182.370304,3.0,677.74464,0.0,0.0,0.0,0.33333333333333337,2445.0,0.6645906153160521,207727.587328,2.719744,195.0,0.0009999999999763531,2778.54208,0.0,4435.0,1.6,1.7666666666666668,10394.86976,56.0,,,,,,,,,,,,,,
3,3,,,1681395840,1.5333333333333334,0.0,0.012000000000000455,1988.784128,0.0040860826610691296,5983.0,0.12753047065091883,183.222272,4.0,1067.29472,0.0,0.0,0.0,0.33333333333333337,2906.0,0.30742185605282696,207338.381312,2.719744,233.0,0.0009999999999763531,4051.779584,0.0,5320.0,1.8,1.7666666666666668,11668.094976,73.0,,,,,,,,,,,,,,
4,4,,,1681395841,1.5333333333333334,0.0,0.01999999999999602,2852.462592,0.36779948913077865,6478.0,0.0032645397381597134,183.222272,68.0,1928.044544,0.0,0.0,0.0,0.33333333333333337,3082.0,0.009466367070225778,206474.694656,2.719744,234.0,0.012000000000057298,4051.78368,0.0,5900.0,2.2,1.7666666666666668,11668.094976,95.0,,,,,,,,,,,,,,
5,5,,,1681395842,1.5333333333333334,0.0,0.028000000000005798,3310.739456,0.22476533861224987,7040.0,0.0429097464558712,184.860672,71.0,2387.099648,0.0,0.0,0.0,0.33333333333333337,3338.0,0.03571023170525107,206016.401408,2.719744,234.0,0.014000000000010004,4488.593408,0.0,6537.0,2.4,1.7666666666666668,12104.904704,119.0,,,,,,,,,,,,,,
6,6,,,1681395843,1.5333333333333334,0.0,0.031999999999996476,3958.697984,0.004086455888694407,7496.0,0.058583176157510304,184.860672,72.0,3033.74336,0.0,0.0,0.0,0.5666666666666667,3506.0,0.011173902802728104,205367.926784,2.719744,234.0,0.014000000000010004,5143.801856,0.0,7087.0,2.7,1.8000000000000003,12760.113152,130.0,,,,,,,,,,,,,,
7,7,,,1681395844,1.5333333333333334,0.0,0.036000000000001364,4020.625408,0.0040864986506227744,8409.0,0.10984061420701427,184.860672,73.0,3094.904832,0.0,0.0,0.0,0.5666666666666667,4253.0,0.104676620799633,205306.51136,2.719744,234.0,0.014999999999986358,5194.141696,0.0,8127.0,2.7,1.8000000000000003,12810.452992,133.0,,,,,,,,,,,,,,
8,8,,,1681395845,1.5333333333333334,0.0,0.04000000000000625,4021.141504,0.004086368409053862,9129.0,0.10714745279655627,184.860672,74.0,3094.904832,0.0,0.0,0.0,0.5666666666666667,4714.0,0.2677449235818166,205305.995264,2.719744,234.0,0.014999999999986358,5194.40384,0.0,9001.0,2.7,1.8000000000000003,12810.715136,135.0,,,,,,,,,,,,,,
9,9,,,1681395846,1.5333333333333334,0.0,0.04800000000000182,4329.766912,0.4740456835362497,10240.0,0.134746080775087,184.860672,136.0,3403.231232,0.0,0.0,0.0,0.5666666666666667,5612.0,0.7045155971885511,204997.369856,2.719744,234.0,0.027000000000043656,6222.610432,0.0,10246.0,2.9,1.8000000000000003,13838.921728,137.0,,,,,,,,,,,,,,
