_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
0,0,30.0,211076.599808,1681396887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,1681396887,2.3666666666666667,0.0,0.0,1209.962496,0.0,27.0,0.2220365357155166,178.499584,0.0,394.682368,0.0,0.0,0.0,0.3,4.0,0.24895006558066599,208115.634176,2.719744,136.0,0.0,2481.037312,0.0,21.0,1.4,1.8333333333333333,9963.405312,47.0,,,,,,,,,,,,,,
2,1,,,1681396888,2.3666666666666667,0.0,0.008000000000009777,1332.965376,0.012252690618619456,3144.0,0.44002794271928825,181.075968,3.0,397.35296,0.0,0.0,0.0,0.3,1476.0,1.0292579201684282,207992.602624,2.719744,146.0,0.0010000000000331966,2489.561088,0.0,3233.0,1.5,1.8333333333333333,10038.910976,49.0,,,,,,,,,,,,,,
3,2,,,1681396889,2.333333333333333,0.0,0.012000000000000455,1344.794624,0.00408597188165436,3824.0,0.016726947374645345,181.075968,4.0,397.361152,0.0,0.0,0.0,0.26666666666666666,1936.0,0.02217757003203695,207980.777472,2.719744,146.0,0.0010000000000331966,2489.573376,0.0,3791.0,1.5,1.8000000000000003,10038.910976,49.0,,,,,,,,,,,,,,
4,3,,,1681396890,2.333333333333333,0.0,0.016000000000005343,1345.826816,0.0040874067350751605,4336.0,0.08189183267233038,181.075968,5.0,397.361152,0.0,0.0,0.0,0.26666666666666666,2182.0,0.07293466398821742,207979.74528,2.719744,146.0,0.0020000000000095497,2489.577472,0.0,4152.0,1.5,1.8000000000000003,10038.910976,49.0,,,,,,,,,,,,,,
5,4,,,1681396891,2.333333333333333,0.0,0.028000000000005798,1633.206272,0.3027278935384396,5565.0,0.06705215564842379,183.074816,60.0,678.445056,0.0,0.0,0.0,0.26666666666666666,2710.0,0.2186021185215669,207692.361728,2.719744,187.0,0.06700000000000728,2778.554368,0.0,5090.0,1.6,1.8000000000000003,10394.865664,53.0,,,,,,,,,,,,,,
6,5,,,1681396892,2.333333333333333,0.0,0.036000000000001364,2119.954432,0.17571568040416466,6360.0,0.09814569958840556,183.861248,63.0,1165.76256,0.0,0.0,0.0,0.26666666666666666,3131.0,0.25758756672133887,207205.613568,2.719744,223.0,0.06900000000001683,4051.779584,0.0,5820.0,1.8,1.8000000000000003,11668.09088,58.0,,,,,,,,,,,,,,
7,6,,,1681396893,2.333333333333333,0.0,0.04000000000000625,2907.213824,0.004086634740356985,7314.0,0.08016029831341331,183.861248,64.0,1951.08864,0.0,0.0,0.0,0.26666666666666666,3660.0,0.07499613291874395,206418.354176,2.719744,223.0,0.06900000000001683,4051.779584,0.0,6789.0,2.2,1.8000000000000003,11668.09088,79.0,,,,,,,,,,,,,,
8,7,,,1681396894,2.3666666666666667,0.0,0.04400000000001114,3480.854528,0.004086773762917302,7854.0,0.06961084754481643,185.237504,65.0,2524.786688,0.0,0.0,0.0,0.5333333333333333,3946.0,0.02135179649110937,205844.713472,2.719744,223.0,0.07000000000005002,4639.870976,0.0,7413.0,2.5,1.8000000000000003,12256.182272,89.0,,,,,,,,,,,,,,
9,8,,,1681396895,2.3666666666666667,0.0,0.04800000000000182,4052.688896,0.004086713482128242,8397.0,0.011086806708422563,185.237504,66.0,3095.216128,0.0,0.0,0.0,0.5333333333333333,4301.0,0.014678644728888548,205272.8832,2.719744,223.0,0.07000000000005002,5194.1376,0.0,8108.0,2.7,1.8000000000000003,12810.448896,100.0,,,,,,,,,,,,,,
